tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
AGOWMJFPYPUNRF-UHFFFAOYSA-N	Nc1nc(CCl)cs1.O=[N+]([O-])c1ccc(S)cc1>>Nc1nc(CSc2ccc([N+](=O)[O-])cc2)cs1	1	Cl[CH2:5][c:4]1[n:3][c:2]([NH2:1])[s:17][cH:16]1.[SH:6][c:7]1[cH:8][cH:9][c:10]([N+:11](=[O:12])[O-:13])[cH:14][cH:15]1>>[NH2:1][c:2]1[n:3][c:4]([CH2:5][S:6][c:7]2[cH:8][cH:9][c:10]([N+:11](=[O:12])[O-:13])[cH:14][cH:15]2)[cH:16][s:17]1
AGOWMJFPYPUNRF-UHFFFAOYSA-N	Nc1nc(CS)cs1.O=[N+]([O-])c1ccc(Cl)cc1>>Nc1nc(CSc2ccc([N+](=O)[O-])cc2)cs1	2	[NH2:1][c:2]1[n:3][c:4]([CH2:5][SH:6])[cH:16][s:17]1.Cl[c:7]1[cH:8][cH:9][c:10]([N+:11](=[O:12])[O-:13])[cH:14][cH:15]1>>[NH2:1][c:2]1[n:3][c:4]([CH2:5][S:6][c:7]2[cH:8][cH:9][c:10]([N+:11](=[O:12])[O-:13])[cH:14][cH:15]2)[cH:16][s:17]1
AGOWMJFPYPUNRF-UHFFFAOYSA-N	NC(N)=S.O=C(CS)CBr>>Nc1nc(CS)cs1	2	[NH2:1][C:2]([NH2:3])=[S:8].O=[C:4]([CH2:5][SH:6])[CH2:7]Br>>[NH2:1][c:2]1[n:3][c:4]([CH2:5][SH:6])[cH:7][s:8]1
AGOWMJFPYPUNRF-UHFFFAOYSA-N	CN(N=O)C(N)=O>>C=[N+]=[N-]	2	C[N:3]([C:1](N)=O)[N:2]=O>>[CH2:1]=[N+:2]=[N-:3]
AGOWMJFPYPUNRF-UHFFFAOYSA-N	C=[N+]=[N-].O=C(O)CS>>O=C(CS)CBr	2	[N-]=[N+]=[CH2:5].O[C:2](=[O:1])[CH2:3][SH:4]>>[O:1]=[C:2]([CH2:3][SH:4])[CH2:5][Br:6]
AGOWMJFPYPUNRF-UHFFFAOYSA-N	CN(N=O)C(=N)N[N+](=O)[O-]>>C=[N+]=[N-]	3	N=C(N[N+](=O)[O-])[N:2]([CH3:1])[N:3]=O>>[CH2:1]=[N+:2]=[N-:3]
AGOWMJFPYPUNRF-UHFFFAOYSA-N	Nc1nc(CS)cs1.O=[N+]([O-])c1ccc(Cl)cc1>>Nc1nc(CSc2ccc([N+](=O)[O-])cc2)cs1	3	[NH2:1][c:2]1[n:3][c:4]([CH2:5][SH:6])[cH:16][s:17]1.Cl[c:7]1[cH:8][cH:9][c:10]([N+:11](=[O:12])[O-:13])[cH:14][cH:15]1>>[NH2:1][c:2]1[n:3][c:4]([CH2:5][S:6][c:7]2[cH:8][cH:9][c:10]([N+:11](=[O:12])[O-:13])[cH:14][cH:15]2)[cH:16][s:17]1
AGOWMJFPYPUNRF-UHFFFAOYSA-N	NC(N)=S.O=C(CS)CBr>>Nc1nc(CS)cs1	3	[NH2:1][C:2]([NH2:3])=[S:8].O=[C:4]([CH2:5][SH:6])[CH2:7]Br>>[NH2:1][c:2]1[n:3][c:4]([CH2:5][SH:6])[cH:7][s:8]1
AGOWMJFPYPUNRF-UHFFFAOYSA-N	C=[N+]=[N-].O=C(O)CS>>O=C(CS)CBr	3	[N-]=[N+]=[CH2:5].O[C:2](=[O:1])[CH2:3][SH:4]>>[O:1]=[C:2]([CH2:3][SH:4])[CH2:5][Br:6]
AGOWMJFPYPUNRF-UHFFFAOYSA-N	Nc1nc(CS)cs1.O=[N+]([O-])c1ccc(Cl)cc1>>Nc1nc(CSc2ccc([N+](=O)[O-])cc2)cs1	4	[NH2:1][c:2]1[n:3][c:4]([CH2:5][SH:6])[cH:16][s:17]1.Cl[c:7]1[cH:8][cH:9][c:10]([N+:11](=[O:12])[O-:13])[cH:14][cH:15]1>>[NH2:1][c:2]1[n:3][c:4]([CH2:5][S:6][c:7]2[cH:8][cH:9][c:10]([N+:11](=[O:12])[O-:13])[cH:14][cH:15]2)[cH:16][s:17]1
AGOWMJFPYPUNRF-UHFFFAOYSA-N	C=[N+]=[N-].O=C(Cl)CS>>O=C(CS)CBr	4	[N-]=[N+]=[CH2:5].Cl[C:2](=[O:1])[CH2:3][SH:4]>>[O:1]=[C:2]([CH2:3][SH:4])[CH2:5][Br:6]
AGOWMJFPYPUNRF-UHFFFAOYSA-N	NC(N)=S.O=C(CS)CBr>>Nc1nc(CS)cs1	4	[NH2:1][C:2]([NH2:3])=[S:8].O=[C:4]([CH2:5][SH:6])[CH2:7]Br>>[NH2:1][c:2]1[n:3][c:4]([CH2:5][SH:6])[cH:7][s:8]1
