tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
BIAAFFAHROMCHN-UHFFFAOYSA-N	COc1ccccc1CCN.O=C(O)Cc1cccc(CC(=O)O)c1>>COc1ccccc1CCNC(=O)Cc1cccc(CC(=O)O)c1	1	[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][cH:7][c:8]1[CH2:9][CH2:10][NH2:11].O[C:12](=[O:13])[CH2:14][c:15]1[cH:16][cH:17][cH:18][c:19]([CH2:20][C:21](=[O:22])[OH:23])[cH:24]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][cH:7][c:8]1[CH2:9][CH2:10][NH:11][C:12](=[O:13])[CH2:14][c:15]1[cH:16][cH:17][cH:18][c:19]([CH2:20][C:21](=[O:22])[OH:23])[cH:24]1
BIAAFFAHROMCHN-UHFFFAOYSA-N	COC(=O)Cc1cccc(CC(=O)OC)c1.COc1ccccc1CCN>>COC(=O)Cc1cccc(CC(=O)NCCc2ccccc2OC)c1	2	CO[C:12]([CH2:11][c:10]1[cH:9][cH:8][cH:7][c:6]([CH2:5][C:3]([O:2][CH3:1])=[O:4])[cH:25]1)=[O:13].[NH2:14][CH2:15][CH2:16][c:17]1[cH:18][cH:19][cH:20][cH:21][c:22]1[O:23][CH3:24]>>[CH3:1][O:2][C:3](=[O:4])[CH2:5][c:6]1[cH:7][cH:8][cH:9][c:10]([CH2:11][C:12](=[O:13])[NH:14][CH2:15][CH2:16][c:17]2[cH:18][cH:19][cH:20][cH:21][c:22]2[O:23][CH3:24])[cH:25]1
BIAAFFAHROMCHN-UHFFFAOYSA-N	COC(=O)Cc1cccc(CC(=O)NCCc2ccccc2OC)c1>>COc1ccccc1CCNC(=O)Cc1cccc(CC(=O)O)c1	2	C[O:23][C:21]([CH2:20][c:19]1[cH:18][cH:17][cH:16][c:15]([CH2:14][C:12]([NH:11][CH2:10][CH2:9][c:8]2[c:3]([O:2][CH3:1])[cH:4][cH:5][cH:6][cH:7]2)=[O:13])[cH:24]1)=[O:22]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][cH:7][c:8]1[CH2:9][CH2:10][NH:11][C:12](=[O:13])[CH2:14][c:15]1[cH:16][cH:17][cH:18][c:19]([CH2:20][C:21](=[O:22])[OH:23])[cH:24]1
BIAAFFAHROMCHN-UHFFFAOYSA-N	COC(=O)Cc1cccc(CC(=O)NCCc2ccccc2OC)c1>>COc1ccccc1CCNC(=O)Cc1cccc(CC(=O)O)c1	3	C[O:23][C:21]([CH2:20][c:19]1[cH:18][cH:17][cH:16][c:15]([CH2:14][C:12]([NH:11][CH2:10][CH2:9][c:8]2[c:3]([O:2][CH3:1])[cH:4][cH:5][cH:6][cH:7]2)=[O:13])[cH:24]1)=[O:22]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][cH:7][c:8]1[CH2:9][CH2:10][NH:11][C:12](=[O:13])[CH2:14][c:15]1[cH:16][cH:17][cH:18][c:19]([CH2:20][C:21](=[O:22])[OH:23])[cH:24]1
BIAAFFAHROMCHN-UHFFFAOYSA-N	CC(=O)Cl.O=C(O)Cc1cccc(CC(=O)O)c1>>COC(=O)Cc1cccc(CC(=O)O)c1	3	C[C:1](=O)Cl.[OH:2][C:3](=[O:4])[CH2:5][c:6]1[cH:7][cH:8][cH:9][c:10]([CH2:11][C:12](=[O:13])[OH:14])[cH:15]1>>[CH3:1][O:2][C:3](=[O:4])[CH2:5][c:6]1[cH:7][cH:8][cH:9][c:10]([CH2:11][C:12](=[O:13])[OH:14])[cH:15]1
BIAAFFAHROMCHN-UHFFFAOYSA-N	COC(=O)Cc1cccc(CC(=O)O)c1.COc1ccccc1CCN>>COC(=O)Cc1cccc(CC(=O)NCCc2ccccc2OC)c1	3	O[C:12]([CH2:11][c:10]1[cH:9][cH:8][cH:7][c:6]([CH2:5][C:3]([O:2][CH3:1])=[O:4])[cH:25]1)=[O:13].[NH2:14][CH2:15][CH2:16][c:17]1[cH:18][cH:19][cH:20][cH:21][c:22]1[O:23][CH3:24]>>[CH3:1][O:2][C:3](=[O:4])[CH2:5][c:6]1[cH:7][cH:8][cH:9][c:10]([CH2:11][C:12](=[O:13])[NH:14][CH2:15][CH2:16][c:17]2[cH:18][cH:19][cH:20][cH:21][c:22]2[O:23][CH3:24])[cH:25]1
BIAAFFAHROMCHN-UHFFFAOYSA-N	CCBr.O=C(O)Cc1cccc(CC(=O)O)c1>>CCOC(=O)Cc1cccc(CC(=O)O)c1	4	Br[CH2:2][CH3:1].[OH:3][C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][c:11]([CH2:12][C:13](=[O:14])[OH:15])[cH:16]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][c:11]([CH2:12][C:13](=[O:14])[OH:15])[cH:16]1
BIAAFFAHROMCHN-UHFFFAOYSA-N	CCOC(=O)Cc1cccc(CC(=O)Cl)c1.COc1ccccc1CCN>>COc1ccccc1CCNC(=O)Cc1cccc(CC(=O)O)c1	4	CC[O:23][C:12](=[O:13])[CH2:14][c:15]1[cH:16][cH:17][cH:18][c:19]([CH2:20][C:21](Cl)=[O:22])[cH:24]1.[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][cH:7][c:8]1[CH2:9][CH2:10][NH2:11]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][cH:7][c:8]1[CH2:9][CH2:10][NH:11][C:12](=[O:13])[CH2:14][c:15]1[cH:16][cH:17][cH:18][c:19]([CH2:20][C:21](=[O:22])[OH:23])[cH:24]1
BIAAFFAHROMCHN-UHFFFAOYSA-N	CCOC(=O)Cc1cccc(CC(=O)O)c1>>CCOC(=O)Cc1cccc(CC(=O)Cl)c1	4	O[C:13]([CH2:12][c:11]1[cH:10][cH:9][cH:8][c:7]([CH2:6][C:4]([O:3][CH2:2][CH3:1])=[O:5])[cH:16]1)=[O:14]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][c:11]([CH2:12][C:13](=[O:14])[Cl:15])[cH:16]1
BIAAFFAHROMCHN-UHFFFAOYSA-N	CCBr.O=C(O)Cc1cccc(CC(=O)O)c1>>CCOC(=O)Cc1cccc(CC(=O)O)c1	5	Br[CH2:2][CH3:1].[OH:3][C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][c:11]([CH2:12][C:13](=[O:14])[OH:15])[cH:16]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][c:11]([CH2:12][C:13](=[O:14])[OH:15])[cH:16]1
