tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
BKBNOJAMNMVBKA-CHQNGUEUSA-N	CC(C)(C)OC(=O)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Oc1ccc([N+](=O)[O-])cc1.N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O>>CC(C)(C)OC(=O)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O	1	O=[N+]([O-])c1ccc(O[C:25]([C@H:13]([CH2:12][CH2:11][CH2:10][CH2:9][NH:8][C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[NH:14][C:15](=[O:16])[O:17][CH2:18][c:19]2[cH:20][cH:21][cH:22][cH:23][cH:24]2)=[O:26])cc1.[NH2:27][C@@H:28]([CH2:29][c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1)[C:36](=[O:37])[NH:38][C@@H:39]([CH2:40][c:41]1[cH:42][cH:43][cH:44][cH:45][cH:46]1)[C:47](=[O:48])[OH:49]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH2:9][CH2:10][CH2:11][CH2:12][C@H:13]([NH:14][C:15](=[O:16])[O:17][CH2:18][c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1)[C:25](=[O:26])[NH:27][C@@H:28]([CH2:29][c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1)[C:36](=[O:37])[NH:38][C@@H:39]([CH2:40][c:41]1[cH:42][cH:43][cH:44][cH:45][cH:46]1)[C:47](=[O:48])[OH:49]
BKBNOJAMNMVBKA-CHQNGUEUSA-N	CC(C)(C)OC(=O)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)ON1C(=O)CCC1=O.N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O>>CC(C)(C)OC(=O)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O	2	O=C1CCC(=O)N1O[C:25]([C@H:13]([CH2:12][CH2:11][CH2:10][CH2:9][NH:8][C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[NH:14][C:15](=[O:16])[O:17][CH2:18][c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1)=[O:26].[NH2:27][C@@H:28]([CH2:29][c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1)[C:36](=[O:37])[NH:38][C@@H:39]([CH2:40][c:41]1[cH:42][cH:43][cH:44][cH:45][cH:46]1)[C:47](=[O:48])[OH:49]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH2:9][CH2:10][CH2:11][CH2:12][C@H:13]([NH:14][C:15](=[O:16])[O:17][CH2:18][c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1)[C:25](=[O:26])[NH:27][C@@H:28]([CH2:29][c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1)[C:36](=[O:37])[NH:38][C@@H:39]([CH2:40][c:41]1[cH:42][cH:43][cH:44][cH:45][cH:46]1)[C:47](=[O:48])[OH:49]
BKBNOJAMNMVBKA-CHQNGUEUSA-N	CC(C)(C)OC(=O)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)O.N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O>>CC(C)(C)OC(=O)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O	3	O[C:25]([C@H:13]([CH2:12][CH2:11][CH2:10][CH2:9][NH:8][C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[NH:14][C:15](=[O:16])[O:17][CH2:18][c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1)=[O:26].[NH2:27][C@@H:28]([CH2:29][c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1)[C:36](=[O:37])[NH:38][C@@H:39]([CH2:40][c:41]1[cH:42][cH:43][cH:44][cH:45][cH:46]1)[C:47](=[O:48])[OH:49]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH2:9][CH2:10][CH2:11][CH2:12][C@H:13]([NH:14][C:15](=[O:16])[O:17][CH2:18][c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1)[C:25](=[O:26])[NH:27][C@@H:28]([CH2:29][c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1)[C:36](=[O:37])[NH:38][C@@H:39]([CH2:40][c:41]1[cH:42][cH:43][cH:44][cH:45][cH:46]1)[C:47](=[O:48])[OH:49]
BKBNOJAMNMVBKA-CHQNGUEUSA-N	COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCCNC(=O)OC(C)(C)C)NC(=O)OCc1ccccc1>>CC(C)(C)OC(=O)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O	4	C[O:49][C:47]([C@@H:39]([NH:38][C:36]([C@@H:28]([NH:27][C:25]([C@H:13]([CH2:12][CH2:11][CH2:10][CH2:9][NH:8][C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[NH:14][C:15](=[O:16])[O:17][CH2:18][c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1)=[O:26])[CH2:29][c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1)=[O:37])[CH2:40][c:41]1[cH:42][cH:43][cH:44][cH:45][cH:46]1)=[O:48]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH2:9][CH2:10][CH2:11][CH2:12][C@H:13]([NH:14][C:15](=[O:16])[O:17][CH2:18][c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1)[C:25](=[O:26])[NH:27][C@@H:28]([CH2:29][c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1)[C:36](=[O:37])[NH:38][C@@H:39]([CH2:40][c:41]1[cH:42][cH:43][cH:44][cH:45][cH:46]1)[C:47](=[O:48])[OH:49]
BKBNOJAMNMVBKA-CHQNGUEUSA-N	CC(C)(C)OC(=O)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Oc1ccc([N+](=O)[O-])cc1.COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)Cc1ccccc1>>COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCCNC(=O)OC(C)(C)C)NC(=O)OCc1ccccc1	4	O=[N+]([O-])c1ccc(O[C:25](=[O:26])[C@H:27]([CH2:28][CH2:29][CH2:30][CH2:31][NH:32][C:33](=[O:34])[O:35][C:36]([CH3:37])([CH3:38])[CH3:39])[NH:40][C:41](=[O:42])[O:43][CH2:44][c:45]2[cH:46][cH:47][cH:48][cH:49][cH:50]2)cc1.[CH3:1][O:2][C:3](=[O:4])[C@H:5]([CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1)[NH:13][C:14](=[O:15])[C@H:16]([CH2:17][c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1)[NH2:24]>>[CH3:1][O:2][C:3](=[O:4])[C@H:5]([CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1)[NH:13][C:14](=[O:15])[C@H:16]([CH2:17][c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1)[NH:24][C:25](=[O:26])[C@H:27]([CH2:28][CH2:29][CH2:30][CH2:31][NH:32][C:33](=[O:34])[O:35][C:36]([CH3:37])([CH3:38])[CH3:39])[NH:40][C:41](=[O:42])[O:43][CH2:44][c:45]1[cH:46][cH:47][cH:48][cH:49][cH:50]1
BKBNOJAMNMVBKA-CHQNGUEUSA-N	COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCCNC(=O)OC(C)(C)C)NC(=O)OCc1ccccc1>>CC(C)(C)OC(=O)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O	5	C[O:49][C:47]([C@@H:39]([NH:38][C:36]([C@@H:28]([NH:27][C:25]([C@H:13]([CH2:12][CH2:11][CH2:10][CH2:9][NH:8][C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[NH:14][C:15](=[O:16])[O:17][CH2:18][c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1)=[O:26])[CH2:29][c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1)=[O:37])[CH2:40][c:41]1[cH:42][cH:43][cH:44][cH:45][cH:46]1)=[O:48]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH2:9][CH2:10][CH2:11][CH2:12][C@H:13]([NH:14][C:15](=[O:16])[O:17][CH2:18][c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1)[C:25](=[O:26])[NH:27][C@@H:28]([CH2:29][c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1)[C:36](=[O:37])[NH:38][C@@H:39]([CH2:40][c:41]1[cH:42][cH:43][cH:44][cH:45][cH:46]1)[C:47](=[O:48])[OH:49]
BKBNOJAMNMVBKA-CHQNGUEUSA-N	CC(C)(C)OC(=O)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)O.COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)Cc1ccccc1>>COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCCNC(=O)OC(C)(C)C)NC(=O)OCc1ccccc1	5	O[C:25](=[O:26])[C@H:27]([CH2:28][CH2:29][CH2:30][CH2:31][NH:32][C:33](=[O:34])[O:35][C:36]([CH3:37])([CH3:38])[CH3:39])[NH:40][C:41](=[O:42])[O:43][CH2:44][c:45]1[cH:46][cH:47][cH:48][cH:49][cH:50]1.[CH3:1][O:2][C:3](=[O:4])[C@H:5]([CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1)[NH:13][C:14](=[O:15])[C@H:16]([CH2:17][c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1)[NH2:24]>>[CH3:1][O:2][C:3](=[O:4])[C@H:5]([CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1)[NH:13][C:14](=[O:15])[C@H:16]([CH2:17][c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1)[NH:24][C:25](=[O:26])[C@H:27]([CH2:28][CH2:29][CH2:30][CH2:31][NH:32][C:33](=[O:34])[O:35][C:36]([CH3:37])([CH3:38])[CH3:39])[NH:40][C:41](=[O:42])[O:43][CH2:44][c:45]1[cH:46][cH:47][cH:48][cH:49][cH:50]1
BKBNOJAMNMVBKA-CHQNGUEUSA-N	COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCCNC(=O)OC(C)(C)C)NC(=O)OCc1ccccc1>>CC(C)(C)OC(=O)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O	6	C[O:49][C:47]([C@@H:39]([NH:38][C:36]([C@@H:28]([NH:27][C:25]([C@H:13]([CH2:12][CH2:11][CH2:10][CH2:9][NH:8][C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[NH:14][C:15](=[O:16])[O:17][CH2:18][c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1)=[O:26])[CH2:29][c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1)=[O:37])[CH2:40][c:41]1[cH:42][cH:43][cH:44][cH:45][cH:46]1)=[O:48]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH2:9][CH2:10][CH2:11][CH2:12][C@H:13]([NH:14][C:15](=[O:16])[O:17][CH2:18][c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1)[C:25](=[O:26])[NH:27][C@@H:28]([CH2:29][c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1)[C:36](=[O:37])[NH:38][C@@H:39]([CH2:40][c:41]1[cH:42][cH:43][cH:44][cH:45][cH:46]1)[C:47](=[O:48])[OH:49]
BKBNOJAMNMVBKA-CHQNGUEUSA-N	CC(C)(C)OC(=O)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)ON1C(=O)CCC1=O.COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)Cc1ccccc1>>COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCCNC(=O)OC(C)(C)C)NC(=O)OCc1ccccc1	6	O=C1CCC(=O)N1O[C:25](=[O:26])[C@H:27]([CH2:28][CH2:29][CH2:30][CH2:31][NH:32][C:33](=[O:34])[O:35][C:36]([CH3:37])([CH3:38])[CH3:39])[NH:40][C:41](=[O:42])[O:43][CH2:44][c:45]1[cH:46][cH:47][cH:48][cH:49][cH:50]1.[CH3:1][O:2][C:3](=[O:4])[C@H:5]([CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1)[NH:13][C:14](=[O:15])[C@H:16]([CH2:17][c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1)[NH2:24]>>[CH3:1][O:2][C:3](=[O:4])[C@H:5]([CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1)[NH:13][C:14](=[O:15])[C@H:16]([CH2:17][c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1)[NH:24][C:25](=[O:26])[C@H:27]([CH2:28][CH2:29][CH2:30][CH2:31][NH:32][C:33](=[O:34])[O:35][C:36]([CH3:37])([CH3:38])[CH3:39])[NH:40][C:41](=[O:42])[O:43][CH2:44][c:45]1[cH:46][cH:47][cH:48][cH:49][cH:50]1
BKBNOJAMNMVBKA-CHQNGUEUSA-N	COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCCCNC(=O)OC(C)(C)C)NC(=O)OCc1ccccc1>>CC(C)(C)OC(=O)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O	7	C[O:49][C:47]([C@@H:39]([NH:38][C:36]([C@@H:28]([NH:27][C:25]([C@H:13]([CH2:12][CH2:11][CH2:10][CH2:9][NH:8][C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[NH:14][C:15](=[O:16])[O:17][CH2:18][c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1)=[O:26])[CH2:29][c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1)=[O:37])[CH2:40][c:41]1[cH:42][cH:43][cH:44][cH:45][cH:46]1)=[O:48]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH2:9][CH2:10][CH2:11][CH2:12][C@H:13]([NH:14][C:15](=[O:16])[O:17][CH2:18][c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1)[C:25](=[O:26])[NH:27][C@@H:28]([CH2:29][c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1)[C:36](=[O:37])[NH:38][C@@H:39]([CH2:40][c:41]1[cH:42][cH:43][cH:44][cH:45][cH:46]1)[C:47](=[O:48])[OH:49]
