tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
BSHFCWWTFQFTPC-UHFFFAOYSA-N	Nc1cc(Cl)c(I)c(Cl)c1.Nc1nc(Cl)n[nH]1>>Nc1nc(Nc2cc(Cl)c(I)c(Cl)c2)n[nH]1	1	[NH2:5][c:6]1[cH:7][c:8]([Cl:9])[c:10]([I:11])[c:12]([Cl:13])[cH:14]1.Cl[c:4]1[n:3][c:2]([NH2:1])[nH:16][n:15]1>>[NH2:1][c:2]1[n:3][c:4]([NH:5][c:6]2[cH:7][c:8]([Cl:9])[c:10]([I:11])[c:12]([Cl:13])[cH:14]2)[n:15][nH:16]1
BSHFCWWTFQFTPC-UHFFFAOYSA-N	C#CC(C)(C)C.Nc1nc(Nc2cc(Cl)c(I)c(Cl)c2)n[nH]1>>CC(C)(C)C#Cc1c(Cl)cc(Nc2n[nH]c(N)n2)cc1Cl	1	[CH3:1][C:2]([CH3:3])([CH3:4])[C:5]#[CH:6].I[c:7]1[c:8]([Cl:9])[cH:10][c:11]([NH:12][c:13]2[n:14][nH:15][c:16]([NH2:17])[n:18]2)[cH:19][c:20]1[Cl:21]>>[CH3:1][C:2]([CH3:3])([CH3:4])[C:5]#[C:6][c:7]1[c:8]([Cl:9])[cH:10][c:11]([NH:12][c:13]2[n:14][nH:15][c:16]([NH2:17])[n:18]2)[cH:19][c:20]1[Cl:21]
BSHFCWWTFQFTPC-UHFFFAOYSA-N	C#CC(C)(C)C.CC(C)(C)C(=O)Nc1nc(Nc2cc(Cl)c(I)c(Cl)c2)n[nH]1>>CC(C)(C)C#Cc1c(Cl)cc(Nc2n[nH]c(NC(=O)C(C)(C)C)n2)cc1Cl	2	[CH3:1][C:2]([CH3:3])([CH3:4])[C:5]#[CH:6].I[c:7]1[c:8]([Cl:9])[cH:10][c:11]([NH:12][c:13]2[n:14][nH:15][c:16]([NH:17][C:18](=[O:19])[C:20]([CH3:21])([CH3:22])[CH3:23])[n:24]2)[cH:25][c:26]1[Cl:27]>>[CH3:1][C:2]([CH3:3])([CH3:4])[C:5]#[C:6][c:7]1[c:8]([Cl:9])[cH:10][c:11]([NH:12][c:13]2[n:14][nH:15][c:16]([NH:17][C:18](=[O:19])[C:20]([CH3:21])([CH3:22])[CH3:23])[n:24]2)[cH:25][c:26]1[Cl:27]
BSHFCWWTFQFTPC-UHFFFAOYSA-N	CC(C)(C)C#Cc1c(Cl)cc(Nc2n[nH]c(NC(=O)C(C)(C)C)n2)cc1Cl>>CC(C)(C)C#Cc1c(Cl)cc(Nc2n[nH]c(N)n2)cc1Cl	2	CC(C)(C)C(=O)[NH:17][c:16]1[nH:15][n:14][c:13]([NH:12][c:11]2[cH:10][c:8]([Cl:9])[c:7]([C:6]#[C:5][C:2]([CH3:1])([CH3:3])[CH3:4])[c:20]([Cl:21])[cH:19]2)[n:18]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[C:5]#[C:6][c:7]1[c:8]([Cl:9])[cH:10][c:11]([NH:12][c:13]2[n:14][nH:15][c:16]([NH2:17])[n:18]2)[cH:19][c:20]1[Cl:21]
BSHFCWWTFQFTPC-UHFFFAOYSA-N	Nc1cc(Cl)c(I)c(Cl)c1.Nc1nc(Cl)n[nH]1>>Nc1nc(Nc2cc(Cl)c(I)c(Cl)c2)n[nH]1	2	[NH2:5][c:6]1[cH:7][c:8]([Cl:9])[c:10]([I:11])[c:12]([Cl:13])[cH:14]1.Cl[c:4]1[n:3][c:2]([NH2:1])[nH:16][n:15]1>>[NH2:1][c:2]1[n:3][c:4]([NH:5][c:6]2[cH:7][c:8]([Cl:9])[c:10]([I:11])[c:12]([Cl:13])[cH:14]2)[n:15][nH:16]1
BSHFCWWTFQFTPC-UHFFFAOYSA-N	CC(C)(C)C(=O)Cl.Nc1nc(Nc2cc(Cl)c(I)c(Cl)c2)n[nH]1>>CC(C)(C)C(=O)Nc1nc(Nc2cc(Cl)c(I)c(Cl)c2)n[nH]1	2	Cl[C:5]([C:2]([CH3:1])([CH3:3])[CH3:4])=[O:6].[NH2:7][c:8]1[n:9][c:10]([NH:11][c:12]2[cH:13][c:14]([Cl:15])[c:16]([I:17])[c:18]([Cl:19])[cH:20]2)[n:21][nH:22]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[C:5](=[O:6])[NH:7][c:8]1[n:9][c:10]([NH:11][c:12]2[cH:13][c:14]([Cl:15])[c:16]([I:17])[c:18]([Cl:19])[cH:20]2)[n:21][nH:22]1
BSHFCWWTFQFTPC-UHFFFAOYSA-N	C#CC(C)(C)C.CC(C)(C)C(=O)Nc1nc(Nc2cc(Cl)c(I)c(Cl)c2)n[nH]1>>CC(C)(C)C#Cc1c(Cl)cc(Nc2n[nH]c(NC(=O)C(C)(C)C)n2)cc1Cl	3	[CH3:1][C:2]([CH3:3])([CH3:4])[C:5]#[CH:6].I[c:7]1[c:8]([Cl:9])[cH:10][c:11]([NH:12][c:13]2[n:14][nH:15][c:16]([NH:17][C:18](=[O:19])[C:20]([CH3:21])([CH3:22])[CH3:23])[n:24]2)[cH:25][c:26]1[Cl:27]>>[CH3:1][C:2]([CH3:3])([CH3:4])[C:5]#[C:6][c:7]1[c:8]([Cl:9])[cH:10][c:11]([NH:12][c:13]2[n:14][nH:15][c:16]([NH:17][C:18](=[O:19])[C:20]([CH3:21])([CH3:22])[CH3:23])[n:24]2)[cH:25][c:26]1[Cl:27]
BSHFCWWTFQFTPC-UHFFFAOYSA-N	CC(C)(C)C(=O)O.Nc1nc(Nc2cc(Cl)c(I)c(Cl)c2)n[nH]1>>CC(C)(C)C(=O)Nc1nc(Nc2cc(Cl)c(I)c(Cl)c2)n[nH]1	3	O[C:5]([C:2]([CH3:1])([CH3:3])[CH3:4])=[O:6].[NH2:7][c:8]1[n:9][c:10]([NH:11][c:12]2[cH:13][c:14]([Cl:15])[c:16]([I:17])[c:18]([Cl:19])[cH:20]2)[n:21][nH:22]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[C:5](=[O:6])[NH:7][c:8]1[n:9][c:10]([NH:11][c:12]2[cH:13][c:14]([Cl:15])[c:16]([I:17])[c:18]([Cl:19])[cH:20]2)[n:21][nH:22]1
BSHFCWWTFQFTPC-UHFFFAOYSA-N	CC(C)(C)C#Cc1c(Cl)cc(Nc2n[nH]c(NC(=O)C(C)(C)C)n2)cc1Cl>>CC(C)(C)C#Cc1c(Cl)cc(Nc2n[nH]c(N)n2)cc1Cl	3	CC(C)(C)C(=O)[NH:17][c:16]1[nH:15][n:14][c:13]([NH:12][c:11]2[cH:10][c:8]([Cl:9])[c:7]([C:6]#[C:5][C:2]([CH3:1])([CH3:3])[CH3:4])[c:20]([Cl:21])[cH:19]2)[n:18]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[C:5]#[C:6][c:7]1[c:8]([Cl:9])[cH:10][c:11]([NH:12][c:13]2[n:14][nH:15][c:16]([NH2:17])[n:18]2)[cH:19][c:20]1[Cl:21]
BSHFCWWTFQFTPC-UHFFFAOYSA-N	Nc1cc(Cl)c(I)c(Cl)c1.Nc1nc(Cl)n[nH]1>>Nc1nc(Nc2cc(Cl)c(I)c(Cl)c2)n[nH]1	3	[NH2:5][c:6]1[cH:7][c:8]([Cl:9])[c:10]([I:11])[c:12]([Cl:13])[cH:14]1.Cl[c:4]1[n:3][c:2]([NH2:1])[nH:16][n:15]1>>[NH2:1][c:2]1[n:3][c:4]([NH:5][c:6]2[cH:7][c:8]([Cl:9])[c:10]([I:11])[c:12]([Cl:13])[cH:14]2)[n:15][nH:16]1
