tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
BYXNPBBWWSOSDA-VWLOTQADSA-N	CCOC(=O)C(=O)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1>>CCOC(=O)[C@@H](O)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1	1	[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6](=[O:7])[c:8]1[c:9]([CH3:10])[n:11][c:12]([CH3:13])[c:14]([Br:15])[c:16]1[N:17]1[CH2:18][CH2:19][C:20]([CH3:21])([CH3:22])[CH2:23][CH2:24]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C@@H:6]([OH:7])[c:8]1[c:9]([CH3:10])[n:11][c:12]([CH3:13])[c:14]([Br:15])[c:16]1[N:17]1[CH2:18][CH2:19][C:20]([CH3:21])([CH3:22])[CH2:23][CH2:24]1
BYXNPBBWWSOSDA-VWLOTQADSA-N	CC1(C)OB(c2ccc(O)cc2)OC1(C)C.CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1>>CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)nc(C)c(-c2ccc(O)cc2)c1N1CCC(C)(C)CC1	1	CC1(C)OB([c:19]2[cH:20][cH:21][c:22]([OH:23])[cH:24][cH:25]2)OC1(C)C.Br[c:18]1[c:16]([CH3:17])[n:15][c:13]([CH3:14])[c:12]([C@@H:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])[O:7][C:8]([CH3:9])([CH3:10])[CH3:11])[c:26]1[N:27]1[CH2:28][CH2:29][C:30]([CH3:31])([CH3:32])[CH2:33][CH2:34]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C@@H:6]([O:7][C:8]([CH3:9])([CH3:10])[CH3:11])[c:12]1[c:13]([CH3:14])[n:15][c:16]([CH3:17])[c:18](-[c:19]2[cH:20][cH:21][c:22]([OH:23])[cH:24][cH:25]2)[c:26]1[N:27]1[CH2:28][CH2:29][C:30]([CH3:31])([CH3:32])[CH2:33][CH2:34]1
BYXNPBBWWSOSDA-VWLOTQADSA-N	CC1(C)CCNCC1.CCOC(=O)C(=O)c1c(C)nc(C)c(Br)c1Cl>>CCOC(=O)C(=O)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1	1	[NH:17]1[CH2:18][CH2:19][C:20]([CH3:21])([CH3:22])[CH2:23][CH2:24]1.Cl[c:16]1[c:8]([C:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])=[O:7])[c:9]([CH3:10])[n:11][c:12]([CH3:13])[c:14]1[Br:15]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6](=[O:7])[c:8]1[c:9]([CH3:10])[n:11][c:12]([CH3:13])[c:14]([Br:15])[c:16]1[N:17]1[CH2:18][CH2:19][C:20]([CH3:21])([CH3:22])[CH2:23][CH2:24]1
BYXNPBBWWSOSDA-VWLOTQADSA-N	C=C(C)C.CCOC(=O)[C@@H](O)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1>>CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1	1	[C:8](=[CH2:9])([CH3:10])[CH3:11].[CH3:1][CH2:2][O:3][C:4](=[O:5])[C@@H:6]([OH:7])[c:12]1[c:13]([CH3:14])[n:15][c:16]([CH3:17])[c:18]([Br:19])[c:20]1[N:21]1[CH2:22][CH2:23][C:24]([CH3:25])([CH3:26])[CH2:27][CH2:28]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C@@H:6]([O:7][C:8]([CH3:9])([CH3:10])[CH3:11])[c:12]1[c:13]([CH3:14])[n:15][c:16]([CH3:17])[c:18]([Br:19])[c:20]1[N:21]1[CH2:22][CH2:23][C:24]([CH3:25])([CH3:26])[CH2:27][CH2:28]1
BYXNPBBWWSOSDA-VWLOTQADSA-N	CCOC(=O)C(=O)Cl.Cc1nc(C)c(Br)c(Cl)c1Br>>CCOC(=O)C(=O)c1c(C)nc(C)c(Br)c1Cl	1	Cl[C:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])=[O:7].Br[c:8]1[c:9]([CH3:10])[n:11][c:12]([CH3:13])[c:14]([Br:15])[c:16]1[Cl:17]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6](=[O:7])[c:8]1[c:9]([CH3:10])[n:11][c:12]([CH3:13])[c:14]([Br:15])[c:16]1[Cl:17]
BYXNPBBWWSOSDA-VWLOTQADSA-N	CCOC(=O)C(=O)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1>>CCOC(=O)[C@@H](O)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1	2	[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6](=[O:7])[c:8]1[c:9]([CH3:10])[n:11][c:12]([CH3:13])[c:14]([Br:15])[c:16]1[N:17]1[CH2:18][CH2:19][C:20]([CH3:21])([CH3:22])[CH2:23][CH2:24]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C@@H:6]([OH:7])[c:8]1[c:9]([CH3:10])[n:11][c:12]([CH3:13])[c:14]([Br:15])[c:16]1[N:17]1[CH2:18][CH2:19][C:20]([CH3:21])([CH3:22])[CH2:23][CH2:24]1
BYXNPBBWWSOSDA-VWLOTQADSA-N	CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1.OB(O)c1ccc(O)cc1>>CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)nc(C)c(-c2ccc(O)cc2)c1N1CCC(C)(C)CC1	2	Br[c:18]1[c:16]([CH3:17])[n:15][c:13]([CH3:14])[c:12]([C@@H:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])[O:7][C:8]([CH3:9])([CH3:10])[CH3:11])[c:26]1[N:27]1[CH2:28][CH2:29][C:30]([CH3:31])([CH3:32])[CH2:33][CH2:34]1.OB(O)[c:19]1[cH:20][cH:21][c:22]([OH:23])[cH:24][cH:25]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C@@H:6]([O:7][C:8]([CH3:9])([CH3:10])[CH3:11])[c:12]1[c:13]([CH3:14])[n:15][c:16]([CH3:17])[c:18](-[c:19]2[cH:20][cH:21][c:22]([OH:23])[cH:24][cH:25]2)[c:26]1[N:27]1[CH2:28][CH2:29][C:30]([CH3:31])([CH3:32])[CH2:33][CH2:34]1
BYXNPBBWWSOSDA-VWLOTQADSA-N	CC1(C)CCNCC1.CCOC(=O)C(=O)c1c(C)nc(C)c(Br)c1Cl>>CCOC(=O)C(=O)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1	2	[NH:17]1[CH2:18][CH2:19][C:20]([CH3:21])([CH3:22])[CH2:23][CH2:24]1.Cl[c:16]1[c:8]([C:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])=[O:7])[c:9]([CH3:10])[n:11][c:12]([CH3:13])[c:14]1[Br:15]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6](=[O:7])[c:8]1[c:9]([CH3:10])[n:11][c:12]([CH3:13])[c:14]([Br:15])[c:16]1[N:17]1[CH2:18][CH2:19][C:20]([CH3:21])([CH3:22])[CH2:23][CH2:24]1
BYXNPBBWWSOSDA-VWLOTQADSA-N	C=C(C)C.CCOC(=O)[C@@H](O)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1>>CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1	2	[C:8](=[CH2:9])([CH3:10])[CH3:11].[CH3:1][CH2:2][O:3][C:4](=[O:5])[C@@H:6]([OH:7])[c:12]1[c:13]([CH3:14])[n:15][c:16]([CH3:17])[c:18]([Br:19])[c:20]1[N:21]1[CH2:22][CH2:23][C:24]([CH3:25])([CH3:26])[CH2:27][CH2:28]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C@@H:6]([O:7][C:8]([CH3:9])([CH3:10])[CH3:11])[c:12]1[c:13]([CH3:14])[n:15][c:16]([CH3:17])[c:18]([Br:19])[c:20]1[N:21]1[CH2:22][CH2:23][C:24]([CH3:25])([CH3:26])[CH2:27][CH2:28]1
BYXNPBBWWSOSDA-VWLOTQADSA-N	CCOC(=O)C(=O)Cl.Cc1nc(C)c(Br)c(Cl)c1Br>>CCOC(=O)C(=O)c1c(C)nc(C)c(Br)c1Cl	2	Cl[C:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])=[O:7].Br[c:8]1[c:9]([CH3:10])[n:11][c:12]([CH3:13])[c:14]([Br:15])[c:16]1[Cl:17]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6](=[O:7])[c:8]1[c:9]([CH3:10])[n:11][c:12]([CH3:13])[c:14]([Br:15])[c:16]1[Cl:17]
