tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
CWOFQJBATWQSHL-DEOSSOPVSA-N	BrCCCBr.Cc1ccc2c(n1)NCCC2>>BrCCCCc1ccc2c(n1)NCCC2	1	Br[CH2:4][CH2:3][CH2:2][Br:1].[CH3:5][c:6]1[cH:7][cH:8][c:9]2[c:10]([n:11]1)[NH:12][CH2:13][CH2:14][CH2:15]2>>[Br:1][CH2:2][CH2:3][CH2:4][CH2:5][c:6]1[cH:7][cH:8][c:9]2[c:10]([n:11]1)[NH:12][CH2:13][CH2:14][CH2:15]2
CWOFQJBATWQSHL-DEOSSOPVSA-N	COCCBr.O=C(O)[C@H](CCNCCCCc1ccc2c(n1)NCCC2)Nc1ncnc2ccccc12>>COCCN(CCCCc1ccc2c(n1)NCCC2)CC[C@H](Nc1ncnc2ccccc12)C(=O)O	1	Br[CH2:4][CH2:3][O:2][CH3:1].[NH:5]([CH2:6][CH2:7][CH2:8][CH2:9][c:10]1[cH:11][cH:12][c:13]2[c:14]([n:15]1)[NH:16][CH2:17][CH2:18][CH2:19]2)[CH2:20][CH2:21][C@H:22]([NH:23][c:24]1[n:25][cH:26][n:27][c:28]2[cH:29][cH:30][cH:31][cH:32][c:33]12)[C:34](=[O:35])[OH:36]>>[CH3:1][O:2][CH2:3][CH2:4][N:5]([CH2:6][CH2:7][CH2:8][CH2:9][c:10]1[cH:11][cH:12][c:13]2[c:14]([n:15]1)[NH:16][CH2:17][CH2:18][CH2:19]2)[CH2:20][CH2:21][C@H:22]([NH:23][c:24]1[n:25][cH:26][n:27][c:28]2[cH:29][cH:30][cH:31][cH:32][c:33]12)[C:34](=[O:35])[OH:36]
CWOFQJBATWQSHL-DEOSSOPVSA-N	BrCCCCc1ccc2c(n1)NCCC2.NCC[C@H](N)C(=O)O>>N[C@@H](CCNCCCCc1ccc2c(n1)NCCC2)C(=O)O	1	Br[CH2:6][CH2:7][CH2:8][CH2:9][c:10]1[cH:11][cH:12][c:13]2[c:14]([n:15]1)[NH:16][CH2:17][CH2:18][CH2:19]2.[NH2:1][C@@H:2]([CH2:3][CH2:4][NH2:5])[C:20](=[O:21])[OH:22]>>[NH2:1][C@@H:2]([CH2:3][CH2:4][NH:5][CH2:6][CH2:7][CH2:8][CH2:9][c:10]1[cH:11][cH:12][c:13]2[c:14]([n:15]1)[NH:16][CH2:17][CH2:18][CH2:19]2)[C:20](=[O:21])[OH:22]
CWOFQJBATWQSHL-DEOSSOPVSA-N	Clc1ncnc2ccccc12.N[C@@H](CCNCCCCc1ccc2c(n1)NCCC2)C(=O)O>>O=C(O)[C@H](CCNCCCCc1ccc2c(n1)NCCC2)Nc1ncnc2ccccc12	1	Cl[c:23]1[n:24][cH:25][n:26][c:27]2[cH:28][cH:29][cH:30][cH:31][c:32]12.[O:1]=[C:2]([OH:3])[C@H:4]([CH2:5][CH2:6][NH:7][CH2:8][CH2:9][CH2:10][CH2:11][c:12]1[cH:13][cH:14][c:15]2[c:16]([n:17]1)[NH:18][CH2:19][CH2:20][CH2:21]2)[NH2:22]>>[O:1]=[C:2]([OH:3])[C@H:4]([CH2:5][CH2:6][NH:7][CH2:8][CH2:9][CH2:10][CH2:11][c:12]1[cH:13][cH:14][c:15]2[c:16]([n:17]1)[NH:18][CH2:19][CH2:20][CH2:21]2)[NH:22][c:23]1[n:24][cH:25][n:26][c:27]2[cH:28][cH:29][cH:30][cH:31][c:32]12
CWOFQJBATWQSHL-DEOSSOPVSA-N	BrCCCBr.Cc1ccc2c(n1)NCCC2>>BrCCCCc1ccc2c(n1)NCCC2	2	Br[CH2:4][CH2:3][CH2:2][Br:1].[CH3:5][c:6]1[cH:7][cH:8][c:9]2[c:10]([n:11]1)[NH:12][CH2:13][CH2:14][CH2:15]2>>[Br:1][CH2:2][CH2:3][CH2:4][CH2:5][c:6]1[cH:7][cH:8][c:9]2[c:10]([n:11]1)[NH:12][CH2:13][CH2:14][CH2:15]2
CWOFQJBATWQSHL-DEOSSOPVSA-N	COCCCl.O=C(O)[C@H](CCNCCCCc1ccc2c(n1)NCCC2)Nc1ncnc2ccccc12>>COCCN(CCCCc1ccc2c(n1)NCCC2)CC[C@H](Nc1ncnc2ccccc12)C(=O)O	2	Cl[CH2:4][CH2:3][O:2][CH3:1].[NH:5]([CH2:6][CH2:7][CH2:8][CH2:9][c:10]1[cH:11][cH:12][c:13]2[c:14]([n:15]1)[NH:16][CH2:17][CH2:18][CH2:19]2)[CH2:20][CH2:21][C@H:22]([NH:23][c:24]1[n:25][cH:26][n:27][c:28]2[cH:29][cH:30][cH:31][cH:32][c:33]12)[C:34](=[O:35])[OH:36]>>[CH3:1][O:2][CH2:3][CH2:4][N:5]([CH2:6][CH2:7][CH2:8][CH2:9][c:10]1[cH:11][cH:12][c:13]2[c:14]([n:15]1)[NH:16][CH2:17][CH2:18][CH2:19]2)[CH2:20][CH2:21][C@H:22]([NH:23][c:24]1[n:25][cH:26][n:27][c:28]2[cH:29][cH:30][cH:31][cH:32][c:33]12)[C:34](=[O:35])[OH:36]
CWOFQJBATWQSHL-DEOSSOPVSA-N	BrCCCCc1ccc2c(n1)NCCC2.NCC[C@H](N)C(=O)O>>N[C@@H](CCNCCCCc1ccc2c(n1)NCCC2)C(=O)O	2	Br[CH2:6][CH2:7][CH2:8][CH2:9][c:10]1[cH:11][cH:12][c:13]2[c:14]([n:15]1)[NH:16][CH2:17][CH2:18][CH2:19]2.[NH2:1][C@@H:2]([CH2:3][CH2:4][NH2:5])[C:20](=[O:21])[OH:22]>>[NH2:1][C@@H:2]([CH2:3][CH2:4][NH:5][CH2:6][CH2:7][CH2:8][CH2:9][c:10]1[cH:11][cH:12][c:13]2[c:14]([n:15]1)[NH:16][CH2:17][CH2:18][CH2:19]2)[C:20](=[O:21])[OH:22]
CWOFQJBATWQSHL-DEOSSOPVSA-N	Clc1ncnc2ccccc12.N[C@@H](CCNCCCCc1ccc2c(n1)NCCC2)C(=O)O>>O=C(O)[C@H](CCNCCCCc1ccc2c(n1)NCCC2)Nc1ncnc2ccccc12	2	Cl[c:23]1[n:24][cH:25][n:26][c:27]2[cH:28][cH:29][cH:30][cH:31][c:32]12.[O:1]=[C:2]([OH:3])[C@H:4]([CH2:5][CH2:6][NH:7][CH2:8][CH2:9][CH2:10][CH2:11][c:12]1[cH:13][cH:14][c:15]2[c:16]([n:17]1)[NH:18][CH2:19][CH2:20][CH2:21]2)[NH2:22]>>[O:1]=[C:2]([OH:3])[C@H:4]([CH2:5][CH2:6][NH:7][CH2:8][CH2:9][CH2:10][CH2:11][c:12]1[cH:13][cH:14][c:15]2[c:16]([n:17]1)[NH:18][CH2:19][CH2:20][CH2:21]2)[NH:22][c:23]1[n:24][cH:25][n:26][c:27]2[cH:28][cH:29][cH:30][cH:31][c:32]12
CWOFQJBATWQSHL-DEOSSOPVSA-N	BrCCCBr.Cc1ccc2c(n1)NCCC2>>BrCCCCc1ccc2c(n1)NCCC2	3	Br[CH2:4][CH2:3][CH2:2][Br:1].[CH3:5][c:6]1[cH:7][cH:8][c:9]2[c:10]([n:11]1)[NH:12][CH2:13][CH2:14][CH2:15]2>>[Br:1][CH2:2][CH2:3][CH2:4][CH2:5][c:6]1[cH:7][cH:8][c:9]2[c:10]([n:11]1)[NH:12][CH2:13][CH2:14][CH2:15]2
CWOFQJBATWQSHL-DEOSSOPVSA-N	COCC(=O)N(CCCCc1ccc2c(n1)NCCC2)CC[C@H](Nc1ncnc2ccccc12)C(=O)O>>COCCN(CCCCc1ccc2c(n1)NCCC2)CC[C@H](Nc1ncnc2ccccc12)C(=O)O	3	O=[C:4]([CH2:3][O:2][CH3:1])[N:5]([CH2:6][CH2:7][CH2:8][CH2:9][c:10]1[cH:11][cH:12][c:13]2[c:14]([n:15]1)[NH:16][CH2:17][CH2:18][CH2:19]2)[CH2:20][CH2:21][C@H:22]([NH:23][c:24]1[n:25][cH:26][n:27][c:28]2[cH:29][cH:30][cH:31][cH:32][c:33]12)[C:34](=[O:35])[OH:36]>>[CH3:1][O:2][CH2:3][CH2:4][N:5]([CH2:6][CH2:7][CH2:8][CH2:9][c:10]1[cH:11][cH:12][c:13]2[c:14]([n:15]1)[NH:16][CH2:17][CH2:18][CH2:19]2)[CH2:20][CH2:21][C@H:22]([NH:23][c:24]1[n:25][cH:26][n:27][c:28]2[cH:29][cH:30][cH:31][cH:32][c:33]12)[C:34](=[O:35])[OH:36]
