tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
DCFDFJLOVJNYRX-UHFFFAOYSA-N	COC(=O)c1cc(C2OCCCO2)c2ccccc2c1>>OCc1cc(C2OCCCO2)c2ccccc2c1	1	CO[C:2](=[O:1])[c:3]1[cH:4][c:5]([CH:6]2[O:7][CH2:8][CH2:9][CH2:10][O:11]2)[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]2[cH:18]1>>[OH:1][CH2:2][c:3]1[cH:4][c:5]([CH:6]2[O:7][CH2:8][CH2:9][CH2:10][O:11]2)[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]2[cH:18]1
DCFDFJLOVJNYRX-UHFFFAOYSA-N	COC(=O)c1cc(C=O)c2ccccc2c1.OCCCO>>COC(=O)c1cc(C2OCCCO2)c2ccccc2c1	1	O=[CH:8][c:7]1[cH:6][c:5]([C:3]([O:2][CH3:1])=[O:4])[cH:20][c:19]2[c:14]1[cH:15][cH:16][cH:17][cH:18]2.[OH:9][CH2:10][CH2:11][CH2:12][OH:13]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([CH:8]2[O:9][CH2:10][CH2:11][CH2:12][O:13]2)[c:14]2[cH:15][cH:16][cH:17][cH:18][c:19]2[cH:20]1
DCFDFJLOVJNYRX-UHFFFAOYSA-N	CN(C)C=O.COC(=O)c1cc(Br)c2ccccc2c1>>COC(=O)c1cc(C=O)c2ccccc2c1	1	CN(C)[CH:8]=[O:9].Br[c:7]1[cH:6][c:5]([C:3]([O:2][CH3:1])=[O:4])[cH:16][c:15]2[c:10]1[cH:11][cH:12][cH:13][cH:14]2>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([CH:8]=[O:9])[c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]2[cH:16]1
DCFDFJLOVJNYRX-UHFFFAOYSA-N	COC(=O)c1cc(C2OCCCO2)c2ccccc2c1>>OCc1cc(C2OCCCO2)c2ccccc2c1	2	CO[C:2](=[O:1])[c:3]1[cH:4][c:5]([CH:6]2[O:7][CH2:8][CH2:9][CH2:10][O:11]2)[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]2[cH:18]1>>[OH:1][CH2:2][c:3]1[cH:4][c:5]([CH:6]2[O:7][CH2:8][CH2:9][CH2:10][O:11]2)[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]2[cH:18]1
DCFDFJLOVJNYRX-UHFFFAOYSA-N	COC(=O)c1cc(C=O)c2ccccc2c1.OCCCO>>COC(=O)c1cc(C2OCCCO2)c2ccccc2c1	2	O=[CH:8][c:7]1[cH:6][c:5]([C:3]([O:2][CH3:1])=[O:4])[cH:20][c:19]2[c:14]1[cH:15][cH:16][cH:17][cH:18]2.[OH:9][CH2:10][CH2:11][CH2:12][OH:13]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([CH:8]2[O:9][CH2:10][CH2:11][CH2:12][O:13]2)[c:14]2[cH:15][cH:16][cH:17][cH:18][c:19]2[cH:20]1
DCFDFJLOVJNYRX-UHFFFAOYSA-N	CN(C=O)c1ccccc1.COC(=O)c1cc(Br)c2ccccc2c1>>COC(=O)c1cc(C=O)c2ccccc2c1	2	CN(c1ccccc1)[CH:8]=[O:9].Br[c:7]1[cH:6][c:5]([C:3]([O:2][CH3:1])=[O:4])[cH:16][c:15]2[c:10]1[cH:11][cH:12][cH:13][cH:14]2>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([CH:8]=[O:9])[c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]2[cH:16]1
DCFDFJLOVJNYRX-UHFFFAOYSA-N	O=Cc1cc(Br)cc2ccccc12.OCCCO>>Brc1cc(C2OCCCO2)c2ccccc2c1	3	[Br:1][c:2]1[cH:3][c:4]([CH:5]=[O:10])[c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[cH:17]1.O[CH2:9][CH2:8][CH2:7][OH:6]>>[Br:1][c:2]1[cH:3][c:4]([CH:5]2[O:6][CH2:7][CH2:8][CH2:9][O:10]2)[c:11]2[cH:12][cH:13][cH:14][cH:15][c:16]2[cH:17]1
DCFDFJLOVJNYRX-UHFFFAOYSA-N	Brc1cc(C2OCCCO2)c2ccccc2c1.COC(=O)Cl>>COC(=O)c1cc(C2OCCCO2)c2ccccc2c1	3	Br[c:5]1[cH:6][c:7]([CH:8]2[O:9][CH2:10][CH2:11][CH2:12][O:13]2)[c:14]2[cH:15][cH:16][cH:17][cH:18][c:19]2[cH:20]1.Cl[C:3]([O:2][CH3:1])=[O:4]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([CH:8]2[O:9][CH2:10][CH2:11][CH2:12][O:13]2)[c:14]2[cH:15][cH:16][cH:17][cH:18][c:19]2[cH:20]1
DCFDFJLOVJNYRX-UHFFFAOYSA-N	COC(=O)c1cc(C2OCCCO2)c2ccccc2c1>>OCc1cc(C2OCCCO2)c2ccccc2c1	3	CO[C:2](=[O:1])[c:3]1[cH:4][c:5]([CH:6]2[O:7][CH2:8][CH2:9][CH2:10][O:11]2)[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]2[cH:18]1>>[OH:1][CH2:2][c:3]1[cH:4][c:5]([CH:6]2[O:7][CH2:8][CH2:9][CH2:10][O:11]2)[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]2[cH:18]1
DCFDFJLOVJNYRX-UHFFFAOYSA-N	Brc1cc(Br)c2ccccc2c1>>O=Cc1cc(Br)cc2ccccc12	3	Br[c:3]1[cH:4][c:5]([Br:6])[cH:7][c:8]2[cH:9][cH:2][cH:11][cH:12][c:13]12>>[O:1]=[CH:2][c:3]1[cH:4][c:5]([Br:6])[cH:7][c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]12
