tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
DKZPZLQEPJOONY-UHFFFAOYSA-N	CC(C)(C)OC(=O)NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O.NCCO.O=C(O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)NCCO)c1ccc(Oc2ccc(Cl)cc2)cc1	1	CC(C)(C)OC(=O)[NH:3][CH:4]([CH2:5][c:6]1[cH:7][cH:8][c:9]([O:10][C:11]([F:12])([F:13])[F:14])[cH:15][cH:16]1)[C:17](O)=[O:18].[NH2:19][CH2:20][CH2:21][OH:22].O[C:2](=[O:1])[c:23]1[cH:24][cH:25][c:26]([O:27][c:28]2[cH:29][cH:30][c:31]([Cl:32])[cH:33][cH:34]2)[cH:35][cH:36]1>>[O:1]=[C:2]([NH:3][CH:4]([CH2:5][c:6]1[cH:7][cH:8][c:9]([O:10][C:11]([F:12])([F:13])[F:14])[cH:15][cH:16]1)[C:17](=[O:18])[NH:19][CH2:20][CH2:21][OH:22])[c:23]1[cH:24][cH:25][c:26]([O:27][c:28]2[cH:29][cH:30][c:31]([Cl:32])[cH:33][cH:34]2)[cH:35][cH:36]1
DKZPZLQEPJOONY-UHFFFAOYSA-N	NCCO.O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)NCCO)c1ccc(Oc2ccc(Cl)cc2)cc1	2	[NH2:19][CH2:20][CH2:21][OH:22].[O:1]1[C:2]([c:23]2[cH:24][cH:25][c:26]([O:27][c:28]3[cH:29][cH:30][c:31]([Cl:32])[cH:33][cH:34]3)[cH:35][cH:36]2)=[N:3][CH:4]([CH2:5][c:6]2[cH:7][cH:8][c:9]([O:10][C:11]([F:12])([F:13])[F:14])[cH:15][cH:16]2)[C:17]1=[O:18]>>[O:1]=[C:2]([NH:3][CH:4]([CH2:5][c:6]1[cH:7][cH:8][c:9]([O:10][C:11]([F:12])([F:13])[F:14])[cH:15][cH:16]1)[C:17](=[O:18])[NH:19][CH2:20][CH2:21][OH:22])[c:23]1[cH:24][cH:25][c:26]([O:27][c:28]2[cH:29][cH:30][c:31]([Cl:32])[cH:33][cH:34]2)[cH:35][cH:36]1
DKZPZLQEPJOONY-UHFFFAOYSA-N	O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1	2	O=[C:4]([c:5]1[cH:6][cH:7][c:8]([O:9][c:10]2[cH:11][cH:12][c:13]([Cl:14])[cH:15][cH:16]2)[cH:17][cH:18]1)[NH:19][CH:20]([C:2](=[O:1])[OH:3])[CH2:21][c:22]1[cH:23][cH:24][c:25]([O:26][C:27]([F:28])([F:29])[F:30])[cH:31][cH:32]1>>[O:1]=[C:2]1[O:3][C:4]([c:5]2[cH:6][cH:7][c:8]([O:9][c:10]3[cH:11][cH:12][c:13]([Cl:14])[cH:15][cH:16]3)[cH:17][cH:18]2)=[N:19][CH:20]1[CH2:21][c:22]1[cH:23][cH:24][c:25]([O:26][C:27]([F:28])([F:29])[F:30])[cH:31][cH:32]1
DKZPZLQEPJOONY-UHFFFAOYSA-N	NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O.O=C(O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1	2	[NH2:3][CH:4]([CH2:5][c:6]1[cH:7][cH:8][c:9]([O:10][C:11]([F:12])([F:13])[F:14])[cH:15][cH:16]1)[C:17](=[O:18])[OH:19].O[C:2](=[O:1])[c:20]1[cH:21][cH:22][c:23]([O:24][c:25]2[cH:26][cH:27][c:28]([Cl:29])[cH:30][cH:31]2)[cH:32][cH:33]1>>[O:1]=[C:2]([NH:3][CH:4]([CH2:5][c:6]1[cH:7][cH:8][c:9]([O:10][C:11]([F:12])([F:13])[F:14])[cH:15][cH:16]1)[C:17](=[O:18])[OH:19])[c:20]1[cH:21][cH:22][c:23]([O:24][c:25]2[cH:26][cH:27][c:28]([Cl:29])[cH:30][cH:31]2)[cH:32][cH:33]1
DKZPZLQEPJOONY-UHFFFAOYSA-N	NCCO.O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)NCCO)c1ccc(Oc2ccc(Cl)cc2)cc1	3	[NH2:19][CH2:20][CH2:21][OH:22].[O:1]1[C:2]([c:23]2[cH:24][cH:25][c:26]([O:27][c:28]3[cH:29][cH:30][c:31]([Cl:32])[cH:33][cH:34]3)[cH:35][cH:36]2)=[N:3][CH:4]([CH2:5][c:6]2[cH:7][cH:8][c:9]([O:10][C:11]([F:12])([F:13])[F:14])[cH:15][cH:16]2)[C:17]1=[O:18]>>[O:1]=[C:2]([NH:3][CH:4]([CH2:5][c:6]1[cH:7][cH:8][c:9]([O:10][C:11]([F:12])([F:13])[F:14])[cH:15][cH:16]1)[C:17](=[O:18])[NH:19][CH2:20][CH2:21][OH:22])[c:23]1[cH:24][cH:25][c:26]([O:27][c:28]2[cH:29][cH:30][c:31]([Cl:32])[cH:33][cH:34]2)[cH:35][cH:36]1
DKZPZLQEPJOONY-UHFFFAOYSA-N	O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1	3	O=[C:4]([c:5]1[cH:6][cH:7][c:8]([O:9][c:10]2[cH:11][cH:12][c:13]([Cl:14])[cH:15][cH:16]2)[cH:17][cH:18]1)[NH:19][CH:20]([C:2](=[O:1])[OH:3])[CH2:21][c:22]1[cH:23][cH:24][c:25]([O:26][C:27]([F:28])([F:29])[F:30])[cH:31][cH:32]1>>[O:1]=[C:2]1[O:3][C:4]([c:5]2[cH:6][cH:7][c:8]([O:9][c:10]3[cH:11][cH:12][c:13]([Cl:14])[cH:15][cH:16]3)[cH:17][cH:18]2)=[N:19][CH:20]1[CH2:21][c:22]1[cH:23][cH:24][c:25]([O:26][C:27]([F:28])([F:29])[F:30])[cH:31][cH:32]1
DKZPZLQEPJOONY-UHFFFAOYSA-N	COC(=O)C(N)Cc1ccc(OC(F)(F)F)cc1.O=C(O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1	3	C[O:19][C:17]([CH:4]([NH2:3])[CH2:5][c:6]1[cH:7][cH:8][c:9]([O:10][C:11]([F:12])([F:13])[F:14])[cH:15][cH:16]1)=[O:18].O[C:2](=[O:1])[c:20]1[cH:21][cH:22][c:23]([O:24][c:25]2[cH:26][cH:27][c:28]([Cl:29])[cH:30][cH:31]2)[cH:32][cH:33]1>>[O:1]=[C:2]([NH:3][CH:4]([CH2:5][c:6]1[cH:7][cH:8][c:9]([O:10][C:11]([F:12])([F:13])[F:14])[cH:15][cH:16]1)[C:17](=[O:18])[OH:19])[c:20]1[cH:21][cH:22][c:23]([O:24][c:25]2[cH:26][cH:27][c:28]([Cl:29])[cH:30][cH:31]2)[cH:32][cH:33]1
DKZPZLQEPJOONY-UHFFFAOYSA-N	NCCO.O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)NCCO)c1ccc(Oc2ccc(Cl)cc2)cc1	4	[NH2:19][CH2:20][CH2:21][OH:22].[O:1]1[C:2]([c:23]2[cH:24][cH:25][c:26]([O:27][c:28]3[cH:29][cH:30][c:31]([Cl:32])[cH:33][cH:34]3)[cH:35][cH:36]2)=[N:3][CH:4]([CH2:5][c:6]2[cH:7][cH:8][c:9]([O:10][C:11]([F:12])([F:13])[F:14])[cH:15][cH:16]2)[C:17]1=[O:18]>>[O:1]=[C:2]([NH:3][CH:4]([CH2:5][c:6]1[cH:7][cH:8][c:9]([O:10][C:11]([F:12])([F:13])[F:14])[cH:15][cH:16]1)[C:17](=[O:18])[NH:19][CH2:20][CH2:21][OH:22])[c:23]1[cH:24][cH:25][c:26]([O:27][c:28]2[cH:29][cH:30][c:31]([Cl:32])[cH:33][cH:34]2)[cH:35][cH:36]1
DKZPZLQEPJOONY-UHFFFAOYSA-N	O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1	4	O=[C:4]([c:5]1[cH:6][cH:7][c:8]([O:9][c:10]2[cH:11][cH:12][c:13]([Cl:14])[cH:15][cH:16]2)[cH:17][cH:18]1)[NH:19][CH:20]([C:2](=[O:1])[OH:3])[CH2:21][c:22]1[cH:23][cH:24][c:25]([O:26][C:27]([F:28])([F:29])[F:30])[cH:31][cH:32]1>>[O:1]=[C:2]1[O:3][C:4]([c:5]2[cH:6][cH:7][c:8]([O:9][c:10]3[cH:11][cH:12][c:13]([Cl:14])[cH:15][cH:16]3)[cH:17][cH:18]2)=[N:19][CH:20]1[CH2:21][c:22]1[cH:23][cH:24][c:25]([O:26][C:27]([F:28])([F:29])[F:30])[cH:31][cH:32]1
DKZPZLQEPJOONY-UHFFFAOYSA-N	O=C(O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(Cl)c1ccc(Oc2ccc(Cl)cc2)cc1	4	O[C:2](=[O:1])[c:4]1[cH:5][cH:6][c:7]([O:8][c:9]2[cH:10][cH:11][c:12]([Cl:3])[cH:14][cH:15]2)[cH:16][cH:17]1>>[O:1]=[C:2]([Cl:3])[c:4]1[cH:5][cH:6][c:7]([O:8][c:9]2[cH:10][cH:11][c:12]([Cl:13])[cH:14][cH:15]2)[cH:16][cH:17]1
