tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
DTIIKYOMQTYQAK-UHFFFAOYSA-N	CCOC(=O)C(C)(C)CCCCCCCCBr.NS(=O)(=O)c1ccc(Cl)cc1>>CCOC(=O)C(C)(C)CCCCCCCCNS(=O)(=O)c1ccc(Cl)cc1	1	Br[CH2:16][CH2:15][CH2:14][CH2:13][CH2:12][CH2:11][CH2:10][CH2:9][C:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])([CH3:7])[CH3:8].[NH2:17][S:18](=[O:19])(=[O:20])[c:21]1[cH:22][cH:23][c:24]([Cl:25])[cH:26][cH:27]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]([CH3:7])([CH3:8])[CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][NH:17][S:18](=[O:19])(=[O:20])[c:21]1[cH:22][cH:23][c:24]([Cl:25])[cH:26][cH:27]1
DTIIKYOMQTYQAK-UHFFFAOYSA-N	BrCCCCCCCCBr.CCOC(=O)C(C)C>>CCOC(=O)C(C)(C)CCCCCCCCBr	1	Br[CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][Br:17].[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]([CH3:7])[CH3:8]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]([CH3:7])([CH3:8])[CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][Br:17]
DTIIKYOMQTYQAK-UHFFFAOYSA-N	CCOC(=O)C(C)(C)CCCCCCCCN1C(=O)c2ccccc2C1=O>>CCOC(=O)C(C)(C)CCCCCCCCN	2	O=C1c2ccccc2C(=O)[N:17]1[CH2:16][CH2:15][CH2:14][CH2:13][CH2:12][CH2:11][CH2:10][CH2:9][C:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])([CH3:7])[CH3:8]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]([CH3:7])([CH3:8])[CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][NH2:17]
DTIIKYOMQTYQAK-UHFFFAOYSA-N	CCOC(=O)C(C)(C)CCCCCCCCBr.O=C1[N-]C(=O)c2ccccc21>>CCOC(=O)C(C)(C)CCCCCCCCN1C(=O)c2ccccc2C1=O	2	Br[CH2:16][CH2:15][CH2:14][CH2:13][CH2:12][CH2:11][CH2:10][CH2:9][C:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])([CH3:7])[CH3:8].[N-:17]1[C:18](=[O:19])[c:20]2[cH:21][cH:22][cH:23][cH:24][c:25]2[C:26]1=[O:27]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]([CH3:7])([CH3:8])[CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][N:17]1[C:18](=[O:19])[c:20]2[cH:21][cH:22][cH:23][cH:24][c:25]2[C:26]1=[O:27]
DTIIKYOMQTYQAK-UHFFFAOYSA-N	BrCCCCCCCCBr.CCOC(=O)C(C)C>>CCOC(=O)C(C)(C)CCCCCCCCBr	2	Br[CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][Br:17].[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]([CH3:7])[CH3:8]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]([CH3:7])([CH3:8])[CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][Br:17]
DTIIKYOMQTYQAK-UHFFFAOYSA-N	CCOC(=O)C(C)(C)CCCCCCCCN.O=S(=O)(Cl)c1ccc(Cl)cc1>>CCOC(=O)C(C)(C)CCCCCCCCNS(=O)(=O)c1ccc(Cl)cc1	2	[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]([CH3:7])([CH3:8])[CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][NH2:17].Cl[S:18](=[O:19])(=[O:20])[c:21]1[cH:22][cH:23][c:24]([Cl:25])[cH:26][cH:27]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]([CH3:7])([CH3:8])[CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][NH:17][S:18](=[O:19])(=[O:20])[c:21]1[cH:22][cH:23][c:24]([Cl:25])[cH:26][cH:27]1
DTIIKYOMQTYQAK-UHFFFAOYSA-N	CCOC(=O)C(C)(C)CCCCCCCCBr>>CCOC(=O)C(C)(C)CCCCCCCCN	3	Br[CH2:16][CH2:15][CH2:14][CH2:13][CH2:12][CH2:11][CH2:10][CH2:9][C:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])([CH3:7])[CH3:8]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]([CH3:7])([CH3:8])[CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][NH2:17]
DTIIKYOMQTYQAK-UHFFFAOYSA-N	BrCCCCCCCCBr.CCOC(=O)C(C)C>>CCOC(=O)C(C)(C)CCCCCCCCBr	3	Br[CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][Br:17].[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]([CH3:7])[CH3:8]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]([CH3:7])([CH3:8])[CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][Br:17]
DTIIKYOMQTYQAK-UHFFFAOYSA-N	CCOC(=O)C(C)(C)CCCCCCCCN.O=S(=O)(Cl)c1ccc(Cl)cc1>>CCOC(=O)C(C)(C)CCCCCCCCNS(=O)(=O)c1ccc(Cl)cc1	3	[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]([CH3:7])([CH3:8])[CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][NH2:17].Cl[S:18](=[O:19])(=[O:20])[c:21]1[cH:22][cH:23][c:24]([Cl:25])[cH:26][cH:27]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]([CH3:7])([CH3:8])[CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][NH:17][S:18](=[O:19])(=[O:20])[c:21]1[cH:22][cH:23][c:24]([Cl:25])[cH:26][cH:27]1
DTIIKYOMQTYQAK-UHFFFAOYSA-N	CCOC(=O)C(C)(C)CCCCCCCCN1C(=O)c2ccccc2C1=O>>CCOC(=O)C(C)(C)CCCCCCCCN	4	O=C1c2ccccc2C(=O)[N:17]1[CH2:16][CH2:15][CH2:14][CH2:13][CH2:12][CH2:11][CH2:10][CH2:9][C:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])([CH3:7])[CH3:8]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]([CH3:7])([CH3:8])[CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][NH2:17]
DTIIKYOMQTYQAK-UHFFFAOYSA-N	CCOC(=O)C(C)(C)CCCCCCCCBr.O=C1NC(=O)c2ccccc21>>CCOC(=O)C(C)(C)CCCCCCCCN1C(=O)c2ccccc2C1=O	4	Br[CH2:16][CH2:15][CH2:14][CH2:13][CH2:12][CH2:11][CH2:10][CH2:9][C:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])([CH3:7])[CH3:8].[NH:17]1[C:18](=[O:19])[c:20]2[cH:21][cH:22][cH:23][cH:24][c:25]2[C:26]1=[O:27]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]([CH3:7])([CH3:8])[CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][N:17]1[C:18](=[O:19])[c:20]2[cH:21][cH:22][cH:23][cH:24][c:25]2[C:26]1=[O:27]
DTIIKYOMQTYQAK-UHFFFAOYSA-N	BrCCCCCCCCBr.CCOC(=O)C(C)C>>CCOC(=O)C(C)(C)CCCCCCCCBr	4	Br[CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][Br:17].[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]([CH3:7])[CH3:8]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]([CH3:7])([CH3:8])[CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][Br:17]
DTIIKYOMQTYQAK-UHFFFAOYSA-N	CCOC(=O)C(C)(C)CCCCCCCCN.O=S(=O)(Cl)c1ccc(Cl)cc1>>CCOC(=O)C(C)(C)CCCCCCCCNS(=O)(=O)c1ccc(Cl)cc1	4	[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]([CH3:7])([CH3:8])[CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][NH2:17].Cl[S:18](=[O:19])(=[O:20])[c:21]1[cH:22][cH:23][c:24]([Cl:25])[cH:26][cH:27]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]([CH3:7])([CH3:8])[CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][NH:17][S:18](=[O:19])(=[O:20])[c:21]1[cH:22][cH:23][c:24]([Cl:25])[cH:26][cH:27]1
