tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
FHVMATOIMUHQRC-UHFFFAOYSA-N	BrC(Br)=Cc1ccccc1.CNC>>CN(C)C(=O)Cc1ccccc1	1	Br[C:4](Br)=[CH:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1.[CH3:1][NH:2][CH3:3]>>[CH3:1][N:2]([CH3:3])[C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1
FHVMATOIMUHQRC-UHFFFAOYSA-N	CNC.COC(=O)Cc1ccccc1>>CN(C)C(=O)Cc1ccccc1	2	[CH3:1][NH:2][CH3:3].CO[C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1>>[CH3:1][N:2]([CH3:3])[C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1
FHVMATOIMUHQRC-UHFFFAOYSA-N	CNC.O=C(Cl)Cc1ccccc1>>CN(C)C(=O)Cc1ccccc1	3	[CH3:1][NH:2][CH3:3].Cl[C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1>>[CH3:1][N:2]([CH3:3])[C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1
FHVMATOIMUHQRC-UHFFFAOYSA-N	CCOC(=O)Cc1ccccc1.CNC>>CN(C)C(=O)Cc1ccccc1	4	CCO[C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1.[CH3:1][NH:2][CH3:3]>>[CH3:1][N:2]([CH3:3])[C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1
FHVMATOIMUHQRC-UHFFFAOYSA-N	CCOC(=O)Cl.O=C([O-])Cc1ccccc1>>CCOC(=O)OC(=O)Cc1ccccc1	5	Cl[C:4]([O:3][CH2:2][CH3:1])=[O:5].[O-:6][C:7](=[O:8])[CH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[O:6][C:7](=[O:8])[CH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1
FHVMATOIMUHQRC-UHFFFAOYSA-N	CCOC(=O)OC(=O)Cc1ccccc1.CNC>>CN(C)C(=O)Cc1ccccc1	5	CCOC(=O)O[C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1.[CH3:1][NH:2][CH3:3]>>[CH3:1][N:2]([CH3:3])[C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1
FHVMATOIMUHQRC-UHFFFAOYSA-N	CCOC(=O)OC(=O)Cc1ccccc1.CNC>>CN(C)C(=O)Cc1ccccc1	6	CCOC(=O)O[C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1.[CH3:1][NH:2][CH3:3]>>[CH3:1][N:2]([CH3:3])[C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1
FHVMATOIMUHQRC-UHFFFAOYSA-N	CCOC(=O)Cl.O=C(O)Cc1ccccc1>>CCOC(=O)OC(=O)Cc1ccccc1	6	Cl[C:4]([O:3][CH2:2][CH3:1])=[O:5].[OH:6][C:7](=[O:8])[CH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[O:6][C:7](=[O:8])[CH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1
FHVMATOIMUHQRC-UHFFFAOYSA-N	CNC.O=C(O)Cc1ccccc1>>CN(C)C(=O)Cc1ccccc1	7	[CH3:1][NH:2][CH3:3].O[C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1>>[CH3:1][N:2]([CH3:3])[C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1
FHVMATOIMUHQRC-UHFFFAOYSA-N	CN(C)C(=S)Cc1ccccc1>>CN(C)C(=O)Cc1ccccc1	8	S=[C:4]([N:2]([CH3:1])[CH3:3])[CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1>>[CH3:1][N:2]([CH3:3])[C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1
FHVMATOIMUHQRC-UHFFFAOYSA-N	CN(C)C(=O)Cc1ccc(I)cc1>>CN(C)C(=O)Cc1ccccc1	9	I[c:10]1[cH:9][cH:8][c:7]([CH2:6][C:4]([N:2]([CH3:1])[CH3:3])=[O:5])[cH:12][cH:11]1>>[CH3:1][N:2]([CH3:3])[C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1
FHVMATOIMUHQRC-UHFFFAOYSA-N	CNC.COC(=O)Cc1ccc(I)cc1>>CN(C)C(=O)Cc1ccc(I)cc1	9	[CH3:1][NH:2][CH3:3].CO[C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][c:10]([I:11])[cH:12][cH:13]1>>[CH3:1][N:2]([CH3:3])[C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][c:10]([I:11])[cH:12][cH:13]1
FHVMATOIMUHQRC-UHFFFAOYSA-N	CN(C)C(=O)Cc1ccc(I)cc1>>CN(C)C(=O)Cc1ccccc1	10	I[c:10]1[cH:9][cH:8][c:7]([CH2:6][C:4]([N:2]([CH3:1])[CH3:3])=[O:5])[cH:12][cH:11]1>>[CH3:1][N:2]([CH3:3])[C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1
FHVMATOIMUHQRC-UHFFFAOYSA-N	CNC.O=C(Cl)Cc1ccc(I)cc1>>CN(C)C(=O)Cc1ccc(I)cc1	10	[CH3:1][NH:2][CH3:3].Cl[C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][c:10]([I:11])[cH:12][cH:13]1>>[CH3:1][N:2]([CH3:3])[C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][c:10]([I:11])[cH:12][cH:13]1
