tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
FUXDJXNPHSHGKZ-UHFFFAOYSA-N	CC(=O)Cc1ccc(O)c(Br)c1.COS(=O)(=O)OC>>COc1ccc(CC(C)=O)cc1Br	1	[OH:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][C:8]([CH3:9])=[O:10])[cH:11][c:12]1[Br:13].COS(=O)(=O)O[CH3:1]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][C:8]([CH3:9])=[O:10])[cH:11][c:12]1[Br:13]
FUXDJXNPHSHGKZ-UHFFFAOYSA-N	CC(=O)Cc1ccc(O)c(Br)c1.CI>>COc1ccc(CC(C)=O)cc1Br	2	[OH:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][C:8]([CH3:9])=[O:10])[cH:11][c:12]1[Br:13].I[CH3:1]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][C:8]([CH3:9])=[O:10])[cH:11][c:12]1[Br:13]
FUXDJXNPHSHGKZ-UHFFFAOYSA-N	COc1ccc(CC(=O)O)cc1Br.[Li]C>>COc1ccc(CC(C)=O)cc1Br	3	O[C:8]([CH2:7][c:6]1[cH:5][cH:4][c:3]([O:2][CH3:1])[c:12]([Br:13])[cH:11]1)=[O:10].[Li][CH3:9]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][C:8]([CH3:9])=[O:10])[cH:11][c:12]1[Br:13]
FUXDJXNPHSHGKZ-UHFFFAOYSA-N	C=C(C)OC(C)=O.COc1ccc(N)cc1Br>>COc1ccc(CC(C)=O)cc1Br	4	CC(=O)[O:10][C:8](=[CH2:7])[CH3:9].N[c:6]1[cH:5][cH:4][c:3]([O:2][CH3:1])[c:12]([Br:13])[cH:11]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][C:8]([CH3:9])=[O:10])[cH:11][c:12]1[Br:13]
FUXDJXNPHSHGKZ-UHFFFAOYSA-N	COc1ccc(CC#N)cc1Br.C[Mg]I>>COc1ccc(CC(C)=O)cc1Br	5	N#[C:8][CH2:7][c:6]1[cH:5][cH:4][c:3]([O:2][CH3:1])[c:12]([Br:13])[cH:11]1.I[Mg][CH3:9]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][C:8]([CH3:9])=[O:10])[cH:11][c:12]1[Br:13]
FUXDJXNPHSHGKZ-UHFFFAOYSA-N	CON(C)C(C)=O.COc1ccc(C)cc1Br>>COc1ccc(CC(C)=O)cc1Br	6	CON(C)[C:8]([CH3:9])=[O:10].[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH3:7])[cH:11][c:12]1[Br:13]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][C:8]([CH3:9])=[O:10])[cH:11][c:12]1[Br:13]
FUXDJXNPHSHGKZ-UHFFFAOYSA-N	CC(C)=O.COc1ccc(Cl)cc1Br>>COc1ccc(CC(C)=O)cc1Br	7	[CH3:7][C:8]([CH3:9])=[O:10].Cl[c:6]1[cH:5][cH:4][c:3]([O:2][CH3:1])[c:12]([Br:13])[cH:11]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][C:8]([CH3:9])=[O:10])[cH:11][c:12]1[Br:13]
FUXDJXNPHSHGKZ-UHFFFAOYSA-N	CC(C)=O.COc1ccc(I)cc1Br>>COc1ccc(CC(C)=O)cc1Br	8	[CH3:7][C:8]([CH3:9])=[O:10].I[c:6]1[cH:5][cH:4][c:3]([O:2][CH3:1])[c:12]([Br:13])[cH:11]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][C:8]([CH3:9])=[O:10])[cH:11][c:12]1[Br:13]
FUXDJXNPHSHGKZ-UHFFFAOYSA-N	C=C(C)OC(C)=O.COc1ccc(Br)cc1Br>>COc1ccc(CC(C)=O)cc1Br	9	CC(=O)[O:10][C:8](=[CH2:7])[CH3:9].Br[c:6]1[cH:5][cH:4][c:3]([O:2][CH3:1])[c:12]([Br:13])[cH:11]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][C:8]([CH3:9])=[O:10])[cH:11][c:12]1[Br:13]
FUXDJXNPHSHGKZ-UHFFFAOYSA-N	COc1ccc(C(C#N)C(C)=O)cc1Br>>COc1ccc(CC(C)=O)cc1Br	10	N#C[CH:7]([c:6]1[cH:5][cH:4][c:3]([O:2][CH3:1])[c:12]([Br:13])[cH:11]1)[C:8]([CH3:9])=[O:10]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][C:8]([CH3:9])=[O:10])[cH:11][c:12]1[Br:13]
FUXDJXNPHSHGKZ-UHFFFAOYSA-N	CCOC(C)=O.COc1ccc(CC#N)cc1Br>>COc1ccc(C(C#N)C(C)=O)cc1Br	10	CCO[C:10]([CH3:11])=[O:12].[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][C:8]#[N:9])[cH:13][c:14]1[Br:15]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH:7]([C:8]#[N:9])[C:10]([CH3:11])=[O:12])[cH:13][c:14]1[Br:15]
