tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
GTVLCHCOKLXHLY-UHFFFAOYSA-N	Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)OC(C)(C)C)C2>>Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCNC2	1	CC(C)(C)OC(=O)[N:24]1[CH2:23][CH2:22][c:20]2[c:19]([cH:18][cH:17][c:16]([O:15][CH2:14][c:13]3[c:2]([CH3:1])[o:3][n:4][c:5]3-[c:6]3[cH:7][cH:8][c:9]([F:10])[cH:11][cH:12]3)[n:21]2)[CH2:25]1>>[CH3:1][c:2]1[o:3][n:4][c:5](-[c:6]2[cH:7][cH:8][c:9]([F:10])[cH:11][cH:12]2)[c:13]1[CH2:14][O:15][c:16]1[cH:17][cH:18][c:19]2[c:20]([n:21]1)[CH2:22][CH2:23][NH:24][CH2:25]2
GTVLCHCOKLXHLY-UHFFFAOYSA-N	CS(=O)(=O)CC(=O)O.Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCNC2>>Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)CS(C)(=O)=O)C2	1	O[C:25](=[O:26])[CH2:27][S:28]([CH3:29])(=[O:30])=[O:31].[CH3:1][c:2]1[o:3][n:4][c:5](-[c:6]2[cH:7][cH:8][c:9]([F:10])[cH:11][cH:12]2)[c:13]1[CH2:14][O:15][c:16]1[cH:17][cH:18][c:19]2[c:20]([n:21]1)[CH2:22][CH2:23][NH:24][CH2:32]2>>[CH3:1][c:2]1[o:3][n:4][c:5](-[c:6]2[cH:7][cH:8][c:9]([F:10])[cH:11][cH:12]2)[c:13]1[CH2:14][O:15][c:16]1[cH:17][cH:18][c:19]2[c:20]([n:21]1)[CH2:22][CH2:23][N:24]([C:25](=[O:26])[CH2:27][S:28]([CH3:29])(=[O:30])=[O:31])[CH2:32]2
GTVLCHCOKLXHLY-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCc2nc(Br)ccc2C1.Cc1onc(-c2ccc(F)cc2)c1CO>>Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)OC(C)(C)C)C2	1	Br[c:16]1[cH:17][cH:18][c:19]2[c:20]([n:21]1)[CH2:22][CH2:23][N:24]([C:25](=[O:26])[O:27][C:28]([CH3:29])([CH3:30])[CH3:31])[CH2:32]2.[CH3:1][c:2]1[o:3][n:4][c:5](-[c:6]2[cH:7][cH:8][c:9]([F:10])[cH:11][cH:12]2)[c:13]1[CH2:14][OH:15]>>[CH3:1][c:2]1[o:3][n:4][c:5](-[c:6]2[cH:7][cH:8][c:9]([F:10])[cH:11][cH:12]2)[c:13]1[CH2:14][O:15][c:16]1[cH:17][cH:18][c:19]2[c:20]([n:21]1)[CH2:22][CH2:23][N:24]([C:25](=[O:26])[O:27][C:28]([CH3:29])([CH3:30])[CH3:31])[CH2:32]2
GTVLCHCOKLXHLY-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCc2nc(Cl)ccc2C1.Cc1onc(-c2ccc(F)cc2)c1CO>>Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)OC(C)(C)C)C2	2	Cl[c:16]1[cH:17][cH:18][c:19]2[c:20]([n:21]1)[CH2:22][CH2:23][N:24]([C:25](=[O:26])[O:27][C:28]([CH3:29])([CH3:30])[CH3:31])[CH2:32]2.[CH3:1][c:2]1[o:3][n:4][c:5](-[c:6]2[cH:7][cH:8][c:9]([F:10])[cH:11][cH:12]2)[c:13]1[CH2:14][OH:15]>>[CH3:1][c:2]1[o:3][n:4][c:5](-[c:6]2[cH:7][cH:8][c:9]([F:10])[cH:11][cH:12]2)[c:13]1[CH2:14][O:15][c:16]1[cH:17][cH:18][c:19]2[c:20]([n:21]1)[CH2:22][CH2:23][N:24]([C:25](=[O:26])[O:27][C:28]([CH3:29])([CH3:30])[CH3:31])[CH2:32]2
GTVLCHCOKLXHLY-UHFFFAOYSA-N	Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)OC(C)(C)C)C2>>Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCNC2	2	CC(C)(C)OC(=O)[N:24]1[CH2:23][CH2:22][c:20]2[c:19]([cH:18][cH:17][c:16]([O:15][CH2:14][c:13]3[c:2]([CH3:1])[o:3][n:4][c:5]3-[c:6]3[cH:7][cH:8][c:9]([F:10])[cH:11][cH:12]3)[n:21]2)[CH2:25]1>>[CH3:1][c:2]1[o:3][n:4][c:5](-[c:6]2[cH:7][cH:8][c:9]([F:10])[cH:11][cH:12]2)[c:13]1[CH2:14][O:15][c:16]1[cH:17][cH:18][c:19]2[c:20]([n:21]1)[CH2:22][CH2:23][NH:24][CH2:25]2
GTVLCHCOKLXHLY-UHFFFAOYSA-N	CS(=O)(=O)CC(=O)O.Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCNC2>>Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)CS(C)(=O)=O)C2	2	O[C:25](=[O:26])[CH2:27][S:28]([CH3:29])(=[O:30])=[O:31].[CH3:1][c:2]1[o:3][n:4][c:5](-[c:6]2[cH:7][cH:8][c:9]([F:10])[cH:11][cH:12]2)[c:13]1[CH2:14][O:15][c:16]1[cH:17][cH:18][c:19]2[c:20]([n:21]1)[CH2:22][CH2:23][NH:24][CH2:32]2>>[CH3:1][c:2]1[o:3][n:4][c:5](-[c:6]2[cH:7][cH:8][c:9]([F:10])[cH:11][cH:12]2)[c:13]1[CH2:14][O:15][c:16]1[cH:17][cH:18][c:19]2[c:20]([n:21]1)[CH2:22][CH2:23][N:24]([C:25](=[O:26])[CH2:27][S:28]([CH3:29])(=[O:30])=[O:31])[CH2:32]2
GTVLCHCOKLXHLY-UHFFFAOYSA-N	CS(=O)(=O)CC(=O)O.Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCNC2>>Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)CS(C)(=O)=O)C2	3	O[C:25](=[O:26])[CH2:27][S:28]([CH3:29])(=[O:30])=[O:31].[CH3:1][c:2]1[o:3][n:4][c:5](-[c:6]2[cH:7][cH:8][c:9]([F:10])[cH:11][cH:12]2)[c:13]1[CH2:14][O:15][c:16]1[cH:17][cH:18][c:19]2[c:20]([n:21]1)[CH2:22][CH2:23][NH:24][CH2:32]2>>[CH3:1][c:2]1[o:3][n:4][c:5](-[c:6]2[cH:7][cH:8][c:9]([F:10])[cH:11][cH:12]2)[c:13]1[CH2:14][O:15][c:16]1[cH:17][cH:18][c:19]2[c:20]([n:21]1)[CH2:22][CH2:23][N:24]([C:25](=[O:26])[CH2:27][S:28]([CH3:29])(=[O:30])=[O:31])[CH2:32]2
GTVLCHCOKLXHLY-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCc2nc(Br)ccc2C1.Cc1onc(-c2ccc(F)cc2)c1CO>>Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)OC(C)(C)C)C2	3	Br[c:16]1[cH:17][cH:18][c:19]2[c:20]([n:21]1)[CH2:22][CH2:23][N:24]([C:25](=[O:26])[O:27][C:28]([CH3:29])([CH3:30])[CH3:31])[CH2:32]2.[CH3:1][c:2]1[o:3][n:4][c:5](-[c:6]2[cH:7][cH:8][c:9]([F:10])[cH:11][cH:12]2)[c:13]1[CH2:14][OH:15]>>[CH3:1][c:2]1[o:3][n:4][c:5](-[c:6]2[cH:7][cH:8][c:9]([F:10])[cH:11][cH:12]2)[c:13]1[CH2:14][O:15][c:16]1[cH:17][cH:18][c:19]2[c:20]([n:21]1)[CH2:22][CH2:23][N:24]([C:25](=[O:26])[O:27][C:28]([CH3:29])([CH3:30])[CH3:31])[CH2:32]2
GTVLCHCOKLXHLY-UHFFFAOYSA-N	Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)OC(C)(C)C)C2>>Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C)C2	3	CC(C)(C)O[C:25](=O)[N:24]1[CH2:23][CH2:22][c:20]2[c:19]([cH:18][cH:17][c:16]([O:15][CH2:14][c:13]3[c:2]([CH3:1])[o:3][n:4][c:5]3-[c:6]3[cH:7][cH:8][c:9]([F:10])[cH:11][cH:12]3)[n:21]2)[CH2:26]1>>[CH3:1][c:2]1[o:3][n:4][c:5](-[c:6]2[cH:7][cH:8][c:9]([F:10])[cH:11][cH:12]2)[c:13]1[CH2:14][O:15][c:16]1[cH:17][cH:18][c:19]2[c:20]([n:21]1)[CH2:22][CH2:23][N:24]([CH3:25])[CH2:26]2
GTVLCHCOKLXHLY-UHFFFAOYSA-N	COC(=O)Cl.Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C)C2>>COC(=O)N1CCc2nc(OCc3c(-c4ccc(F)cc4)noc3C)ccc2C1	3	Cl[C:3]([O:2][CH3:1])=[O:4].C[N:5]1[CH2:6][CH2:7][c:8]2[n:9][c:10]([O:11][CH2:12][c:13]3[c:14](-[c:15]4[cH:16][cH:17][c:18]([F:19])[cH:20][cH:21]4)[n:22][o:23][c:24]3[CH3:25])[cH:26][cH:27][c:28]2[CH2:29]1>>[CH3:1][O:2][C:3](=[O:4])[N:5]1[CH2:6][CH2:7][c:8]2[n:9][c:10]([O:11][CH2:12][c:13]3[c:14](-[c:15]4[cH:16][cH:17][c:18]([F:19])[cH:20][cH:21]4)[n:22][o:23][c:24]3[CH3:25])[cH:26][cH:27][c:28]2[CH2:29]1
GTVLCHCOKLXHLY-UHFFFAOYSA-N	COC(=O)N1CCc2nc(OCc3c(-c4ccc(F)cc4)noc3C)ccc2C1>>Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCNC2	3	COC(=O)[N:24]1[CH2:23][CH2:22][c:20]2[c:19]([cH:18][cH:17][c:16]([O:15][CH2:14][c:13]3[c:2]([CH3:1])[o:3][n:4][c:5]3-[c:6]3[cH:7][cH:8][c:9]([F:10])[cH:11][cH:12]3)[n:21]2)[CH2:25]1>>[CH3:1][c:2]1[o:3][n:4][c:5](-[c:6]2[cH:7][cH:8][c:9]([F:10])[cH:11][cH:12]2)[c:13]1[CH2:14][O:15][c:16]1[cH:17][cH:18][c:19]2[c:20]([n:21]1)[CH2:22][CH2:23][NH:24][CH2:25]2
GTVLCHCOKLXHLY-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCc2nc(Cl)ccc2C1.Cc1onc(-c2ccc(F)cc2)c1CO>>Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)OC(C)(C)C)C2	4	Cl[c:16]1[cH:17][cH:18][c:19]2[c:20]([n:21]1)[CH2:22][CH2:23][N:24]([C:25](=[O:26])[O:27][C:28]([CH3:29])([CH3:30])[CH3:31])[CH2:32]2.[CH3:1][c:2]1[o:3][n:4][c:5](-[c:6]2[cH:7][cH:8][c:9]([F:10])[cH:11][cH:12]2)[c:13]1[CH2:14][OH:15]>>[CH3:1][c:2]1[o:3][n:4][c:5](-[c:6]2[cH:7][cH:8][c:9]([F:10])[cH:11][cH:12]2)[c:13]1[CH2:14][O:15][c:16]1[cH:17][cH:18][c:19]2[c:20]([n:21]1)[CH2:22][CH2:23][N:24]([C:25](=[O:26])[O:27][C:28]([CH3:29])([CH3:30])[CH3:31])[CH2:32]2
