tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
HGCVGTDJTDDWLM-UHFFFAOYSA-N	BrCC1CC1.COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F>>COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F	1	Br[CH2:14][CH:15]1[CH2:16][CH2:17]1.[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](-[c:7]2[cH:8][c:9]([CH3:10])[c:11](=[O:12])[nH:13][n:18]2)[cH:19][c:20]1[F:21]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](-[c:7]2[cH:8][c:9]([CH3:10])[c:11](=[O:12])[n:13]([CH2:14][CH:15]3[CH2:16][CH2:17]3)[n:18]2)[cH:19][c:20]1[F:21]
HGCVGTDJTDDWLM-UHFFFAOYSA-N	COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F>>COc1ccc(-c2cc(CBr)c(=O)n(CC3CC3)n2)cc1F	1	[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](-[c:7]2[cH:8][c:9]([CH3:10])[c:12](=[O:13])[n:14]([CH2:15][CH:16]3[CH2:17][CH2:18]3)[n:19]2)[cH:20][c:21]1[F:22]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](-[c:7]2[cH:8][c:9]([CH2:10][Br:11])[c:12](=[O:13])[n:14]([CH2:15][CH:16]3[CH2:17][CH2:18]3)[n:19]2)[cH:20][c:21]1[F:22]
HGCVGTDJTDDWLM-UHFFFAOYSA-N	COc1ccc(B(O)O)cc1F.Cc1cc(Cl)n[nH]c1=O>>COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F	1	OB(O)[c:6]1[cH:5][cH:4][c:3]([O:2][CH3:1])[c:16]([F:17])[cH:15]1.Cl[c:7]1[cH:8][c:9]([CH3:10])[c:11](=[O:12])[nH:13][n:14]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](-[c:7]2[cH:8][c:9]([CH3:10])[c:11](=[O:12])[nH:13][n:14]2)[cH:15][c:16]1[F:17]
HGCVGTDJTDDWLM-UHFFFAOYSA-N	COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F.ICC1CC1>>COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F	2	[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](-[c:7]2[cH:8][c:9]([CH3:10])[c:11](=[O:12])[nH:13][n:18]2)[cH:19][c:20]1[F:21].I[CH2:14][CH:15]1[CH2:16][CH2:17]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](-[c:7]2[cH:8][c:9]([CH3:10])[c:11](=[O:12])[n:13]([CH2:14][CH:15]3[CH2:16][CH2:17]3)[n:18]2)[cH:19][c:20]1[F:21]
HGCVGTDJTDDWLM-UHFFFAOYSA-N	COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F>>COc1ccc(-c2cc(CBr)c(=O)n(CC3CC3)n2)cc1F	2	[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](-[c:7]2[cH:8][c:9]([CH3:10])[c:12](=[O:13])[n:14]([CH2:15][CH:16]3[CH2:17][CH2:18]3)[n:19]2)[cH:20][c:21]1[F:22]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](-[c:7]2[cH:8][c:9]([CH2:10][Br:11])[c:12](=[O:13])[n:14]([CH2:15][CH:16]3[CH2:17][CH2:18]3)[n:19]2)[cH:20][c:21]1[F:22]
HGCVGTDJTDDWLM-UHFFFAOYSA-N	COc1ccc(B(O)O)cc1F.Cc1cc(Cl)n[nH]c1=O>>COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F	2	OB(O)[c:6]1[cH:5][cH:4][c:3]([O:2][CH3:1])[c:16]([F:17])[cH:15]1.Cl[c:7]1[cH:8][c:9]([CH3:10])[c:11](=[O:12])[nH:13][n:14]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](-[c:7]2[cH:8][c:9]([CH3:10])[c:11](=[O:12])[nH:13][n:14]2)[cH:15][c:16]1[F:17]
HGCVGTDJTDDWLM-UHFFFAOYSA-N	COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F.ClCC1CC1>>COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F	3	[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](-[c:7]2[cH:8][c:9]([CH3:10])[c:11](=[O:12])[nH:13][n:18]2)[cH:19][c:20]1[F:21].Cl[CH2:14][CH:15]1[CH2:16][CH2:17]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](-[c:7]2[cH:8][c:9]([CH3:10])[c:11](=[O:12])[n:13]([CH2:14][CH:15]3[CH2:16][CH2:17]3)[n:18]2)[cH:19][c:20]1[F:21]
HGCVGTDJTDDWLM-UHFFFAOYSA-N	COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F>>COc1ccc(-c2cc(CBr)c(=O)n(CC3CC3)n2)cc1F	3	[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](-[c:7]2[cH:8][c:9]([CH3:10])[c:12](=[O:13])[n:14]([CH2:15][CH:16]3[CH2:17][CH2:18]3)[n:19]2)[cH:20][c:21]1[F:22]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](-[c:7]2[cH:8][c:9]([CH2:10][Br:11])[c:12](=[O:13])[n:14]([CH2:15][CH:16]3[CH2:17][CH2:18]3)[n:19]2)[cH:20][c:21]1[F:22]
HGCVGTDJTDDWLM-UHFFFAOYSA-N	COc1ccc(B(O)O)cc1F.Cc1cc(Cl)n[nH]c1=O>>COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F	3	OB(O)[c:6]1[cH:5][cH:4][c:3]([O:2][CH3:1])[c:16]([F:17])[cH:15]1.Cl[c:7]1[cH:8][c:9]([CH3:10])[c:11](=[O:12])[nH:13][n:14]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](-[c:7]2[cH:8][c:9]([CH3:10])[c:11](=[O:12])[nH:13][n:14]2)[cH:15][c:16]1[F:17]
HGCVGTDJTDDWLM-UHFFFAOYSA-N	BrCC1CC1.COc1ccc(-c2cc(C)c(=O)[nH]n2)cc1F>>COc1ccc(-c2cc(C)c(=O)n(CC3CC3)n2)cc1F	4	Br[CH2:14][CH:15]1[CH2:16][CH2:17]1.[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](-[c:7]2[cH:8][c:9]([CH3:10])[c:11](=[O:12])[nH:13][n:18]2)[cH:19][c:20]1[F:21]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](-[c:7]2[cH:8][c:9]([CH3:10])[c:11](=[O:12])[n:13]([CH2:14][CH:15]3[CH2:16][CH2:17]3)[n:18]2)[cH:19][c:20]1[F:21]
