tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
HNTGMIGBGVFOBT-UHFFFAOYSA-N	Nc1cc(OC(F)(F)F)ccc1F.O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl.O=C1CCC(N2Cc3ccc(CO)cc3C2=O)C(=O)N1>>O=C1CCC(N2Cc3ccc(COC(=O)Nc4cc(OC(F)(F)F)ccc4F)cc3C2=O)C(=O)N1	1	[NH2:16][c:17]1[cH:18][c:19]([O:20][C:21]([F:22])([F:23])[F:24])[cH:25][cH:26][c:27]1[F:28].ClC(Cl)(Cl)O[C:14](OC(Cl)(Cl)Cl)=[O:15].[O:1]=[C:2]1[CH2:3][CH2:4][CH:5]([N:6]2[CH2:7][c:8]3[cH:9][cH:10][c:11]([CH2:12][OH:13])[cH:29][c:30]3[C:31]2=[O:32])[C:33](=[O:34])[NH:35]1>>[O:1]=[C:2]1[CH2:3][CH2:4][CH:5]([N:6]2[CH2:7][c:8]3[cH:9][cH:10][c:11]([CH2:12][O:13][C:14](=[O:15])[NH:16][c:17]4[cH:18][c:19]([O:20][C:21]([F:22])([F:23])[F:24])[cH:25][cH:26][c:27]4[F:28])[cH:29][c:30]3[C:31]2=[O:32])[C:33](=[O:34])[NH:35]1
HNTGMIGBGVFOBT-UHFFFAOYSA-N	Nc1cc(OC(F)(F)F)ccc1F.O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl>>O=C=Nc1cc(OC(F)(F)F)ccc1F	2	[NH2:3][c:4]1[cH:5][c:6]([O:7][C:8]([F:9])([F:10])[F:11])[cH:12][cH:13][c:14]1[F:15].ClC(Cl)(Cl)O[C:2](OC(Cl)(Cl)Cl)=[O:1]>>[O:1]=[C:2]=[N:3][c:4]1[cH:5][c:6]([O:7][C:8]([F:9])([F:10])[F:11])[cH:12][cH:13][c:14]1[F:15]
HNTGMIGBGVFOBT-UHFFFAOYSA-N	O=C1CCC(N2Cc3ccc(CO)cc3C2=O)C(=O)N1.O=C=Nc1cc(OC(F)(F)F)ccc1F>>O=C1CCC(N2Cc3ccc(COC(=O)Nc4cc(OC(F)(F)F)ccc4F)cc3C2=O)C(=O)N1	2	[O:1]=[C:2]1[CH2:3][CH2:4][CH:5]([N:6]2[CH2:7][c:8]3[cH:9][cH:10][c:11]([CH2:12][OH:13])[cH:29][c:30]3[C:31]2=[O:32])[C:33](=[O:34])[NH:35]1.[C:14](=[O:15])=[N:16][c:17]1[cH:18][c:19]([O:20][C:21]([F:22])([F:23])[F:24])[cH:25][cH:26][c:27]1[F:28]>>[O:1]=[C:2]1[CH2:3][CH2:4][CH:5]([N:6]2[CH2:7][c:8]3[cH:9][cH:10][c:11]([CH2:12][O:13][C:14](=[O:15])[NH:16][c:17]4[cH:18][c:19]([O:20][C:21]([F:22])([F:23])[F:24])[cH:25][cH:26][c:27]4[F:28])[cH:29][c:30]3[C:31]2=[O:32])[C:33](=[O:34])[NH:35]1
HNTGMIGBGVFOBT-UHFFFAOYSA-N	O=C1CCC(N2Cc3ccc(CO)cc3C2=O)C(=O)N1.O=C=Nc1cc(OC(F)(F)F)ccc1F>>O=C1CCC(N2Cc3ccc(COC(=O)Nc4cc(OC(F)(F)F)ccc4F)cc3C2=O)C(=O)N1	3	[O:1]=[C:2]1[CH2:3][CH2:4][CH:5]([N:6]2[CH2:7][c:8]3[cH:9][cH:10][c:11]([CH2:12][OH:13])[cH:29][c:30]3[C:31]2=[O:32])[C:33](=[O:34])[NH:35]1.[C:14](=[O:15])=[N:16][c:17]1[cH:18][c:19]([O:20][C:21]([F:22])([F:23])[F:24])[cH:25][cH:26][c:27]1[F:28]>>[O:1]=[C:2]1[CH2:3][CH2:4][CH:5]([N:6]2[CH2:7][c:8]3[cH:9][cH:10][c:11]([CH2:12][O:13][C:14](=[O:15])[NH:16][c:17]4[cH:18][c:19]([O:20][C:21]([F:22])([F:23])[F:24])[cH:25][cH:26][c:27]4[F:28])[cH:29][c:30]3[C:31]2=[O:32])[C:33](=[O:34])[NH:35]1
HNTGMIGBGVFOBT-UHFFFAOYSA-N	Nc1cc(OC(F)(F)F)ccc1F.O=C(Cl)OC(Cl)(Cl)Cl>>O=C=Nc1cc(OC(F)(F)F)ccc1F	3	[NH2:3][c:4]1[cH:5][c:6]([O:7][C:8]([F:9])([F:10])[F:11])[cH:12][cH:13][c:14]1[F:15].ClC(Cl)(Cl)O[C:2](Cl)=[O:1]>>[O:1]=[C:2]=[N:3][c:4]1[cH:5][c:6]([O:7][C:8]([F:9])([F:10])[F:11])[cH:12][cH:13][c:14]1[F:15]
HNTGMIGBGVFOBT-UHFFFAOYSA-N	Nc1cc(OC(F)(F)F)ccc1F.O=C=O>>O=C(O)Nc1cc(OC(F)(F)F)ccc1F	4	[NH2:4][c:5]1[cH:6][c:7]([O:8][C:9]([F:10])([F:11])[F:12])[cH:13][cH:14][c:15]1[F:16].[O:1]=[C:2]=[O:3]>>[O:1]=[C:2]([OH:3])[NH:4][c:5]1[cH:6][c:7]([O:8][C:9]([F:10])([F:11])[F:12])[cH:13][cH:14][c:15]1[F:16]
HNTGMIGBGVFOBT-UHFFFAOYSA-N	O=C(O)Nc1cc(OC(F)(F)F)ccc1F.O=C1CCC(N2Cc3ccc(CO)cc3C2=O)C(=O)N1>>O=C1CCC(N2Cc3ccc(COC(=O)Nc4cc(OC(F)(F)F)ccc4F)cc3C2=O)C(=O)N1	4	O[C:14](=[O:15])[NH:16][c:17]1[cH:18][c:19]([O:20][C:21]([F:22])([F:23])[F:24])[cH:25][cH:26][c:27]1[F:28].[O:1]=[C:2]1[CH2:3][CH2:4][CH:5]([N:6]2[CH2:7][c:8]3[cH:9][cH:10][c:11]([CH2:12][OH:13])[cH:29][c:30]3[C:31]2=[O:32])[C:33](=[O:34])[NH:35]1>>[O:1]=[C:2]1[CH2:3][CH2:4][CH:5]([N:6]2[CH2:7][c:8]3[cH:9][cH:10][c:11]([CH2:12][O:13][C:14](=[O:15])[NH:16][c:17]4[cH:18][c:19]([O:20][C:21]([F:22])([F:23])[F:24])[cH:25][cH:26][c:27]4[F:28])[cH:29][c:30]3[C:31]2=[O:32])[C:33](=[O:34])[NH:35]1
HNTGMIGBGVFOBT-UHFFFAOYSA-N	Nc1cc(OC(F)(F)F)ccc1F.O=C(Cl)Cl>>O=C=Nc1cc(OC(F)(F)F)ccc1F	5	[NH2:3][c:4]1[cH:5][c:6]([O:7][C:8]([F:9])([F:10])[F:11])[cH:12][cH:13][c:14]1[F:15].Cl[C:2](Cl)=[O:1]>>[O:1]=[C:2]=[N:3][c:4]1[cH:5][c:6]([O:7][C:8]([F:9])([F:10])[F:11])[cH:12][cH:13][c:14]1[F:15]
HNTGMIGBGVFOBT-UHFFFAOYSA-N	ClC(Cl)(Cl)Cl>>O=C(Cl)Cl	5	Cl[C:2](Cl)([Cl:3])[Cl:4]>>[O:1]=[C:2]([Cl:3])[Cl:4]
HNTGMIGBGVFOBT-UHFFFAOYSA-N	O=C1CCC(N2Cc3ccc(CO)cc3C2=O)C(=O)N1.O=C=Nc1cc(OC(F)(F)F)ccc1F>>O=C1CCC(N2Cc3ccc(COC(=O)Nc4cc(OC(F)(F)F)ccc4F)cc3C2=O)C(=O)N1	5	[O:1]=[C:2]1[CH2:3][CH2:4][CH:5]([N:6]2[CH2:7][c:8]3[cH:9][cH:10][c:11]([CH2:12][OH:13])[cH:29][c:30]3[C:31]2=[O:32])[C:33](=[O:34])[NH:35]1.[C:14](=[O:15])=[N:16][c:17]1[cH:18][c:19]([O:20][C:21]([F:22])([F:23])[F:24])[cH:25][cH:26][c:27]1[F:28]>>[O:1]=[C:2]1[CH2:3][CH2:4][CH:5]([N:6]2[CH2:7][c:8]3[cH:9][cH:10][c:11]([CH2:12][O:13][C:14](=[O:15])[NH:16][c:17]4[cH:18][c:19]([O:20][C:21]([F:22])([F:23])[F:24])[cH:25][cH:26][c:27]4[F:28])[cH:29][c:30]3[C:31]2=[O:32])[C:33](=[O:34])[NH:35]1
