tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
JFTFCBWDQAGXFZ-DGCLKSJQSA-N	C1N[C@H]2CN[C@@H]1C2.CCOC(=O)c1ccc(I)cc1>>CCOC(=O)c1ccc(N2C[C@H]3C[C@@H]2CN3)cc1	1	[NH:10]1[CH2:11][C@H:12]2[CH2:13][C@@H:14]1[CH2:15][NH:16]2.I[c:9]1[cH:8][cH:7][c:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])[cH:18][cH:17]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][cH:8][c:9]([N:10]2[CH2:11][C@H:12]3[CH2:13][C@@H:14]2[CH2:15][NH:16]3)[cH:17][cH:18]1
JFTFCBWDQAGXFZ-DGCLKSJQSA-N	CCOC(=O)c1ccc(N2C[C@H]3C[C@@H]2CN3C(=O)OC(C)(C)C)cc1>>CCOC(=O)c1ccc(N2C[C@H]3C[C@@H]2CN3)cc1	2	CC(C)(C)OC(=O)[N:16]1[C@H:12]2[CH2:11][N:10]([c:9]3[cH:8][cH:7][c:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])[cH:18][cH:17]3)[C@H:14]([CH2:13]2)[CH2:15]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][cH:8][c:9]([N:10]2[CH2:11][C@H:12]3[CH2:13][C@@H:14]2[CH2:15][NH:16]3)[cH:17][cH:18]1
JFTFCBWDQAGXFZ-DGCLKSJQSA-N	CC(C)(C)OC(=O)N1C[C@H]2C[C@@H]1CN2.CCOC(=O)c1ccc(Br)cc1>>CCOC(=O)c1ccc(N2C[C@H]3C[C@@H]2CN3C(=O)OC(C)(C)C)cc1	2	[N:10]1([C:17](=[O:18])[O:19][C:20]([CH3:21])([CH3:22])[CH3:23])[CH2:11][C@H:12]2[CH2:13][C@@H:14]1[CH2:15][NH:16]2.Br[c:9]1[cH:8][cH:7][c:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])[cH:25][cH:24]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][cH:8][c:9]([N:10]2[CH2:11][C@H:12]3[CH2:13][C@@H:14]2[CH2:15][N:16]3[C:17](=[O:18])[O:19][C:20]([CH3:21])([CH3:22])[CH3:23])[cH:24][cH:25]1
JFTFCBWDQAGXFZ-DGCLKSJQSA-N	CCOC(=O)c1ccc(N2C[C@H]3C[C@@H]2CN3C(=O)OC(C)(C)C)cc1>>CCOC(=O)c1ccc(N2C[C@H]3C[C@@H]2CN3)cc1	3	CC(C)(C)OC(=O)[N:16]1[C@H:12]2[CH2:11][N:10]([c:9]3[cH:8][cH:7][c:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])[cH:18][cH:17]3)[C@H:14]([CH2:13]2)[CH2:15]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][cH:8][c:9]([N:10]2[CH2:11][C@H:12]3[CH2:13][C@@H:14]2[CH2:15][NH:16]3)[cH:17][cH:18]1
JFTFCBWDQAGXFZ-DGCLKSJQSA-N	CC(C)(C)OC(=O)N1C[C@H]2C[C@@H]1CN2.CCOC(=O)c1ccc(B(O)O)cc1>>CCOC(=O)c1ccc(N2C[C@H]3C[C@@H]2CN3C(=O)OC(C)(C)C)cc1	3	[N:10]1([C:17](=[O:18])[O:19][C:20]([CH3:21])([CH3:22])[CH3:23])[CH2:11][C@H:12]2[CH2:13][C@@H:14]1[CH2:15][NH:16]2.OB(O)[c:9]1[cH:8][cH:7][c:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])[cH:25][cH:24]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][cH:8][c:9]([N:10]2[CH2:11][C@H:12]3[CH2:13][C@@H:14]2[CH2:15][N:16]3[C:17](=[O:18])[O:19][C:20]([CH3:21])([CH3:22])[CH3:23])[cH:24][cH:25]1
JFTFCBWDQAGXFZ-DGCLKSJQSA-N	CCOC(=O)c1ccc(N2C[C@H]3C[C@@H]2CN3C(=O)OC(C)(C)C)cc1>>CCOC(=O)c1ccc(N2C[C@H]3C[C@@H]2CN3)cc1	4	CC(C)(C)OC(=O)[N:16]1[C@H:12]2[CH2:11][N:10]([c:9]3[cH:8][cH:7][c:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])[cH:18][cH:17]3)[C@H:14]([CH2:13]2)[CH2:15]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][cH:8][c:9]([N:10]2[CH2:11][C@H:12]3[CH2:13][C@@H:14]2[CH2:15][NH:16]3)[cH:17][cH:18]1
JFTFCBWDQAGXFZ-DGCLKSJQSA-N	CC(C)(C)OC(=O)N1C[C@H]2C[C@@H]1CN2.CCOC(=O)c1ccc(I)cc1>>CCOC(=O)c1ccc(N2C[C@H]3C[C@@H]2CN3C(=O)OC(C)(C)C)cc1	4	[N:10]1([C:17](=[O:18])[O:19][C:20]([CH3:21])([CH3:22])[CH3:23])[CH2:11][C@H:12]2[CH2:13][C@@H:14]1[CH2:15][NH:16]2.I[c:9]1[cH:8][cH:7][c:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])[cH:25][cH:24]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][cH:8][c:9]([N:10]2[CH2:11][C@H:12]3[CH2:13][C@@H:14]2[CH2:15][N:16]3[C:17](=[O:18])[O:19][C:20]([CH3:21])([CH3:22])[CH3:23])[cH:24][cH:25]1
JFTFCBWDQAGXFZ-DGCLKSJQSA-N	CC(C)(C)OC(=O)N1C[C@H]2C[C@@H]1CN2.CCOC(=O)c1ccc(OS(=O)(=O)C(F)(F)F)cc1>>CCOC(=O)c1ccc(N2C[C@H]3C[C@@H]2CN3C(=O)OC(C)(C)C)cc1	5	[NH:10]1[CH2:11][C@H:12]2[CH2:13][C@@H:14]1[CH2:15][N:16]2[C:17](=[O:18])[O:19][C:20]([CH3:21])([CH3:22])[CH3:23].O=S(=O)(O[c:9]1[cH:8][cH:7][c:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])[cH:25][cH:24]1)C(F)(F)F>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][cH:8][c:9]([N:10]2[CH2:11][C@H:12]3[CH2:13][C@@H:14]2[CH2:15][N:16]3[C:17](=[O:18])[O:19][C:20]([CH3:21])([CH3:22])[CH3:23])[cH:24][cH:25]1
JFTFCBWDQAGXFZ-DGCLKSJQSA-N	CCOC(=O)c1ccc(N2C[C@H]3C[C@@H]2CN3C(=O)OC(C)(C)C)cc1>>CCOC(=O)c1ccc(N2C[C@H]3C[C@@H]2CN3)cc1	5	CC(C)(C)OC(=O)[N:16]1[C@H:12]2[CH2:11][N:10]([c:9]3[cH:8][cH:7][c:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])[cH:18][cH:17]3)[C@H:14]([CH2:13]2)[CH2:15]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][cH:8][c:9]([N:10]2[CH2:11][C@H:12]3[CH2:13][C@@H:14]2[CH2:15][NH:16]3)[cH:17][cH:18]1
JFTFCBWDQAGXFZ-DGCLKSJQSA-N	CC(C)(C)OC(=O)N1C[C@H]2C[C@@H]1CN2.CCOC(=O)c1ccc(F)cc1>>CCOC(=O)c1ccc(N2C[C@H]3C[C@@H]2CN3C(=O)OC(C)(C)C)cc1	6	[N:10]1([C:17](=[O:18])[O:19][C:20]([CH3:21])([CH3:22])[CH3:23])[CH2:11][C@H:12]2[CH2:13][C@@H:14]1[CH2:15][NH:16]2.F[c:9]1[cH:8][cH:7][c:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])[cH:25][cH:24]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][cH:8][c:9]([N:10]2[CH2:11][C@H:12]3[CH2:13][C@@H:14]2[CH2:15][N:16]3[C:17](=[O:18])[O:19][C:20]([CH3:21])([CH3:22])[CH3:23])[cH:24][cH:25]1
