tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
KJDKPNUDCPAPKM-UHFFFAOYSA-N	Clc1ncnc2ccc(I)cc12.c1ccc2c(c1)CCN2>>Ic1ccc2ncnc(N3CCc4ccccc43)c2c1	1	Cl[c:9]1[n:8][cH:7][n:6][c:5]2[cH:4][cH:3][c:2]([I:1])[cH:20][c:19]21.[NH:10]1[CH2:11][CH2:12][c:13]2[cH:14][cH:15][cH:16][cH:17][c:18]21>>[I:1][c:2]1[cH:3][cH:4][c:5]2[n:6][cH:7][n:8][c:9]([N:10]3[CH2:11][CH2:12][c:13]4[cH:14][cH:15][cH:16][cH:17][c:18]43)[c:19]2[cH:20]1
KJDKPNUDCPAPKM-UHFFFAOYSA-N	Clc1ncnc2ccc(I)cc12.Nc1ccccc1CCO>>OCCc1ccccc1Nc1ncnc2ccc(I)cc12	2	Cl[c:11]1[n:12][cH:13][n:14][c:15]2[cH:16][cH:17][c:18]([I:19])[cH:20][c:21]12.[OH:1][CH2:2][CH2:3][c:4]1[cH:5][cH:6][cH:7][cH:8][c:9]1[NH2:10]>>[OH:1][CH2:2][CH2:3][c:4]1[cH:5][cH:6][cH:7][cH:8][c:9]1[NH:10][c:11]1[n:12][cH:13][n:14][c:15]2[cH:16][cH:17][c:18]([I:19])[cH:20][c:21]12
KJDKPNUDCPAPKM-UHFFFAOYSA-N	OCCc1ccccc1Nc1ncnc2ccc(I)cc12>>Ic1ccc2ncnc(N3CCc4ccccc43)c2c1	2	O[CH2:11][CH2:12][c:13]1[cH:14][cH:15][cH:16][cH:17][c:18]1[NH:10][c:9]1[n:8][cH:7][n:6][c:5]2[cH:4][cH:3][c:2]([I:1])[cH:20][c:19]21>>[I:1][c:2]1[cH:3][cH:4][c:5]2[n:6][cH:7][n:8][c:9]([N:10]3[CH2:11][CH2:12][c:13]4[cH:14][cH:15][cH:16][cH:17][c:18]43)[c:19]2[cH:20]1
KJDKPNUDCPAPKM-UHFFFAOYSA-N	CC(C)(C)[Si](C)(C)OCCc1ccccc1Br.Nc1ncnc2ccc(I)cc12>>CC(C)(C)[Si](C)(C)OCCc1ccccc1Nc1ncnc2ccc(I)cc12	3	Br[c:16]1[c:11]([CH2:10][CH2:9][O:8][Si:5]([C:2]([CH3:1])([CH3:3])[CH3:4])([CH3:6])[CH3:7])[cH:12][cH:13][cH:14][cH:15]1.[NH2:17][c:18]1[n:19][cH:20][n:21][c:22]2[cH:23][cH:24][c:25]([I:26])[cH:27][c:28]12>>[CH3:1][C:2]([CH3:3])([CH3:4])[Si:5]([CH3:6])([CH3:7])[O:8][CH2:9][CH2:10][c:11]1[cH:12][cH:13][cH:14][cH:15][c:16]1[NH:17][c:18]1[n:19][cH:20][n:21][c:22]2[cH:23][cH:24][c:25]([I:26])[cH:27][c:28]12
KJDKPNUDCPAPKM-UHFFFAOYSA-N	CC(C)(C)[Si](C)(C)OCCc1ccccc1Nc1ncnc2ccc(I)cc12>>OCCc1ccccc1Nc1ncnc2ccc(I)cc12	3	CC(C)(C)[Si](C)(C)[O:1][CH2:2][CH2:3][c:4]1[cH:5][cH:6][cH:7][cH:8][c:9]1[NH:10][c:11]1[n:12][cH:13][n:14][c:15]2[cH:16][cH:17][c:18]([I:19])[cH:20][c:21]12>>[OH:1][CH2:2][CH2:3][c:4]1[cH:5][cH:6][cH:7][cH:8][c:9]1[NH:10][c:11]1[n:12][cH:13][n:14][c:15]2[cH:16][cH:17][c:18]([I:19])[cH:20][c:21]12
KJDKPNUDCPAPKM-UHFFFAOYSA-N	OCCc1ccccc1Nc1ncnc2ccc(I)cc12>>Ic1ccc2ncnc(N3CCc4ccccc43)c2c1	3	O[CH2:11][CH2:12][c:13]1[cH:14][cH:15][cH:16][cH:17][c:18]1[NH:10][c:9]1[n:8][cH:7][n:6][c:5]2[cH:4][cH:3][c:2]([I:1])[cH:20][c:19]21>>[I:1][c:2]1[cH:3][cH:4][c:5]2[n:6][cH:7][n:8][c:9]([N:10]3[CH2:11][CH2:12][c:13]4[cH:14][cH:15][cH:16][cH:17][c:18]43)[c:19]2[cH:20]1
KJDKPNUDCPAPKM-UHFFFAOYSA-N	CC(C)(C)[Si](C)(C)Cl.Nc1ccccc1CCO>>CC(C)(C)[Si](C)(C)OCCc1ccccc1N	4	Cl[Si:5]([C:2]([CH3:1])([CH3:3])[CH3:4])([CH3:6])[CH3:7].[OH:8][CH2:9][CH2:10][c:11]1[cH:12][cH:13][cH:14][cH:15][c:16]1[NH2:17]>>[CH3:1][C:2]([CH3:3])([CH3:4])[Si:5]([CH3:6])([CH3:7])[O:8][CH2:9][CH2:10][c:11]1[cH:12][cH:13][cH:14][cH:15][c:16]1[NH2:17]
KJDKPNUDCPAPKM-UHFFFAOYSA-N	CC(C)(C)[Si](C)(C)OCCc1ccccc1Nc1ncnc2ccc(I)cc12>>OCCc1ccccc1Nc1ncnc2ccc(I)cc12	4	CC(C)(C)[Si](C)(C)[O:1][CH2:2][CH2:3][c:4]1[cH:5][cH:6][cH:7][cH:8][c:9]1[NH:10][c:11]1[n:12][cH:13][n:14][c:15]2[cH:16][cH:17][c:18]([I:19])[cH:20][c:21]12>>[OH:1][CH2:2][CH2:3][c:4]1[cH:5][cH:6][cH:7][cH:8][c:9]1[NH:10][c:11]1[n:12][cH:13][n:14][c:15]2[cH:16][cH:17][c:18]([I:19])[cH:20][c:21]12
KJDKPNUDCPAPKM-UHFFFAOYSA-N	CC(C)(C)[Si](C)(C)OCCc1ccccc1N.Clc1ncnc2ccc(I)cc12>>CC(C)(C)[Si](C)(C)OCCc1ccccc1Nc1ncnc2ccc(I)cc12	4	[CH3:1][C:2]([CH3:3])([CH3:4])[Si:5]([CH3:6])([CH3:7])[O:8][CH2:9][CH2:10][c:11]1[cH:12][cH:13][cH:14][cH:15][c:16]1[NH2:17].Cl[c:18]1[n:19][cH:20][n:21][c:22]2[cH:23][cH:24][c:25]([I:26])[cH:27][c:28]12>>[CH3:1][C:2]([CH3:3])([CH3:4])[Si:5]([CH3:6])([CH3:7])[O:8][CH2:9][CH2:10][c:11]1[cH:12][cH:13][cH:14][cH:15][c:16]1[NH:17][c:18]1[n:19][cH:20][n:21][c:22]2[cH:23][cH:24][c:25]([I:26])[cH:27][c:28]12
KJDKPNUDCPAPKM-UHFFFAOYSA-N	OCCc1ccccc1Nc1ncnc2ccc(I)cc12>>Ic1ccc2ncnc(N3CCc4ccccc43)c2c1	4	O[CH2:11][CH2:12][c:13]1[cH:14][cH:15][cH:16][cH:17][c:18]1[NH:10][c:9]1[n:8][cH:7][n:6][c:5]2[cH:4][cH:3][c:2]([I:1])[cH:20][c:19]21>>[I:1][c:2]1[cH:3][cH:4][c:5]2[n:6][cH:7][n:8][c:9]([N:10]3[CH2:11][CH2:12][c:13]4[cH:14][cH:15][cH:16][cH:17][c:18]43)[c:19]2[cH:20]1
KJDKPNUDCPAPKM-UHFFFAOYSA-N	C[S-].Clc1ncnc2ccc(I)cc12>>CSc1ncnc2ccc(I)cc12	5	[CH3:1][S-:2].Cl[c:3]1[n:4][cH:5][n:6][c:7]2[cH:8][cH:9][c:10]([I:11])[cH:12][c:13]12>>[CH3:1][S:2][c:3]1[n:4][cH:5][n:6][c:7]2[cH:8][cH:9][c:10]([I:11])[cH:12][c:13]12
KJDKPNUDCPAPKM-UHFFFAOYSA-N	OCCc1ccccc1Nc1ncnc2ccc(I)cc12>>Ic1ccc2ncnc(N3CCc4ccccc43)c2c1	5	O[CH2:11][CH2:12][c:13]1[cH:14][cH:15][cH:16][cH:17][c:18]1[NH:10][c:9]1[n:8][cH:7][n:6][c:5]2[cH:4][cH:3][c:2]([I:1])[cH:20][c:19]21>>[I:1][c:2]1[cH:3][cH:4][c:5]2[n:6][cH:7][n:8][c:9]([N:10]3[CH2:11][CH2:12][c:13]4[cH:14][cH:15][cH:16][cH:17][c:18]43)[c:19]2[cH:20]1
KJDKPNUDCPAPKM-UHFFFAOYSA-N	CSc1ncnc2ccc(I)cc12.Nc1ccccc1CCO>>OCCc1ccccc1Nc1ncnc2ccc(I)cc12	5	CS[c:11]1[n:12][cH:13][n:14][c:15]2[cH:16][cH:17][c:18]([I:19])[cH:20][c:21]12.[OH:1][CH2:2][CH2:3][c:4]1[cH:5][cH:6][cH:7][cH:8][c:9]1[NH2:10]>>[OH:1][CH2:2][CH2:3][c:4]1[cH:5][cH:6][cH:7][cH:8][c:9]1[NH:10][c:11]1[n:12][cH:13][n:14][c:15]2[cH:16][cH:17][c:18]([I:19])[cH:20][c:21]12
KJDKPNUDCPAPKM-UHFFFAOYSA-N	CI.S=c1[nH]cnc2ccc(I)cc12>>CSc1ncnc2ccc(I)cc12	6	I[CH3:1].[S:2]=[c:3]1[nH:4][cH:5][n:6][c:7]2[cH:8][cH:9][c:10]([I:11])[cH:12][c:13]12>>[CH3:1][S:2][c:3]1[n:4][cH:5][n:6][c:7]2[cH:8][cH:9][c:10]([I:11])[cH:12][c:13]12
KJDKPNUDCPAPKM-UHFFFAOYSA-N	OCCc1ccccc1Nc1ncnc2ccc(I)cc12>>Ic1ccc2ncnc(N3CCc4ccccc43)c2c1	6	O[CH2:11][CH2:12][c:13]1[cH:14][cH:15][cH:16][cH:17][c:18]1[NH:10][c:9]1[n:8][cH:7][n:6][c:5]2[cH:4][cH:3][c:2]([I:1])[cH:20][c:19]21>>[I:1][c:2]1[cH:3][cH:4][c:5]2[n:6][cH:7][n:8][c:9]([N:10]3[CH2:11][CH2:12][c:13]4[cH:14][cH:15][cH:16][cH:17][c:18]43)[c:19]2[cH:20]1
KJDKPNUDCPAPKM-UHFFFAOYSA-N	Clc1ncnc2ccc(I)cc12>>S=c1[nH]cnc2ccc(I)cc12	6	Cl[c:2]1[n:3][cH:4][n:5][c:6]2[cH:7][cH:8][c:9]([I:10])[cH:11][c:12]12>>[S:1]=[c:2]1[nH:3][cH:4][n:5][c:6]2[cH:7][cH:8][c:9]([I:10])[cH:11][c:12]12
KJDKPNUDCPAPKM-UHFFFAOYSA-N	CSc1ncnc2ccc(I)cc12.Nc1ccccc1CCO>>OCCc1ccccc1Nc1ncnc2ccc(I)cc12	6	CS[c:11]1[n:12][cH:13][n:14][c:15]2[cH:16][cH:17][c:18]([I:19])[cH:20][c:21]12.[OH:1][CH2:2][CH2:3][c:4]1[cH:5][cH:6][cH:7][cH:8][c:9]1[NH2:10]>>[OH:1][CH2:2][CH2:3][c:4]1[cH:5][cH:6][cH:7][cH:8][c:9]1[NH:10][c:11]1[n:12][cH:13][n:14][c:15]2[cH:16][cH:17][c:18]([I:19])[cH:20][c:21]12
KJDKPNUDCPAPKM-UHFFFAOYSA-N	CI.S=c1[nH]cnc2ccc(I)cc12>>CSc1ncnc2ccc(I)cc12	7	I[CH3:1].[S:2]=[c:3]1[nH:4][cH:5][n:6][c:7]2[cH:8][cH:9][c:10]([I:11])[cH:12][c:13]12>>[CH3:1][S:2][c:3]1[n:4][cH:5][n:6][c:7]2[cH:8][cH:9][c:10]([I:11])[cH:12][c:13]12
KJDKPNUDCPAPKM-UHFFFAOYSA-N	OCCc1ccccc1Nc1ncnc2ccc(I)cc12>>Ic1ccc2ncnc(N3CCc4ccccc43)c2c1	7	O[CH2:11][CH2:12][c:13]1[cH:14][cH:15][cH:16][cH:17][c:18]1[NH:10][c:9]1[n:8][cH:7][n:6][c:5]2[cH:4][cH:3][c:2]([I:1])[cH:20][c:19]21>>[I:1][c:2]1[cH:3][cH:4][c:5]2[n:6][cH:7][n:8][c:9]([N:10]3[CH2:11][CH2:12][c:13]4[cH:14][cH:15][cH:16][cH:17][c:18]43)[c:19]2[cH:20]1
KJDKPNUDCPAPKM-UHFFFAOYSA-N	CSc1ncnc2ccc(I)cc12.Nc1ccccc1CCO>>OCCc1ccccc1Nc1ncnc2ccc(I)cc12	7	CS[c:11]1[n:12][cH:13][n:14][c:15]2[cH:16][cH:17][c:18]([I:19])[cH:20][c:21]12.[OH:1][CH2:2][CH2:3][c:4]1[cH:5][cH:6][cH:7][cH:8][c:9]1[NH2:10]>>[OH:1][CH2:2][CH2:3][c:4]1[cH:5][cH:6][cH:7][cH:8][c:9]1[NH:10][c:11]1[n:12][cH:13][n:14][c:15]2[cH:16][cH:17][c:18]([I:19])[cH:20][c:21]12
KJDKPNUDCPAPKM-UHFFFAOYSA-N	O=c1[nH]cnc2ccc(I)cc12>>S=c1[nH]cnc2ccc(I)cc12	7	O=[c:2]1[nH:3][cH:4][n:5][c:6]2[cH:7][cH:8][c:9]([I:10])[cH:11][c:12]12>>[S:1]=[c:2]1[nH:3][cH:4][n:5][c:6]2[cH:7][cH:8][c:9]([I:10])[cH:11][c:12]12
KJDKPNUDCPAPKM-UHFFFAOYSA-N	CC(C)(C)[Si](C)(C)OS(=O)(=O)C(F)(F)F.Nc1ccccc1CCO>>CC(C)(C)[Si](C)(C)OCCc1ccccc1N	8	O=S(=O)(O[Si:5]([C:2]([CH3:1])([CH3:3])[CH3:4])([CH3:6])[CH3:7])C(F)(F)F.[OH:8][CH2:9][CH2:10][c:11]1[cH:12][cH:13][cH:14][cH:15][c:16]1[NH2:17]>>[CH3:1][C:2]([CH3:3])([CH3:4])[Si:5]([CH3:6])([CH3:7])[O:8][CH2:9][CH2:10][c:11]1[cH:12][cH:13][cH:14][cH:15][c:16]1[NH2:17]
