tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
LAHWVDUZLRNQDG-UHFFFAOYSA-N	COc1ccc2ncccc2c1Oc1ccc(F)cc1F>>COc1ccc2c(ccc[n+]2[O-])c1Oc1ccc(F)cc1F	1	[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([cH:8][cH:9][cH:10][n:11]2)[c:13]1[O:12][c:15]1[cH:16][cH:17][c:18]([F:19])[cH:20][c:21]1[F:22]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([cH:8][cH:9][cH:10][n+:11]2[O-:12])[c:13]1[O:14][c:15]1[cH:16][cH:17][c:18]([F:19])[cH:20][c:21]1[F:22]
LAHWVDUZLRNQDG-UHFFFAOYSA-N	COc1ccc2ncccc2c1Br.Oc1ccc(F)cc1F>>COc1ccc2ncccc2c1Oc1ccc(F)cc1F	1	Br[c:12]1[c:3]([O:2][CH3:1])[cH:4][cH:5][c:6]2[n:7][cH:8][cH:9][cH:10][c:11]21.[OH:13][c:14]1[cH:15][cH:16][c:17]([F:18])[cH:19][c:20]1[F:21]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[n:7][cH:8][cH:9][cH:10][c:11]2[c:12]1[O:13][c:14]1[cH:15][cH:16][c:17]([F:18])[cH:19][c:20]1[F:21]
LAHWVDUZLRNQDG-UHFFFAOYSA-N	COc1ccc2c(ccc[n+]2[O-])c1Oc1ccc(F)cc1F>>COc1ccc2nc(Cl)ccc2c1Oc1ccc(F)cc1F	1	[O-][n+:7]1[c:6]2[cH:5][cH:4][c:3]([O:2][CH3:1])[c:13]([O:14][c:15]3[cH:16][cH:17][c:18]([F:19])[cH:20][c:21]3[F:22])[c:12]2[cH:11][cH:10][cH:8]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[n:7][c:8]([Cl:9])[cH:10][cH:11][c:12]2[c:13]1[O:14][c:15]1[cH:16][cH:17][c:18]([F:19])[cH:20][c:21]1[F:22]
LAHWVDUZLRNQDG-UHFFFAOYSA-N	COc1ccc2ncccc2c1Br.Oc1ccc(F)cc1F>>COc1ccc2ncccc2c1Oc1ccc(F)cc1F	2	Br[c:12]1[c:3]([O:2][CH3:1])[cH:4][cH:5][c:6]2[n:7][cH:8][cH:9][cH:10][c:11]21.[OH:13][c:14]1[cH:15][cH:16][c:17]([F:18])[cH:19][c:20]1[F:21]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[n:7][cH:8][cH:9][cH:10][c:11]2[c:12]1[O:13][c:14]1[cH:15][cH:16][c:17]([F:18])[cH:19][c:20]1[F:21]
LAHWVDUZLRNQDG-UHFFFAOYSA-N	COc1ccc2ncccc2c1Oc1ccc(F)cc1F>>COc1ccc2[nH]c(=O)ccc2c1Oc1ccc(F)cc1F	2	[CH3:1][O:9][c:3]1[cH:4][cH:5][c:6]2[n:7][cH:8][cH:10][cH:11][c:12]2[c:13]1[O:2][c:15]1[cH:16][cH:17][c:18]([F:19])[cH:20][c:21]1[F:22]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[nH:7][c:8](=[O:9])[cH:10][cH:11][c:12]2[c:13]1[O:14][c:15]1[cH:16][cH:17][c:18]([F:19])[cH:20][c:21]1[F:22]
LAHWVDUZLRNQDG-UHFFFAOYSA-N	COc1ccc2[nH]c(=O)ccc2c1Oc1ccc(F)cc1F>>COc1ccc2nc(Cl)ccc2c1Oc1ccc(F)cc1F	2	O=[c:8]1[nH:7][c:6]2[cH:5][cH:4][c:3]([O:2][CH3:1])[c:13]([O:14][c:15]3[cH:16][cH:17][c:18]([F:19])[cH:20][c:21]3[F:22])[c:12]2[cH:11][cH:10]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[n:7][c:8]([Cl:9])[cH:10][cH:11][c:12]2[c:13]1[O:14][c:15]1[cH:16][cH:17][c:18]([F:19])[cH:20][c:21]1[F:22]
LAHWVDUZLRNQDG-UHFFFAOYSA-N	COc1ccc2ncccc2c1Oc1ccc(F)cc1F>>COc1ccc2c(ccc[n+]2[O-])c1Oc1ccc(F)cc1F	3	[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([cH:8][cH:9][cH:10][n:11]2)[c:13]1[O:12][c:15]1[cH:16][cH:17][c:18]([F:19])[cH:20][c:21]1[F:22]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([cH:8][cH:9][cH:10][n+:11]2[O-:12])[c:13]1[O:14][c:15]1[cH:16][cH:17][c:18]([F:19])[cH:20][c:21]1[F:22]
LAHWVDUZLRNQDG-UHFFFAOYSA-N	COc1ccc2ncccc2c1Br.Oc1ccc(F)cc1F>>COc1ccc2ncccc2c1Oc1ccc(F)cc1F	3	Br[c:12]1[c:3]([O:2][CH3:1])[cH:4][cH:5][c:6]2[n:7][cH:8][cH:9][cH:10][c:11]21.[OH:13][c:14]1[cH:15][cH:16][c:17]([F:18])[cH:19][c:20]1[F:21]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[n:7][cH:8][cH:9][cH:10][c:11]2[c:12]1[O:13][c:14]1[cH:15][cH:16][c:17]([F:18])[cH:19][c:20]1[F:21]
LAHWVDUZLRNQDG-UHFFFAOYSA-N	COc1ccc2nc(O)ccc2c1Oc1ccc(F)cc1F>>COc1ccc2nc(Cl)ccc2c1Oc1ccc(F)cc1F	3	O[c:8]1[n:7][c:6]2[cH:5][cH:4][c:3]([O:2][CH3:1])[c:13]([O:14][c:15]3[cH:16][cH:17][c:18]([F:19])[cH:20][c:21]3[F:22])[c:12]2[cH:11][cH:10]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[n:7][c:8]([Cl:9])[cH:10][cH:11][c:12]2[c:13]1[O:14][c:15]1[cH:16][cH:17][c:18]([F:19])[cH:20][c:21]1[F:22]
LAHWVDUZLRNQDG-UHFFFAOYSA-N	COc1ccc2c(ccc[n+]2[O-])c1Oc1ccc(F)cc1F>>COc1ccc2nc(O)ccc2c1Oc1ccc(F)cc1F	3	[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[n+:7]([O-:9])[cH:8][cH:10][cH:11][c:12]2[c:13]1[O:14][c:15]1[cH:16][cH:17][c:18]([F:19])[cH:20][c:21]1[F:22]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[n:7][c:8]([OH:9])[cH:10][cH:11][c:12]2[c:13]1[O:14][c:15]1[cH:16][cH:17][c:18]([F:19])[cH:20][c:21]1[F:22]
