tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
LDZJFVOUPUFOHX-UHFFFAOYSA-N	Cc1cc(N2C(=O)NC(=O)C2(C)C)cc(C)c1C=CS(=O)(=O)N1CCC2(CC1)N=C(c1ccc(OC(F)(F)F)cc1)NC2=O>>Cc1cc(N2C(=O)NC(=O)C2(C)C)cc(C)c1CCS(=O)(=O)N1CCC2(CC1)N=C(c1ccc(OC(F)(F)F)cc1)NC2=O	1	[CH3:1][c:2]1[cH:3][c:4]([N:5]2[C:6](=[O:7])[NH:8][C:9](=[O:10])[C:11]2([CH3:12])[CH3:13])[cH:14][c:15]([CH3:16])[c:17]1[CH:18]=[CH:19][S:20](=[O:21])(=[O:22])[N:23]1[CH2:24][CH2:25][C:26]2([CH2:27][CH2:28]1)[N:29]=[C:30]([c:31]1[cH:32][cH:33][c:34]([O:35][C:36]([F:37])([F:38])[F:39])[cH:40][cH:41]1)[NH:42][C:43]2=[O:44]>>[CH3:1][c:2]1[cH:3][c:4]([N:5]2[C:6](=[O:7])[NH:8][C:9](=[O:10])[C:11]2([CH3:12])[CH3:13])[cH:14][c:15]([CH3:16])[c:17]1[CH2:18][CH2:19][S:20](=[O:21])(=[O:22])[N:23]1[CH2:24][CH2:25][C:26]2([CH2:27][CH2:28]1)[N:29]=[C:30]([c:31]1[cH:32][cH:33][c:34]([O:35][C:36]([F:37])([F:38])[F:39])[cH:40][cH:41]1)[NH:42][C:43]2=[O:44]
LDZJFVOUPUFOHX-UHFFFAOYSA-N	C=CS(=O)(=O)N1CCC2(CC1)N=C(c1ccc(OC(F)(F)F)cc1)NC2=O.Cc1cc(N2C(=O)NC(=O)C2(C)C)cc(C)c1Br>>Cc1cc(N2C(=O)NC(=O)C2(C)C)cc(C)c1C=CS(=O)(=O)N1CCC2(CC1)N=C(c1ccc(OC(F)(F)F)cc1)NC2=O	1	[CH2:18]=[CH:19][S:20](=[O:21])(=[O:22])[N:23]1[CH2:24][CH2:25][C:26]2([CH2:27][CH2:28]1)[N:29]=[C:30]([c:31]1[cH:32][cH:33][c:34]([O:35][C:36]([F:37])([F:38])[F:39])[cH:40][cH:41]1)[NH:42][C:43]2=[O:44].Br[c:17]1[c:2]([CH3:1])[cH:3][c:4]([N:5]2[C:6](=[O:7])[NH:8][C:9](=[O:10])[C:11]2([CH3:12])[CH3:13])[cH:14][c:15]1[CH3:16]>>[CH3:1][c:2]1[cH:3][c:4]([N:5]2[C:6](=[O:7])[NH:8][C:9](=[O:10])[C:11]2([CH3:12])[CH3:13])[cH:14][c:15]([CH3:16])[c:17]1[CH:18]=[CH:19][S:20](=[O:21])(=[O:22])[N:23]1[CH2:24][CH2:25][C:26]2([CH2:27][CH2:28]1)[N:29]=[C:30]([c:31]1[cH:32][cH:33][c:34]([O:35][C:36]([F:37])([F:38])[F:39])[cH:40][cH:41]1)[NH:42][C:43]2=[O:44]
LDZJFVOUPUFOHX-UHFFFAOYSA-N	O=C1NC(c2ccc(OC(F)(F)F)cc2)=NC12CCNCC2.O=S(=O)(Cl)CCCl>>C=CS(=O)(=O)N1CCC2(CC1)N=C(c1ccc(OC(F)(F)F)cc1)NC2=O	1	[NH:6]1[CH2:7][CH2:8][C:9]2([CH2:10][CH2:11]1)[N:12]=[C:13]([c:14]1[cH:15][cH:16][c:17]([O:18][C:19]([F:20])([F:21])[F:22])[cH:23][cH:24]1)[NH:25][C:26]2=[O:27].Cl[CH2:1][CH2:2][S:3](Cl)(=[O:4])=[O:5]>>[CH2:1]=[CH:2][S:3](=[O:4])(=[O:5])[N:6]1[CH2:7][CH2:8][C:9]2([CH2:10][CH2:11]1)[N:12]=[C:13]([c:14]1[cH:15][cH:16][c:17]([O:18][C:19]([F:20])([F:21])[F:22])[cH:23][cH:24]1)[NH:25][C:26]2=[O:27]
LDZJFVOUPUFOHX-UHFFFAOYSA-N	Cc1cc(N2C(=O)NC(=O)C2(C)C)cc(C)c1C=CS(=O)(=O)N1CCC2(CC1)N=C(c1ccc(OC(F)(F)F)cc1)NC2=O>>Cc1cc(N2C(=O)NC(=O)C2(C)C)cc(C)c1CCS(=O)(=O)N1CCC2(CC1)N=C(c1ccc(OC(F)(F)F)cc1)NC2=O	2	[CH3:1][c:2]1[cH:3][c:4]([N:5]2[C:6](=[O:7])[NH:8][C:9](=[O:10])[C:11]2([CH3:12])[CH3:13])[cH:14][c:15]([CH3:16])[c:17]1[CH:18]=[CH:19][S:20](=[O:21])(=[O:22])[N:23]1[CH2:24][CH2:25][C:26]2([CH2:27][CH2:28]1)[N:29]=[C:30]([c:31]1[cH:32][cH:33][c:34]([O:35][C:36]([F:37])([F:38])[F:39])[cH:40][cH:41]1)[NH:42][C:43]2=[O:44]>>[CH3:1][c:2]1[cH:3][c:4]([N:5]2[C:6](=[O:7])[NH:8][C:9](=[O:10])[C:11]2([CH3:12])[CH3:13])[cH:14][c:15]([CH3:16])[c:17]1[CH2:18][CH2:19][S:20](=[O:21])(=[O:22])[N:23]1[CH2:24][CH2:25][C:26]2([CH2:27][CH2:28]1)[N:29]=[C:30]([c:31]1[cH:32][cH:33][c:34]([O:35][C:36]([F:37])([F:38])[F:39])[cH:40][cH:41]1)[NH:42][C:43]2=[O:44]
LDZJFVOUPUFOHX-UHFFFAOYSA-N	C=CS(=O)(=O)N1CCC2(CC1)N=C(c1ccc(OC(F)(F)F)cc1)NC2=O.Cc1cc(N2C(=O)NC(=O)C2(C)C)cc(C)c1Br>>Cc1cc(N2C(=O)NC(=O)C2(C)C)cc(C)c1C=CS(=O)(=O)N1CCC2(CC1)N=C(c1ccc(OC(F)(F)F)cc1)NC2=O	2	[CH2:18]=[CH:19][S:20](=[O:21])(=[O:22])[N:23]1[CH2:24][CH2:25][C:26]2([CH2:27][CH2:28]1)[N:29]=[C:30]([c:31]1[cH:32][cH:33][c:34]([O:35][C:36]([F:37])([F:38])[F:39])[cH:40][cH:41]1)[NH:42][C:43]2=[O:44].Br[c:17]1[c:2]([CH3:1])[cH:3][c:4]([N:5]2[C:6](=[O:7])[NH:8][C:9](=[O:10])[C:11]2([CH3:12])[CH3:13])[cH:14][c:15]1[CH3:16]>>[CH3:1][c:2]1[cH:3][c:4]([N:5]2[C:6](=[O:7])[NH:8][C:9](=[O:10])[C:11]2([CH3:12])[CH3:13])[cH:14][c:15]([CH3:16])[c:17]1[CH:18]=[CH:19][S:20](=[O:21])(=[O:22])[N:23]1[CH2:24][CH2:25][C:26]2([CH2:27][CH2:28]1)[N:29]=[C:30]([c:31]1[cH:32][cH:33][c:34]([O:35][C:36]([F:37])([F:38])[F:39])[cH:40][cH:41]1)[NH:42][C:43]2=[O:44]
LDZJFVOUPUFOHX-UHFFFAOYSA-N	C=CS(=O)(=O)Cl.O=C1NC(c2ccc(OC(F)(F)F)cc2)=NC12CCNCC2>>C=CS(=O)(=O)N1CCC2(CC1)N=C(c1ccc(OC(F)(F)F)cc1)NC2=O	2	Cl[S:3]([CH:2]=[CH2:1])(=[O:4])=[O:5].[NH:6]1[CH2:7][CH2:8][C:9]2([CH2:10][CH2:11]1)[N:12]=[C:13]([c:14]1[cH:15][cH:16][c:17]([O:18][C:19]([F:20])([F:21])[F:22])[cH:23][cH:24]1)[NH:25][C:26]2=[O:27]>>[CH2:1]=[CH:2][S:3](=[O:4])(=[O:5])[N:6]1[CH2:7][CH2:8][C:9]2([CH2:10][CH2:11]1)[N:12]=[C:13]([c:14]1[cH:15][cH:16][c:17]([O:18][C:19]([F:20])([F:21])[F:22])[cH:23][cH:24]1)[NH:25][C:26]2=[O:27]
LDZJFVOUPUFOHX-UHFFFAOYSA-N	C=CS(=O)(=O)N1CCC2(CC1)N=C(c1ccc(OC(F)(F)F)cc1)NC2=O.Cc1cc(N2C(=O)NC(=O)C2(C)C)cc(C)c1I>>Cc1cc(N2C(=O)NC(=O)C2(C)C)cc(C)c1C=CS(=O)(=O)N1CCC2(CC1)N=C(c1ccc(OC(F)(F)F)cc1)NC2=O	3	[CH2:18]=[CH:19][S:20](=[O:21])(=[O:22])[N:23]1[CH2:24][CH2:25][C:26]2([CH2:27][CH2:28]1)[N:29]=[C:30]([c:31]1[cH:32][cH:33][c:34]([O:35][C:36]([F:37])([F:38])[F:39])[cH:40][cH:41]1)[NH:42][C:43]2=[O:44].I[c:17]1[c:2]([CH3:1])[cH:3][c:4]([N:5]2[C:6](=[O:7])[NH:8][C:9](=[O:10])[C:11]2([CH3:12])[CH3:13])[cH:14][c:15]1[CH3:16]>>[CH3:1][c:2]1[cH:3][c:4]([N:5]2[C:6](=[O:7])[NH:8][C:9](=[O:10])[C:11]2([CH3:12])[CH3:13])[cH:14][c:15]([CH3:16])[c:17]1[CH:18]=[CH:19][S:20](=[O:21])(=[O:22])[N:23]1[CH2:24][CH2:25][C:26]2([CH2:27][CH2:28]1)[N:29]=[C:30]([c:31]1[cH:32][cH:33][c:34]([O:35][C:36]([F:37])([F:38])[F:39])[cH:40][cH:41]1)[NH:42][C:43]2=[O:44]
LDZJFVOUPUFOHX-UHFFFAOYSA-N	Cc1cc(N2C(=O)NC(=O)C2(C)C)cc(C)c1C=CS(=O)(=O)N1CCC2(CC1)N=C(c1ccc(OC(F)(F)F)cc1)NC2=O>>Cc1cc(N2C(=O)NC(=O)C2(C)C)cc(C)c1CCS(=O)(=O)N1CCC2(CC1)N=C(c1ccc(OC(F)(F)F)cc1)NC2=O	3	[CH3:1][c:2]1[cH:3][c:4]([N:5]2[C:6](=[O:7])[NH:8][C:9](=[O:10])[C:11]2([CH3:12])[CH3:13])[cH:14][c:15]([CH3:16])[c:17]1[CH:18]=[CH:19][S:20](=[O:21])(=[O:22])[N:23]1[CH2:24][CH2:25][C:26]2([CH2:27][CH2:28]1)[N:29]=[C:30]([c:31]1[cH:32][cH:33][c:34]([O:35][C:36]([F:37])([F:38])[F:39])[cH:40][cH:41]1)[NH:42][C:43]2=[O:44]>>[CH3:1][c:2]1[cH:3][c:4]([N:5]2[C:6](=[O:7])[NH:8][C:9](=[O:10])[C:11]2([CH3:12])[CH3:13])[cH:14][c:15]([CH3:16])[c:17]1[CH2:18][CH2:19][S:20](=[O:21])(=[O:22])[N:23]1[CH2:24][CH2:25][C:26]2([CH2:27][CH2:28]1)[N:29]=[C:30]([c:31]1[cH:32][cH:33][c:34]([O:35][C:36]([F:37])([F:38])[F:39])[cH:40][cH:41]1)[NH:42][C:43]2=[O:44]
LDZJFVOUPUFOHX-UHFFFAOYSA-N	O=C1NC(c2ccc(OC(F)(F)F)cc2)=NC12CCNCC2.O=S(=O)(Cl)CCCl>>C=CS(=O)(=O)N1CCC2(CC1)N=C(c1ccc(OC(F)(F)F)cc1)NC2=O	3	[NH:6]1[CH2:7][CH2:8][C:9]2([CH2:10][CH2:11]1)[N:12]=[C:13]([c:14]1[cH:15][cH:16][c:17]([O:18][C:19]([F:20])([F:21])[F:22])[cH:23][cH:24]1)[NH:25][C:26]2=[O:27].Cl[CH2:1][CH2:2][S:3](Cl)(=[O:4])=[O:5]>>[CH2:1]=[CH:2][S:3](=[O:4])(=[O:5])[N:6]1[CH2:7][CH2:8][C:9]2([CH2:10][CH2:11]1)[N:12]=[C:13]([c:14]1[cH:15][cH:16][c:17]([O:18][C:19]([F:20])([F:21])[F:22])[cH:23][cH:24]1)[NH:25][C:26]2=[O:27]
LDZJFVOUPUFOHX-UHFFFAOYSA-N	Cc1cc(N2C(=O)NC(=O)C2(C)C)cc(C)c1B1OC(C)(C)C(C)(C)O1>>Cc1cc(N2C(=O)NC(=O)C2(C)C)cc(C)c1I	3	CC1(C)OB([c:17]2[c:2]([CH3:1])[cH:3][c:4]([N:5]3[C:6](=[O:7])[NH:8][C:9](=[O:10])[C:11]3([CH3:12])[CH3:13])[cH:14][c:15]2[CH3:16])OC1(C)C>>[CH3:1][c:2]1[cH:3][c:4]([N:5]2[C:6](=[O:7])[NH:8][C:9](=[O:10])[C:11]2([CH3:12])[CH3:13])[cH:14][c:15]([CH3:16])[c:17]1[I:18]
