tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
LNJJWYXXKNGHHM-IYBDPMFKSA-N	CC(C)(C)OC(=O)N1[C@H]2CC[C@@H]1CNC2>>C1C[C@@H]2CNC[C@H]1N2	1	CC(C)(C)OC(=O)[N:8]1[C@@H:3]2[CH2:2][CH2:1][C@H:7]1[CH2:6][NH:5][CH2:4]2>>[CH2:1]1[CH2:2][C@@H:3]2[CH2:4][NH:5][CH2:6][C@H:7]1[NH:8]2
LNJJWYXXKNGHHM-IYBDPMFKSA-N	CCN=C=O.Clc1nccc(N2C[C@@H]3CC[C@H](C2)N3)n1>>CCNC(=O)N1[C@H]2CC[C@@H]1CN(c1ccnc(Cl)n1)C2	1	[CH3:1][CH2:2][N:3]=[C:4]=[O:5].[NH:6]1[C@@H:7]2[CH2:8][CH2:9][C@H:10]1[CH2:11][N:12]([c:13]1[cH:14][cH:15][n:16][c:17]([Cl:18])[n:19]1)[CH2:20]2>>[CH3:1][CH2:2][NH:3][C:4](=[O:5])[N:6]1[C@H:7]2[CH2:8][CH2:9][C@@H:10]1[CH2:11][N:12]([c:13]1[cH:14][cH:15][n:16][c:17]([Cl:18])[n:19]1)[CH2:20]2
LNJJWYXXKNGHHM-IYBDPMFKSA-N	CCNC(=O)N1[C@H]2CC[C@@H]1CN(c1ccnc(Cl)n1)C2.CNC(=O)c1ncc(N)cc1C>>CCNC(=O)N1[C@H]2CC[C@@H]1CN(c1ccnc(Nc3cnc(C(=O)NC)c(C)c3)n1)C2	1	Cl[c:17]1[n:16][cH:15][cH:14][c:13]([N:12]2[CH2:11][C@@H:10]3[N:6]([C:4]([NH:3][CH2:2][CH3:1])=[O:5])[C@@H:7]([CH2:8][CH2:9]3)[CH2:31]2)[n:30]1.[NH2:18][c:19]1[cH:20][n:21][c:22]([C:23](=[O:24])[NH:25][CH3:26])[c:27]([CH3:28])[cH:29]1>>[CH3:1][CH2:2][NH:3][C:4](=[O:5])[N:6]1[C@H:7]2[CH2:8][CH2:9][C@@H:10]1[CH2:11][N:12]([c:13]1[cH:14][cH:15][n:16][c:17]([NH:18][c:19]3[cH:20][n:21][c:22]([C:23](=[O:24])[NH:25][CH3:26])[c:27]([CH3:28])[cH:29]3)[n:30]1)[CH2:31]2
LNJJWYXXKNGHHM-IYBDPMFKSA-N	C1C[C@@H]2CNC[C@H]1N2.Clc1nccc(I)n1>>Clc1nccc(N2C[C@@H]3CC[C@H](C2)N3)n1	1	[NH:7]1[CH2:8][C@@H:9]2[CH2:10][CH2:11][C@H:12]([CH2:13]1)[NH:14]2.I[c:6]1[cH:5][cH:4][n:3][c:2]([Cl:1])[n:15]1>>[Cl:1][c:2]1[n:3][cH:4][cH:5][c:6]([N:7]2[CH2:8][C@@H:9]3[CH2:10][CH2:11][C@H:12]([CH2:13]2)[NH:14]3)[n:15]1
LNJJWYXXKNGHHM-IYBDPMFKSA-N	CN.COC(=O)c1ncc(N)cc1C>>CNC(=O)c1ncc(N)cc1C	1	[CH3:1][NH2:2].CO[C:3](=[O:4])[c:5]1[n:6][cH:7][c:8]([NH2:9])[cH:10][c:11]1[CH3:12]>>[CH3:1][NH:2][C:3](=[O:4])[c:5]1[n:6][cH:7][c:8]([NH2:9])[cH:10][c:11]1[CH3:12]
LNJJWYXXKNGHHM-IYBDPMFKSA-N	CCN=C=O.Clc1nccc(N2C[C@@H]3CC[C@H](C2)N3)n1>>CCNC(=O)N1[C@H]2CC[C@@H]1CN(c1ccnc(Cl)n1)C2	2	[CH3:1][CH2:2][N:3]=[C:4]=[O:5].[NH:6]1[C@@H:7]2[CH2:8][CH2:9][C@H:10]1[CH2:11][N:12]([c:13]1[cH:14][cH:15][n:16][c:17]([Cl:18])[n:19]1)[CH2:20]2>>[CH3:1][CH2:2][NH:3][C:4](=[O:5])[N:6]1[C@H:7]2[CH2:8][CH2:9][C@@H:10]1[CH2:11][N:12]([c:13]1[cH:14][cH:15][n:16][c:17]([Cl:18])[n:19]1)[CH2:20]2
LNJJWYXXKNGHHM-IYBDPMFKSA-N	CCNC(=O)N1[C@H]2CC[C@@H]1CN(c1ccnc(Cl)n1)C2.CNC(=O)c1ncc(N)cc1C>>CCNC(=O)N1[C@H]2CC[C@@H]1CN(c1ccnc(Nc3cnc(C(=O)NC)c(C)c3)n1)C2	2	Cl[c:17]1[n:16][cH:15][cH:14][c:13]([N:12]2[CH2:11][C@@H:10]3[N:6]([C:4]([NH:3][CH2:2][CH3:1])=[O:5])[C@@H:7]([CH2:8][CH2:9]3)[CH2:31]2)[n:30]1.[NH2:18][c:19]1[cH:20][n:21][c:22]([C:23](=[O:24])[NH:25][CH3:26])[c:27]([CH3:28])[cH:29]1>>[CH3:1][CH2:2][NH:3][C:4](=[O:5])[N:6]1[C@H:7]2[CH2:8][CH2:9][C@@H:10]1[CH2:11][N:12]([c:13]1[cH:14][cH:15][n:16][c:17]([NH:18][c:19]3[cH:20][n:21][c:22]([C:23](=[O:24])[NH:25][CH3:26])[c:27]([CH3:28])[cH:29]3)[n:30]1)[CH2:31]2
LNJJWYXXKNGHHM-IYBDPMFKSA-N	C1C[C@@H]2CNC[C@H]1N2.Clc1nccc(I)n1>>Clc1nccc(N2C[C@@H]3CC[C@H](C2)N3)n1	2	[NH:7]1[CH2:8][C@@H:9]2[CH2:10][CH2:11][C@H:12]([CH2:13]1)[NH:14]2.I[c:6]1[cH:5][cH:4][n:3][c:2]([Cl:1])[n:15]1>>[Cl:1][c:2]1[n:3][cH:4][cH:5][c:6]([N:7]2[CH2:8][C@@H:9]3[CH2:10][CH2:11][C@H:12]([CH2:13]2)[NH:14]3)[n:15]1
LNJJWYXXKNGHHM-IYBDPMFKSA-N	CN.COC(=O)c1ncc(N)cc1C>>CNC(=O)c1ncc(N)cc1C	2	[CH3:1][NH2:2].CO[C:3](=[O:4])[c:5]1[n:6][cH:7][c:8]([NH2:9])[cH:10][c:11]1[CH3:12]>>[CH3:1][NH:2][C:3](=[O:4])[c:5]1[n:6][cH:7][c:8]([NH2:9])[cH:10][c:11]1[CH3:12]
LNJJWYXXKNGHHM-IYBDPMFKSA-N	c1ccc(CN2[C@H]3CC[C@@H]2CNC3)cc1>>C1C[C@@H]2CNC[C@H]1N2	2	c1ccc(C[N:8]2[C@@H:3]3[CH2:2][CH2:1][C@H:7]2[CH2:6][NH:5][CH2:4]3)cc1>>[CH2:1]1[CH2:2][C@@H:3]2[CH2:4][NH:5][CH2:6][C@H:7]1[NH:8]2
LNJJWYXXKNGHHM-IYBDPMFKSA-N	CC(C)(C)OC(=O)N1C[C@@H]2CC[C@H](C1)N2>>C1C[C@@H]2CNC[C@H]1N2	3	CC(C)(C)OC(=O)[N:5]1[CH2:4][C@@H:3]2[CH2:2][CH2:1][C@H:7]([CH2:6]1)[NH:8]2>>[CH2:1]1[CH2:2][C@@H:3]2[CH2:4][NH:5][CH2:6][C@H:7]1[NH:8]2
LNJJWYXXKNGHHM-IYBDPMFKSA-N	CCN=C=O.Clc1nccc(N2C[C@@H]3CC[C@H](C2)N3)n1>>CCNC(=O)N1[C@H]2CC[C@@H]1CN(c1ccnc(Cl)n1)C2	3	[CH3:1][CH2:2][N:3]=[C:4]=[O:5].[NH:6]1[C@@H:7]2[CH2:8][CH2:9][C@H:10]1[CH2:11][N:12]([c:13]1[cH:14][cH:15][n:16][c:17]([Cl:18])[n:19]1)[CH2:20]2>>[CH3:1][CH2:2][NH:3][C:4](=[O:5])[N:6]1[C@H:7]2[CH2:8][CH2:9][C@@H:10]1[CH2:11][N:12]([c:13]1[cH:14][cH:15][n:16][c:17]([Cl:18])[n:19]1)[CH2:20]2
LNJJWYXXKNGHHM-IYBDPMFKSA-N	CCNC(=O)N1[C@H]2CC[C@@H]1CN(c1ccnc(Cl)n1)C2.CNC(=O)c1ncc(N)cc1C>>CCNC(=O)N1[C@H]2CC[C@@H]1CN(c1ccnc(Nc3cnc(C(=O)NC)c(C)c3)n1)C2	3	Cl[c:17]1[n:16][cH:15][cH:14][c:13]([N:12]2[CH2:11][C@@H:10]3[N:6]([C:4]([NH:3][CH2:2][CH3:1])=[O:5])[C@@H:7]([CH2:8][CH2:9]3)[CH2:31]2)[n:30]1.[NH2:18][c:19]1[cH:20][n:21][c:22]([C:23](=[O:24])[NH:25][CH3:26])[c:27]([CH3:28])[cH:29]1>>[CH3:1][CH2:2][NH:3][C:4](=[O:5])[N:6]1[C@H:7]2[CH2:8][CH2:9][C@@H:10]1[CH2:11][N:12]([c:13]1[cH:14][cH:15][n:16][c:17]([NH:18][c:19]3[cH:20][n:21][c:22]([C:23](=[O:24])[NH:25][CH3:26])[c:27]([CH3:28])[cH:29]3)[n:30]1)[CH2:31]2
LNJJWYXXKNGHHM-IYBDPMFKSA-N	C1C[C@@H]2CNC[C@H]1N2.Clc1nccc(I)n1>>Clc1nccc(N2C[C@@H]3CC[C@H](C2)N3)n1	3	[NH:7]1[CH2:8][C@@H:9]2[CH2:10][CH2:11][C@H:12]([CH2:13]1)[NH:14]2.I[c:6]1[cH:5][cH:4][n:3][c:2]([Cl:1])[n:15]1>>[Cl:1][c:2]1[n:3][cH:4][cH:5][c:6]([N:7]2[CH2:8][C@@H:9]3[CH2:10][CH2:11][C@H:12]([CH2:13]2)[NH:14]3)[n:15]1
LNJJWYXXKNGHHM-IYBDPMFKSA-N	CN.COC(=O)c1ncc(N)cc1C>>CNC(=O)c1ncc(N)cc1C	3	[CH3:1][NH2:2].CO[C:3](=[O:4])[c:5]1[n:6][cH:7][c:8]([NH2:9])[cH:10][c:11]1[CH3:12]>>[CH3:1][NH:2][C:3](=[O:4])[c:5]1[n:6][cH:7][c:8]([NH2:9])[cH:10][c:11]1[CH3:12]
LNJJWYXXKNGHHM-IYBDPMFKSA-N	CC(C)(C)OC(=O)N1[C@H]2CC[C@@H]1CNC2>>C1C[C@@H]2CNC[C@H]1N2	4	CC(C)(C)OC(=O)[N:8]1[C@@H:3]2[CH2:2][CH2:1][C@H:7]1[CH2:6][NH:5][CH2:4]2>>[CH2:1]1[CH2:2][C@@H:3]2[CH2:4][NH:5][CH2:6][C@H:7]1[NH:8]2
LNJJWYXXKNGHHM-IYBDPMFKSA-N	CCN=C=O.Clc1nccc(N2C[C@@H]3CC[C@H](C2)N3)n1>>CCNC(=O)N1[C@H]2CC[C@@H]1CN(c1ccnc(Cl)n1)C2	4	[CH3:1][CH2:2][N:3]=[C:4]=[O:5].[NH:6]1[C@@H:7]2[CH2:8][CH2:9][C@H:10]1[CH2:11][N:12]([c:13]1[cH:14][cH:15][n:16][c:17]([Cl:18])[n:19]1)[CH2:20]2>>[CH3:1][CH2:2][NH:3][C:4](=[O:5])[N:6]1[C@H:7]2[CH2:8][CH2:9][C@@H:10]1[CH2:11][N:12]([c:13]1[cH:14][cH:15][n:16][c:17]([Cl:18])[n:19]1)[CH2:20]2
LNJJWYXXKNGHHM-IYBDPMFKSA-N	CCNC(=O)N1[C@H]2CC[C@@H]1CN(c1ccnc(Cl)n1)C2.CNC(=O)c1ncc(N)cc1C>>CCNC(=O)N1[C@H]2CC[C@@H]1CN(c1ccnc(Nc3cnc(C(=O)NC)c(C)c3)n1)C2	4	Cl[c:17]1[n:16][cH:15][cH:14][c:13]([N:12]2[CH2:11][C@@H:10]3[N:6]([C:4]([NH:3][CH2:2][CH3:1])=[O:5])[C@@H:7]([CH2:8][CH2:9]3)[CH2:31]2)[n:30]1.[NH2:18][c:19]1[cH:20][n:21][c:22]([C:23](=[O:24])[NH:25][CH3:26])[c:27]([CH3:28])[cH:29]1>>[CH3:1][CH2:2][NH:3][C:4](=[O:5])[N:6]1[C@H:7]2[CH2:8][CH2:9][C@@H:10]1[CH2:11][N:12]([c:13]1[cH:14][cH:15][n:16][c:17]([NH:18][c:19]3[cH:20][n:21][c:22]([C:23](=[O:24])[NH:25][CH3:26])[c:27]([CH3:28])[cH:29]3)[n:30]1)[CH2:31]2
LNJJWYXXKNGHHM-IYBDPMFKSA-N	C1C[C@@H]2CNC[C@H]1N2.Clc1ccnc(Cl)n1>>Clc1nccc(N2C[C@@H]3CC[C@H](C2)N3)n1	4	[NH:7]1[CH2:8][C@H:9]2[CH2:10][CH2:11][C@@H:12]([CH2:13]1)[NH:14]2.Cl[c:6]1[cH:5][cH:4][n:3][c:2]([Cl:1])[n:15]1>>[Cl:1][c:2]1[n:3][cH:4][cH:5][c:6]([N:7]2[CH2:8][C@@H:9]3[CH2:10][CH2:11][C@H:12]([CH2:13]2)[NH:14]3)[n:15]1
LNJJWYXXKNGHHM-IYBDPMFKSA-N	CN.COC(=O)c1ncc(N)cc1C>>CNC(=O)c1ncc(N)cc1C	4	[CH3:1][NH2:2].CO[C:3](=[O:4])[c:5]1[n:6][cH:7][c:8]([NH2:9])[cH:10][c:11]1[CH3:12]>>[CH3:1][NH:2][C:3](=[O:4])[c:5]1[n:6][cH:7][c:8]([NH2:9])[cH:10][c:11]1[CH3:12]
LNJJWYXXKNGHHM-IYBDPMFKSA-N	CCN=C=O.Clc1nccc(N2C[C@@H]3CC[C@H](C2)N3)n1>>CCNC(=O)N1[C@H]2CC[C@@H]1CN(c1ccnc(Cl)n1)C2	5	[CH3:1][CH2:2][N:3]=[C:4]=[O:5].[NH:6]1[C@@H:7]2[CH2:8][CH2:9][C@H:10]1[CH2:11][N:12]([c:13]1[cH:14][cH:15][n:16][c:17]([Cl:18])[n:19]1)[CH2:20]2>>[CH3:1][CH2:2][NH:3][C:4](=[O:5])[N:6]1[C@H:7]2[CH2:8][CH2:9][C@@H:10]1[CH2:11][N:12]([c:13]1[cH:14][cH:15][n:16][c:17]([Cl:18])[n:19]1)[CH2:20]2
LNJJWYXXKNGHHM-IYBDPMFKSA-N	CCNC(=O)N1[C@H]2CC[C@@H]1CN(c1ccnc(Cl)n1)C2.CNC(=O)c1ncc(N)cc1C>>CCNC(=O)N1[C@H]2CC[C@@H]1CN(c1ccnc(Nc3cnc(C(=O)NC)c(C)c3)n1)C2	5	Cl[c:17]1[n:16][cH:15][cH:14][c:13]([N:12]2[CH2:11][C@@H:10]3[N:6]([C:4]([NH:3][CH2:2][CH3:1])=[O:5])[C@@H:7]([CH2:8][CH2:9]3)[CH2:31]2)[n:30]1.[NH2:18][c:19]1[cH:20][n:21][c:22]([C:23](=[O:24])[NH:25][CH3:26])[c:27]([CH3:28])[cH:29]1>>[CH3:1][CH2:2][NH:3][C:4](=[O:5])[N:6]1[C@H:7]2[CH2:8][CH2:9][C@@H:10]1[CH2:11][N:12]([c:13]1[cH:14][cH:15][n:16][c:17]([NH:18][c:19]3[cH:20][n:21][c:22]([C:23](=[O:24])[NH:25][CH3:26])[c:27]([CH3:28])[cH:29]3)[n:30]1)[CH2:31]2
LNJJWYXXKNGHHM-IYBDPMFKSA-N	C1C[C@@H]2CNC[C@H]1N2.Clc1ccnc(Cl)n1>>Clc1nccc(N2C[C@@H]3CC[C@H](C2)N3)n1	5	[NH:7]1[CH2:8][C@H:9]2[CH2:10][CH2:11][C@@H:12]([CH2:13]1)[NH:14]2.Cl[c:6]1[cH:5][cH:4][n:3][c:2]([Cl:1])[n:15]1>>[Cl:1][c:2]1[n:3][cH:4][cH:5][c:6]([N:7]2[CH2:8][C@@H:9]3[CH2:10][CH2:11][C@H:12]([CH2:13]2)[NH:14]3)[n:15]1
LNJJWYXXKNGHHM-IYBDPMFKSA-N	CN.COC(=O)c1ncc(N)cc1C>>CNC(=O)c1ncc(N)cc1C	5	[CH3:1][NH2:2].CO[C:3](=[O:4])[c:5]1[n:6][cH:7][c:8]([NH2:9])[cH:10][c:11]1[CH3:12]>>[CH3:1][NH:2][C:3](=[O:4])[c:5]1[n:6][cH:7][c:8]([NH2:9])[cH:10][c:11]1[CH3:12]
LNJJWYXXKNGHHM-IYBDPMFKSA-N	c1ccc(CN2[C@H]3CC[C@@H]2CNC3)cc1>>C1C[C@@H]2CNC[C@H]1N2	5	c1ccc(C[N:8]2[C@@H:3]3[CH2:2][CH2:1][C@H:7]2[CH2:6][NH:5][CH2:4]3)cc1>>[CH2:1]1[CH2:2][C@@H:3]2[CH2:4][NH:5][CH2:6][C@H:7]1[NH:8]2
LNJJWYXXKNGHHM-IYBDPMFKSA-N	CC(C)(C)OC(=O)N1C[C@@H]2CC[C@H](C1)N2>>C1C[C@@H]2CNC[C@H]1N2	6	CC(C)(C)OC(=O)[N:5]1[CH2:4][C@@H:3]2[CH2:2][CH2:1][C@H:7]([CH2:6]1)[NH:8]2>>[CH2:1]1[CH2:2][C@@H:3]2[CH2:4][NH:5][CH2:6][C@H:7]1[NH:8]2
LNJJWYXXKNGHHM-IYBDPMFKSA-N	CCN=C=O.Clc1nccc(N2C[C@@H]3CC[C@H](C2)N3)n1>>CCNC(=O)N1[C@H]2CC[C@@H]1CN(c1ccnc(Cl)n1)C2	6	[CH3:1][CH2:2][N:3]=[C:4]=[O:5].[NH:6]1[C@@H:7]2[CH2:8][CH2:9][C@H:10]1[CH2:11][N:12]([c:13]1[cH:14][cH:15][n:16][c:17]([Cl:18])[n:19]1)[CH2:20]2>>[CH3:1][CH2:2][NH:3][C:4](=[O:5])[N:6]1[C@H:7]2[CH2:8][CH2:9][C@@H:10]1[CH2:11][N:12]([c:13]1[cH:14][cH:15][n:16][c:17]([Cl:18])[n:19]1)[CH2:20]2
LNJJWYXXKNGHHM-IYBDPMFKSA-N	CCNC(=O)N1[C@H]2CC[C@@H]1CN(c1ccnc(Cl)n1)C2.CNC(=O)c1ncc(N)cc1C>>CCNC(=O)N1[C@H]2CC[C@@H]1CN(c1ccnc(Nc3cnc(C(=O)NC)c(C)c3)n1)C2	6	Cl[c:17]1[n:16][cH:15][cH:14][c:13]([N:12]2[CH2:11][C@@H:10]3[N:6]([C:4]([NH:3][CH2:2][CH3:1])=[O:5])[C@@H:7]([CH2:8][CH2:9]3)[CH2:31]2)[n:30]1.[NH2:18][c:19]1[cH:20][n:21][c:22]([C:23](=[O:24])[NH:25][CH3:26])[c:27]([CH3:28])[cH:29]1>>[CH3:1][CH2:2][NH:3][C:4](=[O:5])[N:6]1[C@H:7]2[CH2:8][CH2:9][C@@H:10]1[CH2:11][N:12]([c:13]1[cH:14][cH:15][n:16][c:17]([NH:18][c:19]3[cH:20][n:21][c:22]([C:23](=[O:24])[NH:25][CH3:26])[c:27]([CH3:28])[cH:29]3)[n:30]1)[CH2:31]2
LNJJWYXXKNGHHM-IYBDPMFKSA-N	C1C[C@@H]2CNC[C@H]1N2.Clc1ccnc(Cl)n1>>Clc1nccc(N2C[C@@H]3CC[C@H](C2)N3)n1	6	[NH:7]1[CH2:8][C@H:9]2[CH2:10][CH2:11][C@@H:12]([CH2:13]1)[NH:14]2.Cl[c:6]1[cH:5][cH:4][n:3][c:2]([Cl:1])[n:15]1>>[Cl:1][c:2]1[n:3][cH:4][cH:5][c:6]([N:7]2[CH2:8][C@@H:9]3[CH2:10][CH2:11][C@H:12]([CH2:13]2)[NH:14]3)[n:15]1
LNJJWYXXKNGHHM-IYBDPMFKSA-N	CN.COC(=O)c1ncc(N)cc1C>>CNC(=O)c1ncc(N)cc1C	6	[CH3:1][NH2:2].CO[C:3](=[O:4])[c:5]1[n:6][cH:7][c:8]([NH2:9])[cH:10][c:11]1[CH3:12]>>[CH3:1][NH:2][C:3](=[O:4])[c:5]1[n:6][cH:7][c:8]([NH2:9])[cH:10][c:11]1[CH3:12]
