tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
LQNNJVRJHRFWIK-UHFFFAOYSA-N	CCc1ccc(Cl)cc1N>>CCc1ccc(Cl)cc1I	1	N[c:9]1[c:3]([CH2:2][CH3:1])[cH:4][cH:5][c:6]([Cl:7])[cH:8]1>>[CH3:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([Cl:7])[cH:8][c:9]1[I:10]
LQNNJVRJHRFWIK-UHFFFAOYSA-N	CCc1ccc(Cl)cc1C(=O)O>>CCc1ccc(Cl)cc1I	2	O=C(O)[c:9]1[c:3]([CH2:2][CH3:1])[cH:4][cH:5][c:6]([Cl:7])[cH:8]1>>[CH3:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([Cl:7])[cH:8][c:9]1[I:10]
LQNNJVRJHRFWIK-UHFFFAOYSA-N	CCc1ccc(Cl)cc1Br>>CCc1ccc(Cl)cc1I	3	Br[c:9]1[c:3]([CH2:2][CH3:1])[cH:4][cH:5][c:6]([Cl:7])[cH:8]1>>[CH3:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([Cl:7])[cH:8][c:9]1[I:10]
LQNNJVRJHRFWIK-UHFFFAOYSA-N	CCc1ccc(Cl)cc1N>>CCc1ccc(Cl)cc1Br	3	N[c:9]1[c:3]([CH2:2][CH3:1])[cH:4][cH:5][c:6]([Cl:7])[cH:8]1>>[CH3:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([Cl:7])[cH:8][c:9]1[Br:10]
LQNNJVRJHRFWIK-UHFFFAOYSA-N	CCc1ccc(N)cc1Br.Cl>>CCc1ccc(Cl)cc1Br	4	N[c:6]1[cH:5][cH:4][c:3]([CH2:2][CH3:1])[c:9]([Br:10])[cH:8]1.[ClH:7]>>[CH3:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([Cl:7])[cH:8][c:9]1[Br:10]
LQNNJVRJHRFWIK-UHFFFAOYSA-N	CCc1ccc(Cl)cc1Br>>CCc1ccc(Cl)cc1I	4	Br[c:9]1[c:3]([CH2:2][CH3:1])[cH:4][cH:5][c:6]([Cl:7])[cH:8]1>>[CH3:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([Cl:7])[cH:8][c:9]1[I:10]
LQNNJVRJHRFWIK-UHFFFAOYSA-N	CCc1ccc(N)cc1Br>>CCc1ccc(Cl)cc1Br	5	N[c:6]1[cH:5][cH:4][c:3]([CH2:2][CH3:1])[c:9]([Br:10])[cH:8]1>>[CH3:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([Cl:7])[cH:8][c:9]1[Br:10]
LQNNJVRJHRFWIK-UHFFFAOYSA-N	CCc1ccc(Cl)cc1Br>>CCc1ccc(Cl)cc1I	5	Br[c:9]1[c:3]([CH2:2][CH3:1])[cH:4][cH:5][c:6]([Cl:7])[cH:8]1>>[CH3:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([Cl:7])[cH:8][c:9]1[I:10]
LQNNJVRJHRFWIK-UHFFFAOYSA-N	CCc1ccc(Cl)cc1C(=O)O>>CCc1ccc(Cl)cc1Br	6	O=C(O)[c:9]1[c:3]([CH2:2][CH3:1])[cH:4][cH:5][c:6]([Cl:7])[cH:8]1>>[CH3:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([Cl:7])[cH:8][c:9]1[Br:10]
LQNNJVRJHRFWIK-UHFFFAOYSA-N	CCc1ccc(Cl)cc1Br>>CCc1ccc(Cl)cc1I	6	Br[c:9]1[c:3]([CH2:2][CH3:1])[cH:4][cH:5][c:6]([Cl:7])[cH:8]1>>[CH3:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([Cl:7])[cH:8][c:9]1[I:10]
LQNNJVRJHRFWIK-UHFFFAOYSA-N	CCc1cc(N)c(Cl)cc1Br>>CCc1ccc(Cl)cc1Br	7	N[c:5]1[cH:4][c:3]([CH2:2][CH3:1])[c:9]([Br:10])[cH:8][c:6]1[Cl:7]>>[CH3:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([Cl:7])[cH:8][c:9]1[Br:10]
LQNNJVRJHRFWIK-UHFFFAOYSA-N	CCB(CC)CC.Nc1cc(Br)c(Br)cc1Cl>>CCc1cc(N)c(Cl)cc1Br	7	CCB(CC)[CH2:2][CH3:1].Br[c:3]1[cH:4][c:5]([NH2:6])[c:7]([Cl:8])[cH:9][c:10]1[Br:11]>>[CH3:1][CH2:2][c:3]1[cH:4][c:5]([NH2:6])[c:7]([Cl:8])[cH:9][c:10]1[Br:11]
LQNNJVRJHRFWIK-UHFFFAOYSA-N	CCc1ccc(Cl)cc1Br>>CCc1ccc(Cl)cc1I	7	Br[c:9]1[c:3]([CH2:2][CH3:1])[cH:4][cH:5][c:6]([Cl:7])[cH:8]1>>[CH3:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([Cl:7])[cH:8][c:9]1[I:10]
LQNNJVRJHRFWIK-UHFFFAOYSA-N	CCB(CC)CC.Clc1ccc(Br)c(Br)c1>>CCc1ccc(Cl)cc1Br	8	CCB(CC)[CH2:2][CH3:1].Br[c:3]1[cH:4][cH:5][c:6]([Cl:7])[cH:8][c:9]1[Br:10]>>[CH3:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([Cl:7])[cH:8][c:9]1[Br:10]
LQNNJVRJHRFWIK-UHFFFAOYSA-N	CCc1ccc(Cl)cc1Br>>CCc1ccc(Cl)cc1I	8	Br[c:9]1[c:3]([CH2:2][CH3:1])[cH:4][cH:5][c:6]([Cl:7])[cH:8]1>>[CH3:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([Cl:7])[cH:8][c:9]1[I:10]
LQNNJVRJHRFWIK-UHFFFAOYSA-N	CCc1cc(N)c(Cl)cc1Br>>CCc1ccc(Cl)cc1Br	9	N[c:5]1[cH:4][c:3]([CH2:2][CH3:1])[c:9]([Br:10])[cH:8][c:6]1[Cl:7]>>[CH3:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([Cl:7])[cH:8][c:9]1[Br:10]
LQNNJVRJHRFWIK-UHFFFAOYSA-N	CCc1ccc(Cl)cc1Br>>CCc1ccc(Cl)cc1I	9	Br[c:9]1[c:3]([CH2:2][CH3:1])[cH:4][cH:5][c:6]([Cl:7])[cH:8]1>>[CH3:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([Cl:7])[cH:8][c:9]1[I:10]
LQNNJVRJHRFWIK-UHFFFAOYSA-N	CCc1ccc(Cl)c(N)c1>>CCc1cc(N)c(Cl)cc1Br	9	[CH3:1][CH2:2][c:3]1[cH:4][c:5]([NH2:6])[c:7]([Cl:8])[cH:9][cH:10]1>>[CH3:1][CH2:2][c:3]1[cH:4][c:5]([NH2:6])[c:7]([Cl:8])[cH:9][c:10]1[Br:11]
LQNNJVRJHRFWIK-UHFFFAOYSA-N	CCB(CC)CC.Nc1cc(Br)ccc1Cl>>CCc1ccc(Cl)c(N)c1	9	CCB(CC)[CH2:2][CH3:1].Br[c:3]1[cH:4][cH:5][c:6]([Cl:7])[c:8]([NH2:9])[cH:10]1>>[CH3:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([Cl:7])[c:8]([NH2:9])[cH:10]1
LQNNJVRJHRFWIK-UHFFFAOYSA-N	CCI.Clc1ccc(I)c(Br)c1>>CCc1ccc(Cl)cc1Br	10	I[CH2:2][CH3:1].I[c:3]1[cH:4][cH:5][c:6]([Cl:7])[cH:8][c:9]1[Br:10]>>[CH3:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([Cl:7])[cH:8][c:9]1[Br:10]
LQNNJVRJHRFWIK-UHFFFAOYSA-N	CCc1ccc(Cl)cc1Br>>CCc1ccc(Cl)cc1I	10	Br[c:9]1[c:3]([CH2:2][CH3:1])[cH:4][cH:5][c:6]([Cl:7])[cH:8]1>>[CH3:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([Cl:7])[cH:8][c:9]1[I:10]
