tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
LYPSYIWSZQVHAB-UHFFFAOYSA-N	Brc1ccc2sccc2c1.C=C(OCC)[Sn](CCCC)(CCCC)CCCC>>CC(=O)c1ccc2sccc2c1	1	Br[c:4]1[cH:5][cH:6][c:7]2[s:8][cH:9][cH:10][c:11]2[cH:12]1.CCCC[Sn](CCCC)(CCCC)[C:2](=[CH2:1])[O:3]CC>>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]2[s:8][cH:9][cH:10][c:11]2[cH:12]1
LYPSYIWSZQVHAB-UHFFFAOYSA-N	Brc1ccc2sccc2c1.C=COCCCC>>CC(=O)c1ccc2sccc2c1	2	Br[c:4]1[cH:5][cH:6][c:7]2[s:8][cH:9][cH:10][c:11]2[cH:12]1.CCCC[O:3][CH:2]=[CH2:1]>>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]2[s:8][cH:9][cH:10][c:11]2[cH:12]1
LYPSYIWSZQVHAB-UHFFFAOYSA-N	CNOC.Ic1ccc2sccc2c1.[C]=O>>CON(C)C(=O)c1ccc2sccc2c1	3	[CH3:1][O:2][NH:3][CH3:4].I[c:7]1[cH:8][cH:9][c:10]2[s:11][cH:12][cH:13][c:14]2[cH:15]1.[C:5]=[O:6]>>[CH3:1][O:2][N:3]([CH3:4])[C:5](=[O:6])[c:7]1[cH:8][cH:9][c:10]2[s:11][cH:12][cH:13][c:14]2[cH:15]1
LYPSYIWSZQVHAB-UHFFFAOYSA-N	CON(C)C(=O)c1ccc2sccc2c1.[Li]C>>CC(=O)c1ccc2sccc2c1	3	CON(C)[C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]2[s:8][cH:9][cH:10][c:11]2[cH:12]1.[Li][CH3:1]>>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]2[s:8][cH:9][cH:10][c:11]2[cH:12]1
LYPSYIWSZQVHAB-UHFFFAOYSA-N	O=C=O>>[C]=O	3	O=[C:1]=[O:2]>>[C:1]=[O:2]
LYPSYIWSZQVHAB-UHFFFAOYSA-N	CON(C)C(=O)c1ccc2sccc2c1.[Li]C>>CC(=O)c1ccc2sccc2c1	4	CON(C)[C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]2[s:8][cH:9][cH:10][c:11]2[cH:12]1.[Li][CH3:1]>>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]2[s:8][cH:9][cH:10][c:11]2[cH:12]1
LYPSYIWSZQVHAB-UHFFFAOYSA-N	O=CO>>[C]=O	4	O=[CH:1][OH:2]>>[C:1]=[O:2]
LYPSYIWSZQVHAB-UHFFFAOYSA-N	CNOC.Ic1ccc2sccc2c1.[C]=O>>CON(C)C(=O)c1ccc2sccc2c1	4	[CH3:1][O:2][NH:3][CH3:4].I[c:7]1[cH:8][cH:9][c:10]2[s:11][cH:12][cH:13][c:14]2[cH:15]1.[C:5]=[O:6]>>[CH3:1][O:2][N:3]([CH3:4])[C:5](=[O:6])[c:7]1[cH:8][cH:9][c:10]2[s:11][cH:12][cH:13][c:14]2[cH:15]1
LYPSYIWSZQVHAB-UHFFFAOYSA-N	CO>>[C]=O	5	[CH3:1][OH:2]>>[C:1]=[O:2]
LYPSYIWSZQVHAB-UHFFFAOYSA-N	CON(C)C(=O)c1ccc2sccc2c1.[Li]C>>CC(=O)c1ccc2sccc2c1	5	CON(C)[C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]2[s:8][cH:9][cH:10][c:11]2[cH:12]1.[Li][CH3:1]>>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]2[s:8][cH:9][cH:10][c:11]2[cH:12]1
LYPSYIWSZQVHAB-UHFFFAOYSA-N	CNOC.Ic1ccc2sccc2c1.[C]=O>>CON(C)C(=O)c1ccc2sccc2c1	5	[CH3:1][O:2][NH:3][CH3:4].I[c:7]1[cH:8][cH:9][c:10]2[s:11][cH:12][cH:13][c:14]2[cH:15]1.[C:5]=[O:6]>>[CH3:1][O:2][N:3]([CH3:4])[C:5](=[O:6])[c:7]1[cH:8][cH:9][c:10]2[s:11][cH:12][cH:13][c:14]2[cH:15]1
LYPSYIWSZQVHAB-UHFFFAOYSA-N	O=C([O-])[O-]>>[C]=O	6	O=[C:1]([O-])[O-:2]>>[C:1]=[O:2]
LYPSYIWSZQVHAB-UHFFFAOYSA-N	CON(C)C(=O)c1ccc2sccc2c1.[Li]C>>CC(=O)c1ccc2sccc2c1	6	CON(C)[C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]2[s:8][cH:9][cH:10][c:11]2[cH:12]1.[Li][CH3:1]>>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]2[s:8][cH:9][cH:10][c:11]2[cH:12]1
LYPSYIWSZQVHAB-UHFFFAOYSA-N	CNOC.Ic1ccc2sccc2c1.[C]=O>>CON(C)C(=O)c1ccc2sccc2c1	6	[CH3:1][O:2][NH:3][CH3:4].I[c:7]1[cH:8][cH:9][c:10]2[s:11][cH:12][cH:13][c:14]2[cH:15]1.[C:5]=[O:6]>>[CH3:1][O:2][N:3]([CH3:4])[C:5](=[O:6])[c:7]1[cH:8][cH:9][c:10]2[s:11][cH:12][cH:13][c:14]2[cH:15]1
LYPSYIWSZQVHAB-UHFFFAOYSA-N	CON(C)C(=O)Cl.OB(O)c1ccc2sccc2c1>>CON(C)C(=O)c1ccc2sccc2c1	7	Cl[C:5]([N:3]([O:2][CH3:1])[CH3:4])=[O:6].OB(O)[c:7]1[cH:8][cH:9][c:10]2[s:11][cH:12][cH:13][c:14]2[cH:15]1>>[CH3:1][O:2][N:3]([CH3:4])[C:5](=[O:6])[c:7]1[cH:8][cH:9][c:10]2[s:11][cH:12][cH:13][c:14]2[cH:15]1
LYPSYIWSZQVHAB-UHFFFAOYSA-N	CON(C)C(=O)c1ccc2sccc2c1.[Li]C>>CC(=O)c1ccc2sccc2c1	7	CON(C)[C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]2[s:8][cH:9][cH:10][c:11]2[cH:12]1.[Li][CH3:1]>>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]2[s:8][cH:9][cH:10][c:11]2[cH:12]1
LYPSYIWSZQVHAB-UHFFFAOYSA-N	CNOC.O=C(O)c1ccc2sccc2c1>>CON(C)C(=O)c1ccc2sccc2c1	8	[CH3:1][O:2][NH:3][CH3:4].O[C:5](=[O:6])[c:7]1[cH:8][cH:9][c:10]2[s:11][cH:12][cH:13][c:14]2[cH:15]1>>[CH3:1][O:2][N:3]([CH3:4])[C:5](=[O:6])[c:7]1[cH:8][cH:9][c:10]2[s:11][cH:12][cH:13][c:14]2[cH:15]1
LYPSYIWSZQVHAB-UHFFFAOYSA-N	CON(C)C(=O)c1ccc2sccc2c1.[Li]C>>CC(=O)c1ccc2sccc2c1	8	CON(C)[C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]2[s:8][cH:9][cH:10][c:11]2[cH:12]1.[Li][CH3:1]>>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]2[s:8][cH:9][cH:10][c:11]2[cH:12]1
LYPSYIWSZQVHAB-UHFFFAOYSA-N	CC(=O)Cl.Ic1ccc2sccc2c1>>CC(=O)c1ccc2sccc2c1	9	Cl[C:2]([CH3:1])=[O:3].I[c:4]1[cH:5][cH:6][c:7]2[s:8][cH:9][cH:10][c:11]2[cH:12]1>>[CH3:1][C:2](=[O:3])[c:4]1[cH:5][cH:6][c:7]2[s:8][cH:9][cH:10][c:11]2[cH:12]1
