tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
MCKPYEQRZUCJKI-SFHVURJKSA-N	Cc1c(Br)ccc(C=O)c1B1OC(C)(C)C(C)(C)O1>>Cc1c(Br)ccc2c1B(O)OC2	1	CC1(C)C(C)(C)[O:11][B:9]([c:8]2[c:2]([CH3:1])[c:3]([Br:4])[cH:5][cH:6][c:7]2[CH:12]=O)[O:10]1>>[CH3:1][c:2]1[c:3]([Br:4])[cH:5][cH:6][c:7]2[c:8]1[B:9]([OH:10])[O:11][CH2:12]2
MCKPYEQRZUCJKI-SFHVURJKSA-N	BrCC1CCOCC1.CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O>>CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)OCC1CCOCC1	1	Br[CH2:16][CH:17]1[CH2:18][CH2:19][O:20][CH2:21][CH2:22]1.[CH3:1][CH:2]([CH3:3])[C@H:4]([NH:5][C:6](=[O:7])[O:8][C:9]([CH3:10])([CH3:11])[CH3:12])[C:13](=[O:14])[OH:15]>>[CH3:1][CH:2]([CH3:3])[C@H:4]([NH:5][C:6](=[O:7])[O:8][C:9]([CH3:10])([CH3:11])[CH3:12])[C:13](=[O:14])[O:15][CH2:16][CH:17]1[CH2:18][CH2:19][O:20][CH2:21][CH2:22]1
MCKPYEQRZUCJKI-SFHVURJKSA-N	CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.Cc1cc(C=O)ccc1Br>>Cc1c(Br)ccc(C=O)c1B1OC(C)(C)C(C)(C)O1	1	CC1(C)OB([B:11]2[O:12][C:13]([CH3:14])([CH3:15])[C:16]([CH3:17])([CH3:18])[O:19]2)OC1(C)C.[CH3:1][c:2]1[c:3]([Br:4])[cH:5][cH:6][c:7]([CH:8]=[O:9])[cH:10]1>>[CH3:1][c:2]1[c:3]([Br:4])[cH:5][cH:6][c:7]([CH:8]=[O:9])[c:10]1[B:11]1[O:12][C:13]([CH3:14])([CH3:15])[C:16]([CH3:17])([CH3:18])[O:19]1
MCKPYEQRZUCJKI-SFHVURJKSA-N	CC(C)[C@H](N)C(=O)OCC1CCOCC1.Cc1c(C(=O)O)ccc2c1B(O)OC2>>Cc1c(C(=O)N[C@H](C(=O)OCC2CCOCC2)C(C)C)ccc2c1B(O)OC2	1	[NH2:6][C@H:7]([C:8](=[O:9])[O:10][CH2:11][CH:12]1[CH2:13][CH2:14][O:15][CH2:16][CH2:17]1)[CH:18]([CH3:19])[CH3:20].O[C:4]([c:3]1[c:2]([CH3:1])[c:24]2[c:23]([cH:22][cH:21]1)[CH2:28][O:27][B:25]2[OH:26])=[O:5]>>[CH3:1][c:2]1[c:3]([C:4](=[O:5])[NH:6][C@H:7]([C:8](=[O:9])[O:10][CH2:11][CH:12]2[CH2:13][CH2:14][O:15][CH2:16][CH2:17]2)[CH:18]([CH3:19])[CH3:20])[cH:21][cH:22][c:23]2[c:24]1[B:25]([OH:26])[O:27][CH2:28]2
MCKPYEQRZUCJKI-SFHVURJKSA-N	Cc1c(Br)ccc2c1B(O)OC2.O=C=O>>Cc1c(C(=O)O)ccc2c1B(O)OC2	1	Br[c:3]1[c:2]([CH3:1])[c:10]2[c:9]([cH:8][cH:7]1)[CH2:14][O:13][B:11]2[OH:12].[C:4](=[O:5])=[O:6]>>[CH3:1][c:2]1[c:3]([C:4](=[O:5])[OH:6])[cH:7][cH:8][c:9]2[c:10]1[B:11]([OH:12])[O:13][CH2:14]2
MCKPYEQRZUCJKI-SFHVURJKSA-N	CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)OCC1CCOCC1>>CC(C)[C@H](N)C(=O)OCC1CCOCC1	1	CC(C)(C)OC(=O)[NH:5][C@@H:4]([CH:2]([CH3:1])[CH3:3])[C:6](=[O:7])[O:8][CH2:9][CH:10]1[CH2:11][CH2:12][O:13][CH2:14][CH2:15]1>>[CH3:1][CH:2]([CH3:3])[C@H:4]([NH2:5])[C:6](=[O:7])[O:8][CH2:9][CH:10]1[CH2:11][CH2:12][O:13][CH2:14][CH2:15]1
MCKPYEQRZUCJKI-SFHVURJKSA-N	BrCC1CCOCC1.CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)O>>CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)OCC1CCOCC1	2	Br[CH2:16][CH:17]1[CH2:18][CH2:19][O:20][CH2:21][CH2:22]1.[CH3:1][CH:2]([CH3:3])[C@H:4]([NH:5][C:6](=[O:7])[O:8][C:9]([CH3:10])([CH3:11])[CH3:12])[C:13](=[O:14])[OH:15]>>[CH3:1][CH:2]([CH3:3])[C@H:4]([NH:5][C:6](=[O:7])[O:8][C:9]([CH3:10])([CH3:11])[CH3:12])[C:13](=[O:14])[O:15][CH2:16][CH:17]1[CH2:18][CH2:19][O:20][CH2:21][CH2:22]1
MCKPYEQRZUCJKI-SFHVURJKSA-N	CC(C)[C@H](N)C(=O)OCC1CCOCC1.Cc1c(C(=O)O)ccc2c1B(O)OC2>>Cc1c(C(=O)N[C@H](C(=O)OCC2CCOCC2)C(C)C)ccc2c1B(O)OC2	2	[NH2:6][C@H:7]([C:8](=[O:9])[O:10][CH2:11][CH:12]1[CH2:13][CH2:14][O:15][CH2:16][CH2:17]1)[CH:18]([CH3:19])[CH3:20].O[C:4]([c:3]1[c:2]([CH3:1])[c:24]2[c:23]([cH:22][cH:21]1)[CH2:28][O:27][B:25]2[OH:26])=[O:5]>>[CH3:1][c:2]1[c:3]([C:4](=[O:5])[NH:6][C@H:7]([C:8](=[O:9])[O:10][CH2:11][CH:12]2[CH2:13][CH2:14][O:15][CH2:16][CH2:17]2)[CH:18]([CH3:19])[CH3:20])[cH:21][cH:22][c:23]2[c:24]1[B:25]([OH:26])[O:27][CH2:28]2
MCKPYEQRZUCJKI-SFHVURJKSA-N	CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.Cc1cc(C=O)ccc1Br>>Cc1c(Br)ccc(C=O)c1B1OC(C)(C)C(C)(C)O1	2	CC1(C)OB([B:11]2[O:12][C:13]([CH3:14])([CH3:15])[C:16]([CH3:17])([CH3:18])[O:19]2)OC1(C)C.[CH3:1][c:2]1[c:3]([Br:4])[cH:5][cH:6][c:7]([CH:8]=[O:9])[cH:10]1>>[CH3:1][c:2]1[c:3]([Br:4])[cH:5][cH:6][c:7]([CH:8]=[O:9])[c:10]1[B:11]1[O:12][C:13]([CH3:14])([CH3:15])[C:16]([CH3:17])([CH3:18])[O:19]1
MCKPYEQRZUCJKI-SFHVURJKSA-N	CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)OCC1CCOCC1>>CC(C)[C@H](N)C(=O)OCC1CCOCC1	2	CC(C)(C)OC(=O)[NH:5][C@@H:4]([CH:2]([CH3:1])[CH3:3])[C:6](=[O:7])[O:8][CH2:9][CH:10]1[CH2:11][CH2:12][O:13][CH2:14][CH2:15]1>>[CH3:1][CH:2]([CH3:3])[C@H:4]([NH2:5])[C:6](=[O:7])[O:8][CH2:9][CH:10]1[CH2:11][CH2:12][O:13][CH2:14][CH2:15]1
