tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
MGPKTKXUWSVAMY-UHFFFAOYSA-N	C[Si](C)(C)C=[N+]=[N-].O=C(Cl)Cc1ccccc1>>O=C(CBr)Cc1ccccc1	1	C[Si](C)(C)[CH:3]=[N+]=[N-].Cl[C:2](=[O:1])[CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1>>[O:1]=[C:2]([CH2:3][Br:4])[CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1
MGPKTKXUWSVAMY-UHFFFAOYSA-N	O=C(CBr)Cc1ccccc1.[C-]#N>>N#CCC(=O)Cc1ccccc1	1	Br[CH2:3][C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1.[N:1]#[C-:2]>>[N:1]#[C:2][CH2:3][C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1
MGPKTKXUWSVAMY-UHFFFAOYSA-N	C=[N+]=[N-].O=C(Cl)Cc1ccccc1>>O=C(CBr)Cc1ccccc1	2	[N-]=[N+]=[CH2:3].Cl[C:2](=[O:1])[CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1>>[O:1]=[C:2]([CH2:3][Br:4])[CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1
MGPKTKXUWSVAMY-UHFFFAOYSA-N	CN(N=O)C(N)=O>>C=[N+]=[N-]	2	C[N:3]([C:1](N)=O)[N:2]=O>>[CH2:1]=[N+:2]=[N-:3]
MGPKTKXUWSVAMY-UHFFFAOYSA-N	O=C(CBr)Cc1ccccc1.[C-]#N>>N#CCC(=O)Cc1ccccc1	2	Br[CH2:3][C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1.[N:1]#[C-:2]>>[N:1]#[C:2][CH2:3][C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1
MGPKTKXUWSVAMY-UHFFFAOYSA-N	C=[N+]=[N-].O=C(Cl)Cc1ccccc1>>O=C(CBr)Cc1ccccc1	3	[N-]=[N+]=[CH2:3].Cl[C:2](=[O:1])[CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1>>[O:1]=[C:2]([CH2:3][Br:4])[CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1
MGPKTKXUWSVAMY-UHFFFAOYSA-N	CN(N=O)C(=N)N[N+](=O)[O-]>>C=[N+]=[N-]	3	N=C(N[N+](=O)[O-])[N:2]([CH3:1])[N:3]=O>>[CH2:1]=[N+:2]=[N-:3]
MGPKTKXUWSVAMY-UHFFFAOYSA-N	O=C(CBr)Cc1ccccc1.[C-]#N>>N#CCC(=O)Cc1ccccc1	3	Br[CH2:3][C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1.[N:1]#[C-:2]>>[N:1]#[C:2][CH2:3][C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1
MGPKTKXUWSVAMY-UHFFFAOYSA-N	C[Si](C)(C)C=[N+]=[N-].O=C(O)Cc1ccccc1>>O=C(CBr)Cc1ccccc1	4	C[Si](C)(C)[CH:3]=[N+]=[N-].O[C:2](=[O:1])[CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1>>[O:1]=[C:2]([CH2:3][Br:4])[CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1
MGPKTKXUWSVAMY-UHFFFAOYSA-N	O=C(CBr)Cc1ccccc1.[C-]#N>>N#CCC(=O)Cc1ccccc1	4	Br[CH2:3][C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1.[N:1]#[C-:2]>>[N:1]#[C:2][CH2:3][C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1
MGPKTKXUWSVAMY-UHFFFAOYSA-N	C=[N+]=[N-].O=C(O)Cc1ccccc1>>O=C(CBr)Cc1ccccc1	5	[N-]=[N+]=[CH2:3].O[C:2](=[O:1])[CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1>>[O:1]=[C:2]([CH2:3][Br:4])[CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1
MGPKTKXUWSVAMY-UHFFFAOYSA-N	CN(N=O)C(N)=O>>C=[N+]=[N-]	5	C[N:3]([C:1](N)=O)[N:2]=O>>[CH2:1]=[N+:2]=[N-:3]
MGPKTKXUWSVAMY-UHFFFAOYSA-N	O=C(CBr)Cc1ccccc1.[C-]#N>>N#CCC(=O)Cc1ccccc1	5	Br[CH2:3][C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1.[N:1]#[C-:2]>>[N:1]#[C:2][CH2:3][C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1
MGPKTKXUWSVAMY-UHFFFAOYSA-N	CN(N=O)C(=N)N[N+](=O)[O-]>>C=[N+]=[N-]	6	N=C(N[N+](=O)[O-])[N:2]([CH3:1])[N:3]=O>>[CH2:1]=[N+:2]=[N-:3]
MGPKTKXUWSVAMY-UHFFFAOYSA-N	C=[N+]=[N-].O=C(O)Cc1ccccc1>>O=C(CBr)Cc1ccccc1	6	[N-]=[N+]=[CH2:3].O[C:2](=[O:1])[CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1>>[O:1]=[C:2]([CH2:3][Br:4])[CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1
MGPKTKXUWSVAMY-UHFFFAOYSA-N	O=C(CBr)Cc1ccccc1.[C-]#N>>N#CCC(=O)Cc1ccccc1	6	Br[CH2:3][C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1.[N:1]#[C-:2]>>[N:1]#[C:2][CH2:3][C:4](=[O:5])[CH2:6][c:7]1[cH:8][cH:9][cH:10][cH:11][cH:12]1
