tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
MVZQNMZKBOUDCI-UHFFFAOYSA-N	C=CCn1c(C=O)nc2ccccc21.CC(C)(C)OC(=O)NCCCCN>>C=CCn1c(C=NCCCCNC(=O)OC(C)(C)C)nc2ccccc21	1	O=[CH:6][c:5]1[n:4]([CH2:3][CH:2]=[CH2:1])[c:26]2[c:21]([n:20]1)[cH:22][cH:23][cH:24][cH:25]2.[NH2:7][CH2:8][CH2:9][CH2:10][CH2:11][NH:12][C:13](=[O:14])[O:15][C:16]([CH3:17])([CH3:18])[CH3:19]>>[CH2:1]=[CH:2][CH2:3][n:4]1[c:5]([CH:6]=[N:7][CH2:8][CH2:9][CH2:10][CH2:11][NH:12][C:13](=[O:14])[O:15][C:16]([CH3:17])([CH3:18])[CH3:19])[n:20][c:21]2[cH:22][cH:23][cH:24][cH:25][c:26]12
MVZQNMZKBOUDCI-UHFFFAOYSA-N	C=CCn1c(C=NCCCCNC(=O)OC(C)(C)C)nc2ccccc21>>C=CCn1c(CNCCCCNC(=O)OC(C)(C)C)nc2ccccc21	1	[CH2:1]=[CH:2][CH2:3][n:4]1[c:5]([CH:6]=[N:7][CH2:8][CH2:9][CH2:10][CH2:11][NH:12][C:13](=[O:14])[O:15][C:16]([CH3:17])([CH3:18])[CH3:19])[n:20][c:21]2[cH:22][cH:23][cH:24][cH:25][c:26]12>>[CH2:1]=[CH:2][CH2:3][n:4]1[c:5]([CH2:6][NH:7][CH2:8][CH2:9][CH2:10][CH2:11][NH:12][C:13](=[O:14])[O:15][C:16]([CH3:17])([CH3:18])[CH3:19])[n:20][c:21]2[cH:22][cH:23][cH:24][cH:25][c:26]12
MVZQNMZKBOUDCI-UHFFFAOYSA-N	C=CCn1c(C=O)nc2ccccc21.CC(C)(C)OC(=O)NCCCCN>>C=CCn1c(CNCCCCNC(=O)OC(C)(C)C)nc2ccccc21	2	O=[CH:6][c:5]1[n:4]([CH2:3][CH:2]=[CH2:1])[c:26]2[c:21]([n:20]1)[cH:22][cH:23][cH:24][cH:25]2.[NH2:7][CH2:8][CH2:9][CH2:10][CH2:11][NH:12][C:13](=[O:14])[O:15][C:16]([CH3:17])([CH3:18])[CH3:19]>>[CH2:1]=[CH:2][CH2:3][n:4]1[c:5]([CH2:6][NH:7][CH2:8][CH2:9][CH2:10][CH2:11][NH:12][C:13](=[O:14])[O:15][C:16]([CH3:17])([CH3:18])[CH3:19])[n:20][c:21]2[cH:22][cH:23][cH:24][cH:25][c:26]12
MVZQNMZKBOUDCI-UHFFFAOYSA-N	C=CCBr.CC(C)(C)OC(=O)NCc1nc2ccccc2[nH]1>>C=CCn1c(CNC(=O)OC(C)(C)C)nc2ccccc21	3	Br[CH2:3][CH:2]=[CH2:1].[nH:4]1[c:5]([CH2:6][NH:7][C:8](=[O:9])[O:10][C:11]([CH3:12])([CH3:13])[CH3:14])[n:15][c:16]2[cH:17][cH:18][cH:19][cH:20][c:21]12>>[CH2:1]=[CH:2][CH2:3][n:4]1[c:5]([CH2:6][NH:7][C:8](=[O:9])[O:10][C:11]([CH3:12])([CH3:13])[CH3:14])[n:15][c:16]2[cH:17][cH:18][cH:19][cH:20][c:21]12
MVZQNMZKBOUDCI-UHFFFAOYSA-N	C=CCn1c(CN)nc2ccccc21.CC(C)(C)OC(=O)NCCCCCl>>C=CCn1c(CNCCCCNC(=O)OC(C)(C)C)nc2ccccc21	3	[CH2:1]=[CH:2][CH2:3][n:4]1[c:5]([CH2:6][NH2:7])[n:20][c:21]2[cH:22][cH:23][cH:24][cH:25][c:26]12.Cl[CH2:8][CH2:9][CH2:10][CH2:11][NH:12][C:13](=[O:14])[O:15][C:16]([CH3:17])([CH3:18])[CH3:19]>>[CH2:1]=[CH:2][CH2:3][n:4]1[c:5]([CH2:6][NH:7][CH2:8][CH2:9][CH2:10][CH2:11][NH:12][C:13](=[O:14])[O:15][C:16]([CH3:17])([CH3:18])[CH3:19])[n:20][c:21]2[cH:22][cH:23][cH:24][cH:25][c:26]12
MVZQNMZKBOUDCI-UHFFFAOYSA-N	C=CCn1c(CNC(=O)OC(C)(C)C)nc2ccccc21>>C=CCn1c(CN)nc2ccccc21	3	CC(C)(C)OC(=O)[NH:7][CH2:6][c:5]1[n:4]([CH2:3][CH:2]=[CH2:1])[c:14]2[c:9]([n:8]1)[cH:10][cH:11][cH:12][cH:13]2>>[CH2:1]=[CH:2][CH2:3][n:4]1[c:5]([CH2:6][NH2:7])[n:8][c:9]2[cH:10][cH:11][cH:12][cH:13][c:14]12
MVZQNMZKBOUDCI-UHFFFAOYSA-N	C=CCn1c(C=NCCCCNC(=O)OC(C)(C)C)nc2ccccc21>>C=CCn1c(CNCCCCNC(=O)OC(C)(C)C)nc2ccccc21	4	[CH2:1]=[CH:2][CH2:3][n:4]1[c:5]([CH:6]=[N:7][CH2:8][CH2:9][CH2:10][CH2:11][NH:12][C:13](=[O:14])[O:15][C:16]([CH3:17])([CH3:18])[CH3:19])[n:20][c:21]2[cH:22][cH:23][cH:24][cH:25][c:26]12>>[CH2:1]=[CH:2][CH2:3][n:4]1[c:5]([CH2:6][NH:7][CH2:8][CH2:9][CH2:10][CH2:11][NH:12][C:13](=[O:14])[O:15][C:16]([CH3:17])([CH3:18])[CH3:19])[n:20][c:21]2[cH:22][cH:23][cH:24][cH:25][c:26]12
MVZQNMZKBOUDCI-UHFFFAOYSA-N	CC(C)(C)OC(=O)NCCCCN.O=Cc1nc2ccccc2[nH]1>>CC(C)(C)OC(=O)NCCCCN=Cc1nc2ccccc2[nH]1	4	[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH2:9][CH2:10][CH2:11][CH2:12][NH2:13].O=[CH:14][c:15]1[n:16][c:17]2[cH:18][cH:19][cH:20][cH:21][c:22]2[nH:23]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][CH2:9][CH2:10][CH2:11][CH2:12][N:13]=[CH:14][c:15]1[n:16][c:17]2[cH:18][cH:19][cH:20][cH:21][c:22]2[nH:23]1
MVZQNMZKBOUDCI-UHFFFAOYSA-N	C=CCBr.CC(C)(C)OC(=O)NCCCCN=Cc1nc2ccccc2[nH]1>>C=CCn1c(C=NCCCCNC(=O)OC(C)(C)C)nc2ccccc21	4	Br[CH2:3][CH:2]=[CH2:1].[nH:4]1[c:5]([CH:6]=[N:7][CH2:8][CH2:9][CH2:10][CH2:11][NH:12][C:13](=[O:14])[O:15][C:16]([CH3:17])([CH3:18])[CH3:19])[n:20][c:21]2[cH:22][cH:23][cH:24][cH:25][c:26]12>>[CH2:1]=[CH:2][CH2:3][n:4]1[c:5]([CH:6]=[N:7][CH2:8][CH2:9][CH2:10][CH2:11][NH:12][C:13](=[O:14])[O:15][C:16]([CH3:17])([CH3:18])[CH3:19])[n:20][c:21]2[cH:22][cH:23][cH:24][cH:25][c:26]12
MVZQNMZKBOUDCI-UHFFFAOYSA-N	C=CCn1c(CN)nc2ccccc21.CC(C)(C)OC(=O)NCCCCCl>>C=CCn1c(CNCCCCNC(=O)OC(C)(C)C)nc2ccccc21	5	[CH2:1]=[CH:2][CH2:3][n:4]1[c:5]([CH2:6][NH2:7])[n:20][c:21]2[cH:22][cH:23][cH:24][cH:25][c:26]12.Cl[CH2:8][CH2:9][CH2:10][CH2:11][NH:12][C:13](=[O:14])[O:15][C:16]([CH3:17])([CH3:18])[CH3:19]>>[CH2:1]=[CH:2][CH2:3][n:4]1[c:5]([CH2:6][NH:7][CH2:8][CH2:9][CH2:10][CH2:11][NH:12][C:13](=[O:14])[O:15][C:16]([CH3:17])([CH3:18])[CH3:19])[n:20][c:21]2[cH:22][cH:23][cH:24][cH:25][c:26]12
