tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
NKQYHZABKBYUMX-UHFFFAOYSA-N	C#CC.O=C1c2ccccc2C(=O)N1CCBr>>Cc1cn(CCN2C(=O)c3ccccc3C2=O)nn1	1	[CH3:1][C:2]#[CH:3].Br[CH2:6][CH2:5][N:4]1[C:8](=[O:9])[c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]2[C:16]1=[O:17]>>[CH3:1][c:2]1[cH:3][n:4]([CH2:5][CH2:6][N:7]2[C:8](=[O:9])[c:10]3[cH:11][cH:12][cH:13][cH:14][c:15]3[C:16]2=[O:17])[n:18][n:19]1
NKQYHZABKBYUMX-UHFFFAOYSA-N	Cc1c[nH]nn1.O=C1c2ccccc2C(=O)N1CCBr>>Cc1cn(CCN2C(=O)c3ccccc3C2=O)nn1	2	[CH3:1][c:2]1[cH:3][nH:4][n:18][n:19]1.Br[CH2:5][CH2:6][N:7]1[C:8](=[O:9])[c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]2[C:16]1=[O:17]>>[CH3:1][c:2]1[cH:3][n:4]([CH2:5][CH2:6][N:7]2[C:8](=[O:9])[c:10]3[cH:11][cH:12][cH:13][cH:14][c:15]3[C:16]2=[O:17])[n:18][n:19]1
NKQYHZABKBYUMX-UHFFFAOYSA-N	Cc1c[nH]nn1.O=C1c2ccccc2C(=O)N1CCCl>>Cc1cn(CCN2C(=O)c3ccccc3C2=O)nn1	3	[CH3:1][c:2]1[cH:3][nH:4][n:18][n:19]1.Cl[CH2:5][CH2:6][N:7]1[C:8](=[O:9])[c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]2[C:16]1=[O:17]>>[CH3:1][c:2]1[cH:3][n:4]([CH2:5][CH2:6][N:7]2[C:8](=[O:9])[c:10]3[cH:11][cH:12][cH:13][cH:14][c:15]3[C:16]2=[O:17])[n:18][n:19]1
NKQYHZABKBYUMX-UHFFFAOYSA-N	Cc1c[nH]nn1.Cc1ccc(S(=O)(=O)OCCN2C(=O)c3ccccc3C2=O)cc1>>Cc1cn(CCN2C(=O)c3ccccc3C2=O)nn1	4	[CH3:1][c:2]1[cH:3][nH:4][n:18][n:19]1.Cc1ccc(S(=O)(=O)O[CH2:5][CH2:6][N:7]2[C:8](=[O:9])[c:10]3[cH:11][cH:12][cH:13][cH:14][c:15]3[C:16]2=[O:17])cc1>>[CH3:1][c:2]1[cH:3][n:4]([CH2:5][CH2:6][N:7]2[C:8](=[O:9])[c:10]3[cH:11][cH:12][cH:13][cH:14][c:15]3[C:16]2=[O:17])[n:18][n:19]1
NKQYHZABKBYUMX-UHFFFAOYSA-N	C#CC.[N-]=[N+]=NCCO>>Cc1cn(CCO)nn1	5	[CH3:1][C:2]#[CH:3].[N:4]([CH2:5][CH2:6][OH:7])=[N+:8]=[N-:9]>>[CH3:1][c:2]1[cH:3][n:4]([CH2:5][CH2:6][OH:7])[n:8][n:9]1
NKQYHZABKBYUMX-UHFFFAOYSA-N	Cc1cn(CCO)nn1.O=C1NC(=O)c2ccccc21>>Cc1cn(CCN2C(=O)c3ccccc3C2=O)nn1	5	O[CH2:6][CH2:5][n:4]1[cH:3][c:2]([CH3:1])[n:19][n:18]1.[NH:7]1[C:8](=[O:9])[c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]2[C:16]1=[O:17]>>[CH3:1][c:2]1[cH:3][n:4]([CH2:5][CH2:6][N:7]2[C:8](=[O:9])[c:10]3[cH:11][cH:12][cH:13][cH:14][c:15]3[C:16]2=[O:17])[n:18][n:19]1
NKQYHZABKBYUMX-UHFFFAOYSA-N	Cc1cn(CCO)nn1.O=C1NC(=O)c2ccccc21>>Cc1cn(CCN2C(=O)c3ccccc3C2=O)nn1	6	O[CH2:6][CH2:5][n:4]1[cH:3][c:2]([CH3:1])[n:19][n:18]1.[NH:7]1[C:8](=[O:9])[c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]2[C:16]1=[O:17]>>[CH3:1][c:2]1[cH:3][n:4]([CH2:5][CH2:6][N:7]2[C:8](=[O:9])[c:10]3[cH:11][cH:12][cH:13][cH:14][c:15]3[C:16]2=[O:17])[n:18][n:19]1
NKQYHZABKBYUMX-UHFFFAOYSA-N	C#CC.OCCBr>>Cc1cn(CCO)nn1	6	[CH3:1][C:2]#[CH:3].Br[CH2:5][CH2:6][OH:7]>>[CH3:1][c:2]1[cH:3][n:4]([CH2:5][CH2:6][OH:7])[n:8][n:9]1
NKQYHZABKBYUMX-UHFFFAOYSA-N	Cc1c[nH]nn1.OCCBr>>Cc1cn(CCO)nn1	7	[CH3:1][c:2]1[cH:3][nH:4][n:8][n:9]1.Br[CH2:5][CH2:6][OH:7]>>[CH3:1][c:2]1[cH:3][n:4]([CH2:5][CH2:6][OH:7])[n:8][n:9]1
NKQYHZABKBYUMX-UHFFFAOYSA-N	Cc1cn(CCO)nn1.O=C1NC(=O)c2ccccc21>>Cc1cn(CCN2C(=O)c3ccccc3C2=O)nn1	7	O[CH2:6][CH2:5][n:4]1[cH:3][c:2]([CH3:1])[n:19][n:18]1.[NH:7]1[C:8](=[O:9])[c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]2[C:16]1=[O:17]>>[CH3:1][c:2]1[cH:3][n:4]([CH2:5][CH2:6][N:7]2[C:8](=[O:9])[c:10]3[cH:11][cH:12][cH:13][cH:14][c:15]3[C:16]2=[O:17])[n:18][n:19]1
NKQYHZABKBYUMX-UHFFFAOYSA-N	Cc1cn(CCO)nn1.O=C1NC(=O)c2ccccc21>>Cc1cn(CCN2C(=O)c3ccccc3C2=O)nn1	8	O[CH2:6][CH2:5][n:4]1[cH:3][c:2]([CH3:1])[n:19][n:18]1.[NH:7]1[C:8](=[O:9])[c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]2[C:16]1=[O:17]>>[CH3:1][c:2]1[cH:3][n:4]([CH2:5][CH2:6][N:7]2[C:8](=[O:9])[c:10]3[cH:11][cH:12][cH:13][cH:14][c:15]3[C:16]2=[O:17])[n:18][n:19]1
NKQYHZABKBYUMX-UHFFFAOYSA-N	C#CC.Cc1ccc(S(=O)(=O)OCCO)cc1>>Cc1cn(CCO)nn1	8	[CH3:1][C:2]#[CH:3].Cc1ccc(S(=O)(=O)O[CH2:5][CH2:6][OH:7])cc1>>[CH3:1][c:2]1[cH:3][n:4]([CH2:5][CH2:6][OH:7])[n:8][n:9]1
NKQYHZABKBYUMX-UHFFFAOYSA-N	Cc1[nH]nnc1C=O>>Cc1[nH]nnc1C(=O)O	9	[CH3:1][c:2]1[nH:3][n:4][n:5][c:6]1[CH:7]=[O:8]>>[CH3:1][c:2]1[nH:3][n:4][n:5][c:6]1[C:7](=[O:8])[OH:9]
NKQYHZABKBYUMX-UHFFFAOYSA-N	Cc1cnn[nH]1.O=C1c2ccccc2C(=O)N1CCBr>>Cc1cn(CCN2C(=O)c3ccccc3C2=O)nn1	9	[CH3:1][c:2]1[cH:3][n:4][n:18][nH:19]1.Br[CH2:5][CH2:6][N:7]1[C:8](=[O:9])[c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]2[C:16]1=[O:17]>>[CH3:1][c:2]1[cH:3][n:4]([CH2:5][CH2:6][N:7]2[C:8](=[O:9])[c:10]3[cH:11][cH:12][cH:13][cH:14][c:15]3[C:16]2=[O:17])[n:18][n:19]1
