tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
NTOVJWIULULGGI-GFCCVEGCSA-N	CO[C@H](CN)CO.O=C(O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1>>CO[C@@H](CO)CNC(=O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1	1	[CH3:1][O:2][C@@H:3]([CH2:4][OH:5])[CH2:6][NH2:7].O[C:8](=[O:9])[c:10]1[cH:11][c:12]([NH:13][c:14]2[cH:15][cH:16][cH:17][c:18]([F:19])[c:20]2[F:21])[c:22]2[cH:23][c:24]([Cl:25])[cH:26][cH:27][c:28]2[n:29]1>>[CH3:1][O:2][C@@H:3]([CH2:4][OH:5])[CH2:6][NH:7][C:8](=[O:9])[c:10]1[cH:11][c:12]([NH:13][c:14]2[cH:15][cH:16][cH:17][c:18]([F:19])[c:20]2[F:21])[c:22]2[cH:23][c:24]([Cl:25])[cH:26][cH:27][c:28]2[n:29]1
NTOVJWIULULGGI-GFCCVEGCSA-N	CCOC(=O)c1cc(Br)c2cc(Cl)ccc2n1.Nc1cccc(F)c1F>>CCOC(=O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1	1	Br[c:8]1[cH:7][c:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])[n:25][c:24]2[c:18]1[cH:19][c:20]([Cl:21])[cH:22][cH:23]2.[NH2:9][c:10]1[cH:11][cH:12][cH:13][c:14]([F:15])[c:16]1[F:17]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][c:8]([NH:9][c:10]2[cH:11][cH:12][cH:13][c:14]([F:15])[c:16]2[F:17])[c:18]2[cH:19][c:20]([Cl:21])[cH:22][cH:23][c:24]2[n:25]1
NTOVJWIULULGGI-GFCCVEGCSA-N	CCOC(=O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1>>O=C(O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1	1	CC[O:3][C:2](=[O:1])[c:4]1[cH:5][c:6]([NH:7][c:8]2[cH:9][cH:10][cH:11][c:12]([F:13])[c:14]2[F:15])[c:16]2[cH:17][c:18]([Cl:19])[cH:20][cH:21][c:22]2[n:23]1>>[O:1]=[C:2]([OH:3])[c:4]1[cH:5][c:6]([NH:7][c:8]2[cH:9][cH:10][cH:11][c:12]([F:13])[c:14]2[F:15])[c:16]2[cH:17][c:18]([Cl:19])[cH:20][cH:21][c:22]2[n:23]1
NTOVJWIULULGGI-GFCCVEGCSA-N	COC(=O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1>>O=C(O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1	2	C[O:3][C:2](=[O:1])[c:4]1[cH:5][c:6]([NH:7][c:8]2[cH:9][cH:10][cH:11][c:12]([F:13])[c:14]2[F:15])[c:16]2[cH:17][c:18]([Cl:19])[cH:20][cH:21][c:22]2[n:23]1>>[O:1]=[C:2]([OH:3])[c:4]1[cH:5][c:6]([NH:7][c:8]2[cH:9][cH:10][cH:11][c:12]([F:13])[c:14]2[F:15])[c:16]2[cH:17][c:18]([Cl:19])[cH:20][cH:21][c:22]2[n:23]1
NTOVJWIULULGGI-GFCCVEGCSA-N	CO[C@H](CN)CO.O=C(O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1>>CO[C@@H](CO)CNC(=O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1	2	[CH3:1][O:2][C@@H:3]([CH2:4][OH:5])[CH2:6][NH2:7].O[C:8](=[O:9])[c:10]1[cH:11][c:12]([NH:13][c:14]2[cH:15][cH:16][cH:17][c:18]([F:19])[c:20]2[F:21])[c:22]2[cH:23][c:24]([Cl:25])[cH:26][cH:27][c:28]2[n:29]1>>[CH3:1][O:2][C@@H:3]([CH2:4][OH:5])[CH2:6][NH:7][C:8](=[O:9])[c:10]1[cH:11][c:12]([NH:13][c:14]2[cH:15][cH:16][cH:17][c:18]([F:19])[c:20]2[F:21])[c:22]2[cH:23][c:24]([Cl:25])[cH:26][cH:27][c:28]2[n:29]1
NTOVJWIULULGGI-GFCCVEGCSA-N	COC(=O)c1cc(Cl)c2cc(Cl)ccc2n1.Nc1cccc(F)c1F>>COC(=O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1	2	Cl[c:7]1[cH:6][c:5]([C:3]([O:2][CH3:1])=[O:4])[n:24][c:23]2[c:17]1[cH:18][c:19]([Cl:20])[cH:21][cH:22]2.[NH2:8][c:9]1[cH:10][cH:11][cH:12][c:13]([F:14])[c:15]1[F:16]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([NH:8][c:9]2[cH:10][cH:11][cH:12][c:13]([F:14])[c:15]2[F:16])[c:17]2[cH:18][c:19]([Cl:20])[cH:21][cH:22][c:23]2[n:24]1
NTOVJWIULULGGI-GFCCVEGCSA-N	CO[C@H](CN)CO.O=C(O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1>>CO[C@@H](CO)CNC(=O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1	3	[CH3:1][O:2][C@@H:3]([CH2:4][OH:5])[CH2:6][NH2:7].O[C:8](=[O:9])[c:10]1[cH:11][c:12]([NH:13][c:14]2[cH:15][cH:16][cH:17][c:18]([F:19])[c:20]2[F:21])[c:22]2[cH:23][c:24]([Cl:25])[cH:26][cH:27][c:28]2[n:29]1>>[CH3:1][O:2][C@@H:3]([CH2:4][OH:5])[CH2:6][NH:7][C:8](=[O:9])[c:10]1[cH:11][c:12]([NH:13][c:14]2[cH:15][cH:16][cH:17][c:18]([F:19])[c:20]2[F:21])[c:22]2[cH:23][c:24]([Cl:25])[cH:26][cH:27][c:28]2[n:29]1
NTOVJWIULULGGI-GFCCVEGCSA-N	CCOC(=O)c1cc(Cl)c2cc(Cl)ccc2n1.Nc1cccc(F)c1F>>CCOC(=O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1	3	Cl[c:8]1[cH:7][c:6]([C:4]([O:3][CH2:2][CH3:1])=[O:5])[n:25][c:24]2[c:18]1[cH:19][c:20]([Cl:21])[cH:22][cH:23]2.[NH2:9][c:10]1[cH:11][cH:12][cH:13][c:14]([F:15])[c:16]1[F:17]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][c:8]([NH:9][c:10]2[cH:11][cH:12][cH:13][c:14]([F:15])[c:16]2[F:17])[c:18]2[cH:19][c:20]([Cl:21])[cH:22][cH:23][c:24]2[n:25]1
NTOVJWIULULGGI-GFCCVEGCSA-N	CCO.O=C(O)c1cc(Cl)c2cc(Cl)ccc2n1>>CCOC(=O)c1cc(Cl)c2cc(Cl)ccc2n1	3	[CH3:1][CH2:2][OH:3].O[C:4](=[O:5])[c:6]1[cH:7][c:8]([Cl:9])[c:10]2[cH:11][c:12]([Cl:13])[cH:14][cH:15][c:16]2[n:17]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][c:8]([Cl:9])[c:10]2[cH:11][c:12]([Cl:13])[cH:14][cH:15][c:16]2[n:17]1
NTOVJWIULULGGI-GFCCVEGCSA-N	CCOC(=O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1>>O=C(O)c1cc(Nc2cccc(F)c2F)c2cc(Cl)ccc2n1	3	CC[O:3][C:2](=[O:1])[c:4]1[cH:5][c:6]([NH:7][c:8]2[cH:9][cH:10][cH:11][c:12]([F:13])[c:14]2[F:15])[c:16]2[cH:17][c:18]([Cl:19])[cH:20][cH:21][c:22]2[n:23]1>>[O:1]=[C:2]([OH:3])[c:4]1[cH:5][c:6]([NH:7][c:8]2[cH:9][cH:10][cH:11][c:12]([F:13])[c:14]2[F:15])[c:16]2[cH:17][c:18]([Cl:19])[cH:20][cH:21][c:22]2[n:23]1
