tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
NVTKJBXOBFRPLQ-UHFFFAOYSA-N	CCOC(=O)CN=C=O.O=C1CC(=O)N(C2CCCCC2)C(=O)N1C1CCCCC1>>CCOC(=O)CNC(=O)c1c(O)n(C2CCCCC2)c(=O)n(C2CCCCC2)c1=O	1	[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][N:7]=[C:8]=[O:9].[CH2:10]1[C:11](=[O:12])[N:13]([CH:14]2[CH2:15][CH2:16][CH2:17][CH2:18][CH2:19]2)[C:20](=[O:21])[N:22]([CH:23]2[CH2:24][CH2:25][CH2:26][CH2:27][CH2:28]2)[C:29]1=[O:30]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH2:6][NH:7][C:8](=[O:9])[c:10]1[c:11]([OH:12])[n:13]([CH:14]2[CH2:15][CH2:16][CH2:17][CH2:18][CH2:19]2)[c:20](=[O:21])[n:22]([CH:23]2[CH2:24][CH2:25][CH2:26][CH2:27][CH2:28]2)[c:29]1=[O:30]
NVTKJBXOBFRPLQ-UHFFFAOYSA-N	CCOC(=O)CNC(=O)c1c(O)n(C2CCCCC2)c(=O)n(C2CCCCC2)c1=O>>O=C(O)CNC(=O)c1c(O)n(C2CCCCC2)c(=O)n(C2CCCCC2)c1=O	1	CC[O:3][C:2](=[O:1])[CH2:4][NH:5][C:6](=[O:7])[c:8]1[c:9]([OH:10])[n:11]([CH:12]2[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]2)[c:18](=[O:19])[n:20]([CH:21]2[CH2:22][CH2:23][CH2:24][CH2:25][CH2:26]2)[c:27]1=[O:28]>>[O:1]=[C:2]([OH:3])[CH2:4][NH:5][C:6](=[O:7])[c:8]1[c:9]([OH:10])[n:11]([CH:12]2[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]2)[c:18](=[O:19])[n:20]([CH:21]2[CH2:22][CH2:23][CH2:24][CH2:25][CH2:26]2)[c:27]1=[O:28]
NVTKJBXOBFRPLQ-UHFFFAOYSA-N	O=C(CNC(=O)c1c(O)n(C2CCCCC2)c(=O)n(C2CCCCC2)c1=O)OCc1ccccc1>>O=C(O)CNC(=O)c1c(O)n(C2CCCCC2)c(=O)n(C2CCCCC2)c1=O	2	c1ccc(C[O:3][C:2](=[O:1])[CH2:4][NH:5][C:6](=[O:7])[c:8]2[c:9]([OH:10])[n:11]([CH:12]3[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]3)[c:18](=[O:19])[n:20]([CH:21]3[CH2:22][CH2:23][CH2:24][CH2:25][CH2:26]3)[c:27]2=[O:28])cc1>>[O:1]=[C:2]([OH:3])[CH2:4][NH:5][C:6](=[O:7])[c:8]1[c:9]([OH:10])[n:11]([CH:12]2[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]2)[c:18](=[O:19])[n:20]([CH:21]2[CH2:22][CH2:23][CH2:24][CH2:25][CH2:26]2)[c:27]1=[O:28]
NVTKJBXOBFRPLQ-UHFFFAOYSA-N	NCC(=O)OCc1ccccc1.O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl>>O=C=NCC(=O)OCc1ccccc1	2	[NH2:3][CH2:4][C:5](=[O:6])[O:7][CH2:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1.ClC(Cl)(Cl)O[C:2](OC(Cl)(Cl)Cl)=[O:1]>>[O:1]=[C:2]=[N:3][CH2:4][C:5](=[O:6])[O:7][CH2:8][c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1
NVTKJBXOBFRPLQ-UHFFFAOYSA-N	O=C1CC(=O)N(C2CCCCC2)C(=O)N1C1CCCCC1.O=C=NCC(=O)OCc1ccccc1>>O=C(CNC(=O)c1c(O)n(C2CCCCC2)c(=O)n(C2CCCCC2)c1=O)OCc1ccccc1	2	[CH2:7]1[C:8](=[O:9])[N:10]([CH:11]2[CH2:12][CH2:13][CH2:14][CH2:15][CH2:16]2)[C:17](=[O:18])[N:19]([CH:20]2[CH2:21][CH2:22][CH2:23][CH2:24][CH2:25]2)[C:26]1=[O:27].[O:1]=[C:2]([CH2:3][N:4]=[C:5]=[O:6])[O:28][CH2:29][c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1>>[O:1]=[C:2]([CH2:3][NH:4][C:5](=[O:6])[c:7]1[c:8]([OH:9])[n:10]([CH:11]2[CH2:12][CH2:13][CH2:14][CH2:15][CH2:16]2)[c:17](=[O:18])[n:19]([CH:20]2[CH2:21][CH2:22][CH2:23][CH2:24][CH2:25]2)[c:26]1=[O:27])[O:28][CH2:29][c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1
NVTKJBXOBFRPLQ-UHFFFAOYSA-N	CCCCOC(=O)CN=C=O.O=C1CC(=O)N(C2CCCCC2)C(=O)N1C1CCCCC1>>CCCCOC(=O)CNC(=O)c1c(O)n(C2CCCCC2)c(=O)n(C2CCCCC2)c1=O	3	[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[CH2:8][N:9]=[C:10]=[O:11].[CH2:12]1[C:13](=[O:14])[N:15]([CH:16]2[CH2:17][CH2:18][CH2:19][CH2:20][CH2:21]2)[C:22](=[O:23])[N:24]([CH:25]2[CH2:26][CH2:27][CH2:28][CH2:29][CH2:30]2)[C:31]1=[O:32]>>[CH3:1][CH2:2][CH2:3][CH2:4][O:5][C:6](=[O:7])[CH2:8][NH:9][C:10](=[O:11])[c:12]1[c:13]([OH:14])[n:15]([CH:16]2[CH2:17][CH2:18][CH2:19][CH2:20][CH2:21]2)[c:22](=[O:23])[n:24]([CH:25]2[CH2:26][CH2:27][CH2:28][CH2:29][CH2:30]2)[c:31]1=[O:32]
NVTKJBXOBFRPLQ-UHFFFAOYSA-N	CCCCOC(=O)CNC(=O)c1c(O)n(C2CCCCC2)c(=O)n(C2CCCCC2)c1=O>>O=C(O)CNC(=O)c1c(O)n(C2CCCCC2)c(=O)n(C2CCCCC2)c1=O	3	CCCC[O:3][C:2](=[O:1])[CH2:4][NH:5][C:6](=[O:7])[c:8]1[c:9]([OH:10])[n:11]([CH:12]2[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]2)[c:18](=[O:19])[n:20]([CH:21]2[CH2:22][CH2:23][CH2:24][CH2:25][CH2:26]2)[c:27]1=[O:28]>>[O:1]=[C:2]([OH:3])[CH2:4][NH:5][C:6](=[O:7])[c:8]1[c:9]([OH:10])[n:11]([CH:12]2[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]2)[c:18](=[O:19])[n:20]([CH:21]2[CH2:22][CH2:23][CH2:24][CH2:25][CH2:26]2)[c:27]1=[O:28]
NVTKJBXOBFRPLQ-UHFFFAOYSA-N	CC(C)(C)OC(=O)CN.O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl>>CC(C)(C)OC(=O)CN=C=O	4	[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[CH2:8][NH2:9].ClC(Cl)(Cl)O[C:10](OC(Cl)(Cl)Cl)=[O:11]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[CH2:8][N:9]=[C:10]=[O:11]
NVTKJBXOBFRPLQ-UHFFFAOYSA-N	CC(C)(C)OC(=O)CN=C=O.O=C1CC(=O)N(C2CCCCC2)C(=O)N1C1CCCCC1>>CC(C)(C)OC(=O)CNC(=O)c1c(O)n(C2CCCCC2)c(=O)n(C2CCCCC2)c1=O	4	[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[CH2:8][N:9]=[C:10]=[O:11].[CH2:12]1[C:13](=[O:14])[N:15]([CH:16]2[CH2:17][CH2:18][CH2:19][CH2:20][CH2:21]2)[C:22](=[O:23])[N:24]([CH:25]2[CH2:26][CH2:27][CH2:28][CH2:29][CH2:30]2)[C:31]1=[O:32]>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[CH2:8][NH:9][C:10](=[O:11])[c:12]1[c:13]([OH:14])[n:15]([CH:16]2[CH2:17][CH2:18][CH2:19][CH2:20][CH2:21]2)[c:22](=[O:23])[n:24]([CH:25]2[CH2:26][CH2:27][CH2:28][CH2:29][CH2:30]2)[c:31]1=[O:32]
NVTKJBXOBFRPLQ-UHFFFAOYSA-N	CC(C)(C)OC(=O)CNC(=O)c1c(O)n(C2CCCCC2)c(=O)n(C2CCCCC2)c1=O>>O=C(O)CNC(=O)c1c(O)n(C2CCCCC2)c(=O)n(C2CCCCC2)c1=O	4	CC(C)(C)[O:3][C:2](=[O:1])[CH2:4][NH:5][C:6](=[O:7])[c:8]1[c:9]([OH:10])[n:11]([CH:12]2[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]2)[c:18](=[O:19])[n:20]([CH:21]2[CH2:22][CH2:23][CH2:24][CH2:25][CH2:26]2)[c:27]1=[O:28]>>[O:1]=[C:2]([OH:3])[CH2:4][NH:5][C:6](=[O:7])[c:8]1[c:9]([OH:10])[n:11]([CH:12]2[CH2:13][CH2:14][CH2:15][CH2:16][CH2:17]2)[c:18](=[O:19])[n:20]([CH:21]2[CH2:22][CH2:23][CH2:24][CH2:25][CH2:26]2)[c:27]1=[O:28]
