tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
OJUKGYKYSNNNSA-UHFFFAOYSA-N	COC(=O)c1cccc(B2OC(C)(C)C(C)(C)O2)c1.Cc1cccc(CCl)c1>>COC(=O)c1cccc(Cc2cccc(C)c2)c1	1	CC1(C)OB([c:9]2[cH:8][cH:7][cH:6][c:5]([C:3]([O:2][CH3:1])=[O:4])[cH:18]2)OC1(C)C.Cl[CH2:10][c:11]1[cH:12][cH:13][cH:14][c:15]([CH3:16])[cH:17]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][cH:8][c:9]([CH2:10][c:11]2[cH:12][cH:13][cH:14][c:15]([CH3:16])[cH:17]2)[cH:18]1
OJUKGYKYSNNNSA-UHFFFAOYSA-N	COC(=O)c1cccc(Cc2cccc(C)c2)c1>>Cc1cccc(Cc2cccc(C(=O)O)c2)c1	1	C[O:15][C:13]([c:12]1[cH:11][cH:10][cH:9][c:8]([CH2:7][c:6]2[cH:5][cH:4][cH:3][c:2]([CH3:1])[cH:17]2)[cH:16]1)=[O:14]>>[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]([CH2:7][c:8]2[cH:9][cH:10][cH:11][c:12]([C:13](=[O:14])[OH:15])[cH:16]2)[cH:17]1
OJUKGYKYSNNNSA-UHFFFAOYSA-N	Cc1cccc(Cc2cccc(C(=O)O)c2)c1.NCCc1c[nH]c2ccc(Cl)cc12>>Cc1cccc(Cc2cccc(C(=O)NCCc3c[nH]c4ccc(Cl)cc34)c2)c1	1	O[C:13]([c:12]1[cH:11][cH:10][cH:9][c:8]([CH2:7][c:6]2[cH:5][cH:4][cH:3][c:2]([CH3:1])[cH:29]2)[cH:28]1)=[O:14].[NH2:15][CH2:16][CH2:17][c:18]1[cH:19][nH:20][c:21]2[cH:22][cH:23][c:24]([Cl:25])[cH:26][c:27]12>>[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]([CH2:7][c:8]2[cH:9][cH:10][cH:11][c:12]([C:13](=[O:14])[NH:15][CH2:16][CH2:17][c:18]3[cH:19][nH:20][c:21]4[cH:22][cH:23][c:24]([Cl:25])[cH:26][c:27]34)[cH:28]2)[cH:29]1
OJUKGYKYSNNNSA-UHFFFAOYSA-N	COC(=O)c1cccc(CCl)c1.Cc1cccc(B2OC(C)(C)C(C)(C)O2)c1>>COC(=O)c1cccc(Cc2cccc(C)c2)c1	2	Cl[CH2:10][c:9]1[cH:8][cH:7][cH:6][c:5]([C:3]([O:2][CH3:1])=[O:4])[cH:18]1.CC1(C)OB([c:11]2[cH:12][cH:13][cH:14][c:15]([CH3:16])[cH:17]2)OC1(C)C>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][cH:8][c:9]([CH2:10][c:11]2[cH:12][cH:13][cH:14][c:15]([CH3:16])[cH:17]2)[cH:18]1
OJUKGYKYSNNNSA-UHFFFAOYSA-N	COC(=O)c1cccc(Cc2cccc(C)c2)c1>>Cc1cccc(Cc2cccc(C(=O)O)c2)c1	2	C[O:15][C:13]([c:12]1[cH:11][cH:10][cH:9][c:8]([CH2:7][c:6]2[cH:5][cH:4][cH:3][c:2]([CH3:1])[cH:17]2)[cH:16]1)=[O:14]>>[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]([CH2:7][c:8]2[cH:9][cH:10][cH:11][c:12]([C:13](=[O:14])[OH:15])[cH:16]2)[cH:17]1
OJUKGYKYSNNNSA-UHFFFAOYSA-N	Cc1cccc(Cc2cccc(C(=O)O)c2)c1.NCCc1c[nH]c2ccc(Cl)cc12>>Cc1cccc(Cc2cccc(C(=O)NCCc3c[nH]c4ccc(Cl)cc34)c2)c1	2	O[C:13]([c:12]1[cH:11][cH:10][cH:9][c:8]([CH2:7][c:6]2[cH:5][cH:4][cH:3][c:2]([CH3:1])[cH:29]2)[cH:28]1)=[O:14].[NH2:15][CH2:16][CH2:17][c:18]1[cH:19][nH:20][c:21]2[cH:22][cH:23][c:24]([Cl:25])[cH:26][c:27]12>>[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]([CH2:7][c:8]2[cH:9][cH:10][cH:11][c:12]([C:13](=[O:14])[NH:15][CH2:16][CH2:17][c:18]3[cH:19][nH:20][c:21]4[cH:22][cH:23][c:24]([Cl:25])[cH:26][c:27]34)[cH:28]2)[cH:29]1
OJUKGYKYSNNNSA-UHFFFAOYSA-N	COC(=O)c1cccc(B(O)O)c1.Cc1cccc(CCl)c1>>COC(=O)c1cccc(Cc2cccc(C)c2)c1	3	OB(O)[c:9]1[cH:8][cH:7][cH:6][c:5]([C:3]([O:2][CH3:1])=[O:4])[cH:18]1.Cl[CH2:10][c:11]1[cH:12][cH:13][cH:14][c:15]([CH3:16])[cH:17]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][cH:8][c:9]([CH2:10][c:11]2[cH:12][cH:13][cH:14][c:15]([CH3:16])[cH:17]2)[cH:18]1
OJUKGYKYSNNNSA-UHFFFAOYSA-N	COC(=O)c1cccc(Cc2cccc(C)c2)c1>>Cc1cccc(Cc2cccc(C(=O)O)c2)c1	3	C[O:15][C:13]([c:12]1[cH:11][cH:10][cH:9][c:8]([CH2:7][c:6]2[cH:5][cH:4][cH:3][c:2]([CH3:1])[cH:17]2)[cH:16]1)=[O:14]>>[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]([CH2:7][c:8]2[cH:9][cH:10][cH:11][c:12]([C:13](=[O:14])[OH:15])[cH:16]2)[cH:17]1
OJUKGYKYSNNNSA-UHFFFAOYSA-N	Cc1cccc(Cc2cccc(C(=O)O)c2)c1.NCCc1c[nH]c2ccc(Cl)cc12>>Cc1cccc(Cc2cccc(C(=O)NCCc3c[nH]c4ccc(Cl)cc34)c2)c1	3	O[C:13]([c:12]1[cH:11][cH:10][cH:9][c:8]([CH2:7][c:6]2[cH:5][cH:4][cH:3][c:2]([CH3:1])[cH:29]2)[cH:28]1)=[O:14].[NH2:15][CH2:16][CH2:17][c:18]1[cH:19][nH:20][c:21]2[cH:22][cH:23][c:24]([Cl:25])[cH:26][c:27]12>>[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6]([CH2:7][c:8]2[cH:9][cH:10][cH:11][c:12]([C:13](=[O:14])[NH:15][CH2:16][CH2:17][c:18]3[cH:19][nH:20][c:21]4[cH:22][cH:23][c:24]([Cl:25])[cH:26][c:27]34)[cH:28]2)[cH:29]1
OJUKGYKYSNNNSA-UHFFFAOYSA-N	COC(=O)c1cccc(Br)c1.Cc1cccc(CCl)c1>>COC(=O)c1cccc(Cc2cccc(C)c2)c1	4	Br[c:9]1[cH:8][cH:7][cH:6][c:5]([C:3]([O:2][CH3:1])=[O:4])[cH:18]1.Cl[CH2:10][c:11]1[cH:12][cH:13][cH:14][c:15]([CH3:16])[cH:17]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][cH:8][c:9]([CH2:10][c:11]2[cH:12][cH:13][cH:14][c:15]([CH3:16])[cH:17]2)[cH:18]1
