tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
OMISHRJQMYQPMG-UHFFFAOYSA-N	ClCc1ccccc1.O=C1CCC(N2Cc3cc(C4CCNCC4)ccc3C2=O)C(=O)N1>>O=C1CCC(N2Cc3cc(C4CCN(Cc5ccccc5)CC4)ccc3C2=O)C(=O)N1	1	Cl[CH2:15][c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1.[O:1]=[C:2]1[CH2:3][CH2:4][CH:5]([N:6]2[CH2:7][c:8]3[cH:9][c:10]([CH:11]4[CH2:12][CH2:13][NH:14][CH2:22][CH2:23]4)[cH:24][cH:25][c:26]3[C:27]2=[O:28])[C:29](=[O:30])[NH:31]1>>[O:1]=[C:2]1[CH2:3][CH2:4][CH:5]([N:6]2[CH2:7][c:8]3[cH:9][c:10]([CH:11]4[CH2:12][CH2:13][N:14]([CH2:15][c:16]5[cH:17][cH:18][cH:19][cH:20][cH:21]5)[CH2:22][CH2:23]4)[cH:24][cH:25][c:26]3[C:27]2=[O:28])[C:29](=[O:30])[NH:31]1
OMISHRJQMYQPMG-UHFFFAOYSA-N	CS(=O)(=O)OCc1ccccc1.O=C1CCC(N2Cc3cc(C4CCNCC4)ccc3C2=O)C(=O)N1>>O=C1CCC(N2Cc3cc(C4CCN(Cc5ccccc5)CC4)ccc3C2=O)C(=O)N1	2	CS(=O)(=O)O[CH2:15][c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1.[O:1]=[C:2]1[CH2:3][CH2:4][CH:5]([N:6]2[CH2:7][c:8]3[cH:9][c:10]([CH:11]4[CH2:12][CH2:13][NH:14][CH2:22][CH2:23]4)[cH:24][cH:25][c:26]3[C:27]2=[O:28])[C:29](=[O:30])[NH:31]1>>[O:1]=[C:2]1[CH2:3][CH2:4][CH:5]([N:6]2[CH2:7][c:8]3[cH:9][c:10]([CH:11]4[CH2:12][CH2:13][N:14]([CH2:15][c:16]5[cH:17][cH:18][cH:19][cH:20][cH:21]5)[CH2:22][CH2:23]4)[cH:24][cH:25][c:26]3[C:27]2=[O:28])[C:29](=[O:30])[NH:31]1
OMISHRJQMYQPMG-UHFFFAOYSA-N	BrCc1ccccc1.O=C1CCC(N2Cc3cc(C4CCNCC4)ccc3C2=O)C(=O)N1>>O=C1CCC(N2Cc3cc(C4CCN(Cc5ccccc5)CC4)ccc3C2=O)C(=O)N1	3	Br[CH2:15][c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1.[O:1]=[C:2]1[CH2:3][CH2:4][CH:5]([N:6]2[CH2:7][c:8]3[cH:9][c:10]([CH:11]4[CH2:12][CH2:13][NH:14][CH2:22][CH2:23]4)[cH:24][cH:25][c:26]3[C:27]2=[O:28])[C:29](=[O:30])[NH:31]1>>[O:1]=[C:2]1[CH2:3][CH2:4][CH:5]([N:6]2[CH2:7][c:8]3[cH:9][c:10]([CH:11]4[CH2:12][CH2:13][N:14]([CH2:15][c:16]5[cH:17][cH:18][cH:19][cH:20][cH:21]5)[CH2:22][CH2:23]4)[cH:24][cH:25][c:26]3[C:27]2=[O:28])[C:29](=[O:30])[NH:31]1
OMISHRJQMYQPMG-UHFFFAOYSA-N	O=C1CCC(N2Cc3cc(C4CCNCC4)ccc3C2=O)C(=O)N1.O=Cc1ccccc1>>O=C1CCC(N2Cc3cc(C4CCN(Cc5ccccc5)CC4)ccc3C2=O)C(=O)N1	4	[O:1]=[C:2]1[CH2:3][CH2:4][CH:5]([N:6]2[CH2:7][c:8]3[cH:9][c:10]([CH:11]4[CH2:12][CH2:13][NH:14][CH2:22][CH2:23]4)[cH:24][cH:25][c:26]3[C:27]2=[O:28])[C:29](=[O:30])[NH:31]1.O=[CH:15][c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1>>[O:1]=[C:2]1[CH2:3][CH2:4][CH:5]([N:6]2[CH2:7][c:8]3[cH:9][c:10]([CH:11]4[CH2:12][CH2:13][N:14]([CH2:15][c:16]5[cH:17][cH:18][cH:19][cH:20][cH:21]5)[CH2:22][CH2:23]4)[cH:24][cH:25][c:26]3[C:27]2=[O:28])[C:29](=[O:30])[NH:31]1
OMISHRJQMYQPMG-UHFFFAOYSA-N	ICc1ccccc1.O=C1CCC(N2Cc3cc(C4CCNCC4)ccc3C2=O)C(=O)N1>>O=C1CCC(N2Cc3cc(C4CCN(Cc5ccccc5)CC4)ccc3C2=O)C(=O)N1	5	I[CH2:15][c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1.[O:1]=[C:2]1[CH2:3][CH2:4][CH:5]([N:6]2[CH2:7][c:8]3[cH:9][c:10]([CH:11]4[CH2:12][CH2:13][NH:14][CH2:22][CH2:23]4)[cH:24][cH:25][c:26]3[C:27]2=[O:28])[C:29](=[O:30])[NH:31]1>>[O:1]=[C:2]1[CH2:3][CH2:4][CH:5]([N:6]2[CH2:7][c:8]3[cH:9][c:10]([CH:11]4[CH2:12][CH2:13][N:14]([CH2:15][c:16]5[cH:17][cH:18][cH:19][cH:20][cH:21]5)[CH2:22][CH2:23]4)[cH:24][cH:25][c:26]3[C:27]2=[O:28])[C:29](=[O:30])[NH:31]1
OMISHRJQMYQPMG-UHFFFAOYSA-N	BrCc1ccccc1.CC(C)(C)OC(=O)N1CCC(c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)CC1>>O=C1CCC(N2Cc3cc(C4CCN(Cc5ccccc5)CC4)ccc3C2=O)C(=O)N1	6	Br[CH2:15][c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1.CC(C)(C)OC(=O)[N:14]1[CH2:13][CH2:12][CH:11]([c:10]2[cH:9][c:8]3[c:26]([cH:25][cH:24]2)[C:27](=[O:28])[N:6]([CH:5]2[CH2:4][CH2:3][C:2](=[O:1])[NH:31][C:29]2=[O:30])[CH2:7]3)[CH2:23][CH2:22]1>>[O:1]=[C:2]1[CH2:3][CH2:4][CH:5]([N:6]2[CH2:7][c:8]3[cH:9][c:10]([CH:11]4[CH2:12][CH2:13][N:14]([CH2:15][c:16]5[cH:17][cH:18][cH:19][cH:20][cH:21]5)[CH2:22][CH2:23]4)[cH:24][cH:25][c:26]3[C:27]2=[O:28])[C:29](=[O:30])[NH:31]1
OMISHRJQMYQPMG-UHFFFAOYSA-N	CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.O=C1CCC(N2Cc3cc(C4CCNCC4)ccc3C2=O)C(=O)N1>>CC(C)(C)OC(=O)N1CCC(c2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)CC1	6	CC(C)(C)OC(=O)O[C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7].[NH:8]1[CH2:9][CH2:10][CH:11]([c:12]2[cH:13][cH:14][c:15]3[c:16]([cH:17]2)[CH2:18][N:19]([CH:20]2[CH2:21][CH2:22][C:23](=[O:24])[NH:25][C:26]2=[O:27])[C:28]3=[O:29])[CH2:30][CH2:31]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][CH:11]([c:12]2[cH:13][cH:14][c:15]3[c:16]([cH:17]2)[CH2:18][N:19]([CH:20]2[CH2:21][CH2:22][C:23](=[O:24])[NH:25][C:26]2=[O:27])[C:28]3=[O:29])[CH2:30][CH2:31]1
OMISHRJQMYQPMG-UHFFFAOYSA-N	O=C(Cl)c1ccccc1.O=C1CCC(N2Cc3cc(C4CCNCC4)ccc3C2=O)C(=O)N1>>O=C1CCC(N2Cc3cc(C4CCN(C(=O)c5ccccc5)CC4)ccc3C2=O)C(=O)N1	7	Cl[C:15](=[O:16])[c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1.[O:1]=[C:2]1[CH2:3][CH2:4][CH:5]([N:6]2[CH2:7][c:8]3[cH:9][c:10]([CH:11]4[CH2:12][CH2:13][NH:14][CH2:23][CH2:24]4)[cH:25][cH:26][c:27]3[C:28]2=[O:29])[C:30](=[O:31])[NH:32]1>>[O:1]=[C:2]1[CH2:3][CH2:4][CH:5]([N:6]2[CH2:7][c:8]3[cH:9][c:10]([CH:11]4[CH2:12][CH2:13][N:14]([C:15](=[O:16])[c:17]5[cH:18][cH:19][cH:20][cH:21][cH:22]5)[CH2:23][CH2:24]4)[cH:25][cH:26][c:27]3[C:28]2=[O:29])[C:30](=[O:31])[NH:32]1
OMISHRJQMYQPMG-UHFFFAOYSA-N	O=C1CCC(N2Cc3cc(C4CCN(C(=O)c5ccccc5)CC4)ccc3C2=O)C(=O)N1>>O=C1CCC(N2Cc3cc(C4CCN(Cc5ccccc5)CC4)ccc3C2=O)C(=O)N1	7	O=[C:15]([N:14]1[CH2:13][CH2:12][CH:11]([c:10]2[cH:9][c:8]3[c:26]([cH:25][cH:24]2)[C:27](=[O:28])[N:6]([CH:5]2[CH2:4][CH2:3][C:2](=[O:1])[NH:31][C:29]2=[O:30])[CH2:7]3)[CH2:23][CH2:22]1)[c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1>>[O:1]=[C:2]1[CH2:3][CH2:4][CH:5]([N:6]2[CH2:7][c:8]3[cH:9][c:10]([CH:11]4[CH2:12][CH2:13][N:14]([CH2:15][c:16]5[cH:17][cH:18][cH:19][cH:20][cH:21]5)[CH2:22][CH2:23]4)[cH:24][cH:25][c:26]3[C:27]2=[O:28])[C:29](=[O:30])[NH:31]1
OMISHRJQMYQPMG-UHFFFAOYSA-N	O=C(O)c1ccccc1.O=C1CCC(N2Cc3cc(C4CCNCC4)ccc3C2=O)C(=O)N1>>O=C1CCC(N2Cc3cc(C4CCN(C(=O)c5ccccc5)CC4)ccc3C2=O)C(=O)N1	8	O[C:15](=[O:16])[c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1.[O:1]=[C:2]1[CH2:3][CH2:4][CH:5]([N:6]2[CH2:7][c:8]3[cH:9][c:10]([CH:11]4[CH2:12][CH2:13][NH:14][CH2:23][CH2:24]4)[cH:25][cH:26][c:27]3[C:28]2=[O:29])[C:30](=[O:31])[NH:32]1>>[O:1]=[C:2]1[CH2:3][CH2:4][CH:5]([N:6]2[CH2:7][c:8]3[cH:9][c:10]([CH:11]4[CH2:12][CH2:13][N:14]([C:15](=[O:16])[c:17]5[cH:18][cH:19][cH:20][cH:21][cH:22]5)[CH2:23][CH2:24]4)[cH:25][cH:26][c:27]3[C:28]2=[O:29])[C:30](=[O:31])[NH:32]1
