tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
ONGPJYSSZQHFBU-UHFFFAOYSA-N	Cc1nc(-c2ccc(C(F)(F)F)cc2)c(Br)o1>>FC(F)(F)c1ccc(-c2nc(CBr)oc2Br)cc1	1	[F:1][C:2]([F:3])([F:4])[c:5]1[cH:6][cH:7][c:8](-[c:9]2[n:10][c:11]([CH3:12])[o:14][c:15]2[Br:13])[cH:17][cH:18]1>>[F:1][C:2]([F:3])([F:4])[c:5]1[cH:6][cH:7][c:8](-[c:9]2[n:10][c:11]([CH2:12][Br:13])[o:14][c:15]2[Br:16])[cH:17][cH:18]1
ONGPJYSSZQHFBU-UHFFFAOYSA-N	CC(N)=O.O=C(CBr)c1ccc(C(F)(F)F)cc1>>Cc1nc(-c2ccc(C(F)(F)F)cc2)co1	1	[CH3:1][C:2]([NH2:3])=[O:16].O=[C:4]([c:5]1[cH:6][cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][cH:14]1)[CH2:15]Br>>[CH3:1][c:2]1[n:3][c:4](-[c:5]2[cH:6][cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][cH:14]2)[cH:15][o:16]1
ONGPJYSSZQHFBU-UHFFFAOYSA-N	Cc1nc(-c2ccc(C(F)(F)F)cc2)co1>>Cc1nc(-c2ccc(C(F)(F)F)cc2)c(Br)o1	1	[CH3:1][c:2]1[n:3][c:4](-[c:5]2[cH:6][cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][cH:14]2)[cH:15][o:17]1>>[CH3:1][c:2]1[n:3][c:4](-[c:5]2[cH:6][cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][cH:14]2)[c:15]([Br:16])[o:17]1
ONGPJYSSZQHFBU-UHFFFAOYSA-N	FC(F)(F)c1ccc(-c2nc(CBr)oc2Br)cc1.NC(=O)c1c(F)ccc(O)c1F>>NC(=O)c1c(F)ccc(OCc2nc(-c3ccc(C(F)(F)F)cc3)c(Br)o2)c1F	1	Br[CH2:11][c:12]1[n:13][c:14](-[c:15]2[cH:16][cH:17][c:18]([C:19]([F:20])([F:21])[F:22])[cH:23][cH:24]2)[c:25]([Br:26])[o:27]1.[NH2:1][C:2](=[O:3])[c:4]1[c:5]([F:6])[cH:7][cH:8][c:9]([OH:10])[c:28]1[F:29]>>[NH2:1][C:2](=[O:3])[c:4]1[c:5]([F:6])[cH:7][cH:8][c:9]([O:10][CH2:11][c:12]2[n:13][c:14](-[c:15]3[cH:16][cH:17][c:18]([C:19]([F:20])([F:21])[F:22])[cH:23][cH:24]3)[c:25]([Br:26])[o:27]2)[c:28]1[F:29]
ONGPJYSSZQHFBU-UHFFFAOYSA-N	Cc1nc(-c2ccc(C(F)(F)F)cc2)co1>>FC(F)(F)c1ccc(-c2coc(CBr)n2)cc1	2	[F:1][C:2]([F:3])([F:4])[c:5]1[cH:6][cH:7][c:8](-[c:9]2[cH:10][o:11][c:12]([CH3:13])[n:15]2)[cH:16][cH:17]1>>[F:1][C:2]([F:3])([F:4])[c:5]1[cH:6][cH:7][c:8](-[c:9]2[cH:10][o:11][c:12]([CH2:13][Br:14])[n:15]2)[cH:16][cH:17]1
ONGPJYSSZQHFBU-UHFFFAOYSA-N	CC(N)=O.O=C(CBr)c1ccc(C(F)(F)F)cc1>>Cc1nc(-c2ccc(C(F)(F)F)cc2)co1	2	[CH3:1][C:2]([NH2:3])=[O:16].O=[C:4]([c:5]1[cH:6][cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][cH:14]1)[CH2:15]Br>>[CH3:1][c:2]1[n:3][c:4](-[c:5]2[cH:6][cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][cH:14]2)[cH:15][o:16]1
ONGPJYSSZQHFBU-UHFFFAOYSA-N	FC(F)(F)c1ccc(-c2coc(CBr)n2)cc1>>FC(F)(F)c1ccc(-c2nc(CBr)oc2Br)cc1	2	[F:1][C:2]([F:3])([F:4])[c:5]1[cH:6][cH:7][c:8](-[c:9]2[n:10][c:11]([CH2:12][Br:13])[o:14][cH:15]2)[cH:17][cH:18]1>>[F:1][C:2]([F:3])([F:4])[c:5]1[cH:6][cH:7][c:8](-[c:9]2[n:10][c:11]([CH2:12][Br:13])[o:14][c:15]2[Br:16])[cH:17][cH:18]1
ONGPJYSSZQHFBU-UHFFFAOYSA-N	FC(F)(F)c1ccc(-c2nc(CBr)oc2Br)cc1.NC(=O)c1c(F)ccc(O)c1F>>NC(=O)c1c(F)ccc(OCc2nc(-c3ccc(C(F)(F)F)cc3)c(Br)o2)c1F	2	Br[CH2:11][c:12]1[n:13][c:14](-[c:15]2[cH:16][cH:17][c:18]([C:19]([F:20])([F:21])[F:22])[cH:23][cH:24]2)[c:25]([Br:26])[o:27]1.[NH2:1][C:2](=[O:3])[c:4]1[c:5]([F:6])[cH:7][cH:8][c:9]([OH:10])[c:28]1[F:29]>>[NH2:1][C:2](=[O:3])[c:4]1[c:5]([F:6])[cH:7][cH:8][c:9]([O:10][CH2:11][c:12]2[n:13][c:14](-[c:15]3[cH:16][cH:17][c:18]([C:19]([F:20])([F:21])[F:22])[cH:23][cH:24]3)[c:25]([Br:26])[o:27]2)[c:28]1[F:29]
ONGPJYSSZQHFBU-UHFFFAOYSA-N	NC(=O)COCc1ccccc1.O=C(CBr)c1ccc(C(F)(F)F)cc1>>FC(F)(F)c1ccc(-c2coc(COCc3ccccc3)n2)cc1	3	[O:11]=[C:12]([CH2:13][O:14][CH2:15][c:16]1[cH:17][cH:18][cH:19][cH:20][cH:21]1)[NH2:22].O=[C:9]([c:8]1[cH:7][cH:6][c:5]([C:2]([F:1])([F:3])[F:4])[cH:24][cH:23]1)[CH2:10]Br>>[F:1][C:2]([F:3])([F:4])[c:5]1[cH:6][cH:7][c:8](-[c:9]2[cH:10][o:11][c:12]([CH2:13][O:14][CH2:15][c:16]3[cH:17][cH:18][cH:19][cH:20][cH:21]3)[n:22]2)[cH:23][cH:24]1
ONGPJYSSZQHFBU-UHFFFAOYSA-N	FC(F)(F)c1ccc(-c2coc(COCc3ccccc3)n2)cc1>>FC(F)(F)c1ccc(-c2coc(CBr)n2)cc1	3	c1ccc(CO[CH2:13][c:12]2[o:11][cH:10][c:9](-[c:8]3[cH:7][cH:6][c:5]([C:2]([F:1])([F:3])[F:4])[cH:17][cH:16]3)[n:15]2)cc1>>[F:1][C:2]([F:3])([F:4])[c:5]1[cH:6][cH:7][c:8](-[c:9]2[cH:10][o:11][c:12]([CH2:13][Br:14])[n:15]2)[cH:16][cH:17]1
