tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
PJKXXTQGJSHEOQ-UHFFFAOYSA-N	CCC1CCN(C(=O)C(N)CCCNC(=O)OCc2ccccc2)CC1.CN(C)c1cccc2c(S(=O)(=O)Cl)cccc12>>CCC1CCN(C(=O)C(CCCNC(=O)OCc2ccccc2)NS(=O)(=O)c2cccc3c(N(C)C)cccc23)CC1	1	[CH3:1][CH2:2][CH:3]1[CH2:4][CH2:5][N:6]([C:7](=[O:8])[CH:9]([CH2:10][CH2:11][CH2:12][NH:13][C:14](=[O:15])[O:16][CH2:17][c:18]2[cH:19][cH:20][cH:21][cH:22][cH:23]2)[NH2:24])[CH2:41][CH2:42]1.Cl[S:25](=[O:26])(=[O:27])[c:28]1[cH:29][cH:30][cH:31][c:32]2[c:33]([N:34]([CH3:35])[CH3:36])[cH:37][cH:38][cH:39][c:40]12>>[CH3:1][CH2:2][CH:3]1[CH2:4][CH2:5][N:6]([C:7](=[O:8])[CH:9]([CH2:10][CH2:11][CH2:12][NH:13][C:14](=[O:15])[O:16][CH2:17][c:18]2[cH:19][cH:20][cH:21][cH:22][cH:23]2)[NH:24][S:25](=[O:26])(=[O:27])[c:28]2[cH:29][cH:30][cH:31][c:32]3[c:33]([N:34]([CH3:35])[CH3:36])[cH:37][cH:38][cH:39][c:40]23)[CH2:41][CH2:42]1
PJKXXTQGJSHEOQ-UHFFFAOYSA-N	CC(C)(C)OC(=O)NC(CCCNC(=O)OCc1ccccc1)C(=O)O.CCC1CCNCC1>>CCC1CCN(C(=O)C(CCCNC(=O)OCc2ccccc2)NC(=O)OC(C)(C)C)CC1	1	O[C:7](=[O:8])[CH:9]([CH2:10][CH2:11][CH2:12][NH:13][C:14](=[O:15])[O:16][CH2:17][c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1)[NH:24][C:25](=[O:26])[O:27][C:28]([CH3:29])([CH3:30])[CH3:31].[CH3:1][CH2:2][CH:3]1[CH2:4][CH2:5][NH:6][CH2:32][CH2:33]1>>[CH3:1][CH2:2][CH:3]1[CH2:4][CH2:5][N:6]([C:7](=[O:8])[CH:9]([CH2:10][CH2:11][CH2:12][NH:13][C:14](=[O:15])[O:16][CH2:17][c:18]2[cH:19][cH:20][cH:21][cH:22][cH:23]2)[NH:24][C:25](=[O:26])[O:27][C:28]([CH3:29])([CH3:30])[CH3:31])[CH2:32][CH2:33]1
PJKXXTQGJSHEOQ-UHFFFAOYSA-N	CCC1CCN(C(=O)C(CCCNC(=O)OCc2ccccc2)NC(=O)OC(C)(C)C)CC1>>CCC1CCN(C(=O)C(N)CCCNC(=O)OCc2ccccc2)CC1	1	CC(C)(C)OC(=O)[NH:10][CH:9]([C:7]([N:6]1[CH2:5][CH2:4][CH:3]([CH2:2][CH3:1])[CH2:26][CH2:25]1)=[O:8])[CH2:11][CH2:12][CH2:13][NH:14][C:15](=[O:16])[O:17][CH2:18][c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1>>[CH3:1][CH2:2][CH:3]1[CH2:4][CH2:5][N:6]([C:7](=[O:8])[CH:9]([NH2:10])[CH2:11][CH2:12][CH2:13][NH:14][C:15](=[O:16])[O:17][CH2:18][c:19]2[cH:20][cH:21][cH:22][cH:23][cH:24]2)[CH2:25][CH2:26]1
PJKXXTQGJSHEOQ-UHFFFAOYSA-N	CC(C)(C)OC(=O)N[C@H](CCCNC(=O)OCc1ccccc1)C(=O)O.CCC1CCNCC1>>CCC1CCN(C(=O)C(CCCNC(=O)OCc2ccccc2)NC(=O)OC(C)(C)C)CC1	2	O[C:7](=[O:8])[C@@H:9]([CH2:10][CH2:11][CH2:12][NH:13][C:14](=[O:15])[O:16][CH2:17][c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1)[NH:24][C:25](=[O:26])[O:27][C:28]([CH3:29])([CH3:30])[CH3:31].[CH3:1][CH2:2][CH:3]1[CH2:4][CH2:5][NH:6][CH2:32][CH2:33]1>>[CH3:1][CH2:2][CH:3]1[CH2:4][CH2:5][N:6]([C:7](=[O:8])[CH:9]([CH2:10][CH2:11][CH2:12][NH:13][C:14](=[O:15])[O:16][CH2:17][c:18]2[cH:19][cH:20][cH:21][cH:22][cH:23]2)[NH:24][C:25](=[O:26])[O:27][C:28]([CH3:29])([CH3:30])[CH3:31])[CH2:32][CH2:33]1
PJKXXTQGJSHEOQ-UHFFFAOYSA-N	CCC1CCN(C(=O)C(N)CCCNC(=O)OCc2ccccc2)CC1.CN(C)c1cccc2c(S(=O)(=O)Cl)cccc12>>CCC1CCN(C(=O)C(CCCNC(=O)OCc2ccccc2)NS(=O)(=O)c2cccc3c(N(C)C)cccc23)CC1	2	[CH3:1][CH2:2][CH:3]1[CH2:4][CH2:5][N:6]([C:7](=[O:8])[CH:9]([CH2:10][CH2:11][CH2:12][NH:13][C:14](=[O:15])[O:16][CH2:17][c:18]2[cH:19][cH:20][cH:21][cH:22][cH:23]2)[NH2:24])[CH2:41][CH2:42]1.Cl[S:25](=[O:26])(=[O:27])[c:28]1[cH:29][cH:30][cH:31][c:32]2[c:33]([N:34]([CH3:35])[CH3:36])[cH:37][cH:38][cH:39][c:40]12>>[CH3:1][CH2:2][CH:3]1[CH2:4][CH2:5][N:6]([C:7](=[O:8])[CH:9]([CH2:10][CH2:11][CH2:12][NH:13][C:14](=[O:15])[O:16][CH2:17][c:18]2[cH:19][cH:20][cH:21][cH:22][cH:23]2)[NH:24][S:25](=[O:26])(=[O:27])[c:28]2[cH:29][cH:30][cH:31][c:32]3[c:33]([N:34]([CH3:35])[CH3:36])[cH:37][cH:38][cH:39][c:40]23)[CH2:41][CH2:42]1
PJKXXTQGJSHEOQ-UHFFFAOYSA-N	CCC1CCN(C(=O)C(CCCNC(=O)OCc2ccccc2)NC(=O)OC(C)(C)C)CC1>>CCC1CCN(C(=O)C(N)CCCNC(=O)OCc2ccccc2)CC1	2	CC(C)(C)OC(=O)[NH:10][CH:9]([C:7]([N:6]1[CH2:5][CH2:4][CH:3]([CH2:2][CH3:1])[CH2:26][CH2:25]1)=[O:8])[CH2:11][CH2:12][CH2:13][NH:14][C:15](=[O:16])[O:17][CH2:18][c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1>>[CH3:1][CH2:2][CH:3]1[CH2:4][CH2:5][N:6]([C:7](=[O:8])[CH:9]([NH2:10])[CH2:11][CH2:12][CH2:13][NH:14][C:15](=[O:16])[O:17][CH2:18][c:19]2[cH:20][cH:21][cH:22][cH:23][cH:24]2)[CH2:25][CH2:26]1
PJKXXTQGJSHEOQ-UHFFFAOYSA-N	CCC1CCN(C(=O)C(N)CCCNC(=O)OCc2ccccc2)CC1.CN(C)c1cccc2c(S(=O)(=O)Cl)cccc12>>CCC1CCN(C(=O)C(CCCNC(=O)OCc2ccccc2)NS(=O)(=O)c2cccc3c(N(C)C)cccc23)CC1	3	[CH3:1][CH2:2][CH:3]1[CH2:4][CH2:5][N:6]([C:7](=[O:8])[CH:9]([CH2:10][CH2:11][CH2:12][NH:13][C:14](=[O:15])[O:16][CH2:17][c:18]2[cH:19][cH:20][cH:21][cH:22][cH:23]2)[NH2:24])[CH2:41][CH2:42]1.Cl[S:25](=[O:26])(=[O:27])[c:28]1[cH:29][cH:30][cH:31][c:32]2[c:33]([N:34]([CH3:35])[CH3:36])[cH:37][cH:38][cH:39][c:40]12>>[CH3:1][CH2:2][CH:3]1[CH2:4][CH2:5][N:6]([C:7](=[O:8])[CH:9]([CH2:10][CH2:11][CH2:12][NH:13][C:14](=[O:15])[O:16][CH2:17][c:18]2[cH:19][cH:20][cH:21][cH:22][cH:23]2)[NH:24][S:25](=[O:26])(=[O:27])[c:28]2[cH:29][cH:30][cH:31][c:32]3[c:33]([N:34]([CH3:35])[CH3:36])[cH:37][cH:38][cH:39][c:40]23)[CH2:41][CH2:42]1
PJKXXTQGJSHEOQ-UHFFFAOYSA-N	CC(C)(C)OC(=O)N[C@@H](CCCNC(=O)OCc1ccccc1)C(=O)O.CCC1CCNCC1>>CCC1CCN(C(=O)C(CCCNC(=O)OCc2ccccc2)NC(=O)OC(C)(C)C)CC1	3	O[C:7](=[O:8])[C@H:9]([CH2:10][CH2:11][CH2:12][NH:13][C:14](=[O:15])[O:16][CH2:17][c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1)[NH:24][C:25](=[O:26])[O:27][C:28]([CH3:29])([CH3:30])[CH3:31].[CH3:1][CH2:2][CH:3]1[CH2:4][CH2:5][NH:6][CH2:32][CH2:33]1>>[CH3:1][CH2:2][CH:3]1[CH2:4][CH2:5][N:6]([C:7](=[O:8])[CH:9]([CH2:10][CH2:11][CH2:12][NH:13][C:14](=[O:15])[O:16][CH2:17][c:18]2[cH:19][cH:20][cH:21][cH:22][cH:23]2)[NH:24][C:25](=[O:26])[O:27][C:28]([CH3:29])([CH3:30])[CH3:31])[CH2:32][CH2:33]1
PJKXXTQGJSHEOQ-UHFFFAOYSA-N	CCC1CCN(C(=O)C(CCCNC(=O)OCc2ccccc2)NC(=O)OC(C)(C)C)CC1>>CCC1CCN(C(=O)C(N)CCCNC(=O)OCc2ccccc2)CC1	3	CC(C)(C)OC(=O)[NH:10][CH:9]([C:7]([N:6]1[CH2:5][CH2:4][CH:3]([CH2:2][CH3:1])[CH2:26][CH2:25]1)=[O:8])[CH2:11][CH2:12][CH2:13][NH:14][C:15](=[O:16])[O:17][CH2:18][c:19]1[cH:20][cH:21][cH:22][cH:23][cH:24]1>>[CH3:1][CH2:2][CH:3]1[CH2:4][CH2:5][N:6]([C:7](=[O:8])[CH:9]([NH2:10])[CH2:11][CH2:12][CH2:13][NH:14][C:15](=[O:16])[O:17][CH2:18][c:19]2[cH:20][cH:21][cH:22][cH:23][cH:24]2)[CH2:25][CH2:26]1
PJKXXTQGJSHEOQ-UHFFFAOYSA-N	CC(C)(C)OC(=O)NC(CCCNC(=O)OCc1ccccc1)C(=O)O.CC(C)COC(=O)Cl>>CC(C)COC(=O)OC(=O)C(CCCNC(=O)OCc1ccccc1)NC(=O)OC(C)(C)C	4	[OH:8][C:9](=[O:10])[CH:11]([CH2:12][CH2:13][CH2:14][NH:15][C:16](=[O:17])[O:18][CH2:19][c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1)[NH:26][C:27](=[O:28])[O:29][C:30]([CH3:31])([CH3:32])[CH3:33].Cl[C:6]([O:5][CH2:4][CH:2]([CH3:1])[CH3:3])=[O:7]>>[CH3:1][CH:2]([CH3:3])[CH2:4][O:5][C:6](=[O:7])[O:8][C:9](=[O:10])[CH:11]([CH2:12][CH2:13][CH2:14][NH:15][C:16](=[O:17])[O:18][CH2:19][c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1)[NH:26][C:27](=[O:28])[O:29][C:30]([CH3:31])([CH3:32])[CH3:33]
