tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
POSWICCRDBKBMH-UHFFFAOYSA-N	CC1CC(O)CC(C)(C)C1.C[Si](C)(C)Cl>>CC1CC(O[Si](C)(C)C)CC(C)(C)C1	1	[CH3:1][CH:2]1[CH2:3][CH:4]([OH:5])[CH2:10][C:11]([CH3:12])([CH3:13])[CH2:14]1.Cl[Si:6]([CH3:7])([CH3:8])[CH3:9]>>[CH3:1][CH:2]1[CH2:3][CH:4]([O:5][Si:6]([CH3:7])([CH3:8])[CH3:9])[CH2:10][C:11]([CH3:12])([CH3:13])[CH2:14]1
POSWICCRDBKBMH-UHFFFAOYSA-N	CC1CC(O[Si](C)(C)C)CC(C)(C)C1>>CC1CC(=O)CC(C)(C)C1	1	C[Si](C)(C)[O:5][CH:4]1[CH2:3][CH:2]([CH3:1])[CH2:10][C:7]([CH3:8])([CH3:9])[CH2:6]1>>[CH3:1][CH:2]1[CH2:3][C:4](=[O:5])[CH2:6][C:7]([CH3:8])([CH3:9])[CH2:10]1
POSWICCRDBKBMH-UHFFFAOYSA-N	CC1CC(O)CC(C)(C)C1.C[Si](C)(C)OS(=O)(=O)C(F)(F)F>>CC1CC(O[Si](C)(C)C)CC(C)(C)C1	2	[CH3:1][CH:2]1[CH2:3][CH:4]([OH:5])[CH2:10][C:11]([CH3:12])([CH3:13])[CH2:14]1.O=S(=O)(O[Si:6]([CH3:7])([CH3:8])[CH3:9])C(F)(F)F>>[CH3:1][CH:2]1[CH2:3][CH:4]([O:5][Si:6]([CH3:7])([CH3:8])[CH3:9])[CH2:10][C:11]([CH3:12])([CH3:13])[CH2:14]1
POSWICCRDBKBMH-UHFFFAOYSA-N	CC1CC(O[Si](C)(C)C)CC(C)(C)C1>>CC1CC(=O)CC(C)(C)C1	2	C[Si](C)(C)[O:5][CH:4]1[CH2:3][CH:2]([CH3:1])[CH2:10][C:7]([CH3:8])([CH3:9])[CH2:6]1>>[CH3:1][CH:2]1[CH2:3][C:4](=[O:5])[CH2:6][C:7]([CH3:8])([CH3:9])[CH2:10]1
POSWICCRDBKBMH-UHFFFAOYSA-N	CC1CC(O[Si](C)(C)C)CC(C)(C)C1>>CC1CC(=O)CC(C)(C)C1	3	C[Si](C)(C)[O:5][CH:4]1[CH2:3][CH:2]([CH3:1])[CH2:10][C:7]([CH3:8])([CH3:9])[CH2:6]1>>[CH3:1][CH:2]1[CH2:3][C:4](=[O:5])[CH2:6][C:7]([CH3:8])([CH3:9])[CH2:10]1
POSWICCRDBKBMH-UHFFFAOYSA-N	CC1CC(O)CC(C)(C)C1.C[Si](C)(C)[Si](C)(C)C>>CC1CC(O[Si](C)(C)C)CC(C)(C)C1	3	[CH3:1][CH:2]1[CH2:3][CH:4]([OH:5])[CH2:10][C:11]([CH3:12])([CH3:13])[CH2:14]1.C[Si](C)(C)[Si:6]([CH3:7])([CH3:8])[CH3:9]>>[CH3:1][CH:2]1[CH2:3][CH:4]([O:5][Si:6]([CH3:7])([CH3:8])[CH3:9])[CH2:10][C:11]([CH3:12])([CH3:13])[CH2:14]1
POSWICCRDBKBMH-UHFFFAOYSA-N	CC1CC(O[Si](C)(C)C)CC(C)(C)C1>>CC1CC(=O)CC(C)(C)C1	4	C[Si](C)(C)[O:5][CH:4]1[CH2:3][CH:2]([CH3:1])[CH2:10][C:7]([CH3:8])([CH3:9])[CH2:6]1>>[CH3:1][CH:2]1[CH2:3][C:4](=[O:5])[CH2:6][C:7]([CH3:8])([CH3:9])[CH2:10]1
POSWICCRDBKBMH-UHFFFAOYSA-N	CC1CC(O)CC(C)(C)C1.C[Si](C)(C)N[Si](C)(C)C>>CC1CC(O[Si](C)(C)C)CC(C)(C)C1	4	[CH3:1][CH:2]1[CH2:3][CH:4]([OH:5])[CH2:10][C:11]([CH3:12])([CH3:13])[CH2:14]1.C[Si](C)(C)N[Si:6]([CH3:7])([CH3:8])[CH3:9]>>[CH3:1][CH:2]1[CH2:3][CH:4]([O:5][Si:6]([CH3:7])([CH3:8])[CH3:9])[CH2:10][C:11]([CH3:12])([CH3:13])[CH2:14]1
POSWICCRDBKBMH-UHFFFAOYSA-N	CC1CC(O[Si](C)(C)C)CC(C)(C)C1>>CC1CC(=O)CC(C)(C)C1	5	C[Si](C)(C)[O:5][CH:4]1[CH2:3][CH:2]([CH3:1])[CH2:10][C:7]([CH3:8])([CH3:9])[CH2:6]1>>[CH3:1][CH:2]1[CH2:3][C:4](=[O:5])[CH2:6][C:7]([CH3:8])([CH3:9])[CH2:10]1
POSWICCRDBKBMH-UHFFFAOYSA-N	CC1CC(O)CC(C)(C)C1.C[SiH](C)C>>CC1CC(O[Si](C)(C)C)CC(C)(C)C1	5	[CH3:1][CH:2]1[CH2:3][CH:4]([OH:5])[CH2:10][C:11]([CH3:12])([CH3:13])[CH2:14]1.[SiH:6]([CH3:7])([CH3:8])[CH3:9]>>[CH3:1][CH:2]1[CH2:3][CH:4]([O:5][Si:6]([CH3:7])([CH3:8])[CH3:9])[CH2:10][C:11]([CH3:12])([CH3:13])[CH2:14]1
POSWICCRDBKBMH-UHFFFAOYSA-N	CC1CC(O)CC(C)(C)C1.C[Si](C)(C)[N-][Si](C)(C)C>>CC1CC(O[Si](C)(C)C)CC(C)(C)C1	6	[CH3:1][CH:2]1[CH2:3][CH:4]([OH:5])[CH2:10][C:11]([CH3:12])([CH3:13])[CH2:14]1.C[Si](C)(C)[N-][Si:6]([CH3:7])([CH3:8])[CH3:9]>>[CH3:1][CH:2]1[CH2:3][CH:4]([O:5][Si:6]([CH3:7])([CH3:8])[CH3:9])[CH2:10][C:11]([CH3:12])([CH3:13])[CH2:14]1
POSWICCRDBKBMH-UHFFFAOYSA-N	CC1CC(O[Si](C)(C)C)CC(C)(C)C1>>CC1CC(=O)CC(C)(C)C1	6	C[Si](C)(C)[O:5][CH:4]1[CH2:3][CH:2]([CH3:1])[CH2:10][C:7]([CH3:8])([CH3:9])[CH2:6]1>>[CH3:1][CH:2]1[CH2:3][C:4](=[O:5])[CH2:6][C:7]([CH3:8])([CH3:9])[CH2:10]1
POSWICCRDBKBMH-UHFFFAOYSA-N	CC1CC(O[Si](C)(C)C)CC(C)(C)C1>>CC1CC(=O)CC(C)(C)C1	7	C[Si](C)(C)[O:5][CH:4]1[CH2:3][CH:2]([CH3:1])[CH2:10][C:7]([CH3:8])([CH3:9])[CH2:6]1>>[CH3:1][CH:2]1[CH2:3][C:4](=[O:5])[CH2:6][C:7]([CH3:8])([CH3:9])[CH2:10]1
