tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
QIXXLCJOJGHZJB-UHFFFAOYSA-N	Cc1nc(C(=O)O)sc1Br>>Cc1nc(CO)sc1Br	1	O=[C:5]([c:4]1[n:3][c:2]([CH3:1])[c:8]([Br:9])[s:7]1)[OH:6]>>[CH3:1][c:2]1[n:3][c:4]([CH2:5][OH:6])[s:7][c:8]1[Br:9]
QIXXLCJOJGHZJB-UHFFFAOYSA-N	COC(=O)c1nc(C)c(Br)s1>>Cc1nc(CO)sc1Br	2	CO[C:5]([c:4]1[n:3][c:2]([CH3:1])[c:8]([Br:9])[s:7]1)=[O:6]>>[CH3:1][c:2]1[n:3][c:4]([CH2:5][OH:6])[s:7][c:8]1[Br:9]
QIXXLCJOJGHZJB-UHFFFAOYSA-N	Cc1nc(C=O)sc1Br>>Cc1nc(CO)sc1Br	3	[CH3:1][c:2]1[n:3][c:4]([CH:5]=[O:6])[s:7][c:8]1[Br:9]>>[CH3:1][c:2]1[n:3][c:4]([CH2:5][OH:6])[s:7][c:8]1[Br:9]
QIXXLCJOJGHZJB-UHFFFAOYSA-N	CCOC(=O)c1nc(C)c(Br)s1>>Cc1nc(CO)sc1Br	4	CCO[C:5]([c:4]1[n:3][c:2]([CH3:1])[c:8]([Br:9])[s:7]1)=[O:6]>>[CH3:1][c:2]1[n:3][c:4]([CH2:5][OH:6])[s:7][c:8]1[Br:9]
QIXXLCJOJGHZJB-UHFFFAOYSA-N	Cc1nc(C)c(Br)s1>>Cc1nc(CBr)sc1Br	5	[CH3:1][c:2]1[n:3][c:4]([CH3:5])[s:7][c:8]1[Br:6]>>[CH3:1][c:2]1[n:3][c:4]([CH2:5][Br:6])[s:7][c:8]1[Br:9]
QIXXLCJOJGHZJB-UHFFFAOYSA-N	CC(=O)OCc1nc(C)c(Br)s1>>Cc1nc(CO)sc1Br	5	CC(=O)[O:6][CH2:5][c:4]1[n:3][c:2]([CH3:1])[c:8]([Br:9])[s:7]1>>[CH3:1][c:2]1[n:3][c:4]([CH2:5][OH:6])[s:7][c:8]1[Br:9]
QIXXLCJOJGHZJB-UHFFFAOYSA-N	CC(=O)[O-].Cc1nc(CBr)sc1Br>>CC(=O)OCc1nc(C)c(Br)s1	5	[CH3:1][C:2](=[O:3])[O-:4].Br[CH2:5][c:6]1[n:7][c:8]([CH3:9])[c:10]([Br:11])[s:12]1>>[CH3:1][C:2](=[O:3])[O:4][CH2:5][c:6]1[n:7][c:8]([CH3:9])[c:10]([Br:11])[s:12]1
QIXXLCJOJGHZJB-UHFFFAOYSA-N	CC(=O)OCc1nc(C)cs1>>CC(=O)OCc1nc(C)c(Br)s1	6	[CH3:1][C:2](=[O:3])[O:4][CH2:5][c:6]1[n:7][c:8]([CH3:9])[cH:10][s:12]1>>[CH3:1][C:2](=[O:3])[O:4][CH2:5][c:6]1[n:7][c:8]([CH3:9])[c:10]([Br:11])[s:12]1
QIXXLCJOJGHZJB-UHFFFAOYSA-N	CC(=O)[O-].Cc1csc(CCl)n1>>CC(=O)OCc1nc(C)cs1	6	[CH3:1][C:2](=[O:3])[O-:4].Cl[CH2:5][c:6]1[n:7][c:8]([CH3:9])[cH:10][s:11]1>>[CH3:1][C:2](=[O:3])[O:4][CH2:5][c:6]1[n:7][c:8]([CH3:9])[cH:10][s:11]1
QIXXLCJOJGHZJB-UHFFFAOYSA-N	CC(=O)OCc1nc(C)c(Br)s1>>Cc1nc(CO)sc1Br	6	CC(=O)[O:6][CH2:5][c:4]1[n:3][c:2]([CH3:1])[c:8]([Br:9])[s:7]1>>[CH3:1][c:2]1[n:3][c:4]([CH2:5][OH:6])[s:7][c:8]1[Br:9]
QIXXLCJOJGHZJB-UHFFFAOYSA-N	CC(=O)OCc1nc(C)cs1>>CC(=O)OCc1nc(C)c(Br)s1	7	[CH3:1][C:2](=[O:3])[O:4][CH2:5][c:6]1[n:7][c:8]([CH3:9])[cH:10][s:12]1>>[CH3:1][C:2](=[O:3])[O:4][CH2:5][c:6]1[n:7][c:8]([CH3:9])[c:10]([Br:11])[s:12]1
