tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
RKYXTELYNYVQNB-UHFFFAOYSA-N	[N-]=[N+]=CC(=O)CCCCl.c1ccccc1>>O=C(CCCCl)Cc1ccccc1	1	[N-]=[N+]=[CH:7][C:2](=[O:1])[CH2:3][CH2:4][CH2:5][Cl:6].[cH:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1>>[O:1]=[C:2]([CH2:3][CH2:4][CH2:5][Cl:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1
RKYXTELYNYVQNB-UHFFFAOYSA-N	O=C(Cl)CCCCl>>[N-]=[N+]=CC(=O)CCCCl	1	Cl[C:4](=[O:5])[CH2:6][CH2:7][CH2:3][Cl:9]>>[N-:1]=[N+:2]=[CH:3][C:4](=[O:5])[CH2:6][CH2:7][CH2:8][Cl:9]
RKYXTELYNYVQNB-UHFFFAOYSA-N	Cn1nnnc1S.O=C(CCCCl)Cc1ccccc1>>Cn1nnnc1SCCCC(=O)Cc1ccccc1	1	[CH3:1][n:2]1[n:3][n:4][n:5][c:6]1[SH:7].Cl[CH2:8][CH2:9][CH2:10][C:11](=[O:12])[CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1>>[CH3:1][n:2]1[n:3][n:4][n:5][c:6]1[S:7][CH2:8][CH2:9][CH2:10][C:11](=[O:12])[CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1
RKYXTELYNYVQNB-UHFFFAOYSA-N	[N-]=[N+]=CC(=O)CCCCl.c1ccccc1>>O=C(CCCCl)Cc1ccccc1	2	[N-]=[N+]=[CH:7][C:2](=[O:1])[CH2:3][CH2:4][CH2:5][Cl:6].[cH:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1>>[O:1]=[C:2]([CH2:3][CH2:4][CH2:5][Cl:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1
RKYXTELYNYVQNB-UHFFFAOYSA-N	O=C(O)CCCCl>>[N-]=[N+]=CC(=O)CCCCl	2	O[C:3](=[O:5])[CH2:6][CH2:7][CH2:8][Cl:9]>>[N-:1]=[N+:2]=[CH:3][C:4](=[O:5])[CH2:6][CH2:7][CH2:8][Cl:9]
RKYXTELYNYVQNB-UHFFFAOYSA-N	Cn1nnnc1S.O=C(CCCCl)Cc1ccccc1>>Cn1nnnc1SCCCC(=O)Cc1ccccc1	2	[CH3:1][n:2]1[n:3][n:4][n:5][c:6]1[SH:7].Cl[CH2:8][CH2:9][CH2:10][C:11](=[O:12])[CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1>>[CH3:1][n:2]1[n:3][n:4][n:5][c:6]1[S:7][CH2:8][CH2:9][CH2:10][C:11](=[O:12])[CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1
RKYXTELYNYVQNB-UHFFFAOYSA-N	[N-]=[N+]=CC(=O)CCCCl.c1ccccc1>>O=C(CCCCl)Cc1ccccc1	3	[N-]=[N+]=[CH:7][C:2](=[O:1])[CH2:3][CH2:4][CH2:5][Cl:6].[cH:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1>>[O:1]=[C:2]([CH2:3][CH2:4][CH2:5][Cl:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1
RKYXTELYNYVQNB-UHFFFAOYSA-N	CN(N=O)C(N)=O>>C=[N+]=[N-]	3	C[N:3]([C:1](N)=O)[N:2]=O>>[CH2:1]=[N+:2]=[N-:3]
RKYXTELYNYVQNB-UHFFFAOYSA-N	C=[N+]=[N-].O=C(Cl)CCCCl>>[N-]=[N+]=CC(=O)CCCCl	3	[N-:1]=[N+:2]=[CH2:3].Cl[C:4](=[O:5])[CH2:6][CH2:7][CH2:8][Cl:9]>>[N-:1]=[N+:2]=[CH:3][C:4](=[O:5])[CH2:6][CH2:7][CH2:8][Cl:9]
RKYXTELYNYVQNB-UHFFFAOYSA-N	Cn1nnnc1S.O=C(CCCCl)Cc1ccccc1>>Cn1nnnc1SCCCC(=O)Cc1ccccc1	3	[CH3:1][n:2]1[n:3][n:4][n:5][c:6]1[SH:7].Cl[CH2:8][CH2:9][CH2:10][C:11](=[O:12])[CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1>>[CH3:1][n:2]1[n:3][n:4][n:5][c:6]1[S:7][CH2:8][CH2:9][CH2:10][C:11](=[O:12])[CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1
RKYXTELYNYVQNB-UHFFFAOYSA-N	OC1(Cc2ccccc2)CCC1>>O=C(CCCCl)Cc1ccccc1	4	[OH:1][C:2]1([CH2:7][c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[CH2:3][CH2:4][CH2:5]1>>[O:1]=[C:2]([CH2:3][CH2:4][CH2:5][Cl:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1
RKYXTELYNYVQNB-UHFFFAOYSA-N	Br[Mg]Cc1ccccc1.O=C1CCC1>>OC1(Cc2ccccc2)CCC1	4	Br[Mg][CH2:3][c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1.[O:1]=[C:2]1[CH2:10][CH2:11][CH2:12]1>>[OH:1][C:2]1([CH2:3][c:4]2[cH:5][cH:6][cH:7][cH:8][cH:9]2)[CH2:10][CH2:11][CH2:12]1
RKYXTELYNYVQNB-UHFFFAOYSA-N	Cn1nnnc1S.O=C(CCCCl)Cc1ccccc1>>Cn1nnnc1SCCCC(=O)Cc1ccccc1	4	[CH3:1][n:2]1[n:3][n:4][n:5][c:6]1[SH:7].Cl[CH2:8][CH2:9][CH2:10][C:11](=[O:12])[CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1>>[CH3:1][n:2]1[n:3][n:4][n:5][c:6]1[S:7][CH2:8][CH2:9][CH2:10][C:11](=[O:12])[CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1
RKYXTELYNYVQNB-UHFFFAOYSA-N	OC1(Cc2ccccc2)CCC1>>O=C(CCCCl)Cc1ccccc1	5	[OH:1][C:2]1([CH2:7][c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[CH2:3][CH2:4][CH2:5]1>>[O:1]=[C:2]([CH2:3][CH2:4][CH2:5][Cl:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1
RKYXTELYNYVQNB-UHFFFAOYSA-N	Cl[Mg]Cc1ccccc1.O=C1CCC1>>OC1(Cc2ccccc2)CCC1	5	Cl[Mg][CH2:3][c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1.[O:1]=[C:2]1[CH2:10][CH2:11][CH2:12]1>>[OH:1][C:2]1([CH2:3][c:4]2[cH:5][cH:6][cH:7][cH:8][cH:9]2)[CH2:10][CH2:11][CH2:12]1
RKYXTELYNYVQNB-UHFFFAOYSA-N	Cn1nnnc1S.O=C(CCCCl)Cc1ccccc1>>Cn1nnnc1SCCCC(=O)Cc1ccccc1	5	[CH3:1][n:2]1[n:3][n:4][n:5][c:6]1[SH:7].Cl[CH2:8][CH2:9][CH2:10][C:11](=[O:12])[CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1>>[CH3:1][n:2]1[n:3][n:4][n:5][c:6]1[S:7][CH2:8][CH2:9][CH2:10][C:11](=[O:12])[CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1
RKYXTELYNYVQNB-UHFFFAOYSA-N	CN(N=O)C(=N)N[N+](=O)[O-]>>C=[N+]=[N-]	6	N=C(N[N+](=O)[O-])[N:2]([CH3:1])[N:3]=O>>[CH2:1]=[N+:2]=[N-:3]
RKYXTELYNYVQNB-UHFFFAOYSA-N	[N-]=[N+]=CC(=O)CCCCl.c1ccccc1>>O=C(CCCCl)Cc1ccccc1	6	[N-]=[N+]=[CH:7][C:2](=[O:1])[CH2:3][CH2:4][CH2:5][Cl:6].[cH:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1>>[O:1]=[C:2]([CH2:3][CH2:4][CH2:5][Cl:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1
RKYXTELYNYVQNB-UHFFFAOYSA-N	C=[N+]=[N-].O=C(Cl)CCCCl>>[N-]=[N+]=CC(=O)CCCCl	6	[N-:1]=[N+:2]=[CH2:3].Cl[C:4](=[O:5])[CH2:6][CH2:7][CH2:8][Cl:9]>>[N-:1]=[N+:2]=[CH:3][C:4](=[O:5])[CH2:6][CH2:7][CH2:8][Cl:9]
RKYXTELYNYVQNB-UHFFFAOYSA-N	Cn1nnnc1S.O=C(CCCCl)Cc1ccccc1>>Cn1nnnc1SCCCC(=O)Cc1ccccc1	6	[CH3:1][n:2]1[n:3][n:4][n:5][c:6]1[SH:7].Cl[CH2:8][CH2:9][CH2:10][C:11](=[O:12])[CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1>>[CH3:1][n:2]1[n:3][n:4][n:5][c:6]1[S:7][CH2:8][CH2:9][CH2:10][C:11](=[O:12])[CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1
RKYXTELYNYVQNB-UHFFFAOYSA-N	CON(C)C(=O)CCCCl.Cl[Mg]Cc1ccccc1>>O=C(CCCCl)Cc1ccccc1	7	CON(C)[C:2](=[O:1])[CH2:3][CH2:4][CH2:5][Cl:6].Cl[Mg][CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1>>[O:1]=[C:2]([CH2:3][CH2:4][CH2:5][Cl:6])[CH2:7][c:8]1[cH:9][cH:10][cH:11][cH:12][cH:13]1
RKYXTELYNYVQNB-UHFFFAOYSA-N	Cn1nnnc1S.O=C(CCCCl)Cc1ccccc1>>Cn1nnnc1SCCCC(=O)Cc1ccccc1	7	[CH3:1][n:2]1[n:3][n:4][n:5][c:6]1[SH:7].Cl[CH2:8][CH2:9][CH2:10][C:11](=[O:12])[CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1>>[CH3:1][n:2]1[n:3][n:4][n:5][c:6]1[S:7][CH2:8][CH2:9][CH2:10][C:11](=[O:12])[CH2:13][c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1
