tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
SJVFAHZPLIXNDH-QFIPXVFZSA-N	N[C@@H](Cc1ccccc1)C(=O)O.O=C(OCC1c2ccccc2-c2ccccc21)ON1C(=O)CCC1=O>>O=C(N[C@@H](Cc1ccccc1)C(=O)O)OCC1c2ccccc2-c2ccccc21	1	[NH2:3][C@@H:4]([CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[C:12](=[O:13])[OH:14].O=C1CCC(=O)N1O[C:2](=[O:1])[O:15][CH2:16][CH:17]1[c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]2-[c:24]2[cH:25][cH:26][cH:27][cH:28][c:29]21>>[O:1]=[C:2]([NH:3][C@@H:4]([CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[C:12](=[O:13])[OH:14])[O:15][CH2:16][CH:17]1[c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]2-[c:24]2[cH:25][cH:26][cH:27][cH:28][c:29]21
SJVFAHZPLIXNDH-QFIPXVFZSA-N	N[C@@H](Cc1ccccc1)C(=O)O.O=C(Cl)OCC1c2ccccc2-c2ccccc21>>O=C(N[C@@H](Cc1ccccc1)C(=O)O)OCC1c2ccccc2-c2ccccc21	2	[NH2:3][C@@H:4]([CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[C:12](=[O:13])[OH:14].Cl[C:2](=[O:1])[O:15][CH2:16][CH:17]1[c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]2-[c:24]2[cH:25][cH:26][cH:27][cH:28][c:29]21>>[O:1]=[C:2]([NH:3][C@@H:4]([CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[C:12](=[O:13])[OH:14])[O:15][CH2:16][CH:17]1[c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]2-[c:24]2[cH:25][cH:26][cH:27][cH:28][c:29]21
SJVFAHZPLIXNDH-QFIPXVFZSA-N	NC(Cc1ccccc1)C(=O)O.O=C(Cl)OCC1c2ccccc2-c2ccccc21>>O=C(N[C@@H](Cc1ccccc1)C(=O)O)OCC1c2ccccc2-c2ccccc21	3	[NH2:3][CH:4]([CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[C:12](=[O:13])[OH:14].Cl[C:2](=[O:1])[O:15][CH2:16][CH:17]1[c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]2-[c:24]2[cH:25][cH:26][cH:27][cH:28][c:29]21>>[O:1]=[C:2]([NH:3][C@@H:4]([CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[C:12](=[O:13])[OH:14])[O:15][CH2:16][CH:17]1[c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]2-[c:24]2[cH:25][cH:26][cH:27][cH:28][c:29]21
SJVFAHZPLIXNDH-QFIPXVFZSA-N	O=C(Cl)OCC1c2ccccc2-c2ccccc21.O=C1c2ccccc2C(=O)N1O>>O=C(OCC1c2ccccc2-c2ccccc21)ON1C(=O)c2ccccc2C1=O	4	Cl[C:2](=[O:1])[O:3][CH2:4][CH:5]1[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2-[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]21.[OH:18][N:19]1[C:20](=[O:21])[c:22]2[cH:23][cH:24][cH:25][cH:26][c:27]2[C:28]1=[O:29]>>[O:1]=[C:2]([O:3][CH2:4][CH:5]1[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]2-[c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]21)[O:18][N:19]1[C:20](=[O:21])[c:22]2[cH:23][cH:24][cH:25][cH:26][c:27]2[C:28]1=[O:29]
SJVFAHZPLIXNDH-QFIPXVFZSA-N	N[C@@H](Cc1ccccc1)C(=O)O.O=C(OCC1c2ccccc2-c2ccccc21)ON1C(=O)c2ccccc2C1=O>>O=C(N[C@@H](Cc1ccccc1)C(=O)O)OCC1c2ccccc2-c2ccccc21	4	[NH2:3][C@@H:4]([CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[C:12](=[O:13])[OH:14].O=C1c2ccccc2C(=O)N1O[C:2](=[O:1])[O:15][CH2:16][CH:17]1[c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]2-[c:24]2[cH:25][cH:26][cH:27][cH:28][c:29]21>>[O:1]=[C:2]([NH:3][C@@H:4]([CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[C:12](=[O:13])[OH:14])[O:15][CH2:16][CH:17]1[c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]2-[c:24]2[cH:25][cH:26][cH:27][cH:28][c:29]21
SJVFAHZPLIXNDH-QFIPXVFZSA-N	N[C@@H](Cc1ccccc1)C(=O)O.O=C(OCC1c2ccccc2-c2ccccc21)Oc1c(F)c(F)c(F)c(F)c1F>>O=C(N[C@@H](Cc1ccccc1)C(=O)O)OCC1c2ccccc2-c2ccccc21	5	[NH2:3][C@@H:4]([CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[C:12](=[O:13])[OH:14].Fc1c(F)c(F)c(O[C:2](=[O:1])[O:15][CH2:16][CH:17]2[c:18]3[cH:19][cH:20][cH:21][cH:22][c:23]3-[c:24]3[cH:25][cH:26][cH:27][cH:28][c:29]32)c(F)c1F>>[O:1]=[C:2]([NH:3][C@@H:4]([CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[C:12](=[O:13])[OH:14])[O:15][CH2:16][CH:17]1[c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]2-[c:24]2[cH:25][cH:26][cH:27][cH:28][c:29]21
SJVFAHZPLIXNDH-QFIPXVFZSA-N	O=C1OCN(C(=O)OCC2c3ccccc3-c3ccccc32)[C@H]1Cc1ccccc1>>O=C(N[C@@H](Cc1ccccc1)C(=O)O)OCC1c2ccccc2-c2ccccc21	6	C1[N:3]([C:2](=[O:1])[O:15][CH2:16][CH:17]2[c:18]3[cH:19][cH:20][cH:21][cH:22][c:23]3-[c:24]3[cH:25][cH:26][cH:27][cH:28][c:29]32)[C@@H:4]([CH2:5][c:6]2[cH:7][cH:8][cH:9][cH:10][cH:11]2)[C:12](=[O:13])[O:14]1>>[O:1]=[C:2]([NH:3][C@@H:4]([CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[C:12](=[O:13])[OH:14])[O:15][CH2:16][CH:17]1[c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]2-[c:24]2[cH:25][cH:26][cH:27][cH:28][c:29]21
SJVFAHZPLIXNDH-QFIPXVFZSA-N	C[S+](C)c1ccc(O)cc1.O=C(OC(Cl)(Cl)Cl)OC(Cl)(Cl)Cl.OCC1c2ccccc2-c2ccccc21>>C[S+](C)c1ccc(OC(=O)OCC2c3ccccc3-c3ccccc32)cc1	7	[CH3:1][S+:2]([CH3:3])[c:4]1[cH:5][cH:6][c:7]([OH:8])[cH:26][cH:27]1.ClC(Cl)(Cl)O[C:9](OC(Cl)(Cl)Cl)=[O:10].[OH:11][CH2:12][CH:13]1[c:14]2[cH:15][cH:16][cH:17][cH:18][c:19]2-[c:20]2[cH:21][cH:22][cH:23][cH:24][c:25]21>>[CH3:1][S+:2]([CH3:3])[c:4]1[cH:5][cH:6][c:7]([O:8][C:9](=[O:10])[O:11][CH2:12][CH:13]2[c:14]3[cH:15][cH:16][cH:17][cH:18][c:19]3-[c:20]3[cH:21][cH:22][cH:23][cH:24][c:25]32)[cH:26][cH:27]1
SJVFAHZPLIXNDH-QFIPXVFZSA-N	C[S+](C)c1ccc(OC(=O)OCC2c3ccccc3-c3ccccc32)cc1.N[C@@H](Cc1ccccc1)C(=O)O>>O=C(N[C@@H](Cc1ccccc1)C(=O)O)OCC1c2ccccc2-c2ccccc21	7	C[S+](C)c1ccc(O[C:2](=[O:1])[O:15][CH2:16][CH:17]2[c:18]3[cH:19][cH:20][cH:21][cH:22][c:23]3-[c:24]3[cH:25][cH:26][cH:27][cH:28][c:29]32)cc1.[NH2:3][C@@H:4]([CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[C:12](=[O:13])[OH:14]>>[O:1]=[C:2]([NH:3][C@@H:4]([CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[C:12](=[O:13])[OH:14])[O:15][CH2:16][CH:17]1[c:18]2[cH:19][cH:20][cH:21][cH:22][c:23]2-[c:24]2[cH:25][cH:26][cH:27][cH:28][c:29]21
SJVFAHZPLIXNDH-QFIPXVFZSA-N	O=C(Cl)OCC1c2ccccc2-c2ccccc21.O=C1CCC(=O)N1>>O=C1CCC(=O)N1C(=O)OCC1c2ccccc2-c2ccccc21	8	Cl[C:8](=[O:9])[O:10][CH2:11][CH:12]1[c:13]2[cH:14][cH:15][cH:16][cH:17][c:18]2-[c:19]2[cH:20][cH:21][cH:22][cH:23][c:24]21.[O:1]=[C:2]1[CH2:3][CH2:4][C:5](=[O:6])[NH:7]1>>[O:1]=[C:2]1[CH2:3][CH2:4][C:5](=[O:6])[N:7]1[C:8](=[O:9])[O:10][CH2:11][CH:12]1[c:13]2[cH:14][cH:15][cH:16][cH:17][c:18]2-[c:19]2[cH:20][cH:21][cH:22][cH:23][c:24]21
