tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
UZCLUOWLQYOFSZ-UHFFFAOYSA-N	Nc1cc(C(F)(F)F)cc(F)c1N>>Nc1c(F)cc(C(F)(F)F)cc1I	1	N[c:12]1[c:2]([NH2:1])[c:3]([F:4])[cH:5][c:6]([C:7]([F:8])([F:9])[F:10])[cH:11]1>>[NH2:1][c:2]1[c:3]([F:4])[cH:5][c:6]([C:7]([F:8])([F:9])[F:10])[cH:11][c:12]1[I:13]
UZCLUOWLQYOFSZ-UHFFFAOYSA-N	O=[N+]([O-])c1c(F)cc(C(F)(F)F)cc1I>>Nc1c(F)cc(C(F)(F)F)cc1I	2	O=[N+:1]([O-])[c:2]1[c:3]([F:4])[cH:5][c:6]([C:7]([F:8])([F:9])[F:10])[cH:11][c:12]1[I:13]>>[NH2:1][c:2]1[c:3]([F:4])[cH:5][c:6]([C:7]([F:8])([F:9])[F:10])[cH:11][c:12]1[I:13]
UZCLUOWLQYOFSZ-UHFFFAOYSA-N	Fc1cc(I)cc(C(F)(F)F)c1>>O=[N+]([O-])c1c(F)cc(C(F)(F)F)cc1I	2	[cH:4]1[c:5]([F:6])[cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][c:14]1[I:15]>>[O:1]=[N+:2]([O-:3])[c:4]1[c:5]([F:6])[cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][c:14]1[I:15]
UZCLUOWLQYOFSZ-UHFFFAOYSA-N	Nc1c(F)cc(C(F)(F)F)cc1Br>>Nc1c(F)cc(C(F)(F)F)cc1I	3	Br[c:12]1[c:2]([NH2:1])[c:3]([F:4])[cH:5][c:6]([C:7]([F:8])([F:9])[F:10])[cH:11]1>>[NH2:1][c:2]1[c:3]([F:4])[cH:5][c:6]([C:7]([F:8])([F:9])[F:10])[cH:11][c:12]1[I:13]
UZCLUOWLQYOFSZ-UHFFFAOYSA-N	Nc1cc(C(F)(F)F)cc(F)c1N>>Nc1cc(C(F)(F)F)cc(F)c1[N+](=O)[O-]	4	[NH2:1][c:2]1[cH:3][c:4]([C:5]([F:6])([F:7])[F:8])[cH:9][c:10]([F:11])[c:12]1[NH2:13]>>[NH2:1][c:2]1[cH:3][c:4]([C:5]([F:6])([F:7])[F:8])[cH:9][c:10]([F:11])[c:12]1[N+:13](=[O:14])[O-:15]
UZCLUOWLQYOFSZ-UHFFFAOYSA-N	O=[N+]([O-])c1c(F)cc(C(F)(F)F)cc1I>>Nc1c(F)cc(C(F)(F)F)cc1I	4	O=[N+:1]([O-])[c:2]1[c:3]([F:4])[cH:5][c:6]([C:7]([F:8])([F:9])[F:10])[cH:11][c:12]1[I:13]>>[NH2:1][c:2]1[c:3]([F:4])[cH:5][c:6]([C:7]([F:8])([F:9])[F:10])[cH:11][c:12]1[I:13]
UZCLUOWLQYOFSZ-UHFFFAOYSA-N	Nc1cc(C(F)(F)F)cc(F)c1[N+](=O)[O-]>>O=[N+]([O-])c1c(F)cc(C(F)(F)F)cc1I	4	N[c:14]1[c:4]([N+:2](=[O:1])[O-:3])[c:5]([F:6])[cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13]1>>[O:1]=[N+:2]([O-:3])[c:4]1[c:5]([F:6])[cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][c:14]1[I:15]
UZCLUOWLQYOFSZ-UHFFFAOYSA-N	Nc1ccc(C(F)(F)F)cc1F>>Nc1c(F)cc(C(F)(F)F)cc1I	5	[NH2:1][c:2]1[c:3]([F:4])[cH:5][c:6]([C:7]([F:8])([F:9])[F:10])[cH:11][cH:12]1>>[NH2:1][c:2]1[c:3]([F:4])[cH:5][c:6]([C:7]([F:8])([F:9])[F:10])[cH:11][c:12]1[I:13]
UZCLUOWLQYOFSZ-UHFFFAOYSA-N	Fc1cc(C(F)(F)F)cc(I)c1Cl>>O=[N+]([O-])c1c(F)cc(C(F)(F)F)cc1I	6	Cl[c:4]1[c:5]([F:6])[cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][c:14]1[I:15]>>[O:1]=[N+:2]([O-:3])[c:4]1[c:5]([F:6])[cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][c:14]1[I:15]
UZCLUOWLQYOFSZ-UHFFFAOYSA-N	O=[N+]([O-])c1c(F)cc(C(F)(F)F)cc1I>>Nc1c(F)cc(C(F)(F)F)cc1I	6	O=[N+:1]([O-])[c:2]1[c:3]([F:4])[cH:5][c:6]([C:7]([F:8])([F:9])[F:10])[cH:11][c:12]1[I:13]>>[NH2:1][c:2]1[c:3]([F:4])[cH:5][c:6]([C:7]([F:8])([F:9])[F:10])[cH:11][c:12]1[I:13]
