tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
VEJPLARLFWIYNM-UHFFFAOYSA-N	CN(C)C=O.Clc1cccc(I)c1Br>>O=Cc1cccc(Cl)c1Br	1	CN(C)[CH:2]=[O:1].I[c:3]1[cH:4][cH:5][cH:6][c:7]([Cl:8])[c:9]1[Br:10]>>[O:1]=[CH:2][c:3]1[cH:4][cH:5][cH:6][c:7]([Cl:8])[c:9]1[Br:10]
VEJPLARLFWIYNM-UHFFFAOYSA-N	Clc1cccc(CBr)c1Br>>O=Cc1cccc(Cl)c1Br	2	Br[CH2:2][c:3]1[cH:4][cH:5][cH:6][c:7]([Cl:8])[c:9]1[Br:10]>>[O:1]=[CH:2][c:3]1[cH:4][cH:5][cH:6][c:7]([Cl:8])[c:9]1[Br:10]
VEJPLARLFWIYNM-UHFFFAOYSA-N	OCc1cccc(Cl)c1Br>>O=Cc1cccc(Cl)c1Br	3	[OH:1][CH2:2][c:3]1[cH:4][cH:5][cH:6][c:7]([Cl:8])[c:9]1[Br:10]>>[O:1]=[CH:2][c:3]1[cH:4][cH:5][cH:6][c:7]([Cl:8])[c:9]1[Br:10]
VEJPLARLFWIYNM-UHFFFAOYSA-N	CN(C)C=O.Clc1cccc(Br)c1Br>>O=Cc1cccc(Cl)c1Br	4	CN(C)[CH:2]=[O:1].Br[c:3]1[cH:4][cH:5][cH:6][c:7]([Cl:8])[c:9]1[Br:10]>>[O:1]=[CH:2][c:3]1[cH:4][cH:5][cH:6][c:7]([Cl:8])[c:9]1[Br:10]
VEJPLARLFWIYNM-UHFFFAOYSA-N	CNOC.O=C(O)c1cccc(Cl)c1Br>>CON(C)C(=O)c1cccc(Cl)c1Br	5	[CH3:1][O:2][NH:3][CH3:4].O[C:5](=[O:6])[c:7]1[cH:8][cH:9][cH:10][c:11]([Cl:12])[c:13]1[Br:14]>>[CH3:1][O:2][N:3]([CH3:4])[C:5](=[O:6])[c:7]1[cH:8][cH:9][cH:10][c:11]([Cl:12])[c:13]1[Br:14]
VEJPLARLFWIYNM-UHFFFAOYSA-N	CON(C)C(=O)c1cccc(Cl)c1Br>>O=Cc1cccc(Cl)c1Br	5	CON(C)[C:2](=[O:1])[c:3]1[cH:4][cH:5][cH:6][c:7]([Cl:8])[c:9]1[Br:10]>>[O:1]=[CH:2][c:3]1[cH:4][cH:5][cH:6][c:7]([Cl:8])[c:9]1[Br:10]
VEJPLARLFWIYNM-UHFFFAOYSA-N	CON(C)C(=O)c1cccc(Cl)c1Br>>O=Cc1cccc(Cl)c1Br	6	CON(C)[C:2](=[O:1])[c:3]1[cH:4][cH:5][cH:6][c:7]([Cl:8])[c:9]1[Br:10]>>[O:1]=[CH:2][c:3]1[cH:4][cH:5][cH:6][c:7]([Cl:8])[c:9]1[Br:10]
VEJPLARLFWIYNM-UHFFFAOYSA-N	CNOC.Clc1cccc(Br)c1Br.[C]=O>>CON(C)C(=O)c1cccc(Cl)c1Br	6	[CH3:1][O:2][NH:3][CH3:4].Br[c:7]1[cH:8][cH:9][cH:10][c:11]([Cl:12])[c:13]1[Br:14].[C:5]=[O:6]>>[CH3:1][O:2][N:3]([CH3:4])[C:5](=[O:6])[c:7]1[cH:8][cH:9][cH:10][c:11]([Cl:12])[c:13]1[Br:14]
VEJPLARLFWIYNM-UHFFFAOYSA-N	O=C=O>>[C]=O	6	O=[C:1]=[O:2]>>[C:1]=[O:2]
VEJPLARLFWIYNM-UHFFFAOYSA-N	CON(C)C(=O)c1cccc(Cl)c1Br>>O=Cc1cccc(Cl)c1Br	7	CON(C)[C:2](=[O:1])[c:3]1[cH:4][cH:5][cH:6][c:7]([Cl:8])[c:9]1[Br:10]>>[O:1]=[CH:2][c:3]1[cH:4][cH:5][cH:6][c:7]([Cl:8])[c:9]1[Br:10]
