tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
VLYBAPCPKDLKOF-UHFFFAOYSA-N	NCCCBr.O=S(=O)(Cl)Cc1ccccc1>>O=S(=O)(Cc1ccccc1)NCCCBr	1	[NH2:11][CH2:12][CH2:13][CH2:14][Br:15].Cl[S:2](=[O:1])(=[O:3])[CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1>>[O:1]=[S:2](=[O:3])([CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[NH:11][CH2:12][CH2:13][CH2:14][Br:15]
VLYBAPCPKDLKOF-UHFFFAOYSA-N	NCCCO.O=S(=O)(Cl)Cc1ccccc1>>O=S(=O)(Cc1ccccc1)NCCCO	2	[NH2:11][CH2:12][CH2:13][CH2:14][OH:15].Cl[S:2](=[O:1])(=[O:3])[CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1>>[O:1]=[S:2](=[O:3])([CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[NH:11][CH2:12][CH2:13][CH2:14][OH:15]
VLYBAPCPKDLKOF-UHFFFAOYSA-N	O=S(=O)(Cc1ccccc1)NCCCO>>O=S(=O)(Cc1ccccc1)NCCCBr	2	O[CH2:14][CH2:13][CH2:12][NH:11][S:2](=[O:1])(=[O:3])[CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1>>[O:1]=[S:2](=[O:3])([CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[NH:11][CH2:12][CH2:13][CH2:14][Br:15]
VLYBAPCPKDLKOF-UHFFFAOYSA-N	O=S(=O)(Cc1ccccc1)NCCCO>>O=S(=O)(Cc1ccccc1)NCCCBr	3	O[CH2:14][CH2:13][CH2:12][NH:11][S:2](=[O:1])(=[O:3])[CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1>>[O:1]=[S:2](=[O:3])([CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[NH:11][CH2:12][CH2:13][CH2:14][Br:15]
VLYBAPCPKDLKOF-UHFFFAOYSA-N	NCCCO.O=S(=O)(F)Cc1ccccc1>>O=S(=O)(Cc1ccccc1)NCCCO	3	[NH2:11][CH2:12][CH2:13][CH2:14][OH:15].F[S:2](=[O:1])(=[O:3])[CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1>>[O:1]=[S:2](=[O:3])([CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[NH:11][CH2:12][CH2:13][CH2:14][OH:15]
VLYBAPCPKDLKOF-UHFFFAOYSA-N	NCCCBr.O=S(=O)(F)Cc1ccccc1>>O=S(=O)(Cc1ccccc1)NCCCBr	4	[NH2:11][CH2:12][CH2:13][CH2:14][Br:15].F[S:2](=[O:1])(=[O:3])[CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1>>[O:1]=[S:2](=[O:3])([CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[NH:11][CH2:12][CH2:13][CH2:14][Br:15]
VLYBAPCPKDLKOF-UHFFFAOYSA-N	BrCCCBr.NS(=O)(=O)Cc1ccccc1>>O=S(=O)(Cc1ccccc1)NCCCBr	5	Br[CH2:12][CH2:13][CH2:14][Br:15].[O:1]=[S:2](=[O:3])([CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[NH2:11]>>[O:1]=[S:2](=[O:3])([CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[NH:11][CH2:12][CH2:13][CH2:14][Br:15]
VLYBAPCPKDLKOF-UHFFFAOYSA-N	CC(=O)OCCCBr.NS(=O)(=O)Cc1ccccc1>>CC(=O)OCCCNS(=O)(=O)Cc1ccccc1	6	Br[CH2:7][CH2:6][CH2:5][O:4][C:2]([CH3:1])=[O:3].[NH2:8][S:9](=[O:10])(=[O:11])[CH2:12][c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1>>[CH3:1][C:2](=[O:3])[O:4][CH2:5][CH2:6][CH2:7][NH:8][S:9](=[O:10])(=[O:11])[CH2:12][c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1
VLYBAPCPKDLKOF-UHFFFAOYSA-N	O=S(=O)(Cc1ccccc1)NCCCO>>O=S(=O)(Cc1ccccc1)NCCCBr	6	O[CH2:14][CH2:13][CH2:12][NH:11][S:2](=[O:1])(=[O:3])[CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1>>[O:1]=[S:2](=[O:3])([CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[NH:11][CH2:12][CH2:13][CH2:14][Br:15]
VLYBAPCPKDLKOF-UHFFFAOYSA-N	CC(=O)OCCCNS(=O)(=O)Cc1ccccc1>>O=S(=O)(Cc1ccccc1)NCCCO	6	CC(=O)[O:15][CH2:14][CH2:13][CH2:12][NH:11][S:2](=[O:1])(=[O:3])[CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1>>[O:1]=[S:2](=[O:3])([CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[NH:11][CH2:12][CH2:13][CH2:14][OH:15]
VLYBAPCPKDLKOF-UHFFFAOYSA-N	CC(=O)OCCCN.O=S(=O)(Cl)Cc1ccccc1>>CC(=O)OCCCNS(=O)(=O)Cc1ccccc1	7	[CH3:1][C:2](=[O:3])[O:4][CH2:5][CH2:6][CH2:7][NH2:8].Cl[S:9](=[O:10])(=[O:11])[CH2:12][c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1>>[CH3:1][C:2](=[O:3])[O:4][CH2:5][CH2:6][CH2:7][NH:8][S:9](=[O:10])(=[O:11])[CH2:12][c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1
VLYBAPCPKDLKOF-UHFFFAOYSA-N	CC(=O)OCCCBr>>CC(=O)OCCCN=[N+]=[N-]	7	Br[CH2:7][CH2:6][CH2:5][O:4][C:2]([CH3:1])=[O:3]>>[CH3:1][C:2](=[O:3])[O:4][CH2:5][CH2:6][CH2:7][N:8]=[N+:9]=[N-:10]
VLYBAPCPKDLKOF-UHFFFAOYSA-N	O=S(=O)(Cc1ccccc1)NCCCO>>O=S(=O)(Cc1ccccc1)NCCCBr	7	O[CH2:14][CH2:13][CH2:12][NH:11][S:2](=[O:1])(=[O:3])[CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1>>[O:1]=[S:2](=[O:3])([CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[NH:11][CH2:12][CH2:13][CH2:14][Br:15]
VLYBAPCPKDLKOF-UHFFFAOYSA-N	CC(=O)OCCCNS(=O)(=O)Cc1ccccc1>>O=S(=O)(Cc1ccccc1)NCCCO	7	CC(=O)[O:15][CH2:14][CH2:13][CH2:12][NH:11][S:2](=[O:1])(=[O:3])[CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1>>[O:1]=[S:2](=[O:3])([CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[NH:11][CH2:12][CH2:13][CH2:14][OH:15]
VLYBAPCPKDLKOF-UHFFFAOYSA-N	CC(=O)OCCCN=[N+]=[N-]>>CC(=O)OCCCN	7	[N-]=[N+]=[N:8][CH2:7][CH2:6][CH2:5][O:4][C:2]([CH3:1])=[O:3]>>[CH3:1][C:2](=[O:3])[O:4][CH2:5][CH2:6][CH2:7][NH2:8]
VLYBAPCPKDLKOF-UHFFFAOYSA-N	CC(=O)OCCCN.O=S(=O)(Cl)Cc1ccccc1>>CC(=O)OCCCNS(=O)(=O)Cc1ccccc1	8	[CH3:1][C:2](=[O:3])[O:4][CH2:5][CH2:6][CH2:7][NH2:8].Cl[S:9](=[O:10])(=[O:11])[CH2:12][c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1>>[CH3:1][C:2](=[O:3])[O:4][CH2:5][CH2:6][CH2:7][NH:8][S:9](=[O:10])(=[O:11])[CH2:12][c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1
VLYBAPCPKDLKOF-UHFFFAOYSA-N	CC(=O)OCCCI>>CC(=O)OCCCN=[N+]=[N-]	8	I[CH2:7][CH2:6][CH2:5][O:4][C:2]([CH3:1])=[O:3]>>[CH3:1][C:2](=[O:3])[O:4][CH2:5][CH2:6][CH2:7][N:8]=[N+:9]=[N-:10]
VLYBAPCPKDLKOF-UHFFFAOYSA-N	O=S(=O)(Cc1ccccc1)NCCCO>>O=S(=O)(Cc1ccccc1)NCCCBr	8	O[CH2:14][CH2:13][CH2:12][NH:11][S:2](=[O:1])(=[O:3])[CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1>>[O:1]=[S:2](=[O:3])([CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[NH:11][CH2:12][CH2:13][CH2:14][Br:15]
VLYBAPCPKDLKOF-UHFFFAOYSA-N	CC(=O)OCCCNS(=O)(=O)Cc1ccccc1>>O=S(=O)(Cc1ccccc1)NCCCO	8	CC(=O)[O:15][CH2:14][CH2:13][CH2:12][NH:11][S:2](=[O:1])(=[O:3])[CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1>>[O:1]=[S:2](=[O:3])([CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[NH:11][CH2:12][CH2:13][CH2:14][OH:15]
VLYBAPCPKDLKOF-UHFFFAOYSA-N	CC(=O)OCCCN=[N+]=[N-]>>CC(=O)OCCCN	8	[N-]=[N+]=[N:8][CH2:7][CH2:6][CH2:5][O:4][C:2]([CH3:1])=[O:3]>>[CH3:1][C:2](=[O:3])[O:4][CH2:5][CH2:6][CH2:7][NH2:8]
VLYBAPCPKDLKOF-UHFFFAOYSA-N	CC(=O)OCCCN.O=S(=O)(Cl)Cc1ccccc1>>CC(=O)OCCCNS(=O)(=O)Cc1ccccc1	9	[CH3:1][C:2](=[O:3])[O:4][CH2:5][CH2:6][CH2:7][NH2:8].Cl[S:9](=[O:10])(=[O:11])[CH2:12][c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1>>[CH3:1][C:2](=[O:3])[O:4][CH2:5][CH2:6][CH2:7][NH:8][S:9](=[O:10])(=[O:11])[CH2:12][c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1
VLYBAPCPKDLKOF-UHFFFAOYSA-N	CC(=O)Cl.[N-]=[N+]=NCCCO>>CC(=O)OCCCN=[N+]=[N-]	9	Cl[C:2]([CH3:1])=[O:3].[OH:4][CH2:5][CH2:6][CH2:7][N:8]=[N+:9]=[N-:10]>>[CH3:1][C:2](=[O:3])[O:4][CH2:5][CH2:6][CH2:7][N:8]=[N+:9]=[N-:10]
VLYBAPCPKDLKOF-UHFFFAOYSA-N	O=S(=O)(Cc1ccccc1)NCCCO>>O=S(=O)(Cc1ccccc1)NCCCBr	9	O[CH2:14][CH2:13][CH2:12][NH:11][S:2](=[O:1])(=[O:3])[CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1>>[O:1]=[S:2](=[O:3])([CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[NH:11][CH2:12][CH2:13][CH2:14][Br:15]
VLYBAPCPKDLKOF-UHFFFAOYSA-N	CC(=O)OCCCNS(=O)(=O)Cc1ccccc1>>O=S(=O)(Cc1ccccc1)NCCCO	9	CC(=O)[O:15][CH2:14][CH2:13][CH2:12][NH:11][S:2](=[O:1])(=[O:3])[CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1>>[O:1]=[S:2](=[O:3])([CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[NH:11][CH2:12][CH2:13][CH2:14][OH:15]
VLYBAPCPKDLKOF-UHFFFAOYSA-N	CC(=O)OCCCN=[N+]=[N-]>>CC(=O)OCCCN	9	[N-]=[N+]=[N:8][CH2:7][CH2:6][CH2:5][O:4][C:2]([CH3:1])=[O:3]>>[CH3:1][C:2](=[O:3])[O:4][CH2:5][CH2:6][CH2:7][NH2:8]
