tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
VTJXLVGZNOINAD-UHFFFAOYSA-N	CI.CI.Oc1ccc2cc[nH]c2c1>>COc1ccc2ccn(C)c2c1	1	I[CH3:10].I[CH3:1].[OH:2][c:3]1[cH:4][cH:5][c:6]2[cH:7][cH:8][nH:9][c:11]2[cH:12]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[cH:7][cH:8][n:9]([CH3:10])[c:11]2[cH:12]1
VTJXLVGZNOINAD-UHFFFAOYSA-N	COS(=O)(=O)OC.COc1ccc2cc[nH]c2c1>>COc1ccc2ccn(C)c2c1	2	COS(=O)(=O)O[CH3:10].[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[cH:7][cH:8][nH:9][c:11]2[cH:12]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[cH:7][cH:8][n:9]([CH3:10])[c:11]2[cH:12]1
VTJXLVGZNOINAD-UHFFFAOYSA-N	CI.COc1ccc2cc[nH]c2c1>>COc1ccc2ccn(C)c2c1	3	I[CH3:10].[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[cH:7][cH:8][nH:9][c:11]2[cH:12]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[cH:7][cH:8][n:9]([CH3:10])[c:11]2[cH:12]1
VTJXLVGZNOINAD-UHFFFAOYSA-N	CBr.COc1ccc2cc[nH]c2c1>>COc1ccc2ccn(C)c2c1	4	Br[CH3:10].[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[cH:7][cH:8][nH:9][c:11]2[cH:12]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[cH:7][cH:8][n:9]([CH3:10])[c:11]2[cH:12]1
VTJXLVGZNOINAD-UHFFFAOYSA-N	Cn1ccc2ccc(N)cc21>>Cn1ccc2ccc(O)cc21	5	N[c:8]1[cH:7][cH:6][c:5]2[cH:4][cH:3][n:2]([CH3:1])[c:11]2[cH:10]1>>[CH3:1][n:2]1[cH:3][cH:4][c:5]2[cH:6][cH:7][c:8]([OH:9])[cH:10][c:11]12
VTJXLVGZNOINAD-UHFFFAOYSA-N	CI.Cn1ccc2ccc(O)cc21>>COc1ccc2ccn(C)c2c1	5	I[CH3:1].[OH:2][c:3]1[cH:4][cH:5][c:6]2[cH:7][cH:8][n:9]([CH3:10])[c:11]2[cH:12]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[cH:7][cH:8][n:9]([CH3:10])[c:11]2[cH:12]1
VTJXLVGZNOINAD-UHFFFAOYSA-N	CI.c1ccc(COc2ccc3cc[nH]c3c2)cc1>>Cn1ccc2ccc(OCc3ccccc3)cc21	6	I[CH3:1].[nH:2]1[cH:3][cH:4][c:5]2[cH:6][cH:7][c:8]([O:9][CH2:10][c:11]3[cH:12][cH:13][cH:14][cH:15][cH:16]3)[cH:17][c:18]12>>[CH3:1][n:2]1[cH:3][cH:4][c:5]2[cH:6][cH:7][c:8]([O:9][CH2:10][c:11]3[cH:12][cH:13][cH:14][cH:15][cH:16]3)[cH:17][c:18]12
VTJXLVGZNOINAD-UHFFFAOYSA-N	Cn1ccc2ccc(OCc3ccccc3)cc21>>Cn1ccc2ccc(O)cc21	6	c1ccc(C[O:9][c:8]2[cH:7][cH:6][c:5]3[cH:4][cH:3][n:2]([CH3:1])[c:11]3[cH:10]2)cc1>>[CH3:1][n:2]1[cH:3][cH:4][c:5]2[cH:6][cH:7][c:8]([OH:9])[cH:10][c:11]12
VTJXLVGZNOINAD-UHFFFAOYSA-N	CI.Cn1ccc2ccc(O)cc21>>COc1ccc2ccn(C)c2c1	6	I[CH3:1].[OH:2][c:3]1[cH:4][cH:5][c:6]2[cH:7][cH:8][n:9]([CH3:10])[c:11]2[cH:12]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[cH:7][cH:8][n:9]([CH3:10])[c:11]2[cH:12]1
VTJXLVGZNOINAD-UHFFFAOYSA-N	Cn1ccc2ccc(Br)cc21>>Cn1ccc2ccc(O)cc21	7	Br[c:8]1[cH:7][cH:6][c:5]2[cH:4][cH:3][n:2]([CH3:1])[c:11]2[cH:10]1>>[CH3:1][n:2]1[cH:3][cH:4][c:5]2[cH:6][cH:7][c:8]([OH:9])[cH:10][c:11]12
