tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
VVPARGBRVKRZJC-UHFFFAOYSA-N	CCCO.Fc1ccc(Br)cc1>>CCCOc1ccc(Br)cc1	1	[CH3:1][CH2:2][CH2:3][OH:4].F[c:5]1[cH:6][cH:7][c:8]([Br:9])[cH:10][cH:11]1>>[CH3:1][CH2:2][CH2:3][O:4][c:5]1[cH:6][cH:7][c:8]([Br:9])[cH:10][cH:11]1
VVPARGBRVKRZJC-UHFFFAOYSA-N	CCCOc1ccccc1>>CCCOc1ccc(Br)cc1	2	[CH3:1][CH2:2][CH2:3][O:4][c:5]1[cH:6][cH:7][cH:8][cH:10][cH:11]1>>[CH3:1][CH2:2][CH2:3][O:4][c:5]1[cH:6][cH:7][c:8]([Br:9])[cH:10][cH:11]1
VVPARGBRVKRZJC-UHFFFAOYSA-N	CCCI.Oc1ccc(Br)cc1>>CCCOc1ccc(Br)cc1	3	I[CH2:3][CH2:2][CH3:1].[OH:4][c:5]1[cH:6][cH:7][c:8]([Br:9])[cH:10][cH:11]1>>[CH3:1][CH2:2][CH2:3][O:4][c:5]1[cH:6][cH:7][c:8]([Br:9])[cH:10][cH:11]1
VVPARGBRVKRZJC-UHFFFAOYSA-N	CC1(C)OB(c2ccc([O-])cc2)OC1(C)C>>[O-]c1ccc(Br)cc1	4	CC1(C)OB([c:5]2[cH:4][cH:3][c:2]([O-:1])[cH:8][cH:7]2)OC1(C)C>>[O-:1][c:2]1[cH:3][cH:4][c:5]([Br:6])[cH:7][cH:8]1
VVPARGBRVKRZJC-UHFFFAOYSA-N	CCCBr.[O-]c1ccc(Br)cc1>>CCCOc1ccc(Br)cc1	4	Br[CH2:3][CH2:2][CH3:1].[O-:4][c:5]1[cH:6][cH:7][c:8]([Br:9])[cH:10][cH:11]1>>[CH3:1][CH2:2][CH2:3][O:4][c:5]1[cH:6][cH:7][c:8]([Br:9])[cH:10][cH:11]1
VVPARGBRVKRZJC-UHFFFAOYSA-N	CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.[O-]c1ccc(Cl)cc1>>CC1(C)OB(c2ccc([O-])cc2)OC1(C)C	4	CC1(C)OB([B:5]2[O:4][C:2]([CH3:1])([CH3:3])[C:14]([CH3:15])([CH3:16])[O:13]2)OC1(C)C.Cl[c:6]1[cH:7][cH:8][c:9]([O-:10])[cH:11][cH:12]1>>[CH3:1][C:2]1([CH3:3])[O:4][B:5]([c:6]2[cH:7][cH:8][c:9]([O-:10])[cH:11][cH:12]2)[O:13][C:14]1([CH3:15])[CH3:16]
VVPARGBRVKRZJC-UHFFFAOYSA-N	CCCBr.Oc1ccc(Br)cc1>>CCCOc1ccc(Br)cc1	5	Br[CH2:3][CH2:2][CH3:1].[OH:4][c:5]1[cH:6][cH:7][c:8]([Br:9])[cH:10][cH:11]1>>[CH3:1][CH2:2][CH2:3][O:4][c:5]1[cH:6][cH:7][c:8]([Br:9])[cH:10][cH:11]1
VVPARGBRVKRZJC-UHFFFAOYSA-N	CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.[O-]c1ccccc1>>CC1(C)OB(c2ccc([O-])cc2)OC1(C)C	6	CC1(C)OB([B:5]2[O:4][C:2]([CH3:1])([CH3:3])[C:14]([CH3:15])([CH3:16])[O:13]2)OC1(C)C.[cH:6]1[cH:7][cH:8][c:9]([O-:10])[cH:11][cH:12]1>>[CH3:1][C:2]1([CH3:3])[O:4][B:5]([c:6]2[cH:7][cH:8][c:9]([O-:10])[cH:11][cH:12]2)[O:13][C:14]1([CH3:15])[CH3:16]
VVPARGBRVKRZJC-UHFFFAOYSA-N	CC1(C)OB(c2ccc([O-])cc2)OC1(C)C>>[O-]c1ccc(Br)cc1	6	CC1(C)OB([c:5]2[cH:4][cH:3][c:2]([O-:1])[cH:8][cH:7]2)OC1(C)C>>[O-:1][c:2]1[cH:3][cH:4][c:5]([Br:6])[cH:7][cH:8]1
VVPARGBRVKRZJC-UHFFFAOYSA-N	CCCBr.[O-]c1ccc(Br)cc1>>CCCOc1ccc(Br)cc1	6	Br[CH2:3][CH2:2][CH3:1].[O-:4][c:5]1[cH:6][cH:7][c:8]([Br:9])[cH:10][cH:11]1>>[CH3:1][CH2:2][CH2:3][O:4][c:5]1[cH:6][cH:7][c:8]([Br:9])[cH:10][cH:11]1
VVPARGBRVKRZJC-UHFFFAOYSA-N	CCCO.Oc1ccc(Br)cc1>>CCCOc1ccc(Br)cc1	7	O[CH2:3][CH2:2][CH3:1].[OH:4][c:5]1[cH:6][cH:7][c:8]([Br:9])[cH:10][cH:11]1>>[CH3:1][CH2:2][CH2:3][O:4][c:5]1[cH:6][cH:7][c:8]([Br:9])[cH:10][cH:11]1
VVPARGBRVKRZJC-UHFFFAOYSA-N	Brc1ccc(I)cc1.CCCO>>CCCOc1ccc(Br)cc1	8	I[c:5]1[cH:6][cH:7][c:8]([Br:9])[cH:10][cH:11]1.[CH3:1][CH2:2][CH2:3][OH:4]>>[CH3:1][CH2:2][CH2:3][O:4][c:5]1[cH:6][cH:7][c:8]([Br:9])[cH:10][cH:11]1
