tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
WDULTHSJTYQJMV-ONGXEEELSA-N	CC(C)(C)OC(=O)N1C[C@@H](O)C[C@H]1C(=O)Nc1nccs1>>O=C(Nc1nccs1)[C@@H]1C[C@H](O)CN1	1	CC(C)(C)OC(=O)[N:14]1[C@H:9]([C:2](=[O:1])[NH:3][c:4]2[n:5][cH:6][cH:7][s:8]2)[CH2:10][C@H:11]([OH:12])[CH2:13]1>>[O:1]=[C:2]([NH:3][c:4]1[n:5][cH:6][cH:7][s:8]1)[C@@H:9]1[CH2:10][C@H:11]([OH:12])[CH2:13][NH:14]1
WDULTHSJTYQJMV-ONGXEEELSA-N	Clc1nc(Cl)nc(Nc2cc(C3CC3)[nH]n2)n1.O=C(Nc1nccs1)[C@@H]1C[C@H](O)CN1>>O=C(Nc1nccs1)[C@@H]1C[C@H](O)CN1c1nc(Cl)nc(Nc2cc(C3CC3)[nH]n2)n1	1	Cl[c:15]1[n:16][c:17]([Cl:18])[n:19][c:20]([NH:21][c:22]2[cH:23][c:24]([CH:25]3[CH2:26][CH2:27]3)[nH:28][n:29]2)[n:30]1.[O:1]=[C:2]([NH:3][c:4]1[n:5][cH:6][cH:7][s:8]1)[C@@H:9]1[CH2:10][C@H:11]([OH:12])[CH2:13][NH:14]1>>[O:1]=[C:2]([NH:3][c:4]1[n:5][cH:6][cH:7][s:8]1)[C@@H:9]1[CH2:10][C@H:11]([OH:12])[CH2:13][N:14]1[c:15]1[n:16][c:17]([Cl:18])[n:19][c:20]([NH:21][c:22]2[cH:23][c:24]([CH:25]3[CH2:26][CH2:27]3)[nH:28][n:29]2)[n:30]1
WDULTHSJTYQJMV-ONGXEEELSA-N	Clc1nc(Cl)nc(Cl)n1.Nc1cc(C2CC2)[nH]n1>>Clc1nc(Cl)nc(Nc2cc(C3CC3)[nH]n2)n1	1	Cl[c:7]1[n:6][c:4]([Cl:5])[n:3][c:2]([Cl:1])[n:17]1.[NH2:8][c:9]1[cH:10][c:11]([CH:12]2[CH2:13][CH2:14]2)[nH:15][n:16]1>>[Cl:1][c:2]1[n:3][c:4]([Cl:5])[n:6][c:7]([NH:8][c:9]2[cH:10][c:11]([CH:12]3[CH2:13][CH2:14]3)[nH:15][n:16]2)[n:17]1
WDULTHSJTYQJMV-ONGXEEELSA-N	CC(C)(C)OC(=O)N1C[C@@H](O)C[C@H]1C(=O)O.Nc1nccs1>>CC(C)(C)OC(=O)N1C[C@@H](O)C[C@H]1C(=O)Nc1nccs1	1	O[C:14]([C@H:13]1[N:8]([C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[CH2:9][C@@H:10]([OH:11])[CH2:12]1)=[O:15].[NH2:16][c:17]1[n:18][cH:19][cH:20][s:21]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][C@@H:10]([OH:11])[CH2:12][C@H:13]1[C:14](=[O:15])[NH:16][c:17]1[n:18][cH:19][cH:20][s:21]1
WDULTHSJTYQJMV-ONGXEEELSA-N	CC(C)(C)OC(=O)N1C[C@@H](O)C[C@H]1C(=O)Nc1nccs1>>O=C(Nc1nccs1)[C@@H]1C[C@H](O)CN1	2	CC(C)(C)OC(=O)[N:14]1[C@H:9]([C:2](=[O:1])[NH:3][c:4]2[n:5][cH:6][cH:7][s:8]2)[CH2:10][C@H:11]([OH:12])[CH2:13]1>>[O:1]=[C:2]([NH:3][c:4]1[n:5][cH:6][cH:7][s:8]1)[C@@H:9]1[CH2:10][C@H:11]([OH:12])[CH2:13][NH:14]1
WDULTHSJTYQJMV-ONGXEEELSA-N	CC(C)(C)OC(=O)N1C[C@@H](O)C[C@H]1C(=O)O.Nc1nccs1>>CC(C)(C)OC(=O)N1C[C@@H](O)C[C@H]1C(=O)Nc1nccs1	2	O[C:14]([C@H:13]1[N:8]([C:6]([O:5][C:2]([CH3:1])([CH3:3])[CH3:4])=[O:7])[CH2:9][C@@H:10]([OH:11])[CH2:12]1)=[O:15].[NH2:16][c:17]1[n:18][cH:19][cH:20][s:21]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][C@@H:10]([OH:11])[CH2:12][C@H:13]1[C:14](=[O:15])[NH:16][c:17]1[n:18][cH:19][cH:20][s:21]1
WDULTHSJTYQJMV-ONGXEEELSA-N	Clc1nc(Cl)nc(Cl)n1.O=C(Nc1nccs1)[C@@H]1C[C@H](O)CN1>>O=C(Nc1nccs1)[C@@H]1C[C@H](O)CN1c1nc(Cl)nc(Cl)n1	2	Cl[c:15]1[n:16][c:17]([Cl:18])[n:19][c:20]([Cl:21])[n:22]1.[O:1]=[C:2]([NH:3][c:4]1[n:5][cH:6][cH:7][s:8]1)[C@@H:9]1[CH2:10][C@H:11]([OH:12])[CH2:13][NH:14]1>>[O:1]=[C:2]([NH:3][c:4]1[n:5][cH:6][cH:7][s:8]1)[C@@H:9]1[CH2:10][C@H:11]([OH:12])[CH2:13][N:14]1[c:15]1[n:16][c:17]([Cl:18])[n:19][c:20]([Cl:21])[n:22]1
WDULTHSJTYQJMV-ONGXEEELSA-N	Nc1cc(C2CC2)[nH]n1.O=C(Nc1nccs1)[C@@H]1C[C@H](O)CN1c1nc(Cl)nc(Cl)n1>>O=C(Nc1nccs1)[C@@H]1C[C@H](O)CN1c1nc(Cl)nc(Nc2cc(C3CC3)[nH]n2)n1	2	[NH2:21][c:22]1[cH:23][c:24]([CH:25]2[CH2:26][CH2:27]2)[nH:28][n:29]1.Cl[c:20]1[n:19][c:17]([Cl:18])[n:16][c:15]([N:14]2[C@H:9]([C:2](=[O:1])[NH:3][c:4]3[n:5][cH:6][cH:7][s:8]3)[CH2:10][C@H:11]([OH:12])[CH2:13]2)[n:30]1>>[O:1]=[C:2]([NH:3][c:4]1[n:5][cH:6][cH:7][s:8]1)[C@@H:9]1[CH2:10][C@H:11]([OH:12])[CH2:13][N:14]1[c:15]1[n:16][c:17]([Cl:18])[n:19][c:20]([NH:21][c:22]2[cH:23][c:24]([CH:25]3[CH2:26][CH2:27]3)[nH:28][n:29]2)[n:30]1
WDULTHSJTYQJMV-ONGXEEELSA-N	CC(C)(C)OC(=O)N1C[C@@H](O)C[C@H]1C(=O)Nc1nccs1>>O=C(Nc1nccs1)[C@@H]1C[C@H](O)CN1	3	CC(C)(C)OC(=O)[N:14]1[C@H:9]([C:2](=[O:1])[NH:3][c:4]2[n:5][cH:6][cH:7][s:8]2)[CH2:10][C@H:11]([OH:12])[CH2:13]1>>[O:1]=[C:2]([NH:3][c:4]1[n:5][cH:6][cH:7][s:8]1)[C@@H:9]1[CH2:10][C@H:11]([OH:12])[CH2:13][NH:14]1
WDULTHSJTYQJMV-ONGXEEELSA-N	Clc1nc(Cl)nc(Nc2cc(C3CC3)[nH]n2)n1.O=C(Nc1nccs1)[C@@H]1C[C@H](O)CN1>>O=C(Nc1nccs1)[C@@H]1C[C@H](O)CN1c1nc(Cl)nc(Nc2cc(C3CC3)[nH]n2)n1	3	Cl[c:15]1[n:16][c:17]([Cl:18])[n:19][c:20]([NH:21][c:22]2[cH:23][c:24]([CH:25]3[CH2:26][CH2:27]3)[nH:28][n:29]2)[n:30]1.[O:1]=[C:2]([NH:3][c:4]1[n:5][cH:6][cH:7][s:8]1)[C@@H:9]1[CH2:10][C@H:11]([OH:12])[CH2:13][NH:14]1>>[O:1]=[C:2]([NH:3][c:4]1[n:5][cH:6][cH:7][s:8]1)[C@@H:9]1[CH2:10][C@H:11]([OH:12])[CH2:13][N:14]1[c:15]1[n:16][c:17]([Cl:18])[n:19][c:20]([NH:21][c:22]2[cH:23][c:24]([CH:25]3[CH2:26][CH2:27]3)[nH:28][n:29]2)[n:30]1
