tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
WEEVXEKXCIBZMB-UHFFFAOYSA-N	CC1(C)OB(c2ccc(F)cc2)OC1(C)C.O=C(O)c1cccc(Br)n1>>O=C(O)c1cccc(-c2ccc(F)cc2)n1	1	CC1(C)OB([c:9]2[cH:10][cH:11][c:12]([F:13])[cH:14][cH:15]2)OC1(C)C.Br[c:8]1[cH:7][cH:6][cH:5][c:4]([C:2](=[O:1])[OH:3])[n:16]1>>[O:1]=[C:2]([OH:3])[c:4]1[cH:5][cH:6][cH:7][c:8](-[c:9]2[cH:10][cH:11][c:12]([F:13])[cH:14][cH:15]2)[n:16]1
WEEVXEKXCIBZMB-UHFFFAOYSA-N	CC1(C)OB(c2ccc(F)cc2)OC1(C)C.O=C(O)c1cccc(Cl)n1>>O=C(O)c1cccc(-c2ccc(F)cc2)n1	2	CC1(C)OB([c:9]2[cH:10][cH:11][c:12]([F:13])[cH:14][cH:15]2)OC1(C)C.Cl[c:8]1[cH:7][cH:6][cH:5][c:4]([C:2](=[O:1])[OH:3])[n:16]1>>[O:1]=[C:2]([OH:3])[c:4]1[cH:5][cH:6][cH:7][c:8](-[c:9]2[cH:10][cH:11][c:12]([F:13])[cH:14][cH:15]2)[n:16]1
WEEVXEKXCIBZMB-UHFFFAOYSA-N	CC1(C)COB(c2ccc(F)cc2)OC1.O=C(O)c1cccc(Br)n1>>O=C(O)c1cccc(-c2ccc(F)cc2)n1	3	CC1(C)COB([c:9]2[cH:10][cH:11][c:12]([F:13])[cH:14][cH:15]2)OC1.Br[c:8]1[cH:7][cH:6][cH:5][c:4]([C:2](=[O:1])[OH:3])[n:16]1>>[O:1]=[C:2]([OH:3])[c:4]1[cH:5][cH:6][cH:7][c:8](-[c:9]2[cH:10][cH:11][c:12]([F:13])[cH:14][cH:15]2)[n:16]1
WEEVXEKXCIBZMB-UHFFFAOYSA-N	O=C(O)c1cccc(Br)n1.OB(O)c1ccc(F)cc1>>O=C(O)c1cccc(-c2ccc(F)cc2)n1	4	Br[c:8]1[cH:7][cH:6][cH:5][c:4]([C:2](=[O:1])[OH:3])[n:16]1.OB(O)[c:9]1[cH:10][cH:11][c:12]([F:13])[cH:14][cH:15]1>>[O:1]=[C:2]([OH:3])[c:4]1[cH:5][cH:6][cH:7][c:8](-[c:9]2[cH:10][cH:11][c:12]([F:13])[cH:14][cH:15]2)[n:16]1
WEEVXEKXCIBZMB-UHFFFAOYSA-N	COC(=O)c1cccc(Br)n1.OB(O)c1ccc(F)cc1>>O=C(O)c1cccc(-c2ccc(F)cc2)n1	5	C[O:3][C:2](=[O:1])[c:4]1[cH:5][cH:6][cH:7][c:8](Br)[n:16]1.OB(O)[c:9]1[cH:10][cH:11][c:12]([F:13])[cH:14][cH:15]1>>[O:1]=[C:2]([OH:3])[c:4]1[cH:5][cH:6][cH:7][c:8](-[c:9]2[cH:10][cH:11][c:12]([F:13])[cH:14][cH:15]2)[n:16]1
WEEVXEKXCIBZMB-UHFFFAOYSA-N	O=C(O)c1cccc(Cl)n1.OB(O)c1ccc(F)cc1>>O=C(O)c1cccc(-c2ccc(F)cc2)n1	6	Cl[c:8]1[cH:7][cH:6][cH:5][c:4]([C:2](=[O:1])[OH:3])[n:16]1.OB(O)[c:9]1[cH:10][cH:11][c:12]([F:13])[cH:14][cH:15]1>>[O:1]=[C:2]([OH:3])[c:4]1[cH:5][cH:6][cH:7][c:8](-[c:9]2[cH:10][cH:11][c:12]([F:13])[cH:14][cH:15]2)[n:16]1
WEEVXEKXCIBZMB-UHFFFAOYSA-N	COC(=O)c1cccc(-c2ccc(F)cc2)n1>>O=C(O)c1cccc(-c2ccc(F)cc2)n1	7	C[O:3][C:2](=[O:1])[c:4]1[cH:5][cH:6][cH:7][c:8](-[c:9]2[cH:10][cH:11][c:12]([F:13])[cH:14][cH:15]2)[n:16]1>>[O:1]=[C:2]([OH:3])[c:4]1[cH:5][cH:6][cH:7][c:8](-[c:9]2[cH:10][cH:11][c:12]([F:13])[cH:14][cH:15]2)[n:16]1
WEEVXEKXCIBZMB-UHFFFAOYSA-N	Cc1cccc(-c2ccc(F)cc2)n1>>O=C(O)c1cccc(-c2ccc(F)cc2)n1	8	[CH3:2][c:4]1[cH:5][cH:6][cH:7][c:8](-[c:9]2[cH:10][cH:11][c:12]([F:13])[cH:14][cH:15]2)[n:16]1>>[O:1]=[C:2]([OH:3])[c:4]1[cH:5][cH:6][cH:7][c:8](-[c:9]2[cH:10][cH:11][c:12]([F:13])[cH:14][cH:15]2)[n:16]1
WEEVXEKXCIBZMB-UHFFFAOYSA-N	CC1(C)OB(c2ccc(F)cc2)OC1(C)C.Cc1cccc(Br)n1>>Cc1cccc(-c2ccc(F)cc2)n1	8	CC1(C)OB([c:7]2[cH:8][cH:9][c:10]([F:11])[cH:12][cH:13]2)OC1(C)C.Br[c:6]1[cH:5][cH:4][cH:3][c:2]([CH3:1])[n:14]1>>[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6](-[c:7]2[cH:8][cH:9][c:10]([F:11])[cH:12][cH:13]2)[n:14]1
WEEVXEKXCIBZMB-UHFFFAOYSA-N	Cc1cccc(-c2ccc(F)cc2)n1>>O=C(O)c1cccc(-c2ccc(F)cc2)n1	9	[CH3:2][c:4]1[cH:5][cH:6][cH:7][c:8](-[c:9]2[cH:10][cH:11][c:12]([F:13])[cH:14][cH:15]2)[n:16]1>>[O:1]=[C:2]([OH:3])[c:4]1[cH:5][cH:6][cH:7][c:8](-[c:9]2[cH:10][cH:11][c:12]([F:13])[cH:14][cH:15]2)[n:16]1
WEEVXEKXCIBZMB-UHFFFAOYSA-N	CC1(C)OB(c2ccc(F)cc2)OC1(C)C.Cc1cccc(Cl)n1>>Cc1cccc(-c2ccc(F)cc2)n1	9	CC1(C)OB([c:7]2[cH:8][cH:9][c:10]([F:11])[cH:12][cH:13]2)OC1(C)C.Cl[c:6]1[cH:5][cH:4][cH:3][c:2]([CH3:1])[n:14]1>>[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6](-[c:7]2[cH:8][cH:9][c:10]([F:11])[cH:12][cH:13]2)[n:14]1
WEEVXEKXCIBZMB-UHFFFAOYSA-N	Cc1cccc(-c2ccc(F)cc2)n1>>O=C(O)c1cccc(-c2ccc(F)cc2)n1	10	[CH3:2][c:4]1[cH:5][cH:6][cH:7][c:8](-[c:9]2[cH:10][cH:11][c:12]([F:13])[cH:14][cH:15]2)[n:16]1>>[O:1]=[C:2]([OH:3])[c:4]1[cH:5][cH:6][cH:7][c:8](-[c:9]2[cH:10][cH:11][c:12]([F:13])[cH:14][cH:15]2)[n:16]1
WEEVXEKXCIBZMB-UHFFFAOYSA-N	Cc1cccc(B2OC(C)(C)C(C)(C)O2)n1.Fc1ccc(Br)cc1>>Cc1cccc(-c2ccc(F)cc2)n1	10	CC1(C)OB([c:6]2[cH:5][cH:4][cH:3][c:2]([CH3:1])[n:14]2)OC1(C)C.Br[c:7]1[cH:8][cH:9][c:10]([F:11])[cH:12][cH:13]1>>[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6](-[c:7]2[cH:8][cH:9][c:10]([F:11])[cH:12][cH:13]2)[n:14]1
