tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
WTCXKDSZUHYCLH-UHFFFAOYSA-N	CC(C)C(=O)CCN(C)C.CC(N)c1ccc(Br)cc1>>CC(C)C(=O)CCNC(C)c1ccc(Br)cc1	1	CN(C)[CH2:7][CH2:6][C:4]([CH:2]([CH3:1])[CH3:3])=[O:5].[NH2:8][CH:9]([CH3:10])[c:11]1[cH:12][cH:13][c:14]([Br:15])[cH:16][cH:17]1>>[CH3:1][CH:2]([CH3:3])[C:4](=[O:5])[CH2:6][CH2:7][NH:8][CH:9]([CH3:10])[c:11]1[cH:12][cH:13][c:14]([Br:15])[cH:16][cH:17]1
WTCXKDSZUHYCLH-UHFFFAOYSA-N	CC(C)[Mg]Br.CN(C)CCC#N>>CC(C)C(=O)CCN(C)C	1	Br[Mg][CH:2]([CH3:1])[CH3:3].N#[C:4][CH2:6][CH2:7][N:8]([CH3:9])[CH3:10]>>[CH3:1][CH:2]([CH3:3])[C:4](=[O:5])[CH2:6][CH2:7][N:8]([CH3:9])[CH3:10]
WTCXKDSZUHYCLH-UHFFFAOYSA-N	C=C.CC(C)C(=O)Cl>>C=CC(=O)C(C)C	2	[CH2:1]=[CH2:2].Cl[C:3](=[O:4])[CH:5]([CH3:6])[CH3:7]>>[CH2:1]=[CH:2][C:3](=[O:4])[CH:5]([CH3:6])[CH3:7]
WTCXKDSZUHYCLH-UHFFFAOYSA-N	C=CC(=O)C(C)C.CC(N)c1ccc(Br)cc1>>CC(C)C(=O)CCNC(C)c1ccc(Br)cc1	2	[CH3:1][CH:2]([CH3:3])[C:4](=[O:5])[CH:6]=[CH2:7].[NH2:8][CH:9]([CH3:10])[c:11]1[cH:12][cH:13][c:14]([Br:15])[cH:16][cH:17]1>>[CH3:1][CH:2]([CH3:3])[C:4](=[O:5])[CH2:6][CH2:7][NH:8][CH:9]([CH3:10])[c:11]1[cH:12][cH:13][c:14]([Br:15])[cH:16][cH:17]1
WTCXKDSZUHYCLH-UHFFFAOYSA-N	C=C[Mg]Br.CON(C)C(=O)C(C)C>>C=CC(=O)C(C)C	3	Br[Mg][CH:2]=[CH2:1].CON(C)[C:3](=[O:4])[CH:5]([CH3:6])[CH3:7]>>[CH2:1]=[CH:2][C:3](=[O:4])[CH:5]([CH3:6])[CH3:7]
WTCXKDSZUHYCLH-UHFFFAOYSA-N	C=CC(=O)C(C)C.CC(N)c1ccc(Br)cc1>>CC(C)C(=O)CCNC(C)c1ccc(Br)cc1	3	[CH3:1][CH:2]([CH3:3])[C:4](=[O:5])[CH:6]=[CH2:7].[NH2:8][CH:9]([CH3:10])[c:11]1[cH:12][cH:13][c:14]([Br:15])[cH:16][cH:17]1>>[CH3:1][CH:2]([CH3:3])[C:4](=[O:5])[CH2:6][CH2:7][NH:8][CH:9]([CH3:10])[c:11]1[cH:12][cH:13][c:14]([Br:15])[cH:16][cH:17]1
WTCXKDSZUHYCLH-UHFFFAOYSA-N	C=O.CC(=O)C(C)C.CNC>>CC(C)C(=O)CCN(C)C	4	O=[CH2:7].[CH3:1][CH:2]([CH3:3])[C:4](=[O:5])[CH3:6].[NH:8]([CH3:9])[CH3:10]>>[CH3:1][CH:2]([CH3:3])[C:4](=[O:5])[CH2:6][CH2:7][N:8]([CH3:9])[CH3:10]
WTCXKDSZUHYCLH-UHFFFAOYSA-N	CC(C)C(=O)CCN(C)C.CC(N)c1ccc(Br)cc1>>CC(C)C(=O)CCNC(C)c1ccc(Br)cc1	4	CN(C)[CH2:7][CH2:6][C:4]([CH:2]([CH3:1])[CH3:3])=[O:5].[NH2:8][CH:9]([CH3:10])[c:11]1[cH:12][cH:13][c:14]([Br:15])[cH:16][cH:17]1>>[CH3:1][CH:2]([CH3:3])[C:4](=[O:5])[CH2:6][CH2:7][NH:8][CH:9]([CH3:10])[c:11]1[cH:12][cH:13][c:14]([Br:15])[cH:16][cH:17]1
WTCXKDSZUHYCLH-UHFFFAOYSA-N	C1OCOCO1.CC(=O)C(C)C.CNC>>CC(C)C(=O)CCN(C)C	5	C1OCO[CH2:10]O1.[CH3:1][CH:2]([CH3:3])[C:4](=[O:5])[CH3:6].[CH3:7][NH:8][CH3:9]>>[CH3:1][CH:2]([CH3:3])[C:4](=[O:5])[CH2:6][CH2:7][N:8]([CH3:9])[CH3:10]
WTCXKDSZUHYCLH-UHFFFAOYSA-N	CC(C)C(=O)CCN(C)C.CC(N)c1ccc(Br)cc1>>CC(C)C(=O)CCNC(C)c1ccc(Br)cc1	5	CN(C)[CH2:7][CH2:6][C:4]([CH:2]([CH3:1])[CH3:3])=[O:5].[NH2:8][CH:9]([CH3:10])[c:11]1[cH:12][cH:13][c:14]([Br:15])[cH:16][cH:17]1>>[CH3:1][CH:2]([CH3:3])[C:4](=[O:5])[CH2:6][CH2:7][NH:8][CH:9]([CH3:10])[c:11]1[cH:12][cH:13][c:14]([Br:15])[cH:16][cH:17]1
WTCXKDSZUHYCLH-UHFFFAOYSA-N	C=CC(O)C(C)C>>C=CC(=O)C(C)C	6	[CH2:1]=[CH:2][CH:3]([OH:4])[CH:5]([CH3:6])[CH3:7]>>[CH2:1]=[CH:2][C:3](=[O:4])[CH:5]([CH3:6])[CH3:7]
WTCXKDSZUHYCLH-UHFFFAOYSA-N	C=CC(=O)C(C)C.CC(N)c1ccc(Br)cc1>>CC(C)C(=O)CCNC(C)c1ccc(Br)cc1	6	[CH3:1][CH:2]([CH3:3])[C:4](=[O:5])[CH:6]=[CH2:7].[NH2:8][CH:9]([CH3:10])[c:11]1[cH:12][cH:13][c:14]([Br:15])[cH:16][cH:17]1>>[CH3:1][CH:2]([CH3:3])[C:4](=[O:5])[CH2:6][CH2:7][NH:8][CH:9]([CH3:10])[c:11]1[cH:12][cH:13][c:14]([Br:15])[cH:16][cH:17]1
WTCXKDSZUHYCLH-UHFFFAOYSA-N	C=C(C)Br.CN(C)CCC=O>>C=C(C)C(O)CCN(C)C	7	Br[C:2](=[CH2:1])[CH3:3].[CH:4](=[O:5])[CH2:6][CH2:7][N:8]([CH3:9])[CH3:10]>>[CH2:1]=[C:2]([CH3:3])[CH:4]([OH:5])[CH2:6][CH2:7][N:8]([CH3:9])[CH3:10]
WTCXKDSZUHYCLH-UHFFFAOYSA-N	C=C(C)C(O)CCN(C)C>>CC(C)C(=O)CCN(C)C	7	[CH2:1]=[C:2]([CH3:3])[CH:4]([OH:5])[CH2:6][CH2:7][N:8]([CH3:9])[CH3:10]>>[CH3:1][CH:2]([CH3:3])[C:4](=[O:5])[CH2:6][CH2:7][N:8]([CH3:9])[CH3:10]
WTCXKDSZUHYCLH-UHFFFAOYSA-N	CC(C)C(=O)CCN(C)C.CC(N)c1ccc(Br)cc1>>CC(C)C(=O)CCNC(C)c1ccc(Br)cc1	7	CN(C)[CH2:7][CH2:6][C:4]([CH:2]([CH3:1])[CH3:3])=[O:5].[NH2:8][CH:9]([CH3:10])[c:11]1[cH:12][cH:13][c:14]([Br:15])[cH:16][cH:17]1>>[CH3:1][CH:2]([CH3:3])[C:4](=[O:5])[CH2:6][CH2:7][NH:8][CH:9]([CH3:10])[c:11]1[cH:12][cH:13][c:14]([Br:15])[cH:16][cH:17]1
WTCXKDSZUHYCLH-UHFFFAOYSA-N	CC(C)C(=O)CCN(C)C.CC(N)c1ccc(Br)cc1>>CC(C)C(=O)CCNC(C)c1ccc(Br)cc1	8	CN(C)[CH2:7][CH2:6][C:4]([CH:2]([CH3:1])[CH3:3])=[O:5].[NH2:8][CH:9]([CH3:10])[c:11]1[cH:12][cH:13][c:14]([Br:15])[cH:16][cH:17]1>>[CH3:1][CH:2]([CH3:3])[C:4](=[O:5])[CH2:6][CH2:7][NH:8][CH:9]([CH3:10])[c:11]1[cH:12][cH:13][c:14]([Br:15])[cH:16][cH:17]1
WTCXKDSZUHYCLH-UHFFFAOYSA-N	CC(C)C#CCN(C)C>>CC(C)C(=O)CCN(C)C	8	[CH3:1][CH:2]([CH3:3])[C:4]#[C:6][CH2:7][N:8]([CH3:9])[CH3:10]>>[CH3:1][CH:2]([CH3:3])[C:4](=[O:5])[CH2:6][CH2:7][N:8]([CH3:9])[CH3:10]
WTCXKDSZUHYCLH-UHFFFAOYSA-N	C#CC(C)C.C=O.CNC>>CC(C)C#CCN(C)C	8	[CH3:1][CH:2]([CH3:3])[C:4]#[CH:5].O=[CH2:6].[NH:7]([CH3:8])[CH3:9]>>[CH3:1][CH:2]([CH3:3])[C:4]#[C:5][CH2:6][N:7]([CH3:8])[CH3:9]
WTCXKDSZUHYCLH-UHFFFAOYSA-N	CC(C)C(O)CCN(C)C>>CC(C)C(=O)CCN(C)C	9	[CH3:1][CH:2]([CH3:3])[CH:4]([OH:5])[CH2:6][CH2:7][N:8]([CH3:9])[CH3:10]>>[CH3:1][CH:2]([CH3:3])[C:4](=[O:5])[CH2:6][CH2:7][N:8]([CH3:9])[CH3:10]
