tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
WUFUURSWOJROKY-UHFFFAOYSA-N	C[Si](C)(C)C=[N+]=[N-].O=C(O)c1ccc(I)cc1O>>COC(=O)c1ccc(I)cc1O	1	C[Si](C)(C)[CH:1]=[N+]=[N-].[OH:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([I:9])[cH:10][c:11]1[OH:12]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([I:9])[cH:10][c:11]1[OH:12]
WUFUURSWOJROKY-UHFFFAOYSA-N	O=C(O)c1ccc(I)cc1O>>O=C(Cl)c1ccc(I)cc1O	2	O[C:2](=[O:1])[c:4]1[cH:5][cH:6][c:7]([I:8])[cH:9][c:10]1[OH:11]>>[O:1]=[C:2]([Cl:3])[c:4]1[cH:5][cH:6][c:7]([I:8])[cH:9][c:10]1[OH:11]
WUFUURSWOJROKY-UHFFFAOYSA-N	CO.O=C(Cl)c1ccc(I)cc1O>>COC(=O)c1ccc(I)cc1O	2	[CH3:1][OH:2].Cl[C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([I:9])[cH:10][c:11]1[OH:12]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([I:9])[cH:10][c:11]1[OH:12]
WUFUURSWOJROKY-UHFFFAOYSA-N	CO.O=C(O)c1ccc(I)cc1O>>COC(=O)c1ccc(I)cc1O	3	[CH3:1][OH:2].O[C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([I:9])[cH:10][c:11]1[OH:12]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([I:9])[cH:10][c:11]1[OH:12]
WUFUURSWOJROKY-UHFFFAOYSA-N	COC(=O)c1ccc(N)cc1O>>COC(=O)c1ccc(I)cc1O	4	N[c:8]1[cH:7][cH:6][c:5]([C:3]([O:2][CH3:1])=[O:4])[c:11]([OH:12])[cH:10]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([I:9])[cH:10][c:11]1[OH:12]
WUFUURSWOJROKY-UHFFFAOYSA-N	CO.O=Cc1ccc(I)cc1O>>COC(=O)c1ccc(I)cc1O	5	[CH3:1][OH:2].[CH:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([I:9])[cH:10][c:11]1[OH:12]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([I:9])[cH:10][c:11]1[OH:12]
WUFUURSWOJROKY-UHFFFAOYSA-N	C=[N+]=[N-].O=C(O)c1ccc(I)cc1O>>COC(=O)c1ccc(I)cc1O	6	[N-]=[N+]=[CH2:1].[OH:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([I:9])[cH:10][c:11]1[OH:12]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([I:9])[cH:10][c:11]1[OH:12]
WUFUURSWOJROKY-UHFFFAOYSA-N	CN(N=O)C(N)=O>>C=[N+]=[N-]	6	C[N:3]([C:1](N)=O)[N:2]=O>>[CH2:1]=[N+:2]=[N-:3]
WUFUURSWOJROKY-UHFFFAOYSA-N	CN(N=O)C(=N)N[N+](=O)[O-]>>C=[N+]=[N-]	7	N=C(N[N+](=O)[O-])[N:2]([CH3:1])[N:3]=O>>[CH2:1]=[N+:2]=[N-:3]
WUFUURSWOJROKY-UHFFFAOYSA-N	C=[N+]=[N-].O=C(O)c1ccc(I)cc1O>>COC(=O)c1ccc(I)cc1O	7	[N-]=[N+]=[CH2:1].[OH:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([I:9])[cH:10][c:11]1[OH:12]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([I:9])[cH:10][c:11]1[OH:12]
WUFUURSWOJROKY-UHFFFAOYSA-N	COS(=O)(=O)OC.O=C(O)c1ccc(I)cc1O>>COC(=O)c1ccc(I)cc1O	8	COS(=O)(=O)O[CH3:1].[OH:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([I:9])[cH:10][c:11]1[OH:12]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([I:9])[cH:10][c:11]1[OH:12]
WUFUURSWOJROKY-UHFFFAOYSA-N	CC(=O)Cl.O=C(O)c1ccc(I)cc1O>>COC(=O)c1ccc(I)cc1O	9	C[C:1](=O)Cl.[OH:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([I:9])[cH:10][c:11]1[OH:12]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([I:9])[cH:10][c:11]1[OH:12]
WUFUURSWOJROKY-UHFFFAOYSA-N	O=C(Cl)C(=O)Cl.O=C(O)c1ccc(I)cc1O>>COC(=O)c1ccc(I)cc1O	10	O=C(Cl)[C:1](=O)Cl.[OH:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([I:9])[cH:10][c:11]1[OH:12]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][cH:7][c:8]([I:9])[cH:10][c:11]1[OH:12]
