tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
XSQUJFKRXZMOKA-PAFIKIDNSA-N	COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(=O)O)ccc(F)c1F.NC(=O)c1cc(N)ccn1>>COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(=O)Nc2ccnc(C(N)=O)c2)ccc(F)c1F	1	O[C:16]([C@H:15]1[C@H:5]([c:4]2[c:3]([O:2][CH3:1])[c:32]([F:33])[c:30]([F:31])[cH:29][cH:28]2)[C@H:6]([CH3:7])[C@:8]([CH3:9])([C:10]([F:11])([F:12])[F:13])[O:14]1)=[O:17].[NH2:18][c:19]1[cH:20][cH:21][n:22][c:23]([C:24]([NH2:25])=[O:26])[cH:27]1>>[CH3:1][O:2][c:3]1[c:4]([C@@H:5]2[C@H:6]([CH3:7])[C@:8]([CH3:9])([C:10]([F:11])([F:12])[F:13])[O:14][C@H:15]2[C:16](=[O:17])[NH:18][c:19]2[cH:20][cH:21][n:22][c:23]([C:24]([NH2:25])=[O:26])[cH:27]2)[cH:28][cH:29][c:30]([F:31])[c:32]1[F:33]
XSQUJFKRXZMOKA-PAFIKIDNSA-N	CCOC(=O)OC(=O)[C@@H]1O[C@@](C)(C(F)(F)F)[C@@H](C)[C@H]1c1ccc(F)c(F)c1OC>>COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(N)=O)ccc(F)c1F	2	CCOC(=O)O[C:16]([C@H:15]1[C@H:5]([c:4]2[c:3]([O:2][CH3:1])[c:23]([F:24])[c:21]([F:22])[cH:20][cH:19]2)[C@H:6]([CH3:7])[C@:8]([CH3:9])([C:10]([F:11])([F:12])[F:13])[O:14]1)=[O:18]>>[CH3:1][O:2][c:3]1[c:4]([C@@H:5]2[C@H:6]([CH3:7])[C@:8]([CH3:9])([C:10]([F:11])([F:12])[F:13])[O:14][C@H:15]2[C:16]([NH2:17])=[O:18])[cH:19][cH:20][c:21]([F:22])[c:23]1[F:24]
XSQUJFKRXZMOKA-PAFIKIDNSA-N	CCOC(=O)Cl.COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(=O)O)ccc(F)c1F>>CCOC(=O)OC(=O)[C@@H]1O[C@@](C)(C(F)(F)F)[C@@H](C)[C@H]1c1ccc(F)c(F)c1OC	2	Cl[C:4]([O:3][CH2:2][CH3:1])=[O:5].[OH:6][C:7](=[O:8])[C@@H:9]1[O:10][C@@:11]([CH3:12])([C:13]([F:14])([F:15])[F:16])[C@@H:17]([CH3:18])[C@H:19]1[c:20]1[cH:21][cH:22][c:23]([F:24])[c:25]([F:26])[c:27]1[O:28][CH3:29]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[O:6][C:7](=[O:8])[C@@H:9]1[O:10][C@@:11]([CH3:12])([C:13]([F:14])([F:15])[F:16])[C@@H:17]([CH3:18])[C@H:19]1[c:20]1[cH:21][cH:22][c:23]([F:24])[c:25]([F:26])[c:27]1[O:28][CH3:29]
XSQUJFKRXZMOKA-PAFIKIDNSA-N	COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(N)=O)ccc(F)c1F.NC(=O)c1cc(Br)ccn1>>COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(=O)Nc2ccnc(C(N)=O)c2)ccc(F)c1F	2	[CH3:1][O:2][c:3]1[c:4]([C@@H:5]2[C@H:6]([CH3:7])[C@:8]([CH3:9])([C:10]([F:11])([F:12])[F:13])[O:14][C@H:15]2[C:16](=[O:17])[NH2:18])[cH:28][cH:29][c:30]([F:31])[c:32]1[F:33].Br[c:19]1[cH:20][cH:21][n:22][c:23]([C:24]([NH2:25])=[O:26])[cH:27]1>>[CH3:1][O:2][c:3]1[c:4]([C@@H:5]2[C@H:6]([CH3:7])[C@:8]([CH3:9])([C:10]([F:11])([F:12])[F:13])[O:14][C@H:15]2[C:16](=[O:17])[NH:18][c:19]2[cH:20][cH:21][n:22][c:23]([C:24]([NH2:25])=[O:26])[cH:27]2)[cH:28][cH:29][c:30]([F:31])[c:32]1[F:33]
XSQUJFKRXZMOKA-PAFIKIDNSA-N	COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(=O)Nc2ccnc(C(=O)O)c2)ccc(F)c1F>>COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(=O)Nc2ccnc(C(N)=O)c2)ccc(F)c1F	3	O[C:24]([c:23]1[n:22][cH:21][cH:20][c:19]([NH:18][C:16]([C@H:15]2[C@H:5]([c:4]3[c:3]([O:2][CH3:1])[c:32]([F:33])[c:30]([F:31])[cH:29][cH:28]3)[C@H:6]([CH3:7])[C@:8]([CH3:9])([C:10]([F:11])([F:12])[F:13])[O:14]2)=[O:17])[cH:27]1)=[O:26]>>[CH3:1][O:2][c:3]1[c:4]([C@@H:5]2[C@H:6]([CH3:7])[C@:8]([CH3:9])([C:10]([F:11])([F:12])[F:13])[O:14][C@H:15]2[C:16](=[O:17])[NH:18][c:19]2[cH:20][cH:21][n:22][c:23]([C:24]([NH2:25])=[O:26])[cH:27]2)[cH:28][cH:29][c:30]([F:31])[c:32]1[F:33]
XSQUJFKRXZMOKA-PAFIKIDNSA-N	CCOC(=O)c1cc(NC(=O)[C@@H]2O[C@@](C)(C(F)(F)F)[C@@H](C)[C@H]2c2ccc(F)c(F)c2OC)ccn1>>COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(=O)Nc2ccnc(C(=O)O)c2)ccc(F)c1F	3	CC[O:26][C:24]([c:23]1[n:22][cH:21][cH:20][c:19]([NH:18][C:16]([C@H:15]2[C@H:5]([c:4]3[c:3]([O:2][CH3:1])[c:32]([F:33])[c:30]([F:31])[cH:29][cH:28]3)[C@H:6]([CH3:7])[C@:8]([CH3:9])([C:10]([F:11])([F:12])[F:13])[O:14]2)=[O:17])[cH:27]1)=[O:25]>>[CH3:1][O:2][c:3]1[c:4]([C@@H:5]2[C@H:6]([CH3:7])[C@:8]([CH3:9])([C:10]([F:11])([F:12])[F:13])[O:14][C@H:15]2[C:16](=[O:17])[NH:18][c:19]2[cH:20][cH:21][n:22][c:23]([C:24](=[O:25])[OH:26])[cH:27]2)[cH:28][cH:29][c:30]([F:31])[c:32]1[F:33]
XSQUJFKRXZMOKA-PAFIKIDNSA-N	CCOC(=O)c1cc(N)ccn1.COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(=O)O)ccc(F)c1F>>CCOC(=O)c1cc(NC(=O)[C@@H]2O[C@@](C)(C(F)(F)F)[C@@H](C)[C@H]2c2ccc(F)c(F)c2OC)ccn1	3	[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][c:8]([NH2:9])[cH:33][cH:34][n:35]1.O[C:10](=[O:11])[C@@H:12]1[O:13][C@@:14]([CH3:15])([C:16]([F:17])([F:18])[F:19])[C@@H:20]([CH3:21])[C@H:22]1[c:23]1[cH:24][cH:25][c:26]([F:27])[c:28]([F:29])[c:30]1[O:31][CH3:32]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[cH:7][c:8]([NH:9][C:10](=[O:11])[C@@H:12]2[O:13][C@@:14]([CH3:15])([C:16]([F:17])([F:18])[F:19])[C@@H:20]([CH3:21])[C@H:22]2[c:23]2[cH:24][cH:25][c:26]([F:27])[c:28]([F:29])[c:30]2[O:31][CH3:32])[cH:33][cH:34][n:35]1
XSQUJFKRXZMOKA-PAFIKIDNSA-N	CCOC(=O)OC(=O)[C@@H]1O[C@@](C)(C(F)(F)F)[C@@H](C)[C@H]1c1ccc(F)c(F)c1OC>>COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(N)=O)ccc(F)c1F	4	CCOC(=O)O[C:16]([C@H:15]1[C@H:5]([c:4]2[c:3]([O:2][CH3:1])[c:23]([F:24])[c:21]([F:22])[cH:20][cH:19]2)[C@H:6]([CH3:7])[C@:8]([CH3:9])([C:10]([F:11])([F:12])[F:13])[O:14]1)=[O:18]>>[CH3:1][O:2][c:3]1[c:4]([C@@H:5]2[C@H:6]([CH3:7])[C@:8]([CH3:9])([C:10]([F:11])([F:12])[F:13])[O:14][C@H:15]2[C:16]([NH2:17])=[O:18])[cH:19][cH:20][c:21]([F:22])[c:23]1[F:24]
XSQUJFKRXZMOKA-PAFIKIDNSA-N	COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(=O)Nc2ccnc(C(=O)O)c2)ccc(F)c1F>>COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(=O)Nc2ccnc(C(N)=O)c2)ccc(F)c1F	4	O[C:24]([c:23]1[n:22][cH:21][cH:20][c:19]([NH:18][C:16]([C@H:15]2[C@H:5]([c:4]3[c:3]([O:2][CH3:1])[c:32]([F:33])[c:30]([F:31])[cH:29][cH:28]3)[C@H:6]([CH3:7])[C@:8]([CH3:9])([C:10]([F:11])([F:12])[F:13])[O:14]2)=[O:17])[cH:27]1)=[O:26]>>[CH3:1][O:2][c:3]1[c:4]([C@@H:5]2[C@H:6]([CH3:7])[C@:8]([CH3:9])([C:10]([F:11])([F:12])[F:13])[O:14][C@H:15]2[C:16](=[O:17])[NH:18][c:19]2[cH:20][cH:21][n:22][c:23]([C:24]([NH2:25])=[O:26])[cH:27]2)[cH:28][cH:29][c:30]([F:31])[c:32]1[F:33]
XSQUJFKRXZMOKA-PAFIKIDNSA-N	CCOC(=O)c1cc(NC(=O)[C@@H]2O[C@@](C)(C(F)(F)F)[C@@H](C)[C@H]2c2ccc(F)c(F)c2OC)ccn1>>COc1c([C@@H]2[C@H](C)[C@](C)(C(F)(F)F)O[C@H]2C(=O)Nc2ccnc(C(=O)O)c2)ccc(F)c1F	4	CC[O:26][C:24]([c:23]1[n:22][cH:21][cH:20][c:19]([NH:18][C:16]([C@H:15]2[C@H:5]([c:4]3[c:3]([O:2][CH3:1])[c:32]([F:33])[c:30]([F:31])[cH:29][cH:28]3)[C@H:6]([CH3:7])[C@:8]([CH3:9])([C:10]([F:11])([F:12])[F:13])[O:14]2)=[O:17])[cH:27]1)=[O:25]>>[CH3:1][O:2][c:3]1[c:4]([C@@H:5]2[C@H:6]([CH3:7])[C@:8]([CH3:9])([C:10]([F:11])([F:12])[F:13])[O:14][C@H:15]2[C:16](=[O:17])[NH:18][c:19]2[cH:20][cH:21][n:22][c:23]([C:24](=[O:25])[OH:26])[cH:27]2)[cH:28][cH:29][c:30]([F:31])[c:32]1[F:33]
