tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
YKAKSKHYOAHFDB-UHFFFAOYSA-N	CC(=O)Cl.CCCc1ccccc1O>>CCCc1cccc(C(C)=O)c1O	1	Cl[C:9]([CH3:10])=[O:11].[CH3:1][CH2:2][CH2:3][c:4]1[cH:5][cH:6][cH:7][cH:8][c:12]1[OH:13]>>[CH3:1][CH2:2][CH2:3][c:4]1[cH:5][cH:6][cH:7][c:8]([C:9]([CH3:10])=[O:11])[c:12]1[OH:13]
YKAKSKHYOAHFDB-UHFFFAOYSA-N	C=O.CCCc1cccc(C(C)=O)c1O>>CCCc1c(CCl)ccc(C(C)=O)c1O	1	O=[CH2:6].[CH3:1][CH2:2][CH2:3][c:4]1[cH:5][cH:8][cH:9][c:10]([C:11]([CH3:12])=[O:13])[c:14]1[OH:15]>>[CH3:1][CH2:2][CH2:3][c:4]1[c:5]([CH2:6][Cl:7])[cH:8][cH:9][c:10]([C:11]([CH3:12])=[O:13])[c:14]1[OH:15]
YKAKSKHYOAHFDB-UHFFFAOYSA-N	CCCc1c(CCl)ccc(C(C)=O)c1O.COc1ccc(COC(=O)CC(=O)Nc2nnc(S)s2)cc1>>CCCc1c(CSc2nnc(NC(=O)CC(=O)OCc3ccc(OC)cc3)s2)ccc(C(C)=O)c1O	1	Cl[CH2:6][c:5]1[c:4]([CH2:3][CH2:2][CH3:1])[c:35]([OH:36])[c:31]([C:32]([CH3:33])=[O:34])[cH:30][cH:29]1.[SH:7][c:8]1[n:9][n:10][c:11]([NH:12][C:13](=[O:14])[CH2:15][C:16](=[O:17])[O:18][CH2:19][c:20]2[cH:21][cH:22][c:23]([O:24][CH3:25])[cH:26][cH:27]2)[s:28]1>>[CH3:1][CH2:2][CH2:3][c:4]1[c:5]([CH2:6][S:7][c:8]2[n:9][n:10][c:11]([NH:12][C:13](=[O:14])[CH2:15][C:16](=[O:17])[O:18][CH2:19][c:20]3[cH:21][cH:22][c:23]([O:24][CH3:25])[cH:26][cH:27]3)[s:28]2)[cH:29][cH:30][c:31]([C:32]([CH3:33])=[O:34])[c:35]1[OH:36]
YKAKSKHYOAHFDB-UHFFFAOYSA-N	CC1(C)OC(=O)CC(=O)O1.COc1ccc(CO)cc1>>COc1ccc(COC(=O)CC(=O)O)cc1	1	CC1(C)O[C:9](=[O:10])[CH2:11][C:12](=[O:13])[O:14]1.[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][OH:8])[cH:15][cH:16]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][O:8][C:9](=[O:10])[CH2:11][C:12](=[O:13])[OH:14])[cH:15][cH:16]1
YKAKSKHYOAHFDB-UHFFFAOYSA-N	COc1ccc(COC(=O)CC(=O)O)cc1.Nc1nnc(S)s1>>COc1ccc(COC(=O)CC(=O)Nc2nnc(S)s2)cc1	1	O[C:12]([CH2:11][C:9]([O:8][CH2:7][c:6]1[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:22][cH:21]1)=[O:10])=[O:13].[NH2:14][c:15]1[n:16][n:17][c:18]([SH:19])[s:20]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][O:8][C:9](=[O:10])[CH2:11][C:12](=[O:13])[NH:14][c:15]2[n:16][n:17][c:18]([SH:19])[s:20]2)[cH:21][cH:22]1
YKAKSKHYOAHFDB-UHFFFAOYSA-N	C=O.CCCc1cccc(C(C)=O)c1O>>CCCc1c(CCl)ccc(C(C)=O)c1O	2	O=[CH2:6].[CH3:1][CH2:2][CH2:3][c:4]1[cH:5][cH:8][cH:9][c:10]([C:11]([CH3:12])=[O:13])[c:14]1[OH:15]>>[CH3:1][CH2:2][CH2:3][c:4]1[c:5]([CH2:6][Cl:7])[cH:8][cH:9][c:10]([C:11]([CH3:12])=[O:13])[c:14]1[OH:15]
YKAKSKHYOAHFDB-UHFFFAOYSA-N	CCCc1ccccc1O>>CCCc1cccc(C(C)=O)c1O	2	[CH3:1][CH2:2][CH2:3][c:4]1[cH:5][cH:6][cH:9][cH:8][c:12]1[OH:11]>>[CH3:1][CH2:2][CH2:3][c:4]1[cH:5][cH:6][cH:7][c:8]([C:9]([CH3:10])=[O:11])[c:12]1[OH:13]
YKAKSKHYOAHFDB-UHFFFAOYSA-N	CCCc1c(CCl)ccc(C(C)=O)c1O.COc1ccc(COC(=O)CC(=O)Nc2nnc(S)s2)cc1>>CCCc1c(CSc2nnc(NC(=O)CC(=O)OCc3ccc(OC)cc3)s2)ccc(C(C)=O)c1O	2	Cl[CH2:6][c:5]1[c:4]([CH2:3][CH2:2][CH3:1])[c:35]([OH:36])[c:31]([C:32]([CH3:33])=[O:34])[cH:30][cH:29]1.[SH:7][c:8]1[n:9][n:10][c:11]([NH:12][C:13](=[O:14])[CH2:15][C:16](=[O:17])[O:18][CH2:19][c:20]2[cH:21][cH:22][c:23]([O:24][CH3:25])[cH:26][cH:27]2)[s:28]1>>[CH3:1][CH2:2][CH2:3][c:4]1[c:5]([CH2:6][S:7][c:8]2[n:9][n:10][c:11]([NH:12][C:13](=[O:14])[CH2:15][C:16](=[O:17])[O:18][CH2:19][c:20]3[cH:21][cH:22][c:23]([O:24][CH3:25])[cH:26][cH:27]3)[s:28]2)[cH:29][cH:30][c:31]([C:32]([CH3:33])=[O:34])[c:35]1[OH:36]
YKAKSKHYOAHFDB-UHFFFAOYSA-N	CC1(C)OC(=O)CC(=O)O1.COc1ccc(CO)cc1>>COc1ccc(COC(=O)CC(=O)O)cc1	2	CC1(C)O[C:9](=[O:10])[CH2:11][C:12](=[O:13])[O:14]1.[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][OH:8])[cH:15][cH:16]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][O:8][C:9](=[O:10])[CH2:11][C:12](=[O:13])[OH:14])[cH:15][cH:16]1
YKAKSKHYOAHFDB-UHFFFAOYSA-N	COc1ccc(COC(=O)CC(=O)O)cc1.Nc1nnc(S)s1>>COc1ccc(COC(=O)CC(=O)Nc2nnc(S)s2)cc1	2	O[C:12]([CH2:11][C:9]([O:8][CH2:7][c:6]1[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:22][cH:21]1)=[O:10])=[O:13].[NH2:14][c:15]1[n:16][n:17][c:18]([SH:19])[s:20]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][O:8][C:9](=[O:10])[CH2:11][C:12](=[O:13])[NH:14][c:15]2[n:16][n:17][c:18]([SH:19])[s:20]2)[cH:21][cH:22]1
