tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
YTINZZFBHWSAGL-NDEPHWFRSA-N	O=Cc1ccc(COc2cccc3c2CN([C@H]2CCC(=O)NC2=O)C3=O)cc1>>O=C1CC[C@H](N2Cc3c(OCc4ccc(CO)cc4)cccc3C2=O)C(=O)N1	1	[O:1]=[C:2]1[CH2:3][CH2:4][C@H:5]([N:6]2[CH2:7][c:8]3[c:9]([O:10][CH2:11][c:12]4[cH:13][cH:14][c:15]([CH:16]=[O:17])[cH:18][cH:19]4)[cH:20][cH:21][cH:22][c:23]3[C:24]2=[O:25])[C:26](=[O:27])[NH:28]1>>[O:1]=[C:2]1[CH2:3][CH2:4][C@H:5]([N:6]2[CH2:7][c:8]3[c:9]([O:10][CH2:11][c:12]4[cH:13][cH:14][c:15]([CH2:16][OH:17])[cH:18][cH:19]4)[cH:20][cH:21][cH:22][c:23]3[C:24]2=[O:25])[C:26](=[O:27])[NH:28]1
YTINZZFBHWSAGL-NDEPHWFRSA-N	O=C1CC[C@H](N2Cc3c(OCc4ccc(CO)cc4)cccc3C2=O)C(=O)N1>>O=C1CC[C@H](N2Cc3c(OCc4ccc(CBr)cc4)cccc3C2=O)C(=O)N1	1	O[CH2:16][c:15]1[cH:14][cH:13][c:12]([CH2:11][O:10][c:9]2[c:8]3[c:23]([cH:22][cH:21][cH:20]2)[C:24](=[O:25])[N:6]([C@H:5]2[CH2:4][CH2:3][C:2](=[O:1])[NH:28][C:26]2=[O:27])[CH2:7]3)[cH:19][cH:18]1>>[O:1]=[C:2]1[CH2:3][CH2:4][C@H:5]([N:6]2[CH2:7][c:8]3[c:9]([O:10][CH2:11][c:12]4[cH:13][cH:14][c:15]([CH2:16][Br:17])[cH:18][cH:19]4)[cH:20][cH:21][cH:22][c:23]3[C:24]2=[O:25])[C:26](=[O:27])[NH:28]1
YTINZZFBHWSAGL-NDEPHWFRSA-N	N#Cc1ccc(N2CCNCC2)c(F)c1.O=C1CC[C@H](N2Cc3c(OCc4ccc(CBr)cc4)cccc3C2=O)C(=O)N1>>N#Cc1ccc(N2CCN(Cc3ccc(COc4cccc5c4CN([C@H]4CCC(=O)NC4=O)C5=O)cc3)CC2)c(F)c1	1	[N:1]#[C:2][c:3]1[cH:4][cH:5][c:6]([N:7]2[CH2:8][CH2:9][NH:10][CH2:38][CH2:39]2)[c:40]([F:41])[cH:42]1.Br[CH2:11][c:12]1[cH:13][cH:14][c:15]([CH2:16][O:17][c:18]2[cH:19][cH:20][cH:21][c:22]3[c:23]2[CH2:24][N:25]([C@H:26]2[CH2:27][CH2:28][C:29](=[O:30])[NH:31][C:32]2=[O:33])[C:34]3=[O:35])[cH:36][cH:37]1>>[N:1]#[C:2][c:3]1[cH:4][cH:5][c:6]([N:7]2[CH2:8][CH2:9][N:10]([CH2:11][c:12]3[cH:13][cH:14][c:15]([CH2:16][O:17][c:18]4[cH:19][cH:20][cH:21][c:22]5[c:23]4[CH2:24][N:25]([C@H:26]4[CH2:27][CH2:28][C:29](=[O:30])[NH:31][C:32]4=[O:33])[C:34]5=[O:35])[cH:36][cH:37]3)[CH2:38][CH2:39]2)[c:40]([F:41])[cH:42]1
YTINZZFBHWSAGL-NDEPHWFRSA-N	O=C1CC[C@H](N2Cc3c(F)cccc3C2=O)C(=O)N1.O=Cc1ccc(CO)cc1>>O=Cc1ccc(COc2cccc3c2CN([C@H]2CCC(=O)NC2=O)C3=O)cc1	1	F[c:9]1[cH:10][cH:11][cH:12][c:13]2[c:14]1[CH2:15][N:16]([C@H:17]1[CH2:18][CH2:19][C:20](=[O:21])[NH:22][C:23]1=[O:24])[C:25]2=[O:26].[O:1]=[CH:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][OH:8])[cH:27][cH:28]1>>[O:1]=[CH:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][O:8][c:9]2[cH:10][cH:11][cH:12][c:13]3[c:14]2[CH2:15][N:16]([C@H:17]2[CH2:18][CH2:19][C:20](=[O:21])[NH:22][C:23]2=[O:24])[C:25]3=[O:26])[cH:27][cH:28]1
YTINZZFBHWSAGL-NDEPHWFRSA-N	Nc1cccc2c1CN([C@H]1CCC(=O)NC1=O)C2=O>>O=C1CC[C@H](N2Cc3c(O)cccc3C2=O)C(=O)N1	2	N[c:9]1[c:8]2[c:14]([cH:13][cH:12][cH:11]1)[C:15](=[O:16])[N:6]([C@H:5]1[CH2:4][CH2:3][C:2](=[O:1])[NH:19][C:17]1=[O:10])[CH2:7]2>>[O:1]=[C:2]1[CH2:3][CH2:4][C@H:5]([N:6]2[CH2:7][c:8]3[c:9]([OH:10])[cH:11][cH:12][cH:13][c:14]3[C:15]2=[O:16])[C:17](=[O:18])[NH:19]1
YTINZZFBHWSAGL-NDEPHWFRSA-N	O=C1CC[C@H](N2Cc3c(OCc4ccc(CO)cc4)cccc3C2=O)C(=O)N1>>O=C1CC[C@H](N2Cc3c(OCc4ccc(CBr)cc4)cccc3C2=O)C(=O)N1	2	O[CH2:16][c:15]1[cH:14][cH:13][c:12]([CH2:11][O:10][c:9]2[c:8]3[c:23]([cH:22][cH:21][cH:20]2)[C:24](=[O:25])[N:6]([C@H:5]2[CH2:4][CH2:3][C:2](=[O:1])[NH:28][C:26]2=[O:27])[CH2:7]3)[cH:19][cH:18]1>>[O:1]=[C:2]1[CH2:3][CH2:4][C@H:5]([N:6]2[CH2:7][c:8]3[c:9]([O:10][CH2:11][c:12]4[cH:13][cH:14][c:15]([CH2:16][Br:17])[cH:18][cH:19]4)[cH:20][cH:21][cH:22][c:23]3[C:24]2=[O:25])[C:26](=[O:27])[NH:28]1
YTINZZFBHWSAGL-NDEPHWFRSA-N	N#Cc1ccc(N2CCNCC2)c(F)c1.O=C1CC[C@H](N2Cc3c(OCc4ccc(CBr)cc4)cccc3C2=O)C(=O)N1>>N#Cc1ccc(N2CCN(Cc3ccc(COc4cccc5c4CN([C@H]4CCC(=O)NC4=O)C5=O)cc3)CC2)c(F)c1	2	[N:1]#[C:2][c:3]1[cH:4][cH:5][c:6]([N:7]2[CH2:8][CH2:9][NH:10][CH2:38][CH2:39]2)[c:40]([F:41])[cH:42]1.Br[CH2:11][c:12]1[cH:13][cH:14][c:15]([CH2:16][O:17][c:18]2[cH:19][cH:20][cH:21][c:22]3[c:23]2[CH2:24][N:25]([C@H:26]2[CH2:27][CH2:28][C:29](=[O:30])[NH:31][C:32]2=[O:33])[C:34]3=[O:35])[cH:36][cH:37]1>>[N:1]#[C:2][c:3]1[cH:4][cH:5][c:6]([N:7]2[CH2:8][CH2:9][N:10]([CH2:11][c:12]3[cH:13][cH:14][c:15]([CH2:16][O:17][c:18]4[cH:19][cH:20][cH:21][c:22]5[c:23]4[CH2:24][N:25]([C@H:26]4[CH2:27][CH2:28][C:29](=[O:30])[NH:31][C:32]4=[O:33])[C:34]5=[O:35])[cH:36][cH:37]3)[CH2:38][CH2:39]2)[c:40]([F:41])[cH:42]1
YTINZZFBHWSAGL-NDEPHWFRSA-N	O=C1CC[C@H](N2Cc3c(O)cccc3C2=O)C(=O)N1.OCc1ccc(CCl)cc1>>O=C1CC[C@H](N2Cc3c(OCc4ccc(CO)cc4)cccc3C2=O)C(=O)N1	2	[O:1]=[C:2]1[CH2:3][CH2:4][C@H:5]([N:6]2[CH2:7][c:8]3[c:9]([OH:10])[cH:20][cH:21][cH:22][c:23]3[C:24]2=[O:25])[C:26](=[O:27])[NH:28]1.Cl[CH2:11][c:12]1[cH:13][cH:14][c:15]([CH2:16][OH:17])[cH:18][cH:19]1>>[O:1]=[C:2]1[CH2:3][CH2:4][C@H:5]([N:6]2[CH2:7][c:8]3[c:9]([O:10][CH2:11][c:12]4[cH:13][cH:14][c:15]([CH2:16][OH:17])[cH:18][cH:19]4)[cH:20][cH:21][cH:22][c:23]3[C:24]2=[O:25])[C:26](=[O:27])[NH:28]1
YTINZZFBHWSAGL-NDEPHWFRSA-N	Nc1cccc2c1CN([C@H]1CCC(=O)NC1=O)C2=O>>O=C1CC[C@H](N2Cc3c(O)cccc3C2=O)C(=O)N1	3	N[c:9]1[c:8]2[c:14]([cH:13][cH:12][cH:11]1)[C:15](=[O:16])[N:6]([C@H:5]1[CH2:4][CH2:3][C:2](=[O:1])[NH:19][C:17]1=[O:10])[CH2:7]2>>[O:1]=[C:2]1[CH2:3][CH2:4][C@H:5]([N:6]2[CH2:7][c:8]3[c:9]([OH:10])[cH:11][cH:12][cH:13][c:14]3[C:15]2=[O:16])[C:17](=[O:18])[NH:19]1
YTINZZFBHWSAGL-NDEPHWFRSA-N	O=C1CC[C@H](N2Cc3c(O)cccc3C2=O)C(=O)N1.OCc1ccc(CBr)cc1>>O=C1CC[C@H](N2Cc3c(OCc4ccc(CO)cc4)cccc3C2=O)C(=O)N1	3	[O:1]=[C:2]1[CH2:3][CH2:4][C@H:5]([N:6]2[CH2:7][c:8]3[c:9]([OH:10])[cH:20][cH:21][cH:22][c:23]3[C:24]2=[O:25])[C:26](=[O:27])[NH:28]1.Br[CH2:11][c:12]1[cH:13][cH:14][c:15]([CH2:16][OH:17])[cH:18][cH:19]1>>[O:1]=[C:2]1[CH2:3][CH2:4][C@H:5]([N:6]2[CH2:7][c:8]3[c:9]([O:10][CH2:11][c:12]4[cH:13][cH:14][c:15]([CH2:16][OH:17])[cH:18][cH:19]4)[cH:20][cH:21][cH:22][c:23]3[C:24]2=[O:25])[C:26](=[O:27])[NH:28]1
