tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
AGOWMJFPYPUNRF-UHFFFAOYSA-N	Nc1nc(CCl)cs1.O=[N+]([O-])c1ccc(S)cc1>>Nc1nc(CSc2ccc([N+](=O)[O-])cc2)cs1	1	Nc1nc(CCl)cs1.O=[N+]([O-])c1ccc(S)cc1>>Nc1nc(CSc2ccc([N+](=O)[O-])cc2)cs1
AGOWMJFPYPUNRF-UHFFFAOYSA-N	Nc1nc(CS)cs1.O=[N+]([O-])c1ccc(Cl)cc1>>Nc1nc(CSc2ccc([N+](=O)[O-])cc2)cs1	2	Nc1nc(CS)cs1.O=[N+]([O-])c1ccc(Cl)cc1>>Nc1nc(CSc2ccc([N+](=O)[O-])cc2)cs1
AGOWMJFPYPUNRF-UHFFFAOYSA-N	NC(N)=S.O=C(CS)CBr>>Nc1nc(CS)cs1	2	NC(N)=S.O=C(CS)CBr>>Nc1nc(CS)cs1
AGOWMJFPYPUNRF-UHFFFAOYSA-N	CN(N=O)C(N)=O>>C=[N+]=[N-]	2	CN(N=O)C(N)=O>>C=[N+]=[N-]
AGOWMJFPYPUNRF-UHFFFAOYSA-N	C=[N+]=[N-].O=C(O)CS>>O=C(CS)CBr	2	C=[N+]=[N-].O=C(O)CS>>O=C(CS)CBr
AGOWMJFPYPUNRF-UHFFFAOYSA-N	CN(N=O)C(=N)N[N+](=O)[O-]>>C=[N+]=[N-]	3	CN(N=O)C(=N)N[N+](=O)[O-]>>C=[N+]=[N-]
AGOWMJFPYPUNRF-UHFFFAOYSA-N	Nc1nc(CS)cs1.O=[N+]([O-])c1ccc(Cl)cc1>>Nc1nc(CSc2ccc([N+](=O)[O-])cc2)cs1	3	Nc1nc(CS)cs1.O=[N+]([O-])c1ccc(Cl)cc1>>Nc1nc(CSc2ccc([N+](=O)[O-])cc2)cs1
AGOWMJFPYPUNRF-UHFFFAOYSA-N	NC(N)=S.O=C(CS)CBr>>Nc1nc(CS)cs1	3	NC(N)=S.O=C(CS)CBr>>Nc1nc(CS)cs1
AGOWMJFPYPUNRF-UHFFFAOYSA-N	C=[N+]=[N-].O=C(O)CS>>O=C(CS)CBr	3	C=[N+]=[N-].O=C(O)CS>>O=C(CS)CBr
AGOWMJFPYPUNRF-UHFFFAOYSA-N	Nc1nc(CS)cs1.O=[N+]([O-])c1ccc(Cl)cc1>>Nc1nc(CSc2ccc([N+](=O)[O-])cc2)cs1	4	Nc1nc(CS)cs1.O=[N+]([O-])c1ccc(Cl)cc1>>Nc1nc(CSc2ccc([N+](=O)[O-])cc2)cs1
AGOWMJFPYPUNRF-UHFFFAOYSA-N	C=[N+]=[N-].O=C(Cl)CS>>O=C(CS)CBr	4	C=[N+]=[N-].O=C(Cl)CS>>O=C(CS)CBr
AGOWMJFPYPUNRF-UHFFFAOYSA-N	NC(N)=S.O=C(CS)CBr>>Nc1nc(CS)cs1	4	NC(N)=S.O=C(CS)CBr>>Nc1nc(CS)cs1
AGOWMJFPYPUNRF-UHFFFAOYSA-N	O=C(O)CS>>O=C(Cl)CS	4	O=C(O)CS>>O=C(Cl)CS
AGOWMJFPYPUNRF-UHFFFAOYSA-N	CN(N=O)C(N)=O>>C=[N+]=[N-]	4	CN(N=O)C(N)=O>>C=[N+]=[N-]
AGOWMJFPYPUNRF-UHFFFAOYSA-N	CN(N=O)C(=N)N[N+](=O)[O-]>>C=[N+]=[N-]	5	CN(N=O)C(=N)N[N+](=O)[O-]>>C=[N+]=[N-]
AGOWMJFPYPUNRF-UHFFFAOYSA-N	Nc1nc(CS)cs1.O=[N+]([O-])c1ccc(Cl)cc1>>Nc1nc(CSc2ccc([N+](=O)[O-])cc2)cs1	5	Nc1nc(CS)cs1.O=[N+]([O-])c1ccc(Cl)cc1>>Nc1nc(CSc2ccc([N+](=O)[O-])cc2)cs1
AGOWMJFPYPUNRF-UHFFFAOYSA-N	C=[N+]=[N-].O=C(Cl)CS>>O=C(CS)CBr	5	C=[N+]=[N-].O=C(Cl)CS>>O=C(CS)CBr
AGOWMJFPYPUNRF-UHFFFAOYSA-N	NC(N)=S.O=C(CS)CBr>>Nc1nc(CS)cs1	5	NC(N)=S.O=C(CS)CBr>>Nc1nc(CS)cs1
AGOWMJFPYPUNRF-UHFFFAOYSA-N	O=C(O)CS>>O=C(Cl)CS	5	O=C(O)CS>>O=C(Cl)CS
AGOWMJFPYPUNRF-UHFFFAOYSA-N	O=C(O)CS>>[N-]=[N+]=CC(=O)CS	6	O=C(O)CS>>[N-]=[N+]=CC(=O)CS
AGOWMJFPYPUNRF-UHFFFAOYSA-N	Nc1nc(CS)cs1.O=[N+]([O-])c1ccc(Cl)cc1>>Nc1nc(CSc2ccc([N+](=O)[O-])cc2)cs1	6	Nc1nc(CS)cs1.O=[N+]([O-])c1ccc(Cl)cc1>>Nc1nc(CSc2ccc([N+](=O)[O-])cc2)cs1
AGOWMJFPYPUNRF-UHFFFAOYSA-N	[N-]=[N+]=CC(=O)CS>>O=C(CS)CBr	6	[N-]=[N+]=CC(=O)CS>>O=C(CS)CBr
AGOWMJFPYPUNRF-UHFFFAOYSA-N	NC(N)=S.O=C(CS)CBr>>Nc1nc(CS)cs1	6	NC(N)=S.O=C(CS)CBr>>Nc1nc(CS)cs1
AGOWMJFPYPUNRF-UHFFFAOYSA-N	O=C([O-])CS>>O=C(Cl)CS	7	O=C([O-])CS>>O=C(Cl)CS
AGOWMJFPYPUNRF-UHFFFAOYSA-N	Nc1nc(CS)cs1.O=[N+]([O-])c1ccc(Cl)cc1>>Nc1nc(CSc2ccc([N+](=O)[O-])cc2)cs1	7	Nc1nc(CS)cs1.O=[N+]([O-])c1ccc(Cl)cc1>>Nc1nc(CSc2ccc([N+](=O)[O-])cc2)cs1
AGOWMJFPYPUNRF-UHFFFAOYSA-N	C=[N+]=[N-].O=C(Cl)CS>>O=C(CS)CBr	7	C=[N+]=[N-].O=C(Cl)CS>>O=C(CS)CBr
AGOWMJFPYPUNRF-UHFFFAOYSA-N	NC(N)=S.O=C(CS)CBr>>Nc1nc(CS)cs1	7	NC(N)=S.O=C(CS)CBr>>Nc1nc(CS)cs1
AGOWMJFPYPUNRF-UHFFFAOYSA-N	CN(N=O)C(N)=O>>C=[N+]=[N-]	7	CN(N=O)C(N)=O>>C=[N+]=[N-]
AGOWMJFPYPUNRF-UHFFFAOYSA-N	O=C([O-])CS>>O=C(Cl)CS	8	O=C([O-])CS>>O=C(Cl)CS
AGOWMJFPYPUNRF-UHFFFAOYSA-N	CN(N=O)C(=N)N[N+](=O)[O-]>>C=[N+]=[N-]	8	CN(N=O)C(=N)N[N+](=O)[O-]>>C=[N+]=[N-]
AGOWMJFPYPUNRF-UHFFFAOYSA-N	Nc1nc(CS)cs1.O=[N+]([O-])c1ccc(Cl)cc1>>Nc1nc(CSc2ccc([N+](=O)[O-])cc2)cs1	8	Nc1nc(CS)cs1.O=[N+]([O-])c1ccc(Cl)cc1>>Nc1nc(CSc2ccc([N+](=O)[O-])cc2)cs1
AGOWMJFPYPUNRF-UHFFFAOYSA-N	C=[N+]=[N-].O=C(Cl)CS>>O=C(CS)CBr	8	C=[N+]=[N-].O=C(Cl)CS>>O=C(CS)CBr
AGOWMJFPYPUNRF-UHFFFAOYSA-N	NC(N)=S.O=C(CS)CBr>>Nc1nc(CS)cs1	8	NC(N)=S.O=C(CS)CBr>>Nc1nc(CS)cs1
AGOWMJFPYPUNRF-UHFFFAOYSA-N	[N-]=[N+]=CC(=O)CS>>O=C(CS)CBr	9	[N-]=[N+]=CC(=O)CS>>O=C(CS)CBr
AGOWMJFPYPUNRF-UHFFFAOYSA-N	Nc1nc(CS)cs1.O=[N+]([O-])c1ccc(Cl)cc1>>Nc1nc(CSc2ccc([N+](=O)[O-])cc2)cs1	9	Nc1nc(CS)cs1.O=[N+]([O-])c1ccc(Cl)cc1>>Nc1nc(CSc2ccc([N+](=O)[O-])cc2)cs1
AGOWMJFPYPUNRF-UHFFFAOYSA-N	C=[N+]=[N-].O=C(Cl)CS>>[N-]=[N+]=CC(=O)CS	9	C=[N+]=[N-].O=C(Cl)CS>>[N-]=[N+]=CC(=O)CS
AGOWMJFPYPUNRF-UHFFFAOYSA-N	CN(N=O)C(=N)N[N+](=O)[O-]>>C=[N+]=[N-]	9	CN(N=O)C(=N)N[N+](=O)[O-]>>C=[N+]=[N-]
