tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
ALQUTEKNDPODSS-UHFFFAOYSA-N	NCc1ccnc2ccccc12>>ON=Cc1ccnc2ccccc12	1	NCc1ccnc2ccccc12>>ON=Cc1ccnc2ccccc12
ALQUTEKNDPODSS-UHFFFAOYSA-N	Cc1ccnc2ccccc12>>ON=Cc1ccnc2ccccc12	2	Cc1ccnc2ccccc12>>ON=Cc1ccnc2ccccc12
ALQUTEKNDPODSS-UHFFFAOYSA-N	N=Cc1ccnc2cc(Br)ccc12>>N=Cc1ccnc2ccccc12	3	N=Cc1ccnc2cc(Br)ccc12>>N=Cc1ccnc2ccccc12
ALQUTEKNDPODSS-UHFFFAOYSA-N	N=Cc1ccnc2ccccc12>>ON=Cc1ccnc2ccccc12	3	N=Cc1ccnc2ccccc12>>ON=Cc1ccnc2ccccc12
ALQUTEKNDPODSS-UHFFFAOYSA-N	Brc1ccc2c(Br)ccnc2c1.O=CN1CCCCC1>>O=Cc1ccnc2cc(Br)ccc12	3	Brc1ccc2c(Br)ccnc2c1.O=CN1CCCCC1>>O=Cc1ccnc2cc(Br)ccc12
ALQUTEKNDPODSS-UHFFFAOYSA-N	O=Cc1ccnc2cc(Br)ccc12>>N=Cc1ccnc2cc(Br)ccc12	3	O=Cc1ccnc2cc(Br)ccc12>>N=Cc1ccnc2cc(Br)ccc12
ALQUTEKNDPODSS-UHFFFAOYSA-N	N=Cc1ccnc2cc(Br)ccc12>>N=Cc1ccnc2ccccc12	4	N=Cc1ccnc2cc(Br)ccc12>>N=Cc1ccnc2ccccc12
ALQUTEKNDPODSS-UHFFFAOYSA-N	Brc1ccc2c(Br)ccnc2c1>>O=Cc1ccnc2cc(Br)ccc12	4	Brc1ccc2c(Br)ccnc2c1>>O=Cc1ccnc2cc(Br)ccc12
ALQUTEKNDPODSS-UHFFFAOYSA-N	N=Cc1ccnc2ccccc12>>ON=Cc1ccnc2ccccc12	4	N=Cc1ccnc2ccccc12>>ON=Cc1ccnc2ccccc12
ALQUTEKNDPODSS-UHFFFAOYSA-N	O=Cc1ccnc2cc(Br)ccc12>>N=Cc1ccnc2cc(Br)ccc12	4	O=Cc1ccnc2cc(Br)ccc12>>N=Cc1ccnc2cc(Br)ccc12
ALQUTEKNDPODSS-UHFFFAOYSA-N	N=Cc1ccnc2cc(Br)ccc12>>N=Cc1ccnc2ccccc12	5	N=Cc1ccnc2cc(Br)ccc12>>N=Cc1ccnc2ccccc12
ALQUTEKNDPODSS-UHFFFAOYSA-N	N=Cc1ccnc2ccccc12>>ON=Cc1ccnc2ccccc12	5	N=Cc1ccnc2ccccc12>>ON=Cc1ccnc2ccccc12
ALQUTEKNDPODSS-UHFFFAOYSA-N	Cc1ccnc2cc(Br)ccc12>>O=Cc1ccnc2cc(Br)ccc12	5	Cc1ccnc2cc(Br)ccc12>>O=Cc1ccnc2cc(Br)ccc12
ALQUTEKNDPODSS-UHFFFAOYSA-N	O=Cc1ccnc2cc(Br)ccc12>>N=Cc1ccnc2cc(Br)ccc12	5	O=Cc1ccnc2cc(Br)ccc12>>N=Cc1ccnc2cc(Br)ccc12
ALQUTEKNDPODSS-UHFFFAOYSA-N	N=Cc1ccnc2cc(Br)ccc12>>N=Cc1ccnc2cc(N)ccc12	6	N=Cc1ccnc2cc(Br)ccc12>>N=Cc1ccnc2cc(N)ccc12
