tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
AVHHJLURQYHHDR-UHFFFAOYSA-N	COc1ccc(C=CC(=O)O)cc1O.Nc1ccccc1C(=O)O>>COc1ccc(C=CC(=O)Nc2ccccc2C(=O)O)cc1O	1	COc1ccc(C=CC(=O)O)cc1O.Nc1ccccc1C(=O)O>>COc1ccc(C=CC(=O)Nc2ccccc2C(=O)O)cc1O
AVHHJLURQYHHDR-UHFFFAOYSA-N	COc1ccc(/C=C/C(=O)O)cc1O.Nc1ccccc1C(=O)O>>COc1ccc(C=CC(=O)Nc2ccccc2C(=O)O)cc1O	2	COc1ccc(/C=C/C(=O)O)cc1O.Nc1ccccc1C(=O)O>>COc1ccc(C=CC(=O)Nc2ccccc2C(=O)O)cc1O
AVHHJLURQYHHDR-UHFFFAOYSA-N	COc1ccc(C=CC(=O)Cl)cc1O.Nc1ccccc1C(=O)O>>COc1ccc(C=CC(=O)Nc2ccccc2C(=O)O)cc1O	3	COc1ccc(C=CC(=O)Cl)cc1O.Nc1ccccc1C(=O)O>>COc1ccc(C=CC(=O)Nc2ccccc2C(=O)O)cc1O
AVHHJLURQYHHDR-UHFFFAOYSA-N	COc1ccc(C=CC(=O)O)cc1O>>COc1ccc(C=CC(=O)Cl)cc1O	3	COc1ccc(C=CC(=O)O)cc1O>>COc1ccc(C=CC(=O)Cl)cc1O
AVHHJLURQYHHDR-UHFFFAOYSA-N	COc1ccc(C=CC(=O)Cl)cc1O.Nc1ccccc1C(=O)O>>COc1ccc(C=CC(=O)Nc2ccccc2C(=O)O)cc1O	4	COc1ccc(C=CC(=O)Cl)cc1O.Nc1ccccc1C(=O)O>>COc1ccc(C=CC(=O)Nc2ccccc2C(=O)O)cc1O
AVHHJLURQYHHDR-UHFFFAOYSA-N	COc1ccc(/C=C/C(=O)O)cc1O>>COc1ccc(C=CC(=O)Cl)cc1O	4	COc1ccc(/C=C/C(=O)O)cc1O>>COc1ccc(C=CC(=O)Cl)cc1O
AVHHJLURQYHHDR-UHFFFAOYSA-N	COC(=O)c1ccccc1NC(=O)C=Cc1ccc(OC)c(O)c1>>COc1ccc(C=CC(=O)Nc2ccccc2C(=O)O)cc1O	5	COC(=O)c1ccccc1NC(=O)C=Cc1ccc(OC)c(O)c1>>COc1ccc(C=CC(=O)Nc2ccccc2C(=O)O)cc1O
AVHHJLURQYHHDR-UHFFFAOYSA-N	COC(=O)c1ccccc1N.COc1ccc(C=CC(=O)O)cc1O>>COC(=O)c1ccccc1NC(=O)C=Cc1ccc(OC)c(O)c1	5	COC(=O)c1ccccc1N.COc1ccc(C=CC(=O)O)cc1O>>COC(=O)c1ccccc1NC(=O)C=Cc1ccc(OC)c(O)c1
AVHHJLURQYHHDR-UHFFFAOYSA-N	COC(=O)c1ccccc1N.COc1ccc(/C=C/C(=O)O)cc1O>>COC(=O)c1ccccc1NC(=O)C=Cc1ccc(OC)c(O)c1	6	COC(=O)c1ccccc1N.COc1ccc(/C=C/C(=O)O)cc1O>>COC(=O)c1ccccc1NC(=O)C=Cc1ccc(OC)c(O)c1
AVHHJLURQYHHDR-UHFFFAOYSA-N	COC(=O)c1ccccc1NC(=O)C=Cc1ccc(OC)c(O)c1>>COc1ccc(C=CC(=O)Nc2ccccc2C(=O)O)cc1O	6	COC(=O)c1ccccc1NC(=O)C=Cc1ccc(OC)c(O)c1>>COc1ccc(C=CC(=O)Nc2ccccc2C(=O)O)cc1O
AVHHJLURQYHHDR-UHFFFAOYSA-N	COC(=O)c1ccccc1NC(=O)C=Cc1ccc(OC)c(O)c1>>COc1ccc(C=CC(=O)Nc2ccccc2C(=O)O)cc1O	7	COC(=O)c1ccccc1NC(=O)C=Cc1ccc(OC)c(O)c1>>COc1ccc(C=CC(=O)Nc2ccccc2C(=O)O)cc1O
AVHHJLURQYHHDR-UHFFFAOYSA-N	COC(=O)c1ccccc1N.COc1ccc(C=CC(=O)Cl)cc1O>>COC(=O)c1ccccc1NC(=O)C=Cc1ccc(OC)c(O)c1	7	COC(=O)c1ccccc1N.COc1ccc(C=CC(=O)Cl)cc1O>>COC(=O)c1ccccc1NC(=O)C=Cc1ccc(OC)c(O)c1
AVHHJLURQYHHDR-UHFFFAOYSA-N	COc1ccc(C=CC(=O)O)cc1O>>COc1ccc(C=CC(=O)Cl)cc1O	7	COc1ccc(C=CC(=O)O)cc1O>>COc1ccc(C=CC(=O)Cl)cc1O
AVHHJLURQYHHDR-UHFFFAOYSA-N	COC(=O)c1ccccc1NC(=O)C=Cc1ccc(OC)c(O)c1>>COc1ccc(C=CC(=O)Nc2ccccc2C(=O)O)cc1O	8	COC(=O)c1ccccc1NC(=O)C=Cc1ccc(OC)c(O)c1>>COc1ccc(C=CC(=O)Nc2ccccc2C(=O)O)cc1O
AVHHJLURQYHHDR-UHFFFAOYSA-N	COc1ccc(/C=C/C(=O)O)cc1O>>COc1ccc(C=CC(=O)Cl)cc1O	8	COc1ccc(/C=C/C(=O)O)cc1O>>COc1ccc(C=CC(=O)Cl)cc1O
AVHHJLURQYHHDR-UHFFFAOYSA-N	COC(=O)c1ccccc1N.COc1ccc(C=CC(=O)Cl)cc1O>>COC(=O)c1ccccc1NC(=O)C=Cc1ccc(OC)c(O)c1	8	COC(=O)c1ccccc1N.COc1ccc(C=CC(=O)Cl)cc1O>>COC(=O)c1ccccc1NC(=O)C=Cc1ccc(OC)c(O)c1
AVHHJLURQYHHDR-UHFFFAOYSA-N	COC(=O)c1ccccc1NC(=O)C=Cc1ccc(OC)c(OC(C)=O)c1>>COC(=O)c1ccccc1NC(=O)C=Cc1ccc(OC)c(O)c1	9	COC(=O)c1ccccc1NC(=O)C=Cc1ccc(OC)c(OC(C)=O)c1>>COC(=O)c1ccccc1NC(=O)C=Cc1ccc(OC)c(O)c1
AVHHJLURQYHHDR-UHFFFAOYSA-N	CC(=O)OC(C)=O.COc1ccc(C=O)cc1O>>COc1ccc(/C=C/C(=O)O)cc1OC(C)=O	9	CC(=O)OC(C)=O.COc1ccc(C=O)cc1O>>COc1ccc(/C=C/C(=O)O)cc1OC(C)=O
