tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
AZSRSNUQCUDCGG-UHFFFAOYSA-N	C=CC(=O)Cl.COc1cc(N(C)CCN(C)C)c(N)cc1Nc1ncc(C(=O)OC(C)C)c(-c2cn(C)c3ccccc23)n1>>C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C	1	C=CC(=O)Cl.COc1cc(N(C)CCN(C)C)c(N)cc1Nc1ncc(C(=O)OC(C)C)c(-c2cn(C)c3ccccc23)n1>>C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
AZSRSNUQCUDCGG-UHFFFAOYSA-N	COc1cc(N(C)CCN(C)C)c(N)cc1Nc1ncc(C(=O)OC(C)C)c(-c2cn(C)c3ccccc23)n1.O=C(Cl)CCCl>>C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C	2	COc1cc(N(C)CCN(C)C)c(N)cc1Nc1ncc(C(=O)OC(C)C)c(-c2cn(C)c3ccccc23)n1.O=C(Cl)CCCl>>C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
AZSRSNUQCUDCGG-UHFFFAOYSA-N	C=CC(=O)O.COc1cc(N(C)CCN(C)C)c(N)cc1Nc1ncc(C(=O)OC(C)C)c(-c2cn(C)c3ccccc23)n1>>C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C	3	C=CC(=O)O.COc1cc(N(C)CCN(C)C)c(N)cc1Nc1ncc(C(=O)OC(C)C)c(-c2cn(C)c3ccccc23)n1>>C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
AZSRSNUQCUDCGG-UHFFFAOYSA-N	COc1cc(N(C)CCN(C)C)c(NC(=O)CCCl)cc1Nc1ncc(C(=O)OC(C)C)c(-c2cn(C)c3ccccc23)n1>>C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C	4	COc1cc(N(C)CCN(C)C)c(NC(=O)CCCl)cc1Nc1ncc(C(=O)OC(C)C)c(-c2cn(C)c3ccccc23)n1>>C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
AZSRSNUQCUDCGG-UHFFFAOYSA-N	COc1cc(N(C)CCN(C)C)c(N)cc1Nc1ncc(C(=O)OC(C)C)c(-c2cn(C)c3ccccc23)n1.O=C(Cl)CCCl>>COc1cc(N(C)CCN(C)C)c(NC(=O)CCCl)cc1Nc1ncc(C(=O)OC(C)C)c(-c2cn(C)c3ccccc23)n1	4	COc1cc(N(C)CCN(C)C)c(N)cc1Nc1ncc(C(=O)OC(C)C)c(-c2cn(C)c3ccccc23)n1.O=C(Cl)CCCl>>COc1cc(N(C)CCN(C)C)c(NC(=O)CCCl)cc1Nc1ncc(C(=O)OC(C)C)c(-c2cn(C)c3ccccc23)n1
AZSRSNUQCUDCGG-UHFFFAOYSA-N	COc1cc(N(C)CCN(C)C)c(NC(=O)CCCl)cc1Nc1ncc(C(=O)OC(C)C)c(-c2cn(C)c3ccccc23)n1>>C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C	5	COc1cc(N(C)CCN(C)C)c(NC(=O)CCCl)cc1Nc1ncc(C(=O)OC(C)C)c(-c2cn(C)c3ccccc23)n1>>C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
AZSRSNUQCUDCGG-UHFFFAOYSA-N	COc1cc(N(C)CCN(C)C)c(N)cc1Nc1ncc(C(=O)OC(C)C)c(-c2cn(C)c3ccccc23)n1.O=C(O)CCCl>>COc1cc(N(C)CCN(C)C)c(NC(=O)CCCl)cc1Nc1ncc(C(=O)OC(C)C)c(-c2cn(C)c3ccccc23)n1	5	COc1cc(N(C)CCN(C)C)c(N)cc1Nc1ncc(C(=O)OC(C)C)c(-c2cn(C)c3ccccc23)n1.O=C(O)CCCl>>COc1cc(N(C)CCN(C)C)c(NC(=O)CCCl)cc1Nc1ncc(C(=O)OC(C)C)c(-c2cn(C)c3ccccc23)n1
AZSRSNUQCUDCGG-UHFFFAOYSA-N	C=CC(=O)Cl.COc1cc(N(C)CCN(C)C)c([N+](=O)[O-])cc1N>>C=CC(=O)Nc1cc(N)c(OC)cc1N(C)CCN(C)C	6	C=CC(=O)Cl.COc1cc(N(C)CCN(C)C)c([N+](=O)[O-])cc1N>>C=CC(=O)Nc1cc(N)c(OC)cc1N(C)CCN(C)C
AZSRSNUQCUDCGG-UHFFFAOYSA-N	C=CC(=O)Nc1cc(N)c(OC)cc1N(C)CCN(C)C.CC(C)OC(=O)c1cnc(Cl)nc1-c1cn(C)c2ccccc12>>C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C	6	C=CC(=O)Nc1cc(N)c(OC)cc1N(C)CCN(C)C.CC(C)OC(=O)c1cnc(Cl)nc1-c1cn(C)c2ccccc12>>C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
AZSRSNUQCUDCGG-UHFFFAOYSA-N	C=CC(=O)Nc1cc(NC(=O)OC(C)(C)C)c(OC)cc1N(C)CCN(C)C>>C=CC(=O)Nc1cc(N)c(OC)cc1N(C)CCN(C)C	7	C=CC(=O)Nc1cc(NC(=O)OC(C)(C)C)c(OC)cc1N(C)CCN(C)C>>C=CC(=O)Nc1cc(N)c(OC)cc1N(C)CCN(C)C
AZSRSNUQCUDCGG-UHFFFAOYSA-N	C=CC(=O)Nc1cc(N)c(OC)cc1N(C)CCN(C)C.CC(C)OC(=O)c1cnc(Cl)nc1-c1cn(C)c2ccccc12>>C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C	7	C=CC(=O)Nc1cc(N)c(OC)cc1N(C)CCN(C)C.CC(C)OC(=O)c1cnc(Cl)nc1-c1cn(C)c2ccccc12>>C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
AZSRSNUQCUDCGG-UHFFFAOYSA-N	C=CC(=O)Cl.COc1cc(N(C)CCN(C)C)c([N+](=O)[O-])cc1NC(=O)OC(C)(C)C>>C=CC(=O)Nc1cc(NC(=O)OC(C)(C)C)c(OC)cc1N(C)CCN(C)C	7	C=CC(=O)Cl.COc1cc(N(C)CCN(C)C)c([N+](=O)[O-])cc1NC(=O)OC(C)(C)C>>C=CC(=O)Nc1cc(NC(=O)OC(C)(C)C)c(OC)cc1N(C)CCN(C)C
AZSRSNUQCUDCGG-UHFFFAOYSA-N	C=CC(=O)Cl.COc1cc(N(C)CCN(C)C)c(N)cc1N>>C=CC(=O)Nc1cc(N)c(OC)cc1N(C)CCN(C)C	8	C=CC(=O)Cl.COc1cc(N(C)CCN(C)C)c(N)cc1N>>C=CC(=O)Nc1cc(N)c(OC)cc1N(C)CCN(C)C
AZSRSNUQCUDCGG-UHFFFAOYSA-N	C=CC(=O)Nc1cc(N)c(OC)cc1N(C)CCN(C)C.CC(C)OC(=O)c1cnc(Cl)nc1-c1cn(C)c2ccccc12>>C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C	8	C=CC(=O)Nc1cc(N)c(OC)cc1N(C)CCN(C)C.CC(C)OC(=O)c1cnc(Cl)nc1-c1cn(C)c2ccccc12>>C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
AZSRSNUQCUDCGG-UHFFFAOYSA-N	COc1cc(N(C)CCN(C)C)c([N+](=O)[O-])cc1N>>COc1cc(N(C)CCN(C)C)c(N)cc1N	8	COc1cc(N(C)CCN(C)C)c([N+](=O)[O-])cc1N>>COc1cc(N(C)CCN(C)C)c(N)cc1N
AZSRSNUQCUDCGG-UHFFFAOYSA-N	C=CC(=O)Cl.COc1cc(N(C)CCN(C)C)c(N)cc1N>>C=CC(=O)Nc1cc(N)c(OC)cc1N(C)CCN(C)C	9	C=CC(=O)Cl.COc1cc(N(C)CCN(C)C)c(N)cc1N>>C=CC(=O)Nc1cc(N)c(OC)cc1N(C)CCN(C)C
AZSRSNUQCUDCGG-UHFFFAOYSA-N	CNCCN(C)C.COc1cc(F)c(N)cc1[N+](=O)[O-]>>COc1cc(N(C)CCN(C)C)c(N)cc1N	9	CNCCN(C)C.COc1cc(F)c(N)cc1[N+](=O)[O-]>>COc1cc(N(C)CCN(C)C)c(N)cc1N
AZSRSNUQCUDCGG-UHFFFAOYSA-N	C=CC(=O)Nc1cc(N)c(OC)cc1N(C)CCN(C)C.CC(C)OC(=O)c1cnc(Cl)nc1-c1cn(C)c2ccccc12>>C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C	9	C=CC(=O)Nc1cc(N)c(OC)cc1N(C)CCN(C)C.CC(C)OC(=O)c1cnc(Cl)nc1-c1cn(C)c2ccccc12>>C=CC(=O)Nc1cc(Nc2ncc(C(=O)OC(C)C)c(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C
