tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
BIAAFFAHROMCHN-UHFFFAOYSA-N	COc1ccccc1CCN.O=C(O)Cc1cccc(CC(=O)O)c1>>COc1ccccc1CCNC(=O)Cc1cccc(CC(=O)O)c1	1	COc1ccccc1CCN.O=C(O)Cc1cccc(CC(=O)O)c1>>COc1ccccc1CCNC(=O)Cc1cccc(CC(=O)O)c1
BIAAFFAHROMCHN-UHFFFAOYSA-N	COC(=O)Cc1cccc(CC(=O)OC)c1.COc1ccccc1CCN>>COC(=O)Cc1cccc(CC(=O)NCCc2ccccc2OC)c1	2	COC(=O)Cc1cccc(CC(=O)OC)c1.COc1ccccc1CCN>>COC(=O)Cc1cccc(CC(=O)NCCc2ccccc2OC)c1
BIAAFFAHROMCHN-UHFFFAOYSA-N	COC(=O)Cc1cccc(CC(=O)NCCc2ccccc2OC)c1>>COc1ccccc1CCNC(=O)Cc1cccc(CC(=O)O)c1	2	COC(=O)Cc1cccc(CC(=O)NCCc2ccccc2OC)c1>>COc1ccccc1CCNC(=O)Cc1cccc(CC(=O)O)c1
BIAAFFAHROMCHN-UHFFFAOYSA-N	COC(=O)Cc1cccc(CC(=O)NCCc2ccccc2OC)c1>>COc1ccccc1CCNC(=O)Cc1cccc(CC(=O)O)c1	3	COC(=O)Cc1cccc(CC(=O)NCCc2ccccc2OC)c1>>COc1ccccc1CCNC(=O)Cc1cccc(CC(=O)O)c1
BIAAFFAHROMCHN-UHFFFAOYSA-N	CC(=O)Cl.O=C(O)Cc1cccc(CC(=O)O)c1>>COC(=O)Cc1cccc(CC(=O)O)c1	3	CC(=O)Cl.O=C(O)Cc1cccc(CC(=O)O)c1>>COC(=O)Cc1cccc(CC(=O)O)c1
BIAAFFAHROMCHN-UHFFFAOYSA-N	COC(=O)Cc1cccc(CC(=O)O)c1.COc1ccccc1CCN>>COC(=O)Cc1cccc(CC(=O)NCCc2ccccc2OC)c1	3	COC(=O)Cc1cccc(CC(=O)O)c1.COc1ccccc1CCN>>COC(=O)Cc1cccc(CC(=O)NCCc2ccccc2OC)c1
BIAAFFAHROMCHN-UHFFFAOYSA-N	CCBr.O=C(O)Cc1cccc(CC(=O)O)c1>>CCOC(=O)Cc1cccc(CC(=O)O)c1	4	CCBr.O=C(O)Cc1cccc(CC(=O)O)c1>>CCOC(=O)Cc1cccc(CC(=O)O)c1
BIAAFFAHROMCHN-UHFFFAOYSA-N	CCOC(=O)Cc1cccc(CC(=O)Cl)c1.COc1ccccc1CCN>>COc1ccccc1CCNC(=O)Cc1cccc(CC(=O)O)c1	4	CCOC(=O)Cc1cccc(CC(=O)Cl)c1.COc1ccccc1CCN>>COc1ccccc1CCNC(=O)Cc1cccc(CC(=O)O)c1
BIAAFFAHROMCHN-UHFFFAOYSA-N	CCOC(=O)Cc1cccc(CC(=O)O)c1>>CCOC(=O)Cc1cccc(CC(=O)Cl)c1	4	CCOC(=O)Cc1cccc(CC(=O)O)c1>>CCOC(=O)Cc1cccc(CC(=O)Cl)c1
BIAAFFAHROMCHN-UHFFFAOYSA-N	CCBr.O=C(O)Cc1cccc(CC(=O)O)c1>>CCOC(=O)Cc1cccc(CC(=O)O)c1	5	CCBr.O=C(O)Cc1cccc(CC(=O)O)c1>>CCOC(=O)Cc1cccc(CC(=O)O)c1
BIAAFFAHROMCHN-UHFFFAOYSA-N	CCOC(=O)Cc1cccc(CC(=O)O)c1.O=S(Cl)Cl>>CCOC(=O)Cc1cccc(CC(=O)Cl)c1	5	CCOC(=O)Cc1cccc(CC(=O)O)c1.O=S(Cl)Cl>>CCOC(=O)Cc1cccc(CC(=O)Cl)c1
BIAAFFAHROMCHN-UHFFFAOYSA-N	CCOC(=O)Cc1cccc(CC(=O)Cl)c1.COc1ccccc1CCN>>COc1ccccc1CCNC(=O)Cc1cccc(CC(=O)O)c1	5	CCOC(=O)Cc1cccc(CC(=O)Cl)c1.COc1ccccc1CCN>>COc1ccccc1CCNC(=O)Cc1cccc(CC(=O)O)c1
BIAAFFAHROMCHN-UHFFFAOYSA-N	CCBr.O=C(O)Cc1cccc(CC(=O)O)c1>>CCOC(=O)Cc1cccc(CC(=O)O)c1	6	CCBr.O=C(O)Cc1cccc(CC(=O)O)c1>>CCOC(=O)Cc1cccc(CC(=O)O)c1
BIAAFFAHROMCHN-UHFFFAOYSA-N	CCOC(=O)Cc1cccc(CC(=O)O)c1.O=C(Cl)C(=O)Cl>>CCOC(=O)Cc1cccc(CC(=O)Cl)c1	6	CCOC(=O)Cc1cccc(CC(=O)O)c1.O=C(Cl)C(=O)Cl>>CCOC(=O)Cc1cccc(CC(=O)Cl)c1
BIAAFFAHROMCHN-UHFFFAOYSA-N	CCOC(=O)Cc1cccc(CC(=O)Cl)c1.COc1ccccc1CCN>>COc1ccccc1CCNC(=O)Cc1cccc(CC(=O)O)c1	6	CCOC(=O)Cc1cccc(CC(=O)Cl)c1.COc1ccccc1CCN>>COc1ccccc1CCNC(=O)Cc1cccc(CC(=O)O)c1
