tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
BSHFCWWTFQFTPC-UHFFFAOYSA-N	Nc1cc(Cl)c(I)c(Cl)c1.Nc1nc(Cl)n[nH]1>>Nc1nc(Nc2cc(Cl)c(I)c(Cl)c2)n[nH]1	1	Nc1cc(Cl)c(I)c(Cl)c1.Nc1nc(Cl)n[nH]1>>Nc1nc(Nc2cc(Cl)c(I)c(Cl)c2)n[nH]1
BSHFCWWTFQFTPC-UHFFFAOYSA-N	C#CC(C)(C)C.Nc1nc(Nc2cc(Cl)c(I)c(Cl)c2)n[nH]1>>CC(C)(C)C#Cc1c(Cl)cc(Nc2n[nH]c(N)n2)cc1Cl	1	C#CC(C)(C)C.Nc1nc(Nc2cc(Cl)c(I)c(Cl)c2)n[nH]1>>CC(C)(C)C#Cc1c(Cl)cc(Nc2n[nH]c(N)n2)cc1Cl
BSHFCWWTFQFTPC-UHFFFAOYSA-N	C#CC(C)(C)C.CC(C)(C)C(=O)Nc1nc(Nc2cc(Cl)c(I)c(Cl)c2)n[nH]1>>CC(C)(C)C#Cc1c(Cl)cc(Nc2n[nH]c(NC(=O)C(C)(C)C)n2)cc1Cl	2	C#CC(C)(C)C.CC(C)(C)C(=O)Nc1nc(Nc2cc(Cl)c(I)c(Cl)c2)n[nH]1>>CC(C)(C)C#Cc1c(Cl)cc(Nc2n[nH]c(NC(=O)C(C)(C)C)n2)cc1Cl
BSHFCWWTFQFTPC-UHFFFAOYSA-N	CC(C)(C)C#Cc1c(Cl)cc(Nc2n[nH]c(NC(=O)C(C)(C)C)n2)cc1Cl>>CC(C)(C)C#Cc1c(Cl)cc(Nc2n[nH]c(N)n2)cc1Cl	2	CC(C)(C)C#Cc1c(Cl)cc(Nc2n[nH]c(NC(=O)C(C)(C)C)n2)cc1Cl>>CC(C)(C)C#Cc1c(Cl)cc(Nc2n[nH]c(N)n2)cc1Cl
BSHFCWWTFQFTPC-UHFFFAOYSA-N	Nc1cc(Cl)c(I)c(Cl)c1.Nc1nc(Cl)n[nH]1>>Nc1nc(Nc2cc(Cl)c(I)c(Cl)c2)n[nH]1	2	Nc1cc(Cl)c(I)c(Cl)c1.Nc1nc(Cl)n[nH]1>>Nc1nc(Nc2cc(Cl)c(I)c(Cl)c2)n[nH]1
BSHFCWWTFQFTPC-UHFFFAOYSA-N	CC(C)(C)C(=O)Cl.Nc1nc(Nc2cc(Cl)c(I)c(Cl)c2)n[nH]1>>CC(C)(C)C(=O)Nc1nc(Nc2cc(Cl)c(I)c(Cl)c2)n[nH]1	2	CC(C)(C)C(=O)Cl.Nc1nc(Nc2cc(Cl)c(I)c(Cl)c2)n[nH]1>>CC(C)(C)C(=O)Nc1nc(Nc2cc(Cl)c(I)c(Cl)c2)n[nH]1
BSHFCWWTFQFTPC-UHFFFAOYSA-N	C#CC(C)(C)C.CC(C)(C)C(=O)Nc1nc(Nc2cc(Cl)c(I)c(Cl)c2)n[nH]1>>CC(C)(C)C#Cc1c(Cl)cc(Nc2n[nH]c(NC(=O)C(C)(C)C)n2)cc1Cl	3	C#CC(C)(C)C.CC(C)(C)C(=O)Nc1nc(Nc2cc(Cl)c(I)c(Cl)c2)n[nH]1>>CC(C)(C)C#Cc1c(Cl)cc(Nc2n[nH]c(NC(=O)C(C)(C)C)n2)cc1Cl
BSHFCWWTFQFTPC-UHFFFAOYSA-N	CC(C)(C)C(=O)O.Nc1nc(Nc2cc(Cl)c(I)c(Cl)c2)n[nH]1>>CC(C)(C)C(=O)Nc1nc(Nc2cc(Cl)c(I)c(Cl)c2)n[nH]1	3	CC(C)(C)C(=O)O.Nc1nc(Nc2cc(Cl)c(I)c(Cl)c2)n[nH]1>>CC(C)(C)C(=O)Nc1nc(Nc2cc(Cl)c(I)c(Cl)c2)n[nH]1
BSHFCWWTFQFTPC-UHFFFAOYSA-N	CC(C)(C)C#Cc1c(Cl)cc(Nc2n[nH]c(NC(=O)C(C)(C)C)n2)cc1Cl>>CC(C)(C)C#Cc1c(Cl)cc(Nc2n[nH]c(N)n2)cc1Cl	3	CC(C)(C)C#Cc1c(Cl)cc(Nc2n[nH]c(NC(=O)C(C)(C)C)n2)cc1Cl>>CC(C)(C)C#Cc1c(Cl)cc(Nc2n[nH]c(N)n2)cc1Cl
BSHFCWWTFQFTPC-UHFFFAOYSA-N	Nc1cc(Cl)c(I)c(Cl)c1.Nc1nc(Cl)n[nH]1>>Nc1nc(Nc2cc(Cl)c(I)c(Cl)c2)n[nH]1	3	Nc1cc(Cl)c(I)c(Cl)c1.Nc1nc(Cl)n[nH]1>>Nc1nc(Nc2cc(Cl)c(I)c(Cl)c2)n[nH]1
