tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
BWINBHTTZLVXGT-NVXWUHKLSA-N	CCOC(=O)c1cnn2c(NC)cc(Cl)nc12.Nc1cccn(-c2ccccn2)c1=O>>CCOC(=O)c1cnn2c(NC)cc(Nc3cccn(-c4ccccn4)c3=O)nc12	1	CCOC(=O)c1cnn2c(NC)cc(Cl)nc12.Nc1cccn(-c2ccccn2)c1=O>>CCOC(=O)c1cnn2c(NC)cc(Nc3cccn(-c4ccccn4)c3=O)nc12
BWINBHTTZLVXGT-NVXWUHKLSA-N	CCOC(=O)c1cnn2c(NC)cc(Nc3cccn(-c4ccccn4)c3=O)nc12.CO[C@@H]1CC[C@H]1N>>CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C(=O)N[C@@H]3CC[C@H]3OC)cnn12	1	CCOC(=O)c1cnn2c(NC)cc(Nc3cccn(-c4ccccn4)c3=O)nc12.CO[C@@H]1CC[C@H]1N>>CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C(=O)N[C@@H]3CC[C@H]3OC)cnn12
BWINBHTTZLVXGT-NVXWUHKLSA-N	CCOC(=O)c1cnn2c(NC)cc(Nc3cccn(-c4ccccn4)c3=O)nc12>>CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C(=O)O)cnn12	2	CCOC(=O)c1cnn2c(NC)cc(Nc3cccn(-c4ccccn4)c3=O)nc12>>CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C(=O)O)cnn12
BWINBHTTZLVXGT-NVXWUHKLSA-N	CCOC(=O)c1cnn2c(NC)cc(Cl)nc12.Nc1cccn(-c2ccccn2)c1=O>>CCOC(=O)c1cnn2c(NC)cc(Nc3cccn(-c4ccccn4)c3=O)nc12	2	CCOC(=O)c1cnn2c(NC)cc(Cl)nc12.Nc1cccn(-c2ccccn2)c1=O>>CCOC(=O)c1cnn2c(NC)cc(Nc3cccn(-c4ccccn4)c3=O)nc12
BWINBHTTZLVXGT-NVXWUHKLSA-N	CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C(=O)O)cnn12.CO[C@@H]1CC[C@H]1N>>CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C(=O)N[C@@H]3CC[C@H]3OC)cnn12	2	CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C(=O)O)cnn12.CO[C@@H]1CC[C@H]1N>>CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C(=O)N[C@@H]3CC[C@H]3OC)cnn12
BWINBHTTZLVXGT-NVXWUHKLSA-N	CNc1cc(Cl)nc2c(C#N)cnn12.Nc1cccn(-c2ccccn2)c1=O>>CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C#N)cnn12	3	CNc1cc(Cl)nc2c(C#N)cnn12.Nc1cccn(-c2ccccn2)c1=O>>CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C#N)cnn12
BWINBHTTZLVXGT-NVXWUHKLSA-N	CN.N#Cc1cnn2c(Cl)cc(Cl)nc12>>CNc1cc(Cl)nc2c(C#N)cnn12	3	CN.N#Cc1cnn2c(Cl)cc(Cl)nc12>>CNc1cc(Cl)nc2c(C#N)cnn12
BWINBHTTZLVXGT-NVXWUHKLSA-N	CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C(=O)O)cnn12.CO[C@@H]1CC[C@H]1N>>CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C(=O)N[C@@H]3CC[C@H]3OC)cnn12	3	CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C(=O)O)cnn12.CO[C@@H]1CC[C@H]1N>>CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C(=O)N[C@@H]3CC[C@H]3OC)cnn12
BWINBHTTZLVXGT-NVXWUHKLSA-N	CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C#N)cnn12>>CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C(=O)O)cnn12	3	CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C#N)cnn12>>CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C(=O)O)cnn12
BWINBHTTZLVXGT-NVXWUHKLSA-N	CCOC(=O)c1cnn2c(NC)cc(Nc3cccn(-c4ccccn4)c3=O)nc12>>CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C(=O)O)cnn12	4	CCOC(=O)c1cnn2c(NC)cc(Nc3cccn(-c4ccccn4)c3=O)nc12>>CNc1cc(Nc2cccn(-c3ccccn3)c2=O)nc2c(C(=O)O)cnn12
