tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
BYXNPBBWWSOSDA-VWLOTQADSA-N	CCOC(=O)C(=O)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1>>CCOC(=O)[C@@H](O)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1	1	CCOC(=O)C(=O)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1>>CCOC(=O)[C@@H](O)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1
BYXNPBBWWSOSDA-VWLOTQADSA-N	CC1(C)OB(c2ccc(O)cc2)OC1(C)C.CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1>>CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)nc(C)c(-c2ccc(O)cc2)c1N1CCC(C)(C)CC1	1	CC1(C)OB(c2ccc(O)cc2)OC1(C)C.CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1>>CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)nc(C)c(-c2ccc(O)cc2)c1N1CCC(C)(C)CC1
BYXNPBBWWSOSDA-VWLOTQADSA-N	CC1(C)CCNCC1.CCOC(=O)C(=O)c1c(C)nc(C)c(Br)c1Cl>>CCOC(=O)C(=O)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1	1	CC1(C)CCNCC1.CCOC(=O)C(=O)c1c(C)nc(C)c(Br)c1Cl>>CCOC(=O)C(=O)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1
BYXNPBBWWSOSDA-VWLOTQADSA-N	C=C(C)C.CCOC(=O)[C@@H](O)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1>>CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1	1	C=C(C)C.CCOC(=O)[C@@H](O)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1>>CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1
BYXNPBBWWSOSDA-VWLOTQADSA-N	CCOC(=O)C(=O)Cl.Cc1nc(C)c(Br)c(Cl)c1Br>>CCOC(=O)C(=O)c1c(C)nc(C)c(Br)c1Cl	1	CCOC(=O)C(=O)Cl.Cc1nc(C)c(Br)c(Cl)c1Br>>CCOC(=O)C(=O)c1c(C)nc(C)c(Br)c1Cl
BYXNPBBWWSOSDA-VWLOTQADSA-N	CCOC(=O)C(=O)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1>>CCOC(=O)[C@@H](O)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1	2	CCOC(=O)C(=O)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1>>CCOC(=O)[C@@H](O)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1
BYXNPBBWWSOSDA-VWLOTQADSA-N	CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1.OB(O)c1ccc(O)cc1>>CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)nc(C)c(-c2ccc(O)cc2)c1N1CCC(C)(C)CC1	2	CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1.OB(O)c1ccc(O)cc1>>CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)nc(C)c(-c2ccc(O)cc2)c1N1CCC(C)(C)CC1
BYXNPBBWWSOSDA-VWLOTQADSA-N	CC1(C)CCNCC1.CCOC(=O)C(=O)c1c(C)nc(C)c(Br)c1Cl>>CCOC(=O)C(=O)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1	2	CC1(C)CCNCC1.CCOC(=O)C(=O)c1c(C)nc(C)c(Br)c1Cl>>CCOC(=O)C(=O)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1
BYXNPBBWWSOSDA-VWLOTQADSA-N	C=C(C)C.CCOC(=O)[C@@H](O)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1>>CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1	2	C=C(C)C.CCOC(=O)[C@@H](O)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1>>CCOC(=O)[C@@H](OC(C)(C)C)c1c(C)nc(C)c(Br)c1N1CCC(C)(C)CC1
BYXNPBBWWSOSDA-VWLOTQADSA-N	CCOC(=O)C(=O)Cl.Cc1nc(C)c(Br)c(Cl)c1Br>>CCOC(=O)C(=O)c1c(C)nc(C)c(Br)c1Cl	2	CCOC(=O)C(=O)Cl.Cc1nc(C)c(Br)c(Cl)c1Br>>CCOC(=O)C(=O)c1c(C)nc(C)c(Br)c1Cl
