tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
CQKVACARDGYEMU-VWLOTQADSA-N	Cc1n[nH]c(C)c1-c1ccc(NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C2CC2)C2CC2)cc1>>Cc1n[nH]c(C)c1-c1ccc(NC(=O)[C@@H](N)C(C2CC2)C2CC2)cc1	1	Cc1n[nH]c(C)c1-c1ccc(NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C2CC2)C2CC2)cc1>>Cc1n[nH]c(C)c1-c1ccc(NC(=O)[C@@H](N)C(C2CC2)C2CC2)cc1
CQKVACARDGYEMU-VWLOTQADSA-N	CC(C)n1nccc1C(=O)O.Cc1n[nH]c(C)c1-c1ccc(NC(=O)[C@@H](N)C(C2CC2)C2CC2)cc1>>Cc1n[nH]c(C)c1-c1ccc(NC(=O)[C@@H](NC(=O)c2ccnn2C(C)C)C(C2CC2)C2CC2)cc1	1	CC(C)n1nccc1C(=O)O.Cc1n[nH]c(C)c1-c1ccc(NC(=O)[C@@H](N)C(C2CC2)C2CC2)cc1>>Cc1n[nH]c(C)c1-c1ccc(NC(=O)[C@@H](NC(=O)c2ccnn2C(C)C)C(C2CC2)C2CC2)cc1
CQKVACARDGYEMU-VWLOTQADSA-N	CC(C)(C)OC(=O)N[C@H](C(=O)Nc1ccc(Br)cc1)C(C1CC1)C1CC1.Cc1n[nH]c(C)c1B1OC(C)(C)C(C)(C)O1>>Cc1n[nH]c(C)c1-c1ccc(NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C2CC2)C2CC2)cc1	1	CC(C)(C)OC(=O)N[C@H](C(=O)Nc1ccc(Br)cc1)C(C1CC1)C1CC1.Cc1n[nH]c(C)c1B1OC(C)(C)C(C)(C)O1>>Cc1n[nH]c(C)c1-c1ccc(NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C2CC2)C2CC2)cc1
CQKVACARDGYEMU-VWLOTQADSA-N	CC(C)(C)OC(=O)N[C@H](C(=O)O)C(C1CC1)C1CC1.Nc1ccc(Br)cc1>>CC(C)(C)OC(=O)N[C@H](C(=O)Nc1ccc(Br)cc1)C(C1CC1)C1CC1	1	CC(C)(C)OC(=O)N[C@H](C(=O)O)C(C1CC1)C1CC1.Nc1ccc(Br)cc1>>CC(C)(C)OC(=O)N[C@H](C(=O)Nc1ccc(Br)cc1)C(C1CC1)C1CC1
CQKVACARDGYEMU-VWLOTQADSA-N	Cc1n[nH]c(C)c1-c1ccc(NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C2CC2)C2CC2)cc1>>Cc1n[nH]c(C)c1-c1ccc(NC(=O)[C@@H](N)C(C2CC2)C2CC2)cc1	2	Cc1n[nH]c(C)c1-c1ccc(NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C2CC2)C2CC2)cc1>>Cc1n[nH]c(C)c1-c1ccc(NC(=O)[C@@H](N)C(C2CC2)C2CC2)cc1
CQKVACARDGYEMU-VWLOTQADSA-N	CC(C)n1nccc1C(=O)O.Cc1n[nH]c(C)c1-c1ccc(NC(=O)[C@@H](N)C(C2CC2)C2CC2)cc1>>Cc1n[nH]c(C)c1-c1ccc(NC(=O)[C@@H](NC(=O)c2ccnn2C(C)C)C(C2CC2)C2CC2)cc1	2	CC(C)n1nccc1C(=O)O.Cc1n[nH]c(C)c1-c1ccc(NC(=O)[C@@H](N)C(C2CC2)C2CC2)cc1>>Cc1n[nH]c(C)c1-c1ccc(NC(=O)[C@@H](NC(=O)c2ccnn2C(C)C)C(C2CC2)C2CC2)cc1
CQKVACARDGYEMU-VWLOTQADSA-N	CC(C)(C)OC(=O)N[C@H](C(=O)Nc1ccc(Br)cc1)C(C1CC1)C1CC1.Cc1n[nH]c(C)c1B(O)O>>Cc1n[nH]c(C)c1-c1ccc(NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C2CC2)C2CC2)cc1	2	CC(C)(C)OC(=O)N[C@H](C(=O)Nc1ccc(Br)cc1)C(C1CC1)C1CC1.Cc1n[nH]c(C)c1B(O)O>>Cc1n[nH]c(C)c1-c1ccc(NC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C2CC2)C2CC2)cc1
CQKVACARDGYEMU-VWLOTQADSA-N	CC(C)(C)OC(=O)N[C@H](C(=O)O)C(C1CC1)C1CC1.Nc1ccc(Br)cc1>>CC(C)(C)OC(=O)N[C@H](C(=O)Nc1ccc(Br)cc1)C(C1CC1)C1CC1	2	CC(C)(C)OC(=O)N[C@H](C(=O)O)C(C1CC1)C1CC1.Nc1ccc(Br)cc1>>CC(C)(C)OC(=O)N[C@H](C(=O)Nc1ccc(Br)cc1)C(C1CC1)C1CC1
CQKVACARDGYEMU-VWLOTQADSA-N	O=C(N[C@H](C(=O)O)C(C1CC1)C1CC1)OCc1ccccc1>>N[C@H](C(=O)O)C(C1CC1)C1CC1	3	O=C(N[C@H](C(=O)O)C(C1CC1)C1CC1)OCc1ccccc1>>N[C@H](C(=O)O)C(C1CC1)C1CC1
CQKVACARDGYEMU-VWLOTQADSA-N	CC(C)n1nccc1C(=O)O.Cc1n[nH]c(C)c1-c1ccc(NC(=O)[C@@H](N)C(C2CC2)C2CC2)cc1>>Cc1n[nH]c(C)c1-c1ccc(NC(=O)[C@@H](NC(=O)c2ccnn2C(C)C)C(C2CC2)C2CC2)cc1	3	CC(C)n1nccc1C(=O)O.Cc1n[nH]c(C)c1-c1ccc(NC(=O)[C@@H](N)C(C2CC2)C2CC2)cc1>>Cc1n[nH]c(C)c1-c1ccc(NC(=O)[C@@H](NC(=O)c2ccnn2C(C)C)C(C2CC2)C2CC2)cc1
