tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
CWOFQJBATWQSHL-DEOSSOPVSA-N	BrCCCBr.Cc1ccc2c(n1)NCCC2>>BrCCCCc1ccc2c(n1)NCCC2	1	BrCCCBr.Cc1ccc2c(n1)NCCC2>>BrCCCCc1ccc2c(n1)NCCC2
CWOFQJBATWQSHL-DEOSSOPVSA-N	COCCBr.O=C(O)[C@H](CCNCCCCc1ccc2c(n1)NCCC2)Nc1ncnc2ccccc12>>COCCN(CCCCc1ccc2c(n1)NCCC2)CC[C@H](Nc1ncnc2ccccc12)C(=O)O	1	COCCBr.O=C(O)[C@H](CCNCCCCc1ccc2c(n1)NCCC2)Nc1ncnc2ccccc12>>COCCN(CCCCc1ccc2c(n1)NCCC2)CC[C@H](Nc1ncnc2ccccc12)C(=O)O
CWOFQJBATWQSHL-DEOSSOPVSA-N	BrCCCCc1ccc2c(n1)NCCC2.NCC[C@H](N)C(=O)O>>N[C@@H](CCNCCCCc1ccc2c(n1)NCCC2)C(=O)O	1	BrCCCCc1ccc2c(n1)NCCC2.NCC[C@H](N)C(=O)O>>N[C@@H](CCNCCCCc1ccc2c(n1)NCCC2)C(=O)O
CWOFQJBATWQSHL-DEOSSOPVSA-N	Clc1ncnc2ccccc12.N[C@@H](CCNCCCCc1ccc2c(n1)NCCC2)C(=O)O>>O=C(O)[C@H](CCNCCCCc1ccc2c(n1)NCCC2)Nc1ncnc2ccccc12	1	Clc1ncnc2ccccc12.N[C@@H](CCNCCCCc1ccc2c(n1)NCCC2)C(=O)O>>O=C(O)[C@H](CCNCCCCc1ccc2c(n1)NCCC2)Nc1ncnc2ccccc12
CWOFQJBATWQSHL-DEOSSOPVSA-N	BrCCCBr.Cc1ccc2c(n1)NCCC2>>BrCCCCc1ccc2c(n1)NCCC2	2	BrCCCBr.Cc1ccc2c(n1)NCCC2>>BrCCCCc1ccc2c(n1)NCCC2
CWOFQJBATWQSHL-DEOSSOPVSA-N	COCCCl.O=C(O)[C@H](CCNCCCCc1ccc2c(n1)NCCC2)Nc1ncnc2ccccc12>>COCCN(CCCCc1ccc2c(n1)NCCC2)CC[C@H](Nc1ncnc2ccccc12)C(=O)O	2	COCCCl.O=C(O)[C@H](CCNCCCCc1ccc2c(n1)NCCC2)Nc1ncnc2ccccc12>>COCCN(CCCCc1ccc2c(n1)NCCC2)CC[C@H](Nc1ncnc2ccccc12)C(=O)O
CWOFQJBATWQSHL-DEOSSOPVSA-N	BrCCCCc1ccc2c(n1)NCCC2.NCC[C@H](N)C(=O)O>>N[C@@H](CCNCCCCc1ccc2c(n1)NCCC2)C(=O)O	2	BrCCCCc1ccc2c(n1)NCCC2.NCC[C@H](N)C(=O)O>>N[C@@H](CCNCCCCc1ccc2c(n1)NCCC2)C(=O)O
CWOFQJBATWQSHL-DEOSSOPVSA-N	Clc1ncnc2ccccc12.N[C@@H](CCNCCCCc1ccc2c(n1)NCCC2)C(=O)O>>O=C(O)[C@H](CCNCCCCc1ccc2c(n1)NCCC2)Nc1ncnc2ccccc12	2	Clc1ncnc2ccccc12.N[C@@H](CCNCCCCc1ccc2c(n1)NCCC2)C(=O)O>>O=C(O)[C@H](CCNCCCCc1ccc2c(n1)NCCC2)Nc1ncnc2ccccc12
CWOFQJBATWQSHL-DEOSSOPVSA-N	BrCCCBr.Cc1ccc2c(n1)NCCC2>>BrCCCCc1ccc2c(n1)NCCC2	3	BrCCCBr.Cc1ccc2c(n1)NCCC2>>BrCCCCc1ccc2c(n1)NCCC2
CWOFQJBATWQSHL-DEOSSOPVSA-N	COCC(=O)N(CCCCc1ccc2c(n1)NCCC2)CC[C@H](Nc1ncnc2ccccc12)C(=O)O>>COCCN(CCCCc1ccc2c(n1)NCCC2)CC[C@H](Nc1ncnc2ccccc12)C(=O)O	3	COCC(=O)N(CCCCc1ccc2c(n1)NCCC2)CC[C@H](Nc1ncnc2ccccc12)C(=O)O>>COCCN(CCCCc1ccc2c(n1)NCCC2)CC[C@H](Nc1ncnc2ccccc12)C(=O)O
CWOFQJBATWQSHL-DEOSSOPVSA-N	BrCCCCc1ccc2c(n1)NCCC2.NCC[C@H](N)C(=O)O>>N[C@@H](CCNCCCCc1ccc2c(n1)NCCC2)C(=O)O	3	BrCCCCc1ccc2c(n1)NCCC2.NCC[C@H](N)C(=O)O>>N[C@@H](CCNCCCCc1ccc2c(n1)NCCC2)C(=O)O
