tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
DKZPZLQEPJOONY-UHFFFAOYSA-N	CC(C)(C)OC(=O)NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O.NCCO.O=C(O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)NCCO)c1ccc(Oc2ccc(Cl)cc2)cc1	1	CC(C)(C)OC(=O)NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O.NCCO.O=C(O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)NCCO)c1ccc(Oc2ccc(Cl)cc2)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	NCCO.O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)NCCO)c1ccc(Oc2ccc(Cl)cc2)cc1	2	NCCO.O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)NCCO)c1ccc(Oc2ccc(Cl)cc2)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1	2	O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O.O=C(O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1	2	NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O.O=C(O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	NCCO.O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)NCCO)c1ccc(Oc2ccc(Cl)cc2)cc1	3	NCCO.O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)NCCO)c1ccc(Oc2ccc(Cl)cc2)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1	3	O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	COC(=O)C(N)Cc1ccc(OC(F)(F)F)cc1.O=C(O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1	3	COC(=O)C(N)Cc1ccc(OC(F)(F)F)cc1.O=C(O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	NCCO.O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)NCCO)c1ccc(Oc2ccc(Cl)cc2)cc1	4	NCCO.O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)NCCO)c1ccc(Oc2ccc(Cl)cc2)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1	4	O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	O=C(O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(Cl)c1ccc(Oc2ccc(Cl)cc2)cc1	4	O=C(O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(Cl)c1ccc(Oc2ccc(Cl)cc2)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O.O=C(Cl)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1	4	NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O.O=C(Cl)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	NCCO.O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)NCCO)c1ccc(Oc2ccc(Cl)cc2)cc1	5	NCCO.O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)NCCO)c1ccc(Oc2ccc(Cl)cc2)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1	5	O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	O=C(Cl)C(=O)Cl.O=C(O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(Cl)c1ccc(Oc2ccc(Cl)cc2)cc1	5	O=C(Cl)C(=O)Cl.O=C(O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(Cl)c1ccc(Oc2ccc(Cl)cc2)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O.O=C(Cl)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1	5	NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O.O=C(Cl)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	NCCO.O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)NCCO)c1ccc(Oc2ccc(Cl)cc2)cc1	6	NCCO.O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)NCCO)c1ccc(Oc2ccc(Cl)cc2)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1	6	O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	Cl.O=C(O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(Cl)c1ccc(Oc2ccc(Cl)cc2)cc1	6	Cl.O=C(O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(Cl)c1ccc(Oc2ccc(Cl)cc2)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O.O=C(Cl)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1	6	NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O.O=C(Cl)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	CI.O=C(O)c1ccc(Oc2ccc(Cl)cc2)cc1>>COC(=O)c1ccc(Oc2ccc(Cl)cc2)cc1	7	CI.O=C(O)c1ccc(Oc2ccc(Cl)cc2)cc1>>COC(=O)c1ccc(Oc2ccc(Cl)cc2)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	NCCO.O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)NCCO)c1ccc(Oc2ccc(Cl)cc2)cc1	7	NCCO.O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)NCCO)c1ccc(Oc2ccc(Cl)cc2)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1	7	O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	COC(=O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(Cl)c1ccc(Oc2ccc(Cl)cc2)cc1	7	COC(=O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(Cl)c1ccc(Oc2ccc(Cl)cc2)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O.O=C(Cl)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1	7	NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O.O=C(Cl)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	NCCO.O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)NCCO)c1ccc(Oc2ccc(Cl)cc2)cc1	8	NCCO.O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)NCCO)c1ccc(Oc2ccc(Cl)cc2)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1	8	O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	COC(=O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(Cl)c1ccc(Oc2ccc(Cl)cc2)cc1	8	COC(=O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(Cl)c1ccc(Oc2ccc(Cl)cc2)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	COC(=O)c1ccc(O)cc1.Clc1ccc(Br)cc1>>COC(=O)c1ccc(Oc2ccc(Cl)cc2)cc1	8	COC(=O)c1ccc(O)cc1.Clc1ccc(Br)cc1>>COC(=O)c1ccc(Oc2ccc(Cl)cc2)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O.O=C(Cl)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1	8	NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O.O=C(Cl)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	NCCO.O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)NCCO)c1ccc(Oc2ccc(Cl)cc2)cc1	9	NCCO.O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)NCCO)c1ccc(Oc2ccc(Cl)cc2)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1	9	O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	COC(=O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(Cl)c1ccc(Oc2ccc(Cl)cc2)cc1	9	COC(=O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(Cl)c1ccc(Oc2ccc(Cl)cc2)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O.O=C(Cl)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1	9	NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O.O=C(Cl)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	COC(=O)c1ccc(Br)cc1.Oc1ccc(Cl)cc1>>COC(=O)c1ccc(Oc2ccc(Cl)cc2)cc1	9	COC(=O)c1ccc(Br)cc1.Oc1ccc(Cl)cc1>>COC(=O)c1ccc(Oc2ccc(Cl)cc2)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	NCCO.O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)NCCO)c1ccc(Oc2ccc(Cl)cc2)cc1	10	NCCO.O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)NCCO)c1ccc(Oc2ccc(Cl)cc2)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1	10	O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C1OC(c2ccc(Oc3ccc(Cl)cc3)cc2)=NC1Cc1ccc(OC(F)(F)F)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	COC(=O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(Cl)c1ccc(Oc2ccc(Cl)cc2)cc1	10	COC(=O)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(Cl)c1ccc(Oc2ccc(Cl)cc2)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	CO.O=C(O)c1ccc(Oc2ccc(Cl)cc2)cc1>>COC(=O)c1ccc(Oc2ccc(Cl)cc2)cc1	10	CO.O=C(O)c1ccc(Oc2ccc(Cl)cc2)cc1>>COC(=O)c1ccc(Oc2ccc(Cl)cc2)cc1
DKZPZLQEPJOONY-UHFFFAOYSA-N	NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O.O=C(Cl)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1	10	NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O.O=C(Cl)c1ccc(Oc2ccc(Cl)cc2)cc1>>O=C(NC(Cc1ccc(OC(F)(F)F)cc1)C(=O)O)c1ccc(Oc2ccc(Cl)cc2)cc1
