tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
DTCZNKWBDTXEBS-UHFFFAOYSA-N	Cc1cc(C)c2c(n1)CNC2.O=C(O)CC1CN(c2ccnc(C(F)(F)F)c2)C1>>Cc1cc(C)c2c(n1)CN(C(=O)CC1CN(c3ccnc(C(F)(F)F)c3)C1)C2	1	Cc1cc(C)c2c(n1)CNC2.O=C(O)CC1CN(c2ccnc(C(F)(F)F)c2)C1>>Cc1cc(C)c2c(n1)CN(C(=O)CC1CN(c3ccnc(C(F)(F)F)c3)C1)C2
DTCZNKWBDTXEBS-UHFFFAOYSA-N	FC(F)(F)c1cc(Br)ccn1.O=C(O)CC1CNC1>>O=C(O)CC1CN(c2ccnc(C(F)(F)F)c2)C1	1	FC(F)(F)c1cc(Br)ccn1.O=C(O)CC1CNC1>>O=C(O)CC1CN(c2ccnc(C(F)(F)F)c2)C1
DTCZNKWBDTXEBS-UHFFFAOYSA-N	Cc1cc(C)c2c(n1)CNC2.O=C(O)CC1CN(c2ccnc(C(F)(F)F)c2)C1>>Cc1cc(C)c2c(n1)CN(C(=O)CC1CN(c3ccnc(C(F)(F)F)c3)C1)C2	2	Cc1cc(C)c2c(n1)CNC2.O=C(O)CC1CN(c2ccnc(C(F)(F)F)c2)C1>>Cc1cc(C)c2c(n1)CN(C(=O)CC1CN(c3ccnc(C(F)(F)F)c3)C1)C2
DTCZNKWBDTXEBS-UHFFFAOYSA-N	CCOC(=O)CC1CN(c2ccnc(C(F)(F)F)c2)C1>>O=C(O)CC1CN(c2ccnc(C(F)(F)F)c2)C1	2	CCOC(=O)CC1CN(c2ccnc(C(F)(F)F)c2)C1>>O=C(O)CC1CN(c2ccnc(C(F)(F)F)c2)C1
DTCZNKWBDTXEBS-UHFFFAOYSA-N	CCOC(=O)CC1CNC1.FC(F)(F)c1cc(Br)ccn1>>CCOC(=O)CC1CN(c2ccnc(C(F)(F)F)c2)C1	2	CCOC(=O)CC1CNC1.FC(F)(F)c1cc(Br)ccn1>>CCOC(=O)CC1CN(c2ccnc(C(F)(F)F)c2)C1
DTCZNKWBDTXEBS-UHFFFAOYSA-N	CC1(C)OB(c2ccnc(C(F)(F)F)c2)OC1(C)C.N#CCC1CNC1>>N#CCC1CN(c2ccnc(C(F)(F)F)c2)C1	3	CC1(C)OB(c2ccnc(C(F)(F)F)c2)OC1(C)C.N#CCC1CNC1>>N#CCC1CN(c2ccnc(C(F)(F)F)c2)C1
DTCZNKWBDTXEBS-UHFFFAOYSA-N	CCO.N#CCC1CN(c2ccnc(C(F)(F)F)c2)C1>>CCOC(=O)CC1CN(c2ccnc(C(F)(F)F)c2)C1	3	CCO.N#CCC1CN(c2ccnc(C(F)(F)F)c2)C1>>CCOC(=O)CC1CN(c2ccnc(C(F)(F)F)c2)C1
DTCZNKWBDTXEBS-UHFFFAOYSA-N	Cc1cc(C)c2c(n1)CNC2.O=C(O)CC1CN(c2ccnc(C(F)(F)F)c2)C1>>Cc1cc(C)c2c(n1)CN(C(=O)CC1CN(c3ccnc(C(F)(F)F)c3)C1)C2	3	Cc1cc(C)c2c(n1)CNC2.O=C(O)CC1CN(c2ccnc(C(F)(F)F)c2)C1>>Cc1cc(C)c2c(n1)CN(C(=O)CC1CN(c3ccnc(C(F)(F)F)c3)C1)C2
DTCZNKWBDTXEBS-UHFFFAOYSA-N	CCOC(=O)CC1CN(c2ccnc(C(F)(F)F)c2)C1>>O=C(O)CC1CN(c2ccnc(C(F)(F)F)c2)C1	3	CCOC(=O)CC1CN(c2ccnc(C(F)(F)F)c2)C1>>O=C(O)CC1CN(c2ccnc(C(F)(F)F)c2)C1
DTCZNKWBDTXEBS-UHFFFAOYSA-N	CCO.N#CCC1CN(c2ccnc(C(F)(F)F)c2)C1>>CCOC(=O)CC1CN(c2ccnc(C(F)(F)F)c2)C1	4	CCO.N#CCC1CN(c2ccnc(C(F)(F)F)c2)C1>>CCOC(=O)CC1CN(c2ccnc(C(F)(F)F)c2)C1
DTCZNKWBDTXEBS-UHFFFAOYSA-N	Cc1cc(C)c2c(n1)CNC2.O=C(O)CC1CN(c2ccnc(C(F)(F)F)c2)C1>>Cc1cc(C)c2c(n1)CN(C(=O)CC1CN(c3ccnc(C(F)(F)F)c3)C1)C2	4	Cc1cc(C)c2c(n1)CNC2.O=C(O)CC1CN(c2ccnc(C(F)(F)F)c2)C1>>Cc1cc(C)c2c(n1)CN(C(=O)CC1CN(c3ccnc(C(F)(F)F)c3)C1)C2
DTCZNKWBDTXEBS-UHFFFAOYSA-N	FC(F)(F)c1cc(Br)ccn1.N#CCC1CNC1>>N#CCC1CN(c2ccnc(C(F)(F)F)c2)C1	4	FC(F)(F)c1cc(Br)ccn1.N#CCC1CNC1>>N#CCC1CN(c2ccnc(C(F)(F)F)c2)C1
DTCZNKWBDTXEBS-UHFFFAOYSA-N	CCOC(=O)CC1CN(c2ccnc(C(F)(F)F)c2)C1>>O=C(O)CC1CN(c2ccnc(C(F)(F)F)c2)C1	4	CCOC(=O)CC1CN(c2ccnc(C(F)(F)F)c2)C1>>O=C(O)CC1CN(c2ccnc(C(F)(F)F)c2)C1
DTCZNKWBDTXEBS-UHFFFAOYSA-N	CCO.N#CCC1CN(c2ccnc(C(F)(F)F)c2)C1>>CCOC(=O)CC1CN(c2ccnc(C(F)(F)F)c2)C1	5	CCO.N#CCC1CN(c2ccnc(C(F)(F)F)c2)C1>>CCOC(=O)CC1CN(c2ccnc(C(F)(F)F)c2)C1
DTCZNKWBDTXEBS-UHFFFAOYSA-N	Cc1cc(C)c2c(n1)CNC2.O=C(O)CC1CN(c2ccnc(C(F)(F)F)c2)C1>>Cc1cc(C)c2c(n1)CN(C(=O)CC1CN(c3ccnc(C(F)(F)F)c3)C1)C2	5	Cc1cc(C)c2c(n1)CNC2.O=C(O)CC1CN(c2ccnc(C(F)(F)F)c2)C1>>Cc1cc(C)c2c(n1)CN(C(=O)CC1CN(c3ccnc(C(F)(F)F)c3)C1)C2
