tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
DUCJUKZQSRPECI-UHFFFAOYSA-N	COc1c(C2CCC2)ccc(Br)c1F.OB(O)c1cnc2[nH]ccc2c1>>COc1c(C2CCC2)ccc(-c2cnc3[nH]ccc3c2)c1F	1	COc1c(C2CCC2)ccc(Br)c1F.OB(O)c1cnc2[nH]ccc2c1>>COc1c(C2CCC2)ccc(-c2cnc3[nH]ccc3c2)c1F
DUCJUKZQSRPECI-UHFFFAOYSA-N	BrC1CCC1.COc1c(F)cccc1Br>>COc1c(F)cccc1C1CCC1	1	BrC1CCC1.COc1c(F)cccc1Br>>COc1c(F)cccc1C1CCC1
DUCJUKZQSRPECI-UHFFFAOYSA-N	COc1c(F)cccc1C1CCC1>>COc1c(C2CCC2)ccc(Br)c1F	1	COc1c(F)cccc1C1CCC1>>COc1c(C2CCC2)ccc(Br)c1F
DUCJUKZQSRPECI-UHFFFAOYSA-N	COc1c(F)cccc1C1CCC1>>COc1c(C2CCC2)ccc(Br)c1F	2	COc1c(F)cccc1C1CCC1>>COc1c(C2CCC2)ccc(Br)c1F
DUCJUKZQSRPECI-UHFFFAOYSA-N	COc1c(O)cccc1F.O=S(=O)(Cl)C(F)(F)F>>COc1c(F)cccc1OS(=O)(=O)C(F)(F)F	2	COc1c(O)cccc1F.O=S(=O)(Cl)C(F)(F)F>>COc1c(F)cccc1OS(=O)(=O)C(F)(F)F
DUCJUKZQSRPECI-UHFFFAOYSA-N	COc1c(C2CCC2)ccc(Br)c1F.OB(O)c1cnc2[nH]ccc2c1>>COc1c(C2CCC2)ccc(-c2cnc3[nH]ccc3c2)c1F	2	COc1c(C2CCC2)ccc(Br)c1F.OB(O)c1cnc2[nH]ccc2c1>>COc1c(C2CCC2)ccc(-c2cnc3[nH]ccc3c2)c1F
DUCJUKZQSRPECI-UHFFFAOYSA-N	Br[Zn]C1CCC1.COc1c(F)cccc1OS(=O)(=O)C(F)(F)F>>COc1c(F)cccc1C1CCC1	2	Br[Zn]C1CCC1.COc1c(F)cccc1OS(=O)(=O)C(F)(F)F>>COc1c(F)cccc1C1CCC1
DUCJUKZQSRPECI-UHFFFAOYSA-N	COc1c(C2CCC2)ccc(Br)c1F.OB(O)c1cnc2[nH]ccc2c1>>COc1c(C2CCC2)ccc(-c2cnc3[nH]ccc3c2)c1F	3	COc1c(C2CCC2)ccc(Br)c1F.OB(O)c1cnc2[nH]ccc2c1>>COc1c(C2CCC2)ccc(-c2cnc3[nH]ccc3c2)c1F
DUCJUKZQSRPECI-UHFFFAOYSA-N	Br[Zn]C1CCC1.COc1c(F)cccc1OS(=O)(=O)C(F)(F)F>>COc1c(F)cccc1C1CCC1	3	Br[Zn]C1CCC1.COc1c(F)cccc1OS(=O)(=O)C(F)(F)F>>COc1c(F)cccc1C1CCC1
DUCJUKZQSRPECI-UHFFFAOYSA-N	COc1c(O)cccc1F.O=S(=O)(N(c1ccccc1)S(=O)(=O)C(F)(F)F)C(F)(F)F>>COc1c(F)cccc1OS(=O)(=O)C(F)(F)F	3	COc1c(O)cccc1F.O=S(=O)(N(c1ccccc1)S(=O)(=O)C(F)(F)F)C(F)(F)F>>COc1c(F)cccc1OS(=O)(=O)C(F)(F)F
