tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
FHRKRGDHMCCDEO-LLVKDONJSA-N	CC(=O)N1CCNC[C@H]1C.Nc1nnc(Cl)cc1Br>>CC(=O)N1CCN(c2cc(Cl)nnc2N)C[C@H]1C	1	CC(=O)N1CCNC[C@H]1C.Nc1nnc(Cl)cc1Br>>CC(=O)N1CCN(c2cc(Cl)nnc2N)C[C@H]1C
FHRKRGDHMCCDEO-LLVKDONJSA-N	COc1ccccc1-c1cc(N2CCN(C(C)=O)[C@H](C)C2)c(N)nn1>>CC(=O)N1CCN(c2cc(-c3ccccc3O)nnc2N)C[C@H]1C	1	COc1ccccc1-c1cc(N2CCN(C(C)=O)[C@H](C)C2)c(N)nn1>>CC(=O)N1CCN(c2cc(-c3ccccc3O)nnc2N)C[C@H]1C
FHRKRGDHMCCDEO-LLVKDONJSA-N	CC(=O)N1CCN(c2cc(Cl)nnc2N)C[C@H]1C.COc1ccccc1B(O)O>>COc1ccccc1-c1cc(N2CCN(C(C)=O)[C@H](C)C2)c(N)nn1	1	CC(=O)N1CCN(c2cc(Cl)nnc2N)C[C@H]1C.COc1ccccc1B(O)O>>COc1ccccc1-c1cc(N2CCN(C(C)=O)[C@H](C)C2)c(N)nn1
FHRKRGDHMCCDEO-LLVKDONJSA-N	COc1ccccc1-c1cc(N2CCN(C(C)=O)[C@H](C)C2)c(N)nn1>>CC(=O)N1CCN(c2cc(-c3ccccc3O)nnc2N)C[C@H]1C	2	COc1ccccc1-c1cc(N2CCN(C(C)=O)[C@H](C)C2)c(N)nn1>>CC(=O)N1CCN(c2cc(-c3ccccc3O)nnc2N)C[C@H]1C
FHRKRGDHMCCDEO-LLVKDONJSA-N	CC(=O)N1CCNC[C@H]1C.Nc1nnc(Cl)cc1Cl>>CC(=O)N1CCN(c2cc(Cl)nnc2N)C[C@H]1C	2	CC(=O)N1CCNC[C@H]1C.Nc1nnc(Cl)cc1Cl>>CC(=O)N1CCN(c2cc(Cl)nnc2N)C[C@H]1C
FHRKRGDHMCCDEO-LLVKDONJSA-N	CC(=O)N1CCN(c2cc(Cl)nnc2N)C[C@H]1C.COc1ccccc1B(O)O>>COc1ccccc1-c1cc(N2CCN(C(C)=O)[C@H](C)C2)c(N)nn1	2	CC(=O)N1CCN(c2cc(Cl)nnc2N)C[C@H]1C.COc1ccccc1B(O)O>>COc1ccccc1-c1cc(N2CCN(C(C)=O)[C@H](C)C2)c(N)nn1
FHRKRGDHMCCDEO-LLVKDONJSA-N	CC(=O)OC(C)=O.C[C@@H]1CN(c2cc(Cl)nnc2N)CCN1>>CC(=O)N1CCN(c2cc(Cl)nnc2N)C[C@H]1C	3	CC(=O)OC(C)=O.C[C@@H]1CN(c2cc(Cl)nnc2N)CCN1>>CC(=O)N1CCN(c2cc(Cl)nnc2N)C[C@H]1C
FHRKRGDHMCCDEO-LLVKDONJSA-N	C[C@@H]1CNCCN1C(=O)OC(C)(C)C.Nc1nnc(Cl)cc1Br>>C[C@@H]1CN(c2cc(Cl)nnc2N)CCN1C(=O)OC(C)(C)C	3	C[C@@H]1CNCCN1C(=O)OC(C)(C)C.Nc1nnc(Cl)cc1Br>>C[C@@H]1CN(c2cc(Cl)nnc2N)CCN1C(=O)OC(C)(C)C
FHRKRGDHMCCDEO-LLVKDONJSA-N	C[C@@H]1CN(c2cc(Cl)nnc2N)CCN1C(=O)OC(C)(C)C>>C[C@@H]1CN(c2cc(Cl)nnc2N)CCN1	3	C[C@@H]1CN(c2cc(Cl)nnc2N)CCN1C(=O)OC(C)(C)C>>C[C@@H]1CN(c2cc(Cl)nnc2N)CCN1
FHRKRGDHMCCDEO-LLVKDONJSA-N	CC(=O)N1CCN(c2cc(Cl)nnc2N)C[C@H]1C.COc1ccccc1B(O)O>>COc1ccccc1-c1cc(N2CCN(C(C)=O)[C@H](C)C2)c(N)nn1	3	CC(=O)N1CCN(c2cc(Cl)nnc2N)C[C@H]1C.COc1ccccc1B(O)O>>COc1ccccc1-c1cc(N2CCN(C(C)=O)[C@H](C)C2)c(N)nn1
FHRKRGDHMCCDEO-LLVKDONJSA-N	COc1ccccc1-c1cc(N2CCN(C(C)=O)[C@H](C)C2)c(N)nn1>>CC(=O)N1CCN(c2cc(-c3ccccc3O)nnc2N)C[C@H]1C	3	COc1ccccc1-c1cc(N2CCN(C(C)=O)[C@H](C)C2)c(N)nn1>>CC(=O)N1CCN(c2cc(-c3ccccc3O)nnc2N)C[C@H]1C
FHRKRGDHMCCDEO-LLVKDONJSA-N	C[C@@H]1CN(c2cc(Cl)nnc2N)CCN1C(=O)OC(C)(C)C>>C[C@@H]1CN(c2cc(Cl)nnc2N)CCN1	4	C[C@@H]1CN(c2cc(Cl)nnc2N)CCN1C(=O)OC(C)(C)C>>C[C@@H]1CN(c2cc(Cl)nnc2N)CCN1
FHRKRGDHMCCDEO-LLVKDONJSA-N	COc1ccccc1-c1cc(N2CCN[C@H](C)C2)c(N)nn1>>COc1ccccc1-c1cc(N2CCN(C(C)=O)[C@H](C)C2)c(N)nn1	4	COc1ccccc1-c1cc(N2CCN[C@H](C)C2)c(N)nn1>>COc1ccccc1-c1cc(N2CCN(C(C)=O)[C@H](C)C2)c(N)nn1
FHRKRGDHMCCDEO-LLVKDONJSA-N	COc1ccccc1B(O)O.C[C@@H]1CN(c2cc(Cl)nnc2N)CCN1>>COc1ccccc1-c1cc(N2CCN[C@H](C)C2)c(N)nn1	4	COc1ccccc1B(O)O.C[C@@H]1CN(c2cc(Cl)nnc2N)CCN1>>COc1ccccc1-c1cc(N2CCN[C@H](C)C2)c(N)nn1
