tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
FHVMATOIMUHQRC-UHFFFAOYSA-N	BrC(Br)=Cc1ccccc1.CNC>>CN(C)C(=O)Cc1ccccc1	1	BrC(Br)=Cc1ccccc1.CNC>>CN(C)C(=O)Cc1ccccc1
FHVMATOIMUHQRC-UHFFFAOYSA-N	CNC.COC(=O)Cc1ccccc1>>CN(C)C(=O)Cc1ccccc1	2	CNC.COC(=O)Cc1ccccc1>>CN(C)C(=O)Cc1ccccc1
FHVMATOIMUHQRC-UHFFFAOYSA-N	CNC.O=C(Cl)Cc1ccccc1>>CN(C)C(=O)Cc1ccccc1	3	CNC.O=C(Cl)Cc1ccccc1>>CN(C)C(=O)Cc1ccccc1
FHVMATOIMUHQRC-UHFFFAOYSA-N	CCOC(=O)Cc1ccccc1.CNC>>CN(C)C(=O)Cc1ccccc1	4	CCOC(=O)Cc1ccccc1.CNC>>CN(C)C(=O)Cc1ccccc1
FHVMATOIMUHQRC-UHFFFAOYSA-N	CCOC(=O)Cl.O=C([O-])Cc1ccccc1>>CCOC(=O)OC(=O)Cc1ccccc1	5	CCOC(=O)Cl.O=C([O-])Cc1ccccc1>>CCOC(=O)OC(=O)Cc1ccccc1
FHVMATOIMUHQRC-UHFFFAOYSA-N	CCOC(=O)OC(=O)Cc1ccccc1.CNC>>CN(C)C(=O)Cc1ccccc1	5	CCOC(=O)OC(=O)Cc1ccccc1.CNC>>CN(C)C(=O)Cc1ccccc1
FHVMATOIMUHQRC-UHFFFAOYSA-N	CCOC(=O)OC(=O)Cc1ccccc1.CNC>>CN(C)C(=O)Cc1ccccc1	6	CCOC(=O)OC(=O)Cc1ccccc1.CNC>>CN(C)C(=O)Cc1ccccc1
FHVMATOIMUHQRC-UHFFFAOYSA-N	CCOC(=O)Cl.O=C(O)Cc1ccccc1>>CCOC(=O)OC(=O)Cc1ccccc1	6	CCOC(=O)Cl.O=C(O)Cc1ccccc1>>CCOC(=O)OC(=O)Cc1ccccc1
FHVMATOIMUHQRC-UHFFFAOYSA-N	CNC.O=C(O)Cc1ccccc1>>CN(C)C(=O)Cc1ccccc1	7	CNC.O=C(O)Cc1ccccc1>>CN(C)C(=O)Cc1ccccc1
FHVMATOIMUHQRC-UHFFFAOYSA-N	CN(C)C(=S)Cc1ccccc1>>CN(C)C(=O)Cc1ccccc1	8	CN(C)C(=S)Cc1ccccc1>>CN(C)C(=O)Cc1ccccc1
FHVMATOIMUHQRC-UHFFFAOYSA-N	CN(C)C(=O)Cc1ccc(I)cc1>>CN(C)C(=O)Cc1ccccc1	9	CN(C)C(=O)Cc1ccc(I)cc1>>CN(C)C(=O)Cc1ccccc1
FHVMATOIMUHQRC-UHFFFAOYSA-N	CNC.COC(=O)Cc1ccc(I)cc1>>CN(C)C(=O)Cc1ccc(I)cc1	9	CNC.COC(=O)Cc1ccc(I)cc1>>CN(C)C(=O)Cc1ccc(I)cc1
FHVMATOIMUHQRC-UHFFFAOYSA-N	CN(C)C(=O)Cc1ccc(I)cc1>>CN(C)C(=O)Cc1ccccc1	10	CN(C)C(=O)Cc1ccc(I)cc1>>CN(C)C(=O)Cc1ccccc1
FHVMATOIMUHQRC-UHFFFAOYSA-N	CNC.O=C(Cl)Cc1ccc(I)cc1>>CN(C)C(=O)Cc1ccc(I)cc1	10	CNC.O=C(Cl)Cc1ccc(I)cc1>>CN(C)C(=O)Cc1ccc(I)cc1
