tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
GHILNKWBALQPDP-UHFFFAOYSA-N	CC(C)OB(OC(C)C)OC(C)C.Clc1c(Br)cnc2ccc(Br)cc12>>OB(O)c1ccc2ncc(Br)c(Cl)c2c1	1	CC(C)OB(OC(C)C)OC(C)C.Clc1c(Br)cnc2ccc(Br)cc12>>OB(O)c1ccc2ncc(Br)c(Cl)c2c1
GHILNKWBALQPDP-UHFFFAOYSA-N	CC1(C)OB(c2cc(F)cc(F)c2)OC1(C)C.NC1CCN(c2c(Br)cnc3ccc(B(O)O)cc23)CC1>>NC1CCN(c2c(-c3cc(F)cc(F)c3)cnc3ccc(B(O)O)cc23)CC1	1	CC1(C)OB(c2cc(F)cc(F)c2)OC1(C)C.NC1CCN(c2c(Br)cnc3ccc(B(O)O)cc23)CC1>>NC1CCN(c2c(-c3cc(F)cc(F)c3)cnc3ccc(B(O)O)cc23)CC1
GHILNKWBALQPDP-UHFFFAOYSA-N	NC1CCNCC1.OB(O)c1ccc2ncc(Br)c(Cl)c2c1>>NC1CCN(c2c(Br)cnc3ccc(B(O)O)cc23)CC1	1	NC1CCNCC1.OB(O)c1ccc2ncc(Br)c(Cl)c2c1>>NC1CCN(c2c(Br)cnc3ccc(B(O)O)cc23)CC1
GHILNKWBALQPDP-UHFFFAOYSA-N	COc1c(C#N)cccc1-c1ccc2ncc(-c3cc(F)cc(F)c3)c(N3CCC(N)CC3)c2c1>>N#Cc1cccc(-c2ccc3ncc(-c4cc(F)cc(F)c4)c(N4CCC(N)CC4)c3c2)c1O	1	COc1c(C#N)cccc1-c1ccc2ncc(-c3cc(F)cc(F)c3)c(N3CCC(N)CC3)c2c1>>N#Cc1cccc(-c2ccc3ncc(-c4cc(F)cc(F)c4)c(N4CCC(N)CC4)c3c2)c1O
GHILNKWBALQPDP-UHFFFAOYSA-N	COc1c(Br)cccc1C#N.NC1CCN(c2c(-c3cc(F)cc(F)c3)cnc3ccc(B(O)O)cc23)CC1>>COc1c(C#N)cccc1-c1ccc2ncc(-c3cc(F)cc(F)c3)c(N3CCC(N)CC3)c2c1	1	COc1c(Br)cccc1C#N.NC1CCN(c2c(-c3cc(F)cc(F)c3)cnc3ccc(B(O)O)cc23)CC1>>COc1c(C#N)cccc1-c1ccc2ncc(-c3cc(F)cc(F)c3)c(N3CCC(N)CC3)c2c1
GHILNKWBALQPDP-UHFFFAOYSA-N	CC(C)OB(OC(C)C)OC(C)C.Clc1c(Br)cnc2ccc(Br)cc12>>OB(O)c1ccc2ncc(Br)c(Cl)c2c1	2	CC(C)OB(OC(C)C)OC(C)C.Clc1c(Br)cnc2ccc(Br)cc12>>OB(O)c1ccc2ncc(Br)c(Cl)c2c1
GHILNKWBALQPDP-UHFFFAOYSA-N	CC1(C)OB(c2cc(F)cc(F)c2)OC1(C)C.NC1CCN(c2c(Br)cnc3ccc(B(O)O)cc23)CC1>>NC1CCN(c2c(-c3cc(F)cc(F)c3)cnc3ccc(B(O)O)cc23)CC1	2	CC1(C)OB(c2cc(F)cc(F)c2)OC1(C)C.NC1CCN(c2c(Br)cnc3ccc(B(O)O)cc23)CC1>>NC1CCN(c2c(-c3cc(F)cc(F)c3)cnc3ccc(B(O)O)cc23)CC1
GHILNKWBALQPDP-UHFFFAOYSA-N	NC1CCNCC1.OB(O)c1ccc2ncc(Br)c(Cl)c2c1>>NC1CCN(c2c(Br)cnc3ccc(B(O)O)cc23)CC1	2	NC1CCNCC1.OB(O)c1ccc2ncc(Br)c(Cl)c2c1>>NC1CCN(c2c(Br)cnc3ccc(B(O)O)cc23)CC1
GHILNKWBALQPDP-UHFFFAOYSA-N	COc1c(C#N)cccc1-c1ccc2ncc(-c3cc(F)cc(F)c3)c(N3CCC(N)CC3)c2c1>>N#Cc1cccc(-c2ccc3ncc(-c4cc(F)cc(F)c4)c(N4CCC(N)CC4)c3c2)c1O	2	COc1c(C#N)cccc1-c1ccc2ncc(-c3cc(F)cc(F)c3)c(N3CCC(N)CC3)c2c1>>N#Cc1cccc(-c2ccc3ncc(-c4cc(F)cc(F)c4)c(N4CCC(N)CC4)c3c2)c1O
GHILNKWBALQPDP-UHFFFAOYSA-N	COc1c(Cl)cccc1C#N.NC1CCN(c2c(-c3cc(F)cc(F)c3)cnc3ccc(B(O)O)cc23)CC1>>COc1c(C#N)cccc1-c1ccc2ncc(-c3cc(F)cc(F)c3)c(N3CCC(N)CC3)c2c1	2	COc1c(Cl)cccc1C#N.NC1CCN(c2c(-c3cc(F)cc(F)c3)cnc3ccc(B(O)O)cc23)CC1>>COc1c(C#N)cccc1-c1ccc2ncc(-c3cc(F)cc(F)c3)c(N3CCC(N)CC3)c2c1
