tm_inchikey	rxsmiles	route_index	mapped_reaction_smiles
GTVLCHCOKLXHLY-UHFFFAOYSA-N	Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)OC(C)(C)C)C2>>Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCNC2	1	Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)OC(C)(C)C)C2>>Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCNC2
GTVLCHCOKLXHLY-UHFFFAOYSA-N	CS(=O)(=O)CC(=O)O.Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCNC2>>Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)CS(C)(=O)=O)C2	1	CS(=O)(=O)CC(=O)O.Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCNC2>>Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)CS(C)(=O)=O)C2
GTVLCHCOKLXHLY-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCc2nc(Br)ccc2C1.Cc1onc(-c2ccc(F)cc2)c1CO>>Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)OC(C)(C)C)C2	1	CC(C)(C)OC(=O)N1CCc2nc(Br)ccc2C1.Cc1onc(-c2ccc(F)cc2)c1CO>>Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)OC(C)(C)C)C2
GTVLCHCOKLXHLY-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCc2nc(Cl)ccc2C1.Cc1onc(-c2ccc(F)cc2)c1CO>>Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)OC(C)(C)C)C2	2	CC(C)(C)OC(=O)N1CCc2nc(Cl)ccc2C1.Cc1onc(-c2ccc(F)cc2)c1CO>>Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)OC(C)(C)C)C2
GTVLCHCOKLXHLY-UHFFFAOYSA-N	Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)OC(C)(C)C)C2>>Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCNC2	2	Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)OC(C)(C)C)C2>>Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCNC2
GTVLCHCOKLXHLY-UHFFFAOYSA-N	CS(=O)(=O)CC(=O)O.Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCNC2>>Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)CS(C)(=O)=O)C2	2	CS(=O)(=O)CC(=O)O.Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCNC2>>Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)CS(C)(=O)=O)C2
GTVLCHCOKLXHLY-UHFFFAOYSA-N	CS(=O)(=O)CC(=O)O.Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCNC2>>Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)CS(C)(=O)=O)C2	3	CS(=O)(=O)CC(=O)O.Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCNC2>>Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)CS(C)(=O)=O)C2
GTVLCHCOKLXHLY-UHFFFAOYSA-N	CC(C)(C)OC(=O)N1CCc2nc(Br)ccc2C1.Cc1onc(-c2ccc(F)cc2)c1CO>>Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)OC(C)(C)C)C2	3	CC(C)(C)OC(=O)N1CCc2nc(Br)ccc2C1.Cc1onc(-c2ccc(F)cc2)c1CO>>Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)OC(C)(C)C)C2
GTVLCHCOKLXHLY-UHFFFAOYSA-N	Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)OC(C)(C)C)C2>>Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C)C2	3	Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C(=O)OC(C)(C)C)C2>>Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C)C2
GTVLCHCOKLXHLY-UHFFFAOYSA-N	COC(=O)Cl.Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C)C2>>COC(=O)N1CCc2nc(OCc3c(-c4ccc(F)cc4)noc3C)ccc2C1	3	COC(=O)Cl.Cc1onc(-c2ccc(F)cc2)c1COc1ccc2c(n1)CCN(C)C2>>COC(=O)N1CCc2nc(OCc3c(-c4ccc(F)cc4)noc3C)ccc2C1
